Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,26.83,26.64,27.01,26.52,1.60M,-0.52%
2023-12-10,26.97,26.9,27.4,26.55,1.45M,0.26%
2023-12-07,26.9,26.62,26.95,25.9,772.39K,0.37%
2023-12-06,26.8,26.7,26.9,26.4,428.22K,0.00%
2023-12-05,26.8,26.9,27.3,26.42,509.55K,-0.30%
2023-12-04,26.88,26.0,27.54,25.7,2.49M,3.27%
2023-12-03,26.03,25.77,26.2,25.25,521.85K,0.50%
2023-11-30,25.9,26.01,26.5,24.5,4.30M,-1.15%
2023-11-29,26.2,25.57,26.2,25.35,1.06M,2.46%
2023-11-28,25.57,27.0,27.0,25.57,2.11M,-4.38%
2023-11-27,26.74,27.25,27.65,26.41,2.77M,-1.69%
2023-11-26,27.2,27.25,27.34,26.6,2.17M,0.74%
2023-11-23,27.0,27.35,27.78,26.95,1.79M,-1.17%
2023-11-22,27.32,28.01,28.25,27.32,3.39M,-2.43%
2023-11-21,28.0,28.0,28.35,27.66,2.12M,0.00%
2023-11-20,28.0,28.12,28.43,27.9,987.66K,0.00%
2023-11-19,28.0,28.35,28.7,27.85,805.56K,0.18%
2023-11-16,27.95,27.99,28.27,27.52,1.95M,0.90%
2023-11-15,27.7,28.31,28.53,27.42,1.54M,-1.98%
2023-11-14,28.26,29.1,29.37,28.1,1.71M,-2.55%
2023-11-13,29.0,27.0,29.22,26.74,2.30M,7.29%
2023-11-12,27.03,27.0,27.1,26.64,487.79K,0.11%
2023-11-09,27.0,27.0,27.34,26.6,2.45M,0.37%
2023-11-08,26.9,27.3,27.42,26.46,2.99M,-0.04%
2023-11-07,26.91,26.11,27.75,26.11,1.49M,3.10%
2023-11-06,26.1,27.0,27.2,25.5,1.27M,-1.51%
2023-11-05,26.5,26.8,27.58,26.3,1.54M,1.92%
2023-11-02,26.0,25.5,27.5,25.5,2.08M,2.97%
2023-11-01,25.25,26.99,27.03,25.05,6.11M,-3.99%
2023-10-31,26.3,28.0,29.88,26.3,7.66M,-5.97%
2023-10-30,27.97,25.12,28.8,25.12,3.47M,11.61%
2023-10-29,25.06,25.4,25.5,24.83,2.39M,-1.18%
2023-10-26,25.36,24.99,25.36,24.07,2.28M,2.59%
2023-10-25,24.72,24.4,25.0,24.32,1.87M,1.73%
2023-10-24,24.3,24.0,25.3,23.7,2.63M,-10.99%
2023-10-23,27.3,27.99,28.0,26.52,2.56M,-1.76%
2023-10-22,27.79,26.49,27.9,26.05,969.56K,6.88%
2023-10-19,26.0,27.95,28.29,25.81,1.62M,-4.76%
2023-10-18,27.3,26.99,29.7,26.6,2.30M,1.49%
2023-10-17,26.9,25.18,27.2,24.3,3.36M,8.03%
2023-10-16,24.9,24.51,26.0,24.41,1.85M,1.88%
2023-10-15,24.44,24.5,24.74,24.31,462.31K,-0.45%
2023-10-12,24.55,24.26,24.6,23.94,1.07M,2.21%
2023-10-11,24.02,24.4,24.77,23.97,393.33K,-1.56%
2023-10-10,24.4,23.29,24.97,23.29,1.08M,5.40%
2023-10-09,23.15,23.85,23.9,23.15,298.16K,-1.49%
2023-10-08,23.5,23.6,24.0,22.6,1.22M,-0.25%
2023-10-04,23.56,24.05,24.05,23.56,1.67M,-2.20%
2023-10-03,24.09,24.35,24.74,24.07,230.30K,-0.86%
2023-10-02,24.3,25.0,25.25,24.01,341.70K,-2.57%
2023-10-01,24.94,24.49,24.94,24.25,982.35K,3.57%
2023-09-27,24.08,24.5,24.57,24.05,739.72K,-0.70%
2023-09-26,24.25,24.6,24.82,24.25,633.59K,-1.02%
2023-09-25,24.5,24.8,24.89,24.45,354.12K,0.00%
2023-09-24,24.5,24.91,25.1,24.5,693.91K,-1.41%
2023-09-21,24.85,24.8,25.15,24.4,1.44M,0.65%
2023-09-20,24.69,25.25,25.69,24.22,2.14M,-1.91%
2023-09-19,25.17,24.6,25.42,24.55,2.67M,1.66%
2023-09-18,24.76,24.7,24.84,24.51,682.58K,0.36%
2023-09-17,24.67,24.5,24.88,24.45,1.46M,0.69%
2023-09-14,24.5,24.38,24.51,24.34,1.47M,0.53%
2023-09-13,24.37,24.3,24.59,24.2,1.27M,0.45%
2023-09-12,24.26,23.85,24.4,23.61,3.12M,1.51%
2023-09-11,23.9,24.6,24.95,23.57,3.01M,-2.45%
2023-09-10,24.5,23.6,25.01,23.57,3.02M,4.66%
2023-09-07,23.41,23.0,23.69,23.0,3.65M,2.59%
2023-09-06,22.82,23.5,23.95,22.5,3.06M,-2.02%
2023-09-05,23.29,22.0,23.99,22.0,4.08M,7.33%
2023-09-04,21.7,22.99,24.8,21.63,2.98M,0.93%
2023-09-03,21.5,20.5,22.0,20.37,1.51M,5.91%
2023-08-31,20.3,20.25,20.58,20.12,671.56K,-0.64%
2023-08-30,20.43,20.39,20.73,20.03,272.88K,1.95%
2023-08-29,20.04,19.9,20.99,19.9,657.70K,1.26%
2023-08-28,19.79,19.65,20.48,19.62,935.66K,0.92%
2023-08-27,19.61,20.0,20.0,19.59,4.94M,1.29%
2023-08-24,19.36,19.95,20.0,19.36,2.48M,-2.22%
2023-08-23,19.8,20.0,20.29,19.52,1.92M,0.00%
2023-08-22,19.8,18.69,20.5,18.6,3.40M,8.49%
2023-08-21,18.25,18.38,19.0,18.2,1.40M,1.39%
2023-08-20,18.0,17.77,18.56,17.77,1.23M,2.86%
2023-08-17,17.5,17.62,17.88,17.41,1.29M,-0.06%
2023-08-16,17.51,18.1,18.1,17.51,266.30K,-2.72%
2023-08-15,18.0,18.0,18.18,17.4,930.78K,1.12%
2023-08-14,17.8,18.19,18.6,17.8,522.18K,-1.39%
2023-08-13,18.05,18.2,18.2,17.75,728.21K,0.33%
2023-08-10,17.99,18.04,18.33,17.95,852.19K,-1.15%
2023-08-09,18.2,18.3,18.34,17.99,850.07K,2.25%
2023-08-08,17.8,18.33,18.7,17.8,777.22K,-2.84%
2023-08-07,18.32,18.35,18.74,18.06,1.18M,0.33%
2023-08-06,18.26,18.27,18.45,17.8,833.07K,2.87%
2023-08-03,17.75,18.25,18.5,17.75,290.97K,-1.39%
2023-08-02,18.0,17.95,18.29,17.66,2.45M,2.56%
2023-08-01,17.55,18.7,18.7,17.42,1.05M,-6.05%
2023-07-31,18.68,18.7,19.0,18.5,1.16M,-0.90%
2023-07-30,18.85,17.5,19.0,17.41,676.62K,8.65%
2023-07-27,17.35,17.85,18.45,17.3,945.32K,-2.20%
2023-07-26,17.74,18.4,18.5,17.74,711.75K,-2.95%
2023-07-25,18.28,18.55,18.99,18.15,400.07K,-1.88%
2023-07-24,18.63,19.0,19.0,18.35,264.10K,-1.90%
2023-07-19,18.99,19.3,19.3,18.71,149.80K,-1.09%
2023-07-18,19.2,19.29,19.3,19.09,2.00M,0.37%
2023-07-17,19.13,18.9,19.41,18.72,1.04M,1.16%
2023-07-16,18.91,19.15,19.25,18.62,189.74K,-0.47%
2023-07-13,19.0,18.45,19.3,18.36,413.27K,4.17%
2023-07-12,18.24,18.65,18.65,18.15,2.35M,0.50%
2023-07-11,18.15,18.85,18.9,18.01,1.84M,-2.68%
2023-07-10,18.65,19.0,19.0,18.26,1.72M,-2.41%
2023-07-09,19.11,19.7,19.7,18.5,70.63K,-0.47%
2023-07-06,19.2,19.99,19.99,19.01,268.64K,-3.03%
2023-07-05,19.8,20.68,20.99,19.7,201.75K,-4.26%
2023-07-04,20.68,21.34,21.34,19.61,1.18M,-3.09%
2023-06-26,21.34,20.9,21.34,20.35,1.14M,1.62%
2023-06-25,21.0,20.8,21.0,20.1,1.05M,0.00%
2023-06-22,21.0,21.24,21.24,20.5,1.47M,0.00%
2023-06-21,21.0,21.38,21.38,20.9,443.63K,-1.78%
2023-06-20,21.38,21.0,21.58,20.91,275.26K,1.57%
2023-06-19,21.05,21.0,21.74,20.85,866.33K,-0.09%
2023-06-18,21.07,20.39,21.41,20.02,296.96K,5.35%
2023-06-15,20.0,19.5,20.0,19.25,1.17M,3.90%
2023-06-14,19.25,19.0,19.49,18.75,1.64M,1.48%
2023-06-13,18.97,18.85,19.0,18.75,1.88M,0.21%
2023-06-12,18.93,18.8,19.0,18.75,617.42K,0.96%
2023-06-11,18.75,18.9,18.9,18.71,390.90K,-0.42%
2023-06-08,18.83,18.64,19.0,18.36,1.61M,1.02%
2023-06-07,18.64,19.0,19.0,18.25,917.88K,-1.89%
2023-06-06,19.0,18.32,19.1,18.32,3.62M,4.68%
2023-06-05,18.15,18.8,18.8,18.15,672.84K,-1.25%
2023-06-04,18.38,19.4,19.4,18.25,77.13K,-3.26%
2023-06-01,19.0,19.72,19.72,18.33,477.73K,-0.37%
2023-05-31,19.07,19.0,19.8,19.0,2.39M,-0.21%
2023-05-30,19.11,18.35,19.25,18.31,373.41K,3.41%
2023-05-29,18.48,17.95,18.49,17.56,494.54K,2.67%
2023-05-28,18.0,17.6,18.1,17.3,146.66K,1.93%
2023-05-25,17.66,17.01,18.3,17.01,278.87K,-1.89%
2023-05-24,18.0,16.9,18.0,16.61,568.78K,6.51%
2023-05-23,16.9,16.95,17.05,16.7,73.57K,0.84%
2023-05-22,16.76,17.2,17.2,16.45,161.59K,-3.07%
2023-05-21,17.29,16.2,17.39,16.2,453.30K,6.73%
2023-05-18,16.2,15.8,16.2,15.4,1.28M,3.32%
2023-05-17,15.68,15.85,16.2,15.25,560.62K,-1.38%
2023-05-16,15.9,16.0,16.2,15.8,668.02K,-0.63%
2023-05-15,16.0,16.5,16.85,16.0,556.11K,-3.73%
2023-05-14,16.62,16.6,16.8,16.5,88.71K,0.12%
2023-05-11,16.6,16.92,16.98,16.3,518.47K,-1.31%
2023-05-10,16.82,16.9,17.0,16.7,103.23K,-0.47%
2023-05-09,16.9,16.93,17.1,16.86,316.01K,0.00%
2023-05-08,16.9,17.0,17.1,16.75,982.90K,0.96%
