Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.36,0.35,0.37,0.34,1.70M,2.55%
2023-12-10,0.35,0.36,0.38,0.35,1.16M,-5.61%
2023-12-07,0.37,0.38,0.38,0.35,183.50K,0.00%
2023-12-06,0.37,0.4,0.4,0.37,1.49M,-4.35%
2023-12-05,0.39,0.37,0.4,0.37,1.38M,4.55%
2023-12-04,0.37,0.38,0.39,0.37,565.03K,0.00%
2023-12-03,0.37,0.35,0.38,0.35,1.21M,7.16%
2023-11-30,0.35,0.36,0.37,0.35,347.19K,0.00%
2023-11-29,0.35,0.37,0.4,0.34,3.07M,-10.97%
2023-11-28,0.39,0.38,0.39,0.37,572.58K,0.00%
2023-11-27,0.39,0.38,0.38,0.38,605.59K,0.00%
2023-11-26,0.39,0.4,0.4,0.38,235.71K,0.00%
2023-11-23,0.39,0.39,0.4,0.38,631.36K,0.00%
2023-11-22,0.39,0.38,0.41,0.37,1.88M,0.00%
2023-11-21,0.39,0.37,0.39,0.37,222.14K,0.00%
2023-11-20,0.39,0.4,0.4,0.38,203.84K,0.00%
2023-11-19,0.39,0.39,0.39,0.37,872.24K,0.00%
2023-11-16,0.39,0.39,0.39,0.37,230.59K,0.00%
2023-11-15,0.39,0.4,0.4,0.37,382.26K,0.00%
2023-11-14,0.39,0.38,0.42,0.37,1.44M,4.26%
2023-11-13,0.38,0.37,0.4,0.37,843.21K,-2.34%
2023-11-12,0.38,0.42,0.5,0.38,1.91M,-9.20%
2023-11-09,0.42,0.37,0.45,0.37,2.36M,13.07%
2023-11-08,0.38,0.36,0.38,0.35,631.91K,0.00%
2023-11-07,0.38,0.38,0.38,0.35,603.37K,0.00%
2023-11-06,0.38,0.31,0.38,0.3,4.98M,19.43%
2023-11-05,0.31,0.3,0.31,0.29,738.50K,0.00%
2023-11-02,0.31,0.28,0.31,0.28,518.76K,0.00%
2023-11-01,0.31,0.3,0.3,0.28,118.90K,0.00%
2023-10-31,0.31,0.31,0.31,0.26,878.12K,0.00%
2023-10-30,0.31,0.3,0.31,0.3,449.36K,0.00%
2023-10-29,0.31,0.3,0.33,0.3,1.61M,2.61%
2023-10-26,0.31,0.28,0.31,0.27,2.78M,13.33%
2023-10-25,0.27,0.25,0.28,0.25,1.24M,-5.26%
2023-10-24,0.28,0.25,0.25,0.25,156.49K,0.00%
2023-10-23,0.28,0.25,0.26,0.25,463.32K,0.00%
2023-10-22,0.28,0.25,0.25,0.25,65.60K,0.00%
2023-10-19,0.28,0.26,0.26,0.26,11.46K,0.00%
2023-10-18,0.28,0.27,0.27,0.25,147.08K,0.00%
2023-10-17,0.28,0.24,0.26,0.24,224.50K,0.00%
2023-10-16,0.28,0.25,0.25,0.24,353.80K,0.00%
2023-10-15,0.28,0.25,0.26,0.24,251.17K,0.00%
2023-10-12,0.28,0.25,0.26,0.25,4.20K,0.00%
2023-10-11,0.28,0.25,0.26,0.25,202.26K,0.00%
2023-10-10,0.28,0.25,0.26,0.25,146.39K,0.00%
2023-10-09,0.28,0.25,0.26,0.24,53.43K,0.00%
2023-10-08,0.28,0.27,0.27,0.24,40.60K,0.00%
2023-10-03,0.28,0.26,0.26,0.25,284.00K,0.00%
2023-10-02,0.28,0.25,0.26,0.25,11.69K,0.00%
2023-10-01,0.28,0.28,0.28,0.24,252.01K,0.00%
2023-09-27,0.28,0.26,0.27,0.26,74.69K,0.00%
2023-09-26,0.28,0.26,0.26,0.26,369.55K,0.00%
