Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,22.91,22.85,23.0,22.4,85.12K,0.26%
2023-12-10,22.85,23.5,24.0,22.85,48.57K,-2.48%
2023-12-07,23.43,23.51,23.52,21.5,213.55K,-0.34%
2023-12-06,23.51,24.25,24.74,23.45,189.25K,-3.05%
2023-12-05,24.25,24.52,24.88,24.02,98.56K,-1.02%
2023-12-04,24.5,25.0,25.3,24.44,197.62K,-0.45%
2023-12-03,24.61,23.7,25.39,23.31,478.24K,6.26%
2023-11-30,23.16,23.25,23.72,23.0,441.08K,0.83%
2023-11-29,22.97,23.94,23.94,22.8,104.19K,-2.17%
2023-11-28,23.48,24.0,24.0,23.05,132.75K,0.77%
2023-11-27,23.3,24.1,24.69,23.0,201.17K,-3.12%
2023-11-26,24.05,25.28,25.7,24.0,249.91K,-4.34%
2023-11-23,25.14,24.9,25.7,24.8,232.75K,0.60%
2023-11-22,24.99,25.35,25.5,24.87,244.19K,-1.69%
2023-11-21,25.42,25.6,25.99,25.25,164.82K,-1.55%
2023-11-20,25.82,25.9,26.25,25.11,347.21K,0.04%
2023-11-19,25.81,25.98,26.89,25.52,382.40K,2.67%
2023-11-16,25.14,26.3,26.48,25.0,311.27K,-4.30%
2023-11-15,26.27,23.9,26.39,23.9,792.30K,10.61%
2023-11-14,23.75,24.49,24.5,23.47,332.13K,-0.54%
2023-11-13,23.88,24.22,24.3,23.3,342.50K,-1.16%
2023-11-12,24.16,22.8,24.7,22.52,1.30M,12.63%
2023-11-09,21.45,20.62,22.74,20.6,617.19K,3.92%
2023-11-08,20.64,20.6,21.3,20.5,118.77K,0.44%
2023-11-07,20.55,20.5,21.0,20.25,86.11K,0.64%
2023-11-06,20.42,21.12,21.24,20.31,250.39K,-2.81%
2023-11-05,21.01,21.12,21.65,20.88,172.96K,2.64%
2023-11-02,20.47,20.1,21.1,20.05,205.49K,2.15%
2023-11-01,20.04,20.8,21.0,20.01,186.50K,-1.76%
2023-10-31,20.4,21.23,21.88,20.0,368.71K,-3.91%
2023-10-30,21.23,22.83,22.9,21.0,302.47K,-7.13%
2023-10-29,22.86,20.01,23.5,20.01,440.35K,8.96%
2023-10-26,20.98,21.39,21.39,19.96,218.66K,-0.10%
2023-10-25,21.0,21.09,21.88,20.27,629.53K,4.37%
2023-10-24,20.12,21.7,21.7,19.75,303.97K,-4.51%
2023-10-23,21.07,20.74,21.99,20.5,866.18K,5.40%
2023-10-22,19.99,17.88,20.4,17.66,837.24K,13.00%
2023-10-19,17.69,17.8,18.27,17.61,53.67K,-0.39%
2023-10-18,17.76,18.08,18.7,17.7,350.31K,-1.82%
2023-10-17,18.09,17.3,18.29,17.3,446.33K,2.49%
2023-10-16,17.65,17.67,18.1,17.5,67.85K,-1.29%
2023-10-15,17.88,17.98,18.0,17.77,38.00K,0.06%
2023-10-12,17.87,17.87,17.99,17.5,23.85K,0.00%
2023-10-11,17.87,17.75,18.0,17.56,34.41K,0.34%
2023-10-10,17.81,17.38,18.1,17.3,36.27K,0.51%
2023-10-09,17.72,16.66,17.83,16.66,59.73K,4.60%
2023-10-08,16.94,17.8,17.8,16.6,62.39K,-4.88%
2023-10-04,17.81,17.8,18.7,17.72,381.42K,-0.95%
2023-10-03,17.98,17.69,18.0,17.11,74.88K,3.99%
2023-10-02,17.29,17.4,18.0,17.13,48.80K,1.05%
2023-10-01,17.11,17.41,17.79,17.04,41.65K,-2.73%
2023-09-27,17.59,18.19,18.19,17.51,26.65K,-1.62%
2023-09-26,17.88,18.0,18.35,17.7,60.39K,0.85%
2023-09-25,17.73,18.0,18.48,17.7,49.59K,-2.53%
2023-09-24,18.19,18.21,18.6,18.01,202.85K,1.06%
2023-09-21,18.0,17.25,18.1,16.77,215.35K,4.83%
2023-09-20,17.17,17.26,17.42,16.9,71.58K,-0.41%
2023-09-19,17.24,16.92,17.36,16.92,44.79K,1.23%
2023-09-18,17.03,17.0,17.2,17.0,25.74K,-0.18%
2023-09-17,17.06,17.0,17.24,16.89,57.76K,0.35%
2023-09-14,17.0,16.82,17.2,16.8,66.20K,1.07%
2023-09-13,16.82,16.7,16.98,16.65,26.96K,0.54%
2023-09-12,16.73,16.82,16.99,16.66,51.31K,-0.89%
2023-09-11,16.88,17.01,17.15,16.82,38.65K,-0.71%
2023-09-10,17.0,17.25,17.59,16.8,245.31K,-2.07%
2023-09-07,17.36,17.05,17.42,17.05,86.82K,1.05%
2023-09-06,17.18,17.9,17.9,17.05,126.28K,-3.32%
2023-09-05,17.77,18.56,18.56,17.67,129.09K,-2.42%
2023-09-04,18.21,18.46,18.55,17.92,173.83K,-0.27%
