Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.292,0.303,0.303,0.29,16.78M,-3.31%
2023-12-10,0.302,0.286,0.31,0.283,40.25M,6.34%
2023-12-07,0.284,0.278,0.288,0.272,20.13M,2.16%
2023-12-06,0.278,0.286,0.287,0.278,10.31M,-2.46%
2023-12-05,0.285,0.283,0.287,0.281,6.94M,0.35%
2023-12-04,0.284,0.283,0.286,0.283,6.58M,1.79%
2023-12-03,0.279,0.282,0.286,0.278,9.70M,0.36%
2023-11-30,0.278,0.284,0.285,0.276,10.27M,-0.36%
2023-11-29,0.279,0.28,0.287,0.275,11.67M,-0.36%
2023-11-28,0.28,0.283,0.283,0.273,10.88M,-1.06%
2023-11-27,0.283,0.287,0.287,0.278,11.37M,0.35%
2023-11-26,0.282,0.286,0.291,0.281,14.19M,0.36%
2023-11-23,0.281,0.288,0.29,0.28,17.24M,-2.77%
2023-11-22,0.289,0.26,0.29,0.26,37.78M,11.15%
2023-11-21,0.26,0.246,0.26,0.245,11.92M,5.26%
2023-11-20,0.247,0.254,0.254,0.246,5.38M,-1.59%
2023-11-19,0.251,0.252,0.258,0.25,5.03M,0.80%
2023-11-16,0.249,0.251,0.254,0.247,7.05M,0.00%
2023-11-15,0.249,0.255,0.255,0.248,3.81M,-1.58%
2023-11-14,0.253,0.257,0.26,0.251,4.90M,-1.17%
2023-11-13,0.256,0.253,0.263,0.25,12.61M,1.19%
2023-11-12,0.253,0.253,0.253,0.244,9.62M,1.20%
2023-11-09,0.25,0.25,0.255,0.247,13.28M,0.40%
2023-11-08,0.249,0.242,0.259,0.24,15.35M,3.32%
2023-11-07,0.241,0.241,0.245,0.24,7.63M,-1.23%
2023-11-06,0.244,0.243,0.245,0.24,6.08M,1.24%
2023-11-05,0.241,0.237,0.243,0.235,5.66M,2.12%
2023-11-02,0.236,0.238,0.239,0.231,4.01M,-0.84%
2023-11-01,0.238,0.237,0.24,0.236,3.00M,-0.83%
2023-10-31,0.24,0.241,0.241,0.237,3.00M,-0.83%
2023-10-30,0.242,0.238,0.245,0.237,9.11M,1.68%
2023-10-29,0.238,0.24,0.243,0.236,4.28M,0.85%
2023-10-26,0.236,0.24,0.241,0.235,10.22M,-0.84%
2023-10-25,0.238,0.23,0.241,0.23,6.92M,3.48%
2023-10-24,0.23,0.239,0.239,0.228,7.18M,-3.77%
2023-10-23,0.239,0.233,0.242,0.233,12.26M,3.91%
2023-10-22,0.23,0.232,0.232,0.228,3.16M,0.44%
2023-10-19,0.229,0.238,0.242,0.228,8.41M,-3.78%
2023-10-18,0.238,0.222,0.24,0.218,12.32M,7.69%
2023-10-17,0.221,0.22,0.224,0.22,4.79M,0.45%
2023-10-16,0.22,0.221,0.222,0.218,2.67M,-0.45%
2023-10-15,0.221,0.222,0.222,0.219,991.13K,0.00%
2023-10-12,0.221,0.22,0.223,0.22,1.39M,0.00%
2023-10-11,0.221,0.221,0.223,0.22,3.31M,0.45%
2023-10-10,0.22,0.222,0.224,0.22,3.41M,0.46%
2023-10-09,0.219,0.22,0.224,0.218,855.13K,0.00%
2023-10-08,0.219,0.23,0.23,0.217,5.01M,-4.37%
2023-10-04,0.229,0.23,0.23,0.226,2.21M,-0.43%
2023-10-03,0.23,0.231,0.232,0.228,3.20M,0.00%
2023-10-02,0.23,0.236,0.236,0.228,2.49M,-1.29%
2023-10-01,0.233,0.239,0.239,0.231,1.57M,-0.43%
2023-09-27,0.234,0.236,0.238,0.232,4.04M,-1.27%
2023-09-26,0.237,0.241,0.244,0.236,2.93M,-1.66%
2023-09-25,0.241,0.243,0.244,0.24,1.36M,-0.82%
2023-09-24,0.243,0.243,0.246,0.241,1.37M,0.00%
2023-09-21,0.243,0.242,0.246,0.242,2.91M,0.00%
2023-09-20,0.243,0.25,0.25,0.242,4.61M,-2.80%
2023-09-19,0.25,0.25,0.253,0.248,4.51M,0.00%
2023-09-18,0.25,0.25,0.252,0.246,4.32M,0.40%
2023-09-17,0.249,0.246,0.25,0.246,2.82M,1.22%
2023-09-14,0.246,0.247,0.247,0.245,1.61M,1.23%
2023-09-13,0.243,0.245,0.245,0.24,3.16M,0.00%
2023-09-12,0.243,0.243,0.247,0.242,2.45M,-0.82%
2023-09-11,0.245,0.25,0.25,0.244,6.54M,-2.00%
2023-09-10,0.25,0.25,0.253,0.249,3.72M,0.81%
2023-09-07,0.248,0.253,0.254,0.247,4.89M,-1.59%
2023-09-06,0.252,0.26,0.263,0.251,10.59M,-1.95%
2023-09-05,0.257,0.26,0.264,0.255,13.33M,-1.15%
2023-09-04,0.26,0.249,0.261,0.24,14.52M,4.84%
2023-09-03,0.248,0.245,0.253,0.245,9.54M,2.06%
2023-08-31,0.243,0.244,0.245,0.241,3.22M,0.41%
2023-08-30,0.242,0.239,0.244,0.237,3.11M,1.26%
2023-08-29,0.239,0.244,0.244,0.238,7.48M,-1.65%
2023-08-28,0.243,0.242,0.247,0.241,2.71M,-0.82%
2023-08-27,0.245,0.24,0.246,0.24,2.83M,2.08%
2023-08-24,0.24,0.242,0.245,0.238,5.35M,-1.64%
2023-08-23,0.244,0.246,0.248,0.242,1.93M,0.00%
