Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,150.59,146.55,152.98,146.55,0.15K,0.39%
2023-12-10,150.0,152.5,152.5,150.0,0.62K,-0.39%
2023-12-07,150.59,151.5,152.6,146.51,0.25K,0.00%
2023-12-06,150.59,151.7,153.0,151.7,0.34K,0.00%
2023-12-05,150.59,151.31,153.01,151.31,1.61K,0.00%
2023-12-04,150.59,151.5,153.0,151.5,0.17K,0.00%
2023-12-03,150.59,152.01,153.0,151.0,0.18K,0.00%
2023-11-30,150.59,152.0,153.01,148.0,1.58K,0.00%
2023-11-29,150.59,152.79,154.75,151.0,1.03K,0.00%
2023-11-28,150.59,152.0,153.0,150.0,4.25K,0.39%
2023-11-27,150.0,150.06,156.0,150.0,5.90K,-0.68%
2023-11-26,151.03,154.75,154.75,150.0,1.26K,0.00%
2023-11-23,151.03,154.0,154.0,150.5,0.35K,0.00%
2023-11-22,151.03,145.04,154.0,145.04,2.47K,15.48%
2023-11-21,130.78,148.79,148.79,145.98,1.63K,0.00%
2023-11-20,130.78,156.93,156.93,156.93,0.09K,0.00%
2023-11-19,130.78,156.93,156.93,156.93,0.12K,0.00%
2023-11-16,130.78,156.93,156.93,156.93,0.01K,0.00%
2023-11-15,130.78,156.93,156.93,156.93,0.23K,0.00%
2023-11-14,130.78,156.93,156.93,156.93,0.01K,0.00%
2023-11-12,130.78,156.93,156.93,156.93,0.03K,0.00%
2023-11-09,130.78,156.93,156.93,156.93,0.06K,0.00%
2023-11-08,130.78,156.93,156.93,156.93,0.00K,0.00%
2023-11-07,130.78,156.93,156.93,156.93,0.28K,0.00%
2023-11-06,130.78,156.93,156.93,156.93,0.71K,0.00%
2023-11-05,130.78,156.93,156.93,152.56,0.34K,0.00%
2023-11-02,130.78,156.2,156.2,154.0,0.44K,0.00%
2023-11-01,130.78,156.93,156.93,156.0,1.63K,0.00%
2023-10-31,130.78,156.93,156.93,156.93,0.55K,0.00%
2023-10-30,130.78,156.93,156.93,156.93,0.52K,0.00%
2023-10-29,130.78,156.46,156.93,156.46,0.11K,0.00%
2023-10-26,130.78,156.93,156.93,156.93,0.05K,0.00%
2023-10-25,130.78,154.96,156.93,154.96,0.81K,0.00%
2023-10-24,130.78,156.93,156.93,156.93,0.56K,0.00%
2023-10-23,130.78,156.93,156.93,156.93,1.86K,0.00%
2023-10-22,130.78,156.5,156.93,156.5,1.34K,0.00%
2023-10-19,130.78,154.0,156.93,150.71,1.18K,0.00%
2023-10-18,130.78,155.0,155.0,150.5,0.34K,0.00%
2023-10-17,130.78,150.02,155.0,150.02,0.37K,0.00%
2023-10-16,130.78,153.0,154.5,150.1,1.50K,0.00%
2023-10-15,130.78,150.0,154.5,150.0,0.15K,0.00%
2023-10-12,130.78,152.99,152.99,143.31,0.06K,0.00%
2023-10-11,130.78,153.4,153.4,151.4,0.65K,0.00%
2023-10-10,130.78,153.5,153.5,151.01,0.65K,0.00%
2023-10-09,130.78,146.01,154.0,140.1,0.26K,0.00%
2023-10-08,130.78,154.0,154.0,150.0,0.80K,0.00%
2023-10-04,130.78,150.31,154.0,150.31,0.03K,0.00%
2023-10-03,130.78,153.0,154.0,152.0,0.23K,0.00%
2023-10-02,130.78,154.0,154.0,152.5,0.33K,0.00%
2023-10-01,130.78,153.99,153.99,152.0,0.16K,0.00%
