Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.34,1.38,1.38,1.33,4.81M,-3.46%
2023-12-10,1.39,1.43,1.44,1.37,4.94M,-1.56%
2023-12-07,1.41,1.45,1.46,1.36,6.70M,-2.76%
2023-12-06,1.45,1.48,1.49,1.45,4.47M,-1.29%
2023-12-05,1.47,1.51,1.52,1.47,5.09M,-1.08%
2023-12-04,1.49,1.46,1.52,1.45,5.78M,1.99%
2023-12-03,1.46,1.51,1.51,1.45,5.81M,-2.54%
2023-11-30,1.49,1.52,1.53,1.48,7.65M,-1.06%
2023-11-29,1.51,1.51,1.55,1.49,8.66M,0.00%
2023-11-28,1.51,1.51,1.56,1.5,18.08M,1.75%
2023-11-27,1.49,1.53,1.54,1.48,10.99M,-2.17%
2023-11-26,1.52,1.42,1.54,1.41,29.97M,8.48%
2023-11-23,1.4,1.39,1.43,1.38,9.40M,2.11%
2023-11-22,1.37,1.36,1.39,1.36,4.45M,2.00%
2023-11-21,1.35,1.34,1.36,1.33,4.34M,0.67%
2023-11-20,1.34,1.38,1.39,1.33,5.04M,-2.26%
2023-11-19,1.37,1.39,1.41,1.37,5.13M,-1.44%
2023-11-16,1.39,1.38,1.43,1.37,6.01M,1.31%
2023-11-15,1.37,1.42,1.43,1.37,5.77M,-2.56%
2023-11-14,1.41,1.36,1.44,1.36,15.69M,4.61%
2023-11-13,1.35,1.33,1.38,1.31,6.43M,1.51%
2023-11-12,1.33,1.36,1.38,1.3,7.55M,-1.85%
2023-11-09,1.35,1.38,1.45,1.32,15.11M,-1.46%
2023-11-08,1.37,1.39,1.41,1.36,12.27M,-0.80%
2023-11-07,1.38,1.29,1.45,1.29,36.49M,8.23%
2023-11-06,1.28,1.32,1.32,1.27,10.26M,-2.52%
2023-11-05,1.31,1.26,1.34,1.26,17.50M,4.72%
2023-11-02,1.25,1.22,1.25,1.2,9.64M,4.87%
2023-11-01,1.19,1.21,1.25,1.15,18.66M,-1.00%
2023-10-31,1.2,1.28,1.28,1.2,12.66M,-4.44%
2023-10-30,1.26,1.25,1.34,1.24,31.57M,2.86%
2023-10-29,1.23,1.13,1.25,1.12,21.44M,8.79%
2023-10-26,1.13,1.14,1.16,1.12,8.21M,-0.53%
2023-10-25,1.13,1.12,1.16,1.1,7.61M,1.71%
2023-10-24,1.11,1.14,1.16,1.09,6.61M,-1.42%
2023-10-23,1.13,1.15,1.18,1.13,8.95M,0.00%
2023-10-22,1.13,1.12,1.15,1.11,6.08M,3.00%
2023-10-19,1.1,1.06,1.15,1.06,15.25M,0.92%
2023-10-18,1.09,1.11,1.11,1.06,7.00M,0.00%
2023-10-17,1.1,1.1,1.11,1.06,5.53M,0.74%
2023-10-16,1.09,1.09,1.11,1.07,4.62M,-0.91%
2023-10-15,1.1,1.1,1.12,1.09,5.84M,0.00%
2023-10-12,1.1,1.06,1.14,1.05,14.77M,5.07%
2023-10-11,1.05,1.08,1.08,1.04,4.13M,-1.78%
2023-10-10,1.07,1.07,1.11,1.05,6.42M,1.04%
2023-10-09,1.05,1.02,1.08,1.02,4.97M,0.00%
2023-10-08,1.05,1.09,1.12,0.97,12.24M,-3.22%
2023-10-04,1.09,1.08,1.11,1.05,6.15M,1.59%
2023-10-03,1.07,1.14,1.14,1.07,6.64M,-3.60%
2023-10-02,1.11,1.18,1.2,1.07,19.79M,-5.20%
2023-10-01,1.17,1.02,1.19,1.02,31.40M,16.15%
2023-09-27,1.01,1.04,1.04,1.0,7.17M,-2.32%
2023-09-26,1.03,1.06,1.07,1.03,5.44M,-1.34%
2023-09-25,1.05,1.05,1.09,1.03,7.85M,0.96%
2023-09-24,1.04,1.06,1.08,1.03,5.50M,-2.26%
2023-09-21,1.06,1.08,1.1,1.06,4.56M,-0.75%
2023-09-20,1.07,1.13,1.13,1.06,6.94M,-4.72%
2023-09-19,1.12,1.14,1.16,1.12,5.74M,-1.06%
2023-09-18,1.13,1.13,1.16,1.12,9.41M,0.71%
2023-09-17,1.13,1.14,1.15,1.12,5.42M,-0.79%
2023-09-14,1.13,1.15,1.16,1.13,10.25M,-0.61%
2023-09-13,1.14,1.15,1.16,1.13,10.59M,0.00%
2023-09-12,1.14,1.15,1.18,1.12,8.67M,0.00%
2023-09-11,1.14,1.17,1.2,1.14,11.36M,-2.64%
2023-09-10,1.17,1.22,1.22,1.17,14.89M,-3.06%
2023-09-07,1.21,1.13,1.21,1.11,20.04M,7.94%
2023-09-06,1.12,1.16,1.18,1.11,15.73M,-3.61%
2023-09-05,1.16,1.21,1.23,1.16,28.40M,-1.61%
2023-09-04,1.18,1.25,1.25,1.18,29.37M,-5.21%
2023-09-03,1.25,1.15,1.27,1.14,55.63M,15.36%
2023-08-31,1.08,1.07,1.12,1.05,31.47M,4.34%
2023-08-30,1.04,0.96,1.09,0.96,31.81M,9.05%
2023-08-29,0.95,0.96,0.96,0.94,2.11M,0.00%
2023-08-28,0.95,0.97,0.98,0.94,4.88M,-1.04%
2023-08-27,0.96,0.94,0.97,0.94,11.36M,3.00%
2023-08-24,0.93,0.93,0.94,0.92,3.63M,0.00%
2023-08-23,0.93,0.95,0.97,0.93,8.82M,-1.58%
2023-08-22,0.95,0.93,0.97,0.91,13.80M,3.27%
2023-08-21,0.92,0.92,0.93,0.91,6.68M,0.00%
2023-08-20,0.91,0.93,0.93,0.91,1.77M,-0.76%
2023-08-17,0.92,0.93,0.93,0.92,3.60M,-0.76%
2023-08-16,0.93,0.94,0.94,0.93,5.83M,-0.96%
2023-08-15,0.94,0.93,0.96,0.93,8.84M,1.19%
2023-08-14,0.93,0.94,0.94,0.92,5.16M,0.00%
2023-08-13,0.93,0.92,0.94,0.91,3.36M,1.75%
2023-08-10,0.91,0.92,0.93,0.91,2.45M,-0.76%
2023-08-09,0.92,0.92,0.93,0.92,2.68M,0.00%
2023-08-08,0.92,0.93,0.94,0.91,5.94M,0.00%
2023-08-07,0.92,0.92,0.93,0.92,2.44M,0.87%
2023-08-06,0.92,0.92,0.93,0.91,3.87M,0.00%
2023-08-03,0.92,0.91,0.92,0.9,2.64M,0.88%
2023-08-02,0.91,0.93,0.93,0.91,4.26M,-1.30%
2023-08-01,0.92,0.94,0.95,0.92,4.09M,-1.81%
2023-07-31,0.94,0.96,0.96,0.93,4.71M,-0.95%
2023-07-30,0.95,0.93,0.99,0.93,13.11M,2.49%
2023-07-27,0.93,0.91,0.93,0.89,6.77M,2.66%
2023-07-26,0.9,0.9,0.91,0.88,4.09M,-0.66%
2023-07-25,0.91,0.91,0.92,0.9,1.29M,0.00%
2023-07-24,0.91,0.92,0.93,0.9,2.12M,0.00%
2023-07-19,0.91,0.93,0.94,0.91,5.67M,-1.08%
2023-07-18,0.92,0.9,0.93,0.89,5.06M,3.48%
2023-07-17,0.89,0.9,0.91,0.88,5.41M,0.00%
2023-07-16,0.89,0.9,0.91,0.88,2.82M,0.00%
2023-07-13,0.9,0.92,0.92,0.89,8.61M,-1.86%
2023-07-12,0.92,0.94,0.94,0.91,5.44M,-1.61%
2023-07-11,0.93,0.91,0.95,0.91,8.19M,2.54%
2023-07-10,0.91,0.9,0.91,0.88,3.95M,1.34%
2023-07-09,0.89,0.96,0.96,0.89,4.06M,-6.38%
2023-07-06,0.96,0.97,0.98,0.95,2.82M,-1.44%
2023-07-05,0.97,0.99,0.99,0.96,2.96M,-2.02%
2023-07-04,0.99,1.0,1.01,0.99,3.33M,-0.90%
2023-06-26,1.0,0.99,1.01,0.99,4.79M,0.00%
2023-06-25,1.0,1.03,1.04,0.99,5.49M,-2.73%
2023-06-22,1.02,1.03,1.04,1.01,4.58M,0.00%
2023-06-21,1.02,1.06,1.07,1.02,13.21M,-3.13%
2023-06-20,1.05,1.1,1.11,1.05,34.39M,-3.65%
2023-06-19,1.1,1.15,1.15,1.08,9.46M,-2.67%
2023-06-18,1.13,1.13,1.14,1.12,4.21M,0.63%
2023-06-15,1.12,1.15,1.16,1.11,3.89M,-1.84%
2023-06-14,1.14,1.13,1.17,1.1,6.80M,2.89%
2023-06-13,1.11,1.14,1.16,1.1,4.68M,-2.89%
2023-06-12,1.14,1.12,1.17,1.1,5.24M,2.70%
2023-06-11,1.11,1.13,1.14,1.11,3.92M,-0.80%
2023-06-08,1.12,1.16,1.16,1.12,4.83M,-2.01%
2023-06-07,1.14,1.21,1.23,1.13,18.19M,-6.39%
2023-06-06,1.22,1.25,1.25,1.22,5.12M,-2.79%
2023-06-05,1.25,1.2,1.27,1.19,12.55M,6.18%
2023-06-04,1.18,1.21,1.21,1.18,3.06M,-0.76%
2023-06-01,1.19,1.19,1.23,1.18,4.07M,0.76%
2023-05-31,1.18,1.22,1.22,1.15,6.06M,-1.83%
2023-05-30,1.2,1.2,1.25,1.19,6.93M,-1.23%
2023-05-29,1.22,1.27,1.27,1.17,10.49M,-2.48%
2023-05-28,1.25,1.11,1.28,1.1,24.11M,15.10%
2023-05-25,1.09,1.07,1.1,1.05,5.36M,2.94%
2023-05-24,1.05,1.05,1.11,1.05,13.32M,1.74%
2023-05-23,1.04,0.97,1.05,0.97,9.64M,9.39%
2023-05-22,0.95,0.96,0.98,0.94,2.25M,0.00%
2023-05-21,0.95,0.92,0.95,0.92,1.05M,4.07%
2023-05-18,0.91,0.94,0.94,0.9,1.07M,-1.84%
2023-05-17,0.93,0.98,0.99,0.92,2.06M,-3.84%
2023-05-16,0.96,0.99,0.99,0.96,1.82M,-2.92%
2023-05-15,0.99,1.03,1.03,0.98,1.55M,-3.03%
