Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,62.7,62.5,64.95,61.07,257.88K,0.66%
2023-12-10,62.29,61.06,64.0,61.06,181.36K,1.35%
2023-12-07,61.46,61.1,64.0,60.0,275.43K,0.75%
2023-12-06,61.0,61.95,64.2,59.0,347.75K,1.24%
2023-12-05,60.25,58.0,63.49,57.0,278.25K,5.22%
2023-12-04,57.26,57.0,58.18,56.9,69.08K,0.32%
2023-12-03,57.08,58.0,58.25,56.56,151.87K,0.48%
2023-11-30,56.81,57.2,57.9,56.7,60.08K,-0.65%
2023-11-29,57.18,57.62,58.24,56.5,46.69K,-0.76%
2023-11-28,57.62,57.25,57.95,56.9,45.75K,1.09%
2023-11-27,57.0,58.0,58.49,57.0,46.84K,-1.66%
2023-11-26,57.96,58.5,58.94,57.6,22.62K,-0.10%
2023-11-23,58.02,59.0,59.0,58.01,25.99K,-0.79%
2023-11-22,58.48,58.32,59.35,58.32,22.49K,0.27%
2023-11-21,58.32,58.01,58.5,57.5,38.87K,0.29%
2023-11-20,58.15,59.5,59.5,58.0,37.50K,-1.02%
2023-11-19,58.75,58.25,59.44,58.25,16.00K,-0.07%
2023-11-16,58.79,58.6,59.49,58.0,41.98K,0.22%
2023-11-15,58.66,58.5,59.0,58.5,21.45K,-0.07%
2023-11-14,58.7,58.1,59.3,58.01,41.01K,-0.17%
2023-11-13,58.8,59.5,59.5,58.0,27.95K,0.05%
2023-11-12,58.77,59.2,60.3,58.25,55.38K,-1.24%
2023-11-09,59.51,58.51,60.29,58.51,86.50K,0.86%
2023-11-08,59.0,59.37,59.58,58.5,75.25K,-0.03%
2023-11-07,59.02,57.5,59.22,57.5,46.33K,2.06%
2023-11-06,57.83,58.0,58.85,57.51,44.01K,-0.33%
2023-11-05,58.02,57.99,59.0,57.42,63.70K,1.79%
2023-11-02,57.0,56.0,58.0,55.91,71.85K,1.75%
2023-11-01,56.02,55.51,57.0,55.51,110.08K,-0.67%
2023-10-31,56.4,58.84,58.84,56.0,28.07K,-1.69%
2023-10-30,57.37,57.39,59.0,56.5,77.08K,-0.02%
2023-10-29,57.38,59.93,59.93,57.0,98.80K,-2.83%
2023-10-26,59.05,62.49,62.5,59.01,145.51K,-4.43%
2023-10-25,61.79,60.0,63.0,58.03,323.82K,4.71%
2023-10-24,59.01,59.49,61.0,58.0,118.93K,0.68%
2023-10-23,58.61,58.84,60.5,58.3,162.66K,0.14%
2023-10-22,58.53,56.6,58.84,56.51,122.02K,3.98%
2023-10-19,56.29,55.34,56.8,55.0,155.16K,1.75%
2023-10-18,55.32,56.6,57.0,55.03,162.51K,-2.57%
2023-10-17,56.78,56.5,58.0,54.8,342.22K,3.24%
2023-10-16,55.0,51.02,56.95,50.81,486.00K,8.25%
2023-10-15,50.81,51.1,52.01,50.0,108.14K,-0.55%
2023-10-12,51.09,47.5,51.5,46.81,172.22K,9.12%
2023-10-11,46.82,47.99,47.99,45.01,53.04K,-1.45%
2023-10-10,47.51,47.5,48.3,47.0,64.72K,1.09%
2023-10-09,47.0,49.7,49.86,46.61,23.31K,-0.21%
2023-10-08,47.1,49.26,49.99,45.0,112.17K,-4.52%
2023-10-04,49.33,50.0,50.0,49.07,7.62K,-0.82%
2023-10-03,49.74,50.99,50.99,49.6,99.01K,-1.64%
2023-10-02,50.57,50.46,50.89,49.01,97.91K,0.10%
2023-10-01,50.52,50.87,51.2,50.47,63.89K,-0.94%
2023-09-27,51.0,51.31,51.31,50.25,45.37K,0.10%
2023-09-26,50.95,50.9,51.35,50.0,116.59K,0.18%
2023-09-25,50.86,52.49,52.49,50.49,64.88K,-1.26%
2023-09-24,51.51,51.5,52.7,51.26,105.71K,0.63%
2023-09-21,51.19,51.5,51.51,50.5,33.95K,0.37%
2023-09-20,51.0,53.5,53.65,50.15,554.79K,-4.03%
2023-09-19,53.14,52.0,54.0,52.0,528.15K,2.98%
2023-09-18,51.6,52.63,52.78,50.03,115.67K,-1.94%
2023-09-17,52.62,52.63,53.5,52.6,54.32K,-0.62%
2023-09-14,52.95,52.4,53.47,52.2,52.39K,0.84%
2023-09-13,52.51,52.2,53.6,51.3,398.38K,0.98%
2023-09-12,52.0,51.4,52.2,49.0,351.18K,1.96%
2023-09-11,51.0,52.5,52.94,50.06,187.70K,-2.67%
2023-09-10,52.4,52.0,52.7,51.01,164.32K,2.75%
2023-09-07,51.0,49.05,52.2,49.05,536.65K,4.34%
2023-09-06,48.88,47.95,49.5,47.95,236.07K,1.85%
2023-09-05,47.99,47.1,48.1,47.03,98.55K,2.00%
2023-09-04,47.05,45.9,47.3,45.9,134.39K,2.28%
2023-09-03,46.0,46.48,46.5,45.58,119.95K,0.83%
2023-08-31,45.62,46.06,46.63,45.6,39.59K,-2.17%
2023-08-30,46.63,47.0,47.32,46.57,26.88K,-0.79%
2023-08-29,47.0,47.0,47.8,46.5,99.71K,1.10%
2023-08-28,46.49,46.5,48.2,46.25,103.92K,0.28%
2023-08-27,46.36,45.4,46.49,45.4,107.91K,2.32%
2023-08-24,45.31,45.88,45.9,45.31,20.48K,-0.40%
2023-08-23,45.49,45.85,45.99,45.4,29.85K,-0.02%
2023-08-22,45.5,45.73,45.85,45.25,41.25K,-0.37%
2023-08-21,45.67,45.75,45.84,45.3,15.97K,-0.33%
2023-08-20,45.82,46.0,46.0,45.71,8.82K,-0.28%
2023-08-17,45.95,46.49,46.49,45.8,14.25K,-0.11%
2023-08-16,46.0,46.15,46.49,45.81,65.26K,-0.13%
2023-08-15,46.06,46.45,46.6,45.75,21.45K,-0.88%
2023-08-14,46.47,46.49,47.0,46.33,38.59K,0.43%
2023-08-13,46.27,45.59,46.44,45.55,72.10K,1.69%
2023-08-10,45.5,45.25,45.65,45.15,42.81K,0.15%
2023-08-09,45.43,45.55,45.55,45.0,59.54K,-0.09%
2023-08-08,45.47,45.46,45.89,45.2,36.96K,-0.13%
2023-08-07,45.53,45.63,45.9,45.41,59.42K,-0.22%
2023-08-06,45.63,45.5,46.0,45.45,35.60K,-0.44%
2023-08-03,45.83,45.61,46.0,45.5,37.47K,-0.26%
2023-08-02,45.95,45.52,46.0,45.3,69.79K,0.37%
2023-08-01,45.78,45.5,46.0,45.01,54.67K,1.73%
2023-07-31,45.0,45.0,45.58,44.74,31.43K,-0.20%
2023-07-30,45.09,44.76,45.9,44.76,15.05K,-0.18%
2023-07-27,45.17,45.0,45.5,44.9,12.00K,0.49%
2023-07-26,44.95,45.45,45.86,44.75,43.53K,-1.75%
2023-07-25,45.75,45.61,46.0,45.45,12.34K,0.53%
2023-07-24,45.51,46.0,46.59,45.35,104.48K,-0.59%
2023-07-19,45.78,46.0,46.75,45.62,33.35K,-0.20%
2023-07-18,45.87,46.0,46.88,45.8,13.85K,-0.28%
2023-07-17,46.0,46.75,47.98,45.66,57.88K,-1.03%
2023-07-16,46.48,45.53,47.5,44.8,86.26K,1.04%
2023-07-13,46.0,46.01,46.68,45.3,32.81K,0.00%
2023-07-12,46.0,45.0,46.0,44.17,79.83K,4.14%
2023-07-11,44.17,45.0,45.7,43.0,30.38K,-0.90%
2023-07-10,44.57,44.0,45.0,44.0,20.54K,1.30%
2023-07-09,44.0,45.98,45.98,42.0,92.88K,-2.03%
2023-07-06,44.91,46.45,46.54,44.01,20.91K,-2.92%
2023-07-05,46.26,46.01,46.99,46.0,13.96K,0.57%
2023-07-04,46.0,48.44,48.44,45.6,74.60K,-4.17%
2023-06-26,48.0,48.15,49.0,47.62,159.15K,0.00%
2023-06-25,48.0,45.5,48.0,45.5,174.28K,6.01%
2023-06-22,45.28,45.74,45.75,45.19,28.67K,-1.44%
2023-06-21,45.94,45.9,46.2,45.52,85.90K,0.02%
2023-06-20,45.93,45.7,46.2,45.3,72.17K,1.03%
2023-06-19,45.46,45.84,46.29,45.0,102.40K,-0.85%
2023-06-18,45.85,45.4,46.24,45.2,13.42K,0.57%
2023-06-15,45.59,46.03,46.9,45.11,23.95K,-0.96%
2023-06-14,46.03,46.85,47.5,46.0,38.78K,-1.94%
2023-06-13,46.94,47.49,48.89,46.81,193.29K,-0.72%
2023-06-12,47.28,47.0,47.28,46.61,26.63K,1.20%
2023-06-11,46.72,46.19,47.0,46.0,56.37K,2.37%
2023-06-08,45.64,45.1,46.0,44.85,81.57K,1.04%
2023-06-07,45.17,45.0,45.32,44.88,48.36K,0.31%
2023-06-06,45.03,45.29,45.29,44.82,20.47K,-0.40%
2023-06-05,45.21,45.3,45.8,44.88,74.70K,0.02%
2023-06-04,45.2,45.7,46.16,45.05,94.16K,-1.20%
2023-06-01,45.75,45.47,47.0,45.0,136.61K,0.64%
2023-05-31,45.46,46.35,47.38,45.03,225.32K,-2.45%
2023-05-30,46.6,46.5,46.79,46.35,25.10K,0.50%
2023-05-29,46.37,46.75,46.75,46.21,34.94K,0.52%
2023-05-28,46.13,46.75,47.0,46.1,23.09K,-1.09%
2023-05-25,46.64,46.05,47.0,46.05,52.16K,1.28%
2023-05-24,46.05,44.85,46.55,44.85,132.50K,2.40%
2023-05-23,44.97,45.0,45.4,44.6,44.63K,-0.09%
2023-05-22,45.01,45.01,45.2,44.2,59.92K,0.02%
2023-05-21,45.0,44.21,45.0,44.06,51.19K,2.27%
2023-05-18,44.0,44.2,44.2,43.0,93.60K,0.00%
2023-05-17,44.0,44.9,45.88,44.0,142.82K,-2.22%
2023-05-16,45.0,45.65,45.71,44.0,112.71K,-2.13%
2023-05-15,45.98,47.65,47.65,45.88,48.95K,-1.29%
2023-05-14,46.58,47.31,47.88,46.2,85.47K,-1.25%
2023-05-11,47.17,46.41,47.89,46.0,171.81K,2.92%
2023-05-10,45.83,46.77,47.21,44.9,171.33K,-1.40%
2023-05-09,46.48,48.47,48.48,46.27,272.35K,-2.74%
2023-05-08,47.79,48.0,48.5,47.72,178.47K,-0.04%
2023-05-07,47.81,47.5,48.24,46.51,62.73K,1.64%
2023-05-03,47.04,47.56,48.0,46.9,70.28K,-0.78%
2023-05-02,47.41,48.0,48.47,47.0,98.42K,-1.21%
2023-05-01,47.99,49.98,49.98,47.75,104.77K,-2.85%
2023-04-30,49.4,50.0,50.96,49.05,224.94K,-1.14%
2023-04-27,49.97,51.25,51.3,49.7,250.61K,-1.58%
2023-04-26,50.77,52.0,52.51,50.02,73.64K,-2.25%
2023-04-19,51.94,52.51,52.97,51.8,47.15K,-1.39%
2023-04-18,52.67,52.0,53.99,51.6,35.88K,1.96%
2023-04-13,51.66,51.79,51.93,49.5,85.29K,-4.79%
2023-04-12,54.26,54.0,55.99,53.52,170.14K,2.15%
2023-04-11,53.12,53.09,53.5,52.53,63.91K,1.12%
2023-04-10,52.53,53.57,53.57,52.5,66.44K,-0.28%
2023-04-09,52.68,53.3,53.57,51.5,53.03K,0.06%
2023-04-06,52.65,53.7,54.36,52.5,56.09K,-1.07%
2023-04-05,53.22,54.25,55.44,53.02,84.38K,-1.32%
2023-04-04,53.93,51.5,54.2,51.5,160.47K,5.23%
2023-04-03,51.25,50.6,52.0,50.25,95.69K,2.42%
2023-04-02,50.04,50.0,51.0,49.65,42.21K,-0.64%
2023-03-30,50.36,51.5,51.5,50.0,51.25K,-0.32%
2023-03-29,50.52,51.0,51.51,50.31,100.37K,-0.75%
2023-03-28,50.9,51.94,51.94,49.0,90.22K,-0.04%
2023-03-27,50.92,52.75,52.75,50.25,74.50K,-0.49%
2023-03-26,51.17,51.84,53.0,50.0,111.91K,0.02%
2023-03-23,51.16,51.78,51.93,50.21,19.62K,0.51%
2023-03-22,50.9,53.2,54.9,50.2,133.91K,-3.12%
2023-03-21,52.54,52.0,53.28,52.0,45.46K,3.61%
2023-03-20,50.71,49.0,52.5,49.0,163.31K,3.36%
2023-03-19,49.06,50.24,50.24,46.0,47.58K,-0.89%
2023-03-16,49.5,47.99,49.5,45.3,138.33K,1.91%
2023-03-15,48.57,54.0,54.98,44.0,137.96K,-8.69%
2023-03-14,53.19,50.0,54.8,49.0,187.86K,5.79%
2023-03-13,50.28,56.95,57.5,49.01,131.52K,-10.49%
2023-03-12,56.17,56.01,61.6,55.2,415.52K,0.36%
2023-03-09,55.97,50.7,56.0,50.24,332.00K,12.68%
2023-03-08,49.67,49.5,51.85,49.0,419.65K,0.02%
2023-03-07,49.66,54.93,55.0,48.65,525.53K,-7.64%
2023-03-06,53.77,58.0,58.8,53.21,263.33K,-6.03%
2023-03-05,57.22,59.05,60.94,56.3,190.77K,-2.19%
2023-03-02,58.5,58.2,59.0,57.0,95.68K,1.07%
2023-03-01,57.88,55.5,58.2,55.0,104.75K,4.34%
2023-02-28,55.47,57.34,58.23,55.01,84.14K,-3.29%
2023-02-27,57.36,58.73,59.99,56.51,106.30K,-1.68%
2023-02-26,58.34,56.0,59.45,51.6,240.13K,6.54%
2023-02-23,54.76,46.98,54.76,45.75,530.04K,19.98%
2023-02-22,45.64,48.5,48.99,45.1,62.45K,-4.92%
2023-02-21,48.0,45.01,48.0,43.4,247.14K,5.70%
2023-02-20,45.41,47.5,47.5,45.12,278.78K,-3.38%
2023-02-19,47.0,46.0,47.75,45.61,185.45K,8.22%
2023-02-16,43.43,42.5,44.93,41.9,100.82K,3.53%
2023-02-15,41.95,42.0,42.3,41.3,31.14K,0.41%
2023-02-14,41.78,42.48,42.48,41.45,45.36K,0.05%
2023-02-13,41.76,42.33,43.66,41.65,26.85K,-0.83%
2023-02-12,42.11,42.0,42.47,41.9,17.95K,-0.31%
2023-02-09,42.24,42.0,42.5,41.5,48.04K,1.59%
2023-02-08,41.58,41.35,42.7,41.1,38.83K,-0.74%
2023-02-07,41.89,41.15,42.0,41.01,27.40K,2.05%
2023-02-06,41.05,41.35,42.0,40.89,21.46K,-2.05%
2023-02-05,41.91,41.66,42.0,39.99,67.07K,-0.92%
2023-02-02,42.3,42.99,43.98,41.6,37.10K,0.64%
2023-02-01,42.03,41.0,42.97,39.51,94.97K,3.14%
2023-01-31,40.75,42.1,43.0,40.03,132.93K,-3.28%
2023-01-30,42.13,44.4,44.9,42.02,74.96K,-4.36%
2023-01-29,44.05,45.0,45.4,43.75,48.02K,0.05%
2023-01-25,44.03,45.0,45.27,44.0,123.39K,-0.05%
2023-01-24,44.05,45.5,45.74,43.6,82.65K,-1.43%
2023-01-23,44.69,46.0,46.4,44.01,104.15K,-1.74%
2023-01-22,45.48,43.6,46.5,43.05,177.70K,4.50%
2023-01-19,43.52,42.49,44.25,42.1,96.09K,3.64%
2023-01-18,41.99,45.0,45.89,41.8,148.44K,-6.65%
2023-01-17,44.98,44.0,46.5,44.0,165.87K,1.67%
