Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,29.66,29.41,29.9,29.05,27.32K,0.47%
2023-12-10,29.52,30.02,30.25,29.0,27.54K,-1.60%
2023-12-07,30.0,29.33,30.5,28.63,999.93K,2.39%
2023-12-06,29.3,29.0,29.5,28.65,1.44M,1.35%
2023-12-05,28.91,29.2,29.3,28.75,36.50K,-0.31%
2023-12-04,29.0,28.7,29.3,28.62,1.04M,1.51%
2023-12-03,28.57,29.39,29.39,28.3,72.62K,-3.15%
2023-11-30,29.5,29.44,29.79,29.01,313.94K,0.48%
2023-11-29,29.36,29.5,29.6,28.54,2.57M,-0.34%
2023-11-28,29.46,29.65,29.7,29.22,1.43M,0.92%
2023-11-27,29.19,30.5,30.5,29.0,4.03M,-2.70%
2023-11-26,30.0,30.2,30.49,29.5,842.06K,0.00%
2023-11-23,30.0,29.22,31.0,29.2,3.07M,2.63%
2023-11-22,29.23,29.35,29.58,29.01,142.82K,0.48%
2023-11-21,29.09,29.41,29.5,28.0,73.64K,-0.89%
2023-11-20,29.35,29.6,29.65,29.25,192.14K,-0.68%
2023-11-19,29.55,29.6,29.75,29.45,49.53K,-0.30%
2023-11-16,29.64,29.7,29.8,29.3,529.16K,0.47%
2023-11-15,29.5,29.24,30.0,29.0,546.31K,1.34%
2023-11-14,29.11,29.99,30.0,28.72,80.55K,-1.32%
2023-11-13,29.5,30.0,30.97,29.0,279.25K,-0.67%
2023-11-12,29.7,31.0,31.99,25.59,179.84K,-1.00%
2023-11-09,30.0,29.0,33.65,28.9,994.59K,3.45%
2023-11-08,29.0,28.48,29.1,27.5,125.92K,3.13%
2023-11-07,28.12,28.88,28.99,27.5,206.33K,-1.33%
2023-11-06,28.5,27.2,29.5,27.2,140.21K,3.49%
2023-11-05,27.54,26.92,27.97,26.71,21.13K,3.92%
2023-11-02,26.5,26.97,26.99,26.05,1.04M,0.15%
2023-11-01,26.46,28.0,28.0,26.0,137.63K,-1.96%
2023-10-31,26.99,27.51,28.0,26.8,3.87M,-0.04%
2023-10-30,27.0,26.8,27.5,26.78,1.36M,0.82%
2023-10-29,26.78,27.0,27.0,26.51,32.54K,0.04%
2023-10-26,26.77,27.4,27.5,26.0,35.10K,-2.37%
2023-10-25,27.42,25.7,27.77,25.7,114.46K,7.91%
2023-10-24,25.41,25.81,26.8,25.0,50.86K,-1.55%
2023-10-23,25.81,24.02,27.0,24.0,116.71K,7.72%
2023-10-22,23.96,23.95,24.43,23.71,60.77K,0.88%
2023-10-19,23.75,24.0,24.79,23.7,156.40K,-1.04%
2023-10-18,24.0,23.99,24.2,23.66,1.25M,0.13%
2023-10-17,23.97,23.6,24.25,23.51,894.45K,2.00%
2023-10-16,23.5,23.67,24.8,23.06,416.23K,2.17%
2023-10-15,23.0,22.02,26.0,22.02,968.57K,4.64%
2023-10-12,21.98,20.78,24.0,20.7,834.86K,6.49%
2023-10-11,20.64,20.3,20.8,20.11,68.31K,1.67%
2023-10-10,20.3,20.0,20.34,20.0,269.17K,1.50%
2023-10-09,20.0,19.81,20.1,19.55,93.08K,1.73%
2023-10-08,19.66,19.88,20.3,19.51,72.19K,-1.11%
2023-10-04,19.88,20.1,20.29,19.8,811.78K,-0.60%
2023-10-03,20.0,20.3,20.44,20.0,11.09K,0.00%
2023-10-02,20.0,20.5,20.7,19.8,679.17K,-2.15%
2023-10-01,20.44,20.25,20.59,20.03,31.06K,1.09%
2023-09-27,20.22,20.1,20.25,20.0,47.52K,1.10%
2023-09-26,20.0,20.0,20.3,19.98,768.71K,0.00%
2023-09-25,20.0,20.0,20.65,20.0,184.39K,0.25%
2023-09-24,19.95,20.19,20.34,19.9,271.03K,-0.25%
2023-09-21,20.0,20.0,20.5,19.9,47.96K,-0.05%
2023-09-20,20.01,20.7,20.74,19.9,587.10K,-2.86%
2023-09-19,20.6,20.67,20.74,20.51,922.67K,0.34%
2023-09-18,20.53,20.73,20.9,20.5,595.87K,-0.82%
2023-09-17,20.7,20.91,20.99,20.66,208.49K,-0.05%
2023-09-14,20.71,21.0,21.0,20.7,465.00K,-0.48%
2023-09-13,20.81,21.0,21.15,20.7,1.27M,-0.81%
2023-09-12,20.98,20.92,21.12,20.75,15.61K,1.11%
2023-09-11,20.75,21.2,21.3,20.61,1.84M,-1.24%
2023-09-10,21.01,21.4,21.4,21.0,96.19K,-1.08%
2023-09-07,21.24,21.3,21.4,21.11,7.85K,0.00%
2023-09-06,21.24,21.35,21.43,21.0,17.22K,-0.70%
2023-09-05,21.39,21.3,21.5,20.85,681.00K,1.37%
2023-09-04,21.1,21.17,21.3,20.91,313.63K,0.43%
2023-09-03,21.01,21.3,21.45,21.0,99.36K,-0.33%
2023-08-31,21.08,21.75,21.75,20.9,399.94K,-0.61%
2023-08-30,21.21,20.9,21.84,20.76,1.36M,2.17%
2023-08-29,20.76,21.5,21.5,20.71,172.99K,-2.21%
2023-08-28,21.23,21.5,21.75,21.05,20.51K,0.19%
2023-08-27,21.19,21.3,21.8,20.9,610.50K,0.90%
2023-08-24,21.0,20.61,21.5,20.6,535.81K,2.44%
2023-08-23,20.5,21.45,21.88,20.5,1.24M,-4.56%
2023-08-22,21.48,20.4,21.5,20.3,323.46K,5.76%
2023-08-21,20.31,20.0,20.5,19.95,256.47K,1.96%
2023-08-20,19.92,19.84,20.19,19.65,37.43K,1.84%
2023-08-17,19.56,19.87,19.95,19.55,36.41K,-1.86%
2023-08-16,19.93,19.6,19.99,19.6,34.01K,1.01%
2023-08-15,19.73,19.5,19.79,19.4,44.64K,1.70%
2023-08-14,19.4,19.42,19.5,19.3,480.99K,0.10%
2023-08-13,19.38,19.48,19.57,19.35,16.77K,0.16%
2023-08-10,19.35,19.6,19.6,19.3,899.50K,0.00%
2023-08-09,19.35,19.46,19.8,19.11,58.58K,-0.57%
2023-08-08,19.46,19.75,20.0,19.0,44.85K,-1.12%
2023-08-07,19.68,19.9,20.2,19.5,22.07K,-0.86%
2023-08-06,19.85,19.5,20.19,19.5,200.81K,1.79%
2023-08-03,19.5,19.22,19.55,19.0,282.18K,1.46%
2023-08-02,19.22,19.0,19.5,18.75,224.37K,1.16%
2023-08-01,19.0,18.9,19.05,18.64,80.36K,0.58%
2023-07-31,18.89,18.8,18.91,18.55,177.61K,0.48%
2023-07-30,18.8,18.7,18.98,18.4,364.29K,0.00%
2023-07-27,18.8,18.8,18.8,18.3,13.50K,0.00%
2023-07-26,18.8,18.85,18.99,18.75,13.61K,0.00%
2023-07-25,18.8,18.61,18.97,18.55,1.72M,1.08%
2023-07-24,18.6,18.6,18.69,18.42,38.27K,0.05%
2023-07-19,18.59,18.46,18.65,18.38,797.41K,0.70%
2023-07-18,18.46,18.5,18.6,18.35,494.08K,0.27%
2023-07-17,18.41,18.5,18.57,18.35,32.53K,0.00%
2023-07-16,18.41,18.49,18.88,18.31,22.72K,-0.49%
2023-07-13,18.5,18.52,19.0,18.15,300.64K,-0.43%
2023-07-12,18.58,18.53,18.69,18.44,30.58K,0.32%
2023-07-11,18.52,18.45,18.7,18.01,75.44K,0.54%
2023-07-10,18.42,18.0,18.45,17.5,14.23K,0.00%
2023-07-09,18.42,18.68,18.68,18.04,392.23K,-1.18%
2023-07-06,18.64,18.5,18.7,18.5,34.45K,1.30%
2023-07-05,18.4,18.38,18.6,18.35,14.75K,0.00%
2023-07-04,18.4,18.45,18.48,18.29,194.22K,0.55%
2023-06-26,18.3,18.47,18.48,18.04,92.84K,-1.35%
2023-06-25,18.55,18.55,18.6,18.12,11.03K,0.00%
2023-06-22,18.55,18.5,18.65,18.2,364.25K,0.82%
2023-06-21,18.4,18.45,18.5,18.21,170.82K,0.38%
2023-06-20,18.33,18.35,18.5,18.11,470.72K,1.16%
2023-06-19,18.12,17.85,18.33,17.75,1.02M,1.34%
2023-06-18,17.88,17.88,18.0,17.61,17.35K,0.39%
