Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,59.59,62.84,63.0,59.45,261.06K,-4.73%
2023-12-10,62.55,63.89,65.15,62.5,218.25K,-0.59%
2023-12-07,62.92,65.0,65.75,61.51,213.32K,-3.13%
2023-12-06,64.95,66.3,67.35,64.0,573.33K,-0.84%
2023-12-05,65.5,67.7,67.7,64.9,202.85K,-2.05%
2023-12-04,66.87,67.0,67.74,66.8,168.54K,0.16%
2023-12-03,66.76,68.89,68.94,66.0,209.16K,-0.76%
2023-11-30,67.27,65.0,67.9,65.0,209.38K,3.32%
2023-11-29,65.11,68.01,68.44,65.0,182.14K,-3.54%
2023-11-28,67.5,69.05,69.5,67.5,193.85K,-2.00%
2023-11-27,68.88,68.68,70.65,68.5,231.30K,1.43%
2023-11-26,67.91,68.99,69.4,67.67,225.61K,-1.19%
2023-11-23,68.73,71.1,71.25,68.5,332.75K,-3.10%
2023-11-22,70.93,70.93,71.75,70.6,258.14K,0.47%
2023-11-21,70.6,71.45,72.45,70.25,364.87K,-8.08%
2023-11-20,76.81,78.0,79.49,75.8,773.56K,-0.35%
2023-11-19,77.08,75.52,77.49,75.5,293.42K,2.46%
2023-11-16,75.23,76.1,76.3,74.8,253.44K,-0.49%
2023-11-15,75.6,75.01,77.5,75.0,301.27K,1.07%
2023-11-14,74.8,75.97,76.69,74.69,174.76K,-0.76%
2023-11-13,75.37,74.99,76.76,74.6,208.92K,1.13%
2023-11-12,74.53,77.49,77.49,74.01,424.29K,-1.96%
2023-11-09,76.02,78.99,79.99,75.5,386.65K,-2.16%
2023-11-08,77.7,72.72,79.0,72.64,796.43K,7.02%
2023-11-07,72.6,76.01,76.01,71.9,406.74K,5.14%
2023-11-06,69.05,70.0,72.99,68.8,573.58K,0.80%
2023-11-05,68.5,68.01,70.25,68.01,198.91K,1.54%
2023-11-02,67.46,68.0,69.3,67.01,292.86K,2.49%
2023-11-01,65.82,67.1,68.6,64.27,476.39K,-1.76%
2023-10-31,67.0,72.0,74.5,67.0,554.64K,-6.37%
2023-10-30,71.56,71.01,73.97,69.15,939.00K,1.59%
2023-10-29,70.44,68.1,71.49,68.04,548.71K,4.98%
2023-10-26,67.1,69.7,70.0,64.5,667.21K,-1.03%
2023-10-25,67.8,64.51,71.97,64.5,1.23M,7.19%
2023-10-24,63.25,55.32,63.98,55.32,1.40M,17.15%
2023-10-23,53.99,46.48,54.49,46.48,1.76M,17.29%
2023-10-22,46.03,43.6,46.24,43.6,226.05K,6.40%
2023-10-19,43.26,45.01,45.5,43.2,317.83K,-3.78%
2023-10-18,44.96,46.49,46.98,44.85,393.39K,-2.26%
2023-10-17,46.0,46.12,47.6,45.07,684.26K,0.04%
2023-10-16,45.98,44.4,46.22,44.25,300.30K,4.22%
2023-10-15,44.12,43.6,45.0,43.6,74.24K,1.38%
2023-10-12,43.52,41.81,43.98,41.69,93.29K,4.39%
2023-10-11,41.69,41.5,43.0,41.35,110.98K,0.90%
2023-10-10,41.32,41.23,41.86,41.0,82.33K,0.24%
