Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,40.61,40.25,41.35,40.01,191.94K,-0.95%
2023-12-10,41.0,42.27,43.4,41.0,200.37K,-2.96%
2023-12-07,42.25,41.5,42.47,40.0,481.34K,0.88%
2023-12-06,41.88,43.91,44.49,41.6,335.23K,-4.49%
2023-12-05,43.85,44.98,44.98,43.61,308.57K,-0.48%
2023-12-04,44.06,44.99,45.7,43.81,458.93K,-1.45%
2023-12-03,44.71,44.04,45.85,43.65,586.67K,2.52%
2023-11-30,43.61,44.0,44.4,42.01,832.17K,0.14%
2023-11-29,43.55,43.05,44.97,43.05,1.02M,1.16%
2023-11-28,43.05,41.8,43.8,41.71,1.44M,4.34%
2023-11-27,41.26,38.76,42.5,38.76,1.67M,6.45%
2023-11-26,38.76,38.5,39.5,38.5,434.69K,1.65%
2023-11-23,38.13,38.4,39.1,37.8,670.08K,-0.47%
2023-11-22,38.31,35.62,39.4,35.62,2.88M,10.72%
2023-11-21,34.6,34.25,34.8,34.11,315.43K,1.02%
2023-11-20,34.25,35.33,35.5,34.12,420.32K,-2.70%
2023-11-19,35.2,35.3,35.57,34.9,286.84K,0.66%
2023-11-16,34.97,35.15,35.5,34.8,377.55K,0.58%
2023-11-15,34.77,34.4,35.25,34.3,494.10K,1.37%
2023-11-14,34.3,34.0,34.91,33.92,313.29K,1.15%
2023-11-13,33.91,33.76,34.49,33.65,235.47K,0.80%
2023-11-12,33.64,33.94,34.2,33.6,162.84K,0.06%
2023-11-09,33.62,34.49,34.49,33.52,326.57K,-0.94%
2023-11-08,33.94,34.13,34.79,33.81,382.18K,-0.29%
2023-11-07,34.04,34.5,34.75,33.9,264.36K,-0.67%
2023-11-06,34.27,34.9,35.0,34.02,347.65K,-0.75%
2023-11-05,34.53,34.98,35.65,34.4,579.47K,0.47%
2023-11-02,34.37,33.11,34.7,33.11,399.18K,4.15%
2023-11-01,33.0,33.51,34.15,32.6,456.93K,-2.28%
2023-10-31,33.77,35.5,35.7,33.7,703.19K,-4.39%
2023-10-30,35.32,35.56,35.95,35.1,504.68K,0.03%
2023-10-29,35.31,35.56,36.99,35.11,1.22M,0.60%
2023-10-26,35.1,34.38,35.75,34.3,1.23M,2.54%
2023-10-25,34.23,35.5,36.0,34.0,1.33M,-2.20%
2023-10-24,35.0,32.52,35.05,32.52,2.47M,9.00%
2023-10-23,32.11,30.5,32.49,30.14,1.41M,5.31%
2023-10-22,30.49,30.56,30.75,29.85,332.87K,0.07%
2023-10-19,30.47,30.21,30.89,30.21,279.53K,0.76%
2023-10-18,30.24,30.45,30.79,30.13,251.68K,0.63%
2023-10-17,30.05,29.3,30.55,29.26,509.50K,2.88%
2023-10-16,29.21,29.0,29.3,28.93,86.30K,0.97%
2023-10-15,28.93,28.9,29.33,28.83,99.31K,0.03%
2023-10-12,28.92,29.2,29.46,28.8,168.72K,0.07%
2023-10-11,28.9,28.8,29.55,28.8,241.04K,0.56%
2023-10-10,28.74,28.85,29.16,28.5,98.12K,0.84%
2023-10-09,28.5,28.5,28.99,28.43,68.99K,0.53%
2023-10-08,28.35,29.62,29.62,27.4,270.63K,-4.29%
2023-10-04,29.62,29.76,29.76,29.0,103.48K,0.24%
2023-10-03,29.55,29.52,29.99,29.52,125.29K,-0.81%
2023-10-02,29.79,30.38,30.38,29.4,230.71K,-1.03%
2023-10-01,30.1,30.51,30.9,30.0,151.50K,-1.12%
2023-09-27,30.44,30.8,30.9,30.26,232.97K,-1.01%
2023-09-26,30.75,31.0,31.17,30.7,105.48K,-0.19%
2023-09-25,30.81,30.84,31.48,30.8,292.73K,0.13%
2023-09-24,30.77,30.8,31.28,30.75,151.44K,0.07%
2023-09-21,30.75,31.17,31.17,30.5,219.74K,-0.45%
2023-09-20,30.89,31.88,31.99,30.82,390.17K,-2.77%
2023-09-19,31.77,31.69,32.22,31.69,924.49K,0.86%
2023-09-18,31.5,30.71,31.7,30.7,752.46K,2.61%
2023-09-17,30.7,30.8,30.9,30.63,145.61K,-0.10%
2023-09-14,30.73,30.8,30.95,30.6,192.42K,0.39%
2023-09-13,30.61,30.62,30.92,30.55,106.11K,0.03%
2023-09-12,30.6,30.75,31.09,30.6,188.30K,-0.52%
2023-09-11,30.76,31.27,31.27,30.71,201.04K,-0.87%
2023-09-10,31.03,31.35,31.35,31.0,149.53K,0.29%
2023-09-07,30.94,31.24,31.24,30.85,185.13K,0.13%
2023-09-06,30.9,31.1,31.61,30.9,653.93K,0.10%
2023-09-05,30.87,31.2,31.29,30.85,464.34K,-0.58%
2023-09-04,31.05,30.75,31.17,30.61,386.09K,1.47%
2023-09-03,30.6,31.3,31.45,30.59,428.33K,-1.45%
2023-08-31,31.05,31.46,31.75,30.75,797.27K,-0.48%
2023-08-30,31.2,31.12,31.98,30.95,1.76M,2.87%
2023-08-29,30.33,29.4,30.59,29.4,2.15M,3.52%
2023-08-28,29.3,29.3,29.6,29.23,201.31K,0.24%
2023-08-27,29.23,29.43,29.5,29.2,151.39K,-0.07%
2023-08-24,29.25,29.5,29.5,29.22,95.02K,-0.58%
2023-08-23,29.42,29.84,29.87,29.4,183.42K,-0.27%
2023-08-22,29.5,29.49,29.9,29.4,167.10K,0.00%
2023-08-21,29.5,29.7,29.7,29.43,158.56K,-0.34%
2023-08-20,29.6,29.99,30.01,29.56,134.46K,-0.40%
2023-08-17,29.72,30.12,30.12,29.7,134.37K,-0.67%
2023-08-16,29.92,30.26,30.3,29.9,150.07K,-0.53%
2023-08-15,30.08,30.29,30.49,30.05,95.15K,0.00%
2023-08-14,30.08,29.85,30.34,29.85,277.27K,0.70%
2023-08-13,29.87,30.12,30.12,29.71,105.25K,-0.10%
2023-08-10,29.9,30.3,30.47,29.86,295.83K,-0.73%
2023-08-09,30.12,30.4,30.4,30.1,46.31K,-0.50%
2023-08-08,30.27,30.47,30.73,30.15,107.97K,-0.10%
2023-08-07,30.3,30.3,30.4,30.05,105.88K,0.33%
2023-08-06,30.2,29.91,30.34,29.88,95.08K,0.67%
2023-08-03,30.0,30.01,30.05,29.76,76.28K,0.00%
2023-08-02,30.0,30.1,30.25,29.95,133.98K,-0.23%
2023-08-01,30.07,30.19,30.49,30.0,111.43K,-0.23%
2023-07-31,30.14,30.1,30.31,30.0,84.61K,0.23%
2023-07-30,30.07,30.3,30.59,30.0,88.76K,-0.96%
2023-07-27,30.36,30.4,30.7,30.3,60.58K,0.16%
2023-07-26,30.31,30.51,30.9,30.3,54.68K,-0.62%
2023-07-25,30.5,31.08,31.08,30.45,62.35K,-1.04%
2023-07-24,30.82,31.1,31.19,30.8,40.01K,-1.06%
2023-07-19,31.15,31.13,31.59,30.9,121.72K,0.48%
2023-07-18,31.0,30.92,31.4,30.7,175.24K,0.23%
2023-07-17,30.93,30.89,31.39,30.88,43.72K,0.13%
2023-07-16,30.89,31.12,31.5,30.51,81.46K,0.10%
2023-07-13,30.86,31.0,31.12,30.7,99.89K,0.16%
2023-07-12,30.81,31.0,31.49,30.61,37.18K,-0.55%
2023-07-11,30.98,31.0,31.4,30.7,75.62K,0.26%
2023-07-10,30.9,30.29,30.95,30.2,55.91K,2.49%
2023-07-09,30.15,31.15,31.28,30.11,77.52K,-2.96%
2023-07-06,31.07,31.74,31.88,31.01,109.08K,-1.71%
2023-07-05,31.61,32.03,32.03,31.6,55.14K,-0.57%
2023-07-04,31.79,32.05,32.4,31.72,53.89K,-0.69%
2023-06-26,32.01,31.7,32.1,31.4,122.88K,0.88%
2023-06-25,31.73,32.23,32.25,31.62,43.52K,0.09%
2023-06-22,31.7,32.0,32.2,31.51,147.62K,-0.72%
2023-06-21,31.93,32.49,32.6,31.9,152.25K,-1.78%
2023-06-20,32.51,32.55,32.73,32.5,65.13K,-0.03%
2023-06-19,32.52,33.0,33.24,32.4,128.67K,-1.09%
2023-06-18,32.88,33.0,33.58,32.76,545.32K,0.61%
2023-06-15,32.68,31.99,33.3,31.9,683.00K,2.51%
2023-06-14,31.88,31.9,32.15,31.81,86.63K,0.06%
2023-06-13,31.86,31.81,32.5,31.81,108.87K,0.09%
2023-06-12,31.83,32.27,32.27,31.83,35.13K,-0.41%
2023-06-11,31.96,31.81,32.35,31.81,129.47K,0.09%
2023-06-08,31.93,32.02,32.45,31.8,176.56K,-0.28%
2023-06-07,32.02,32.95,32.95,32.0,153.27K,-1.99%
2023-06-06,32.67,32.6,33.0,32.5,132.24K,0.49%
2023-06-05,32.51,32.54,33.1,32.0,389.78K,0.46%
2023-06-04,32.36,32.7,32.97,32.31,123.29K,-0.34%
2023-06-01,32.47,32.64,33.0,32.45,200.65K,-0.73%
2023-05-31,32.71,33.0,33.3,32.6,224.71K,-0.37%
2023-05-30,32.83,32.39,33.3,32.3,417.32K,1.39%
2023-05-29,32.38,32.66,32.85,32.21,103.40K,-0.40%
2023-05-28,32.51,32.18,33.38,31.86,285.80K,1.75%
2023-05-25,31.95,32.7,32.95,31.9,259.09K,-1.63%
2023-05-24,32.48,31.1,32.69,31.1,532.64K,4.54%
2023-05-23,31.07,31.12,31.29,30.5,149.39K,-0.19%
2023-05-22,31.13,31.25,31.47,31.06,63.31K,-0.26%
2023-05-21,31.21,31.44,31.44,31.05,54.95K,0.16%
2023-05-18,31.16,31.11,31.57,30.9,182.55K,0.32%
2023-05-17,31.06,31.63,31.94,31.02,164.76K,-1.58%
2023-05-16,31.56,32.11,32.11,31.35,161.36K,-1.59%
2023-05-15,32.07,32.65,33.0,32.01,181.54K,-1.32%
2023-05-14,32.5,32.0,32.6,32.0,144.00K,1.56%
2023-05-11,32.0,32.2,32.7,31.96,270.05K,-0.16%
2023-05-10,32.05,32.05,32.4,31.75,174.90K,-0.22%
2023-05-09,32.12,32.84,32.9,32.05,192.42K,-1.53%
2023-05-08,32.62,32.3,32.7,32.2,207.50K,1.43%
2023-05-07,32.16,32.54,32.54,31.9,51.79K,-0.68%
2023-05-03,32.38,32.43,32.69,32.25,106.74K,0.37%
2023-05-02,32.26,32.51,32.89,32.2,145.12K,-1.38%
2023-05-01,32.71,33.39,33.49,32.5,243.32K,-2.04%
2023-04-30,33.39,33.5,34.3,33.22,349.52K,-0.33%
2023-04-27,33.5,33.2,33.7,33.0,191.33K,1.27%
2023-04-26,33.08,33.46,33.46,32.63,179.89K,-0.48%
2023-04-19,33.24,33.3,33.5,33.11,222.16K,-0.12%
2023-04-18,33.28,32.8,33.75,32.7,193.67K,2.24%
2023-04-13,32.55,33.0,33.19,32.44,371.25K,-1.24%
2023-04-12,32.96,33.29,33.29,32.8,119.24K,-0.60%
2023-04-11,33.16,33.2,33.37,32.8,243.26K,-2.36%
2023-04-10,33.96,33.8,34.3,33.56,273.12K,0.86%
2023-04-09,33.67,33.61,33.95,33.4,101.82K,0.39%
2023-04-06,33.54,34.0,34.2,33.4,152.79K,-0.53%
2023-04-05,33.72,33.72,34.29,33.6,193.11K,0.30%
