Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.315,0.314,0.315,0.311,50.15K,1.29%
2023-12-10,0.311,0.311,0.311,0.311,2.37K,-1.27%
2023-12-07,0.315,0.311,0.311,0.31,0.87K,0.00%
2023-12-06,0.315,0.312,0.312,0.311,3.60K,0.00%
2023-12-05,0.315,0.315,0.315,0.31,99.47K,1.61%
2023-12-04,0.31,0.31,0.31,0.308,71.35K,0.00%
2023-12-03,0.31,0.31,0.31,0.31,29.18K,0.00%
2023-11-30,0.31,0.31,0.31,0.31,4.50K,0.00%
2023-11-29,0.31,0.31,0.31,0.307,30.00K,0.00%
2023-11-28,0.31,0.31,0.31,0.305,12.29K,0.00%
2023-11-27,0.31,0.31,0.31,0.308,612.41K,0.00%
2023-11-26,0.31,0.31,0.31,0.31,39.00K,0.00%
2023-11-23,0.31,0.31,0.31,0.306,39.57K,0.00%
2023-11-22,0.31,0.31,0.31,0.31,88.39K,0.00%
2023-11-21,0.31,0.31,0.31,0.31,341.49K,0.00%
2023-11-20,0.31,0.307,0.307,0.301,18.05K,0.00%
2023-11-19,0.31,0.305,0.305,0.305,0.02K,0.00%
2023-11-16,0.31,0.316,0.316,0.309,57.12K,-2.52%
2023-11-15,0.318,0.318,0.318,0.315,24.09K,0.00%
2023-11-14,0.318,0.32,0.32,0.32,19.72K,0.00%
2023-11-13,0.318,0.32,0.32,0.318,8.03K,0.00%
2023-11-12,0.318,0.32,0.32,0.32,12.80K,0.00%
2023-11-09,0.318,0.32,0.32,0.316,15.55K,0.00%
2023-11-08,0.318,0.317,0.32,0.315,18.80K,0.00%
2023-11-07,0.318,0.32,0.32,0.317,34.27K,-0.63%
2023-11-06,0.32,0.32,0.32,0.32,26.19K,0.00%
2023-11-05,0.32,0.32,0.33,0.32,83.10K,0.00%
2023-11-02,0.32,0.32,0.32,0.32,13.34K,0.00%
2023-11-01,0.32,0.324,0.324,0.32,29.32K,0.00%
2023-10-31,0.32,0.32,0.32,0.32,17.36K,0.00%
2023-10-30,0.32,0.324,0.329,0.32,139.49K,-3.61%
2023-10-29,0.332,0.325,0.325,0.324,19.61K,0.00%
2023-10-26,0.332,0.327,0.329,0.323,27.08K,0.00%
2023-10-25,0.332,0.328,0.33,0.328,11.07K,0.00%
2023-10-24,0.332,0.33,0.33,0.327,5.91K,0.00%
2023-10-23,0.332,0.33,0.334,0.329,46.95K,0.61%
2023-10-22,0.33,0.33,0.33,0.329,24.16K,0.00%
2023-10-19,0.33,0.335,0.336,0.325,93.14K,-0.30%
2023-10-18,0.331,0.33,0.359,0.33,167.04K,0.91%
2023-10-17,0.328,0.33,0.33,0.326,41.84K,0.92%
2023-10-16,0.325,0.33,0.33,0.33,15.22K,0.00%
2023-10-15,0.325,0.33,0.33,0.325,17.00K,0.00%
2023-10-12,0.325,0.33,0.33,0.33,1.01K,0.00%
2023-10-11,0.325,0.33,0.33,0.322,34.45K,-0.91%
2023-10-10,0.328,0.33,0.33,0.328,12.24K,0.00%
2023-10-09,0.328,0.328,0.33,0.328,8.53K,0.00%
2023-10-08,0.328,0.334,0.334,0.327,35.93K,-0.91%
2023-10-04,0.331,0.328,0.33,0.328,29.09K,0.00%
2023-10-03,0.331,0.332,0.332,0.328,73.00K,-1.49%
2023-10-02,0.336,0.33,0.334,0.33,9.80K,0.00%
2023-10-01,0.336,0.33,0.336,0.328,30.43K,1.82%
2023-09-27,0.33,0.335,0.335,0.33,82.50K,-0.30%
2023-09-26,0.331,0.336,0.336,0.33,54.21K,0.30%
2023-09-25,0.33,0.338,0.34,0.33,142.07K,-2.65%
2023-09-24,0.339,0.338,0.338,0.335,22.89K,0.00%
2023-09-21,0.339,0.34,0.34,0.334,53.13K,-0.29%
2023-09-20,0.34,0.339,0.339,0.334,18.90K,0.00%
2023-09-19,0.34,0.34,0.34,0.339,69.20K,0.59%
2023-09-18,0.338,0.345,0.345,0.334,46.66K,-0.59%
2023-09-17,0.34,0.34,0.34,0.338,24.89K,0.00%
2023-09-14,0.34,0.34,0.34,0.34,7.24K,0.00%
2023-09-13,0.34,0.34,0.34,0.34,79.14K,0.00%
2023-09-12,0.34,0.339,0.34,0.339,24.33K,0.00%
2023-09-11,0.34,0.34,0.34,0.34,0.53K,0.00%
2023-09-10,0.34,0.34,0.34,0.339,13.16K,0.00%
2023-09-07,0.34,0.352,0.352,0.34,92.71K,-2.02%
2023-09-06,0.347,0.36,0.36,0.352,6.91K,0.00%
2023-09-04,0.347,0.355,0.355,0.355,1.74K,0.00%
2023-09-03,0.347,0.36,0.36,0.36,3.00K,0.00%
2023-08-31,0.347,0.358,0.36,0.358,9.02K,0.00%
2023-08-30,0.347,0.345,0.346,0.345,15.04K,0.00%
2023-08-29,0.347,0.344,0.35,0.342,42.95K,0.29%
2023-08-28,0.346,0.36,0.363,0.344,150.01K,-3.89%
2023-08-27,0.36,0.361,0.361,0.36,16.86K,0.00%
2023-08-24,0.36,0.36,0.36,0.36,540.80K,0.00%
2023-08-23,0.36,0.36,0.36,0.36,4.70K,0.00%
2023-08-22,0.36,0.356,0.356,0.356,0.01K,0.00%
2023-08-21,0.36,0.356,0.359,0.356,6.65K,0.00%
2023-08-17,0.36,0.358,0.358,0.353,11.83K,0.00%
2023-08-16,0.36,0.36,0.36,0.359,12.86K,0.00%
2023-08-15,0.36,0.361,0.365,0.36,17.19K,0.00%
2023-08-14,0.36,0.368,0.37,0.367,5.63K,0.00%
2023-08-10,0.36,0.36,0.36,0.36,2.00K,0.00%
2023-08-09,0.36,0.36,0.37,0.36,584.65K,0.56%
2023-08-08,0.358,0.36,0.36,0.36,8.72K,0.00%
2023-08-07,0.358,0.37,0.37,0.37,0.39K,0.00%
2023-08-06,0.358,0.37,0.37,0.353,26.09K,0.00%
2023-08-03,0.358,0.358,0.37,0.358,251.21K,3.47%
2023-08-02,0.346,0.365,0.37,0.365,12.00K,0.00%
2023-08-01,0.346,0.35,0.36,0.35,26.94K,0.00%
2023-07-31,0.346,0.346,0.35,0.346,5.75K,0.00%
2023-07-30,0.346,0.352,0.352,0.346,202.46K,0.87%
2023-07-27,0.343,0.343,0.343,0.34,235.03K,0.00%
