Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,11.3,11.53,11.7,11.27,1.53M,-3.58%
2023-12-10,11.72,12.16,12.28,11.7,1.38M,-3.62%
2023-12-07,12.16,12.32,12.33,11.9,1.51M,-1.30%
2023-12-06,12.32,12.68,12.75,12.3,1.70M,-2.30%
2023-12-05,12.61,12.75,12.92,12.6,1.18M,-0.63%
2023-12-04,12.69,12.72,12.87,12.67,994.11K,0.71%
2023-12-03,12.6,12.76,12.92,12.58,1.03M,-0.08%
2023-11-30,12.61,12.79,12.93,12.5,1.63M,0.80%
2023-11-29,12.51,12.99,13.0,12.51,1.99M,-2.65%
2023-11-28,12.85,12.85,13.15,12.51,2.56M,0.16%
2023-11-27,12.83,13.06,13.17,12.75,2.60M,-1.84%
2023-11-26,13.07,13.3,13.3,13.03,2.15M,-1.13%
2023-11-23,13.22,13.3,13.4,13.19,1.66M,-0.08%
2023-11-22,13.23,13.34,13.46,13.23,1.68M,-0.60%
2023-11-21,13.31,13.19,13.37,13.05,2.32M,1.45%
2023-11-20,13.12,13.45,13.6,13.05,3.33M,-2.02%
2023-11-19,13.39,13.22,13.49,13.16,3.84M,1.98%
2023-11-16,13.13,13.09,13.27,13.02,2.09M,1.00%
2023-11-15,13.0,13.18,13.3,12.93,1.71M,-0.31%
2023-11-14,13.04,13.1,13.38,13.01,2.45M,0.15%
2023-11-13,13.02,13.39,13.5,13.0,1.95M,-2.47%
2023-11-12,13.35,13.7,13.71,13.3,2.94M,-2.41%
2023-11-09,13.68,13.52,13.77,13.28,5.90M,2.09%
2023-11-08,13.4,13.1,13.59,13.1,10.26M,3.24%
2023-11-07,12.98,12.55,12.98,12.35,3.63M,3.59%
2023-11-06,12.53,12.89,12.91,12.45,2.49M,-1.42%
2023-11-05,12.71,12.58,13.01,12.55,4.26M,2.33%
2023-11-02,12.42,12.39,12.57,12.3,3.13M,1.80%
2023-11-01,12.2,12.58,12.91,11.81,4.91M,-0.89%
2023-10-31,12.31,14.1,14.19,12.31,13.82M,-11.82%
2023-10-30,13.96,13.22,13.99,13.0,9.54M,5.84%
2023-10-29,13.19,13.8,13.85,13.14,7.97M,-4.07%
2023-10-26,13.75,14.43,14.55,13.66,10.16M,-3.85%
2023-10-25,14.3,14.69,14.99,14.18,11.49M,-0.69%
2023-10-24,14.4,14.75,15.34,13.86,17.11M,-1.03%
2023-10-23,14.55,14.28,14.76,14.12,13.26M,5.43%
2023-10-22,13.8,13.55,14.2,13.51,9.86M,2.22%
2023-10-19,13.5,13.25,14.19,13.25,23.63M,2.58%
2023-10-18,13.16,12.25,13.68,11.88,30.41M,8.76%
2023-10-17,12.1,11.71,12.2,11.16,23.86M,3.86%
2023-10-16,11.65,10.26,11.95,10.2,22.86M,14.10%
2023-10-15,10.21,9.9,10.3,9.89,11.57M,4.18%
2023-10-12,9.8,9.61,9.8,9.55,5.20M,2.51%
