Date,Price,Open,High,Low,Vol.,Change %
2023-12-03,12.54,10.04,10.04,10.04,1.00K,0.00%
2023-11-27,12.54,10.04,10.04,10.04,0.05K,0.00%
2023-11-26,12.54,10.04,10.04,10.04,2.20K,0.00%
2023-11-23,12.54,10.04,10.04,10.04,0.93K,0.00%
2023-11-22,12.54,10.04,10.04,10.04,11.13K,0.00%
2023-11-15,12.54,10.04,10.04,10.04,0.01K,0.00%
2023-10-30,12.54,10.04,10.04,10.04,0.45K,0.00%
2023-10-29,12.54,10.04,10.04,10.04,0.25K,0.00%
2023-10-22,12.54,10.07,10.07,10.07,0.10K,0.00%
2023-10-19,12.54,10.04,10.04,10.04,0.00K,0.00%
2023-10-10,12.54,10.04,10.04,10.04,1.09K,0.00%
2023-09-27,12.54,10.04,10.04,10.04,0.20K,0.00%
2023-09-26,12.54,10.04,10.04,10.04,0.01K,0.00%
2023-09-10,12.54,10.04,10.04,10.04,0.01K,0.00%
2023-08-17,12.54,10.04,10.04,10.04,0.40K,0.00%
2023-08-16,12.54,10.04,10.04,10.04,0.04K,0.00%
2023-07-26,12.54,10.04,10.04,10.04,0.29K,0.00%
2023-07-18,12.54,10.04,10.04,10.04,0.01K,0.00%
2023-07-13,12.54,10.04,10.04,10.04,0.01K,0.00%
2023-07-10,12.54,10.04,10.04,10.04,0.06K,0.00%
2023-07-05,12.54,10.04,10.04,10.04,0.01K,0.00%
2023-06-26,12.54,10.04,10.04,10.04,1.00K,0.00%
2023-06-25,12.54,10.04,10.04,10.04,1.55K,0.00%
2023-06-22,12.54,10.04,10.04,10.04,0.05K,0.00%
2023-06-15,12.54,10.04,10.04,10.04,0.00K,0.00%
2023-06-14,12.54,10.04,10.04,10.04,1.96K,0.00%
2023-06-11,12.54,10.04,10.04,10.04,0.03K,0.00%
2023-06-07,12.54,10.04,10.04,10.04,0.26K,0.00%
2023-06-01,12.54,10.04,10.04,10.04,0.01K,0.00%
2023-05-24,12.54,10.04,10.04,10.04,0.01K,0.00%
2023-05-23,12.54,10.04,10.04,10.04,0.00K,0.00%
2023-05-18,12.54,10.04,10.04,10.04,0.37K,0.00%
2023-05-16,12.54,10.04,10.04,10.04,0.10K,0.00%
2023-05-15,12.54,10.04,10.04,10.04,2.17K,0.00%
2023-05-07,12.54,10.28,10.28,10.27,0.03K,0.00%
2023-04-18,12.54,10.3,10.3,10.3,0.15K,0.00%
2023-04-06,12.54,10.3,10.3,10.3,0.02K,0.00%
2023-04-05,12.54,10.31,10.31,10.31,0.00K,0.00%
2023-03-19,12.54,10.31,10.31,10.31,0.40K,0.00%
2023-03-13,12.54,10.04,10.04,10.04,0.10K,0.00%
2023-03-12,12.54,11.6,11.6,11.6,0.01K,0.00%
2023-03-09,12.54,10.05,10.05,10.05,0.10K,0.00%
2023-03-08,12.54,10.45,10.45,10.04,3.08K,0.00%
2023-03-06,12.54,10.5,10.5,10.5,0.00K,0.00%
2023-03-05,12.54,11.3,11.95,10.39,1.45K,0.00%
2023-03-02,12.54,10.35,11.88,10.35,0.11K,0.00%
2023-03-01,12.54,10.5,11.85,10.1,0.55K,0.00%
2023-02-28,12.54,10.3,12.21,10.3,2.09K,0.00%
2023-02-27,12.54,10.3,11.4,10.3,0.09K,0.00%
2023-02-26,12.54,10.1,11.59,10.04,4.73K,0.00%
2023-02-23,12.54,11.5,11.7,11.5,2.00K,0.00%
2023-02-21,12.54,10.06,10.06,10.06,0.22K,0.00%
2023-02-19,12.54,11.1,11.99,10.45,2.57K,0.00%
2023-02-15,12.54,13.0,13.0,11.0,1.66K,0.00%
2023-02-14,12.54,13.25,14.6,11.0,17.83K,0.00%
2023-02-13,12.54,11.5,13.4,10.5,10.36K,0.00%
2023-02-12,12.54,12.54,13.49,11.5,0.31K,0.00%
2023-02-09,12.54,12.4,12.54,11.01,25.67K,20.00%
2023-02-08,10.45,11.0,12.54,10.45,6.27K,0.00%
2023-02-07,10.45,11.0,12.54,10.0,19.44K,0.00%
2023-02-06,10.45,9.8,14.7,9.8,28.52K,-14.69%
2023-02-05,12.25,10.0,10.35,10.0,0.01K,0.00%
2023-02-02,12.25,10.4,10.4,10.4,0.00K,0.00%
2023-02-01,12.25,10.39,10.4,10.35,0.15K,0.00%
2023-01-31,12.25,10.4,10.4,9.8,0.29K,0.00%
2023-01-30,12.25,9.8,10.45,9.8,0.89K,0.00%
2023-01-29,12.25,9.8,10.49,9.8,0.23K,0.00%
2023-01-25,12.25,9.8,10.87,9.8,0.29K,0.00%
2023-01-24,12.25,10.0,10.87,9.8,0.47K,0.00%
2023-01-23,12.25,10.0,10.99,9.8,0.55K,0.00%
2023-01-22,12.25,9.8,11.45,9.8,0.61K,0.00%
2023-01-19,12.25,9.8,9.95,9.8,0.15K,0.00%
2023-01-18,12.25,9.98,9.98,9.9,0.42K,0.00%
2023-01-09,12.25,10.0,11.49,10.0,0.99K,0.00%
2023-01-05,12.25,10.0,10.0,10.0,0.16K,0.00%
2022-12-28,12.25,10.0,10.0,10.0,0.08K,0.00%
2022-12-27,12.25,10.0,10.0,10.0,0.08K,0.00%
2022-12-22,12.25,10.94,10.94,10.94,0.17K,0.00%
2022-12-19,12.25,11.67,11.67,11.67,0.00K,0.00%
2022-12-14,12.25,10.0,11.97,10.0,1.00K,0.00%
2022-12-08,12.25,11.97,11.97,11.97,0.05K,0.00%
2022-12-05,12.25,10.0,10.0,10.0,0.01K,0.00%
2022-11-24,12.25,10.0,10.0,10.0,0.01K,0.00%
2022-11-22,12.25,10.0,10.0,10.0,1.00K,0.00%
2022-11-13,12.25,10.2,10.2,10.2,0.00K,0.00%
2022-10-30,12.25,10.0,10.0,10.0,0.15K,0.00%
2022-09-27,12.25,11.0,11.0,11.0,0.07K,0.00%
2022-09-26,12.25,10.51,11.0,10.5,0.02K,0.00%
2022-09-22,12.25,10.5,10.5,10.5,0.01K,0.00%
2022-07-26,12.25,10.5,10.5,10.5,0.17K,0.00%
