Date,Price,Open,High,Low,Vol.,Change %
2023-12-10,6.63,6.63,6.63,6.61,1.04K,0.45%
2023-12-06,6.6,6.67,6.67,6.67,0.02K,0.00%
2023-12-05,6.6,6.64,6.67,6.64,0.10K,0.00%
2023-12-04,6.6,6.63,6.65,6.63,0.34K,0.00%
2023-12-03,6.6,6.61,6.79,6.61,0.32K,0.00%
2023-11-29,6.6,6.61,6.61,6.61,0.07K,0.00%
2023-11-28,6.6,6.75,6.79,6.75,0.02K,0.00%
2023-11-27,6.6,6.8,6.8,6.7,1.32K,0.00%
2023-11-26,6.6,6.8,6.8,6.8,0.02K,0.00%
2023-11-22,6.6,6.63,6.79,6.63,0.84K,0.00%
2023-11-21,6.6,6.6,6.6,6.6,0.46K,0.00%
2023-11-20,6.6,6.63,6.63,6.6,3.70K,0.00%
2023-11-19,6.6,6.6,6.63,6.6,2.29K,0.00%
2023-11-16,6.6,6.6,6.6,6.6,2.91K,-0.30%
2023-11-15,6.62,6.55,6.55,6.55,0.50K,0.00%
2023-11-14,6.62,6.72,6.72,6.72,0.01K,0.00%
2023-11-13,6.62,6.62,6.62,6.62,0.03K,0.00%
2023-11-12,6.62,6.61,6.63,6.55,2.07K,1.85%
2023-11-09,6.5,6.55,6.61,6.51,0.88K,0.00%
2023-11-08,6.5,6.54,6.66,6.54,1.40K,0.00%
2023-11-07,6.5,6.6,6.6,6.56,0.24K,0.00%
2023-11-06,6.5,6.51,6.51,6.51,0.58K,0.00%
2023-11-02,6.5,6.52,6.52,6.51,0.12K,0.00%
2023-10-29,6.5,6.55,6.55,6.5,5.31K,-5.66%
2023-10-26,6.89,6.69,6.69,6.57,0.23K,0.00%
2023-10-25,6.89,6.51,6.55,6.51,0.20K,0.00%
2023-10-24,6.89,6.51,6.51,6.51,0.19K,0.00%
2023-10-23,6.89,6.69,6.69,6.69,0.11K,0.00%
2023-10-19,6.89,6.5,6.5,6.5,0.10K,0.00%
2023-10-15,6.89,6.49,6.49,6.47,0.55K,0.00%
2023-10-12,6.89,6.6,6.61,6.47,1.04K,0.00%
2023-10-11,6.89,6.42,6.47,6.41,0.43K,0.00%
2023-10-09,6.89,6.4,6.7,6.4,0.84K,0.00%
2023-10-08,6.89,6.6,6.6,6.4,0.22K,0.00%
2023-10-04,6.89,6.35,6.9,6.35,71.69K,10.95%
2023-10-03,6.21,6.12,6.26,6.1,4.12K,0.65%
2023-10-01,6.17,6.12,6.12,6.12,0.11K,0.00%
2023-09-26,6.17,6.17,6.17,6.14,0.81K,0.00%
2023-09-25,6.17,6.17,6.17,6.17,0.53K,0.00%
2023-09-24,6.17,6.2,6.2,6.2,0.23K,0.00%
2023-09-21,6.17,6.18,6.2,6.15,1.74K,0.65%
2023-09-20,6.13,6.16,6.16,6.16,0.13K,0.00%
2023-09-19,6.13,6.17,6.17,6.16,0.55K,0.00%
2023-09-17,6.13,6.19,6.19,6.19,0.30K,0.00%
2023-09-14,6.13,6.25,6.25,6.2,0.18K,0.00%
2023-09-13,6.13,6.23,6.25,6.23,0.34K,0.00%
2023-09-12,6.13,6.14,6.14,6.1,0.48K,0.00%
2023-09-11,6.13,6.14,6.24,6.14,0.50K,0.00%
2023-09-10,6.13,6.14,6.14,6.12,1.71K,-1.45%
2023-09-07,6.22,6.18,6.18,6.1,0.55K,0.00%
2023-09-06,6.22,6.07,6.15,6.07,0.04K,0.00%
2023-09-05,6.22,6.2,6.25,6.2,2.10K,2.81%
2023-09-04,6.05,6.16,6.16,6.15,0.23K,0.00%
2023-09-03,6.05,6.14,6.22,6.14,0.12K,0.00%
2023-08-31,6.05,6.22,6.22,6.22,0.00K,0.00%
2023-08-30,6.05,6.2,6.23,6.1,0.52K,0.00%
2023-08-29,6.05,6.2,6.2,6.0,2.09K,-3.04%
2023-08-28,6.24,6.15,6.15,6.15,0.07K,0.00%
2023-08-27,6.24,6.2,6.2,6.15,0.44K,0.00%
2023-08-24,6.24,6.15,6.23,6.15,0.71K,0.00%
2023-08-23,6.24,6.2,6.22,6.2,0.33K,0.00%
2023-08-22,6.24,6.1,6.2,6.1,0.57K,0.00%
2023-08-21,6.24,6.19,6.19,6.19,0.20K,0.00%
2023-08-20,6.24,6.2,6.25,6.09,0.77K,0.00%
2023-08-17,6.24,6.19,6.19,6.19,0.03K,0.00%
2023-08-16,6.24,6.09,6.09,6.05,0.31K,0.00%
2023-08-14,6.24,6.06,6.06,6.05,0.11K,0.00%
2023-08-13,6.24,6.06,6.06,6.06,0.20K,0.00%
2023-08-10,6.24,6.11,6.11,6.05,0.70K,0.00%
2023-08-09,6.24,6.14,6.14,6.1,0.50K,0.00%
2023-08-08,6.24,6.19,6.19,6.14,0.50K,0.00%
2023-08-07,6.24,6.24,6.24,6.24,0.33K,0.00%
2023-08-06,6.24,6.15,6.15,6.15,0.04K,0.00%
2023-08-03,6.24,6.2,6.25,6.2,1.14K,0.00%
2023-08-01,6.24,6.14,6.14,6.1,0.11K,0.00%
2023-07-31,6.24,6.15,6.15,6.15,0.17K,0.00%
2023-07-30,6.24,6.15,6.25,6.15,2.57K,0.16%
2023-07-27,6.23,6.16,6.16,6.16,0.47K,0.00%
2023-07-26,6.23,6.19,6.19,6.19,1.00K,0.00%
2023-07-25,6.23,6.25,6.25,6.22,3.60K,-0.32%
2023-07-24,6.25,6.2,6.2,6.19,0.60K,0.00%
2023-07-19,6.25,6.25,6.25,6.25,0.50K,0.00%
2023-07-18,6.25,6.24,6.25,6.24,2.14K,0.48%
2023-07-17,6.22,6.22,6.25,6.1,1.76K,0.32%
2023-07-16,6.2,6.2,6.25,6.2,0.30K,0.00%
2023-07-13,6.2,6.05,6.05,6.0,0.10K,0.00%
