Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,4.06,4.0,4.1,4.0,234.47K,0.25%
2023-12-10,4.05,4.11,4.15,4.05,162.99K,-1.46%
2023-12-07,4.11,4.26,4.26,4.01,1.21M,-2.61%
2023-12-06,4.22,4.04,4.33,4.04,1.16M,3.94%
2023-12-05,4.06,4.26,4.29,3.81,560.98K,-3.56%
2023-12-04,4.21,4.28,4.31,4.2,336.94K,-0.47%
2023-12-03,4.23,4.09,4.25,4.09,380.29K,3.17%
2023-11-30,4.1,4.11,4.2,4.0,609.82K,-0.24%
2023-11-29,4.11,4.27,4.27,4.1,839.46K,-2.38%
2023-11-28,4.21,4.5,4.5,4.14,2.11M,-4.97%
2023-11-27,4.43,4.44,4.52,4.43,558.06K,-0.23%
2023-11-26,4.44,4.5,4.55,4.42,704.91K,-1.11%
2023-11-23,4.49,4.59,4.59,4.48,802.11K,-0.22%
2023-11-22,4.5,4.5,4.54,4.41,1.05M,1.35%
2023-11-21,4.44,4.52,4.59,4.41,1.32M,-1.77%
2023-11-20,4.52,4.6,4.8,4.5,2.40M,-1.09%
2023-11-19,4.57,4.7,4.74,4.56,1.13M,-1.08%
2023-11-16,4.62,4.74,4.75,4.6,3.08M,0.43%
2023-11-15,4.6,4.41,4.63,4.33,3.35M,4.55%
2023-11-14,4.4,4.47,4.5,4.37,970.80K,0.00%
2023-11-13,4.4,4.36,4.55,4.36,1.94M,1.15%
2023-11-12,4.35,4.4,4.5,4.35,2.14M,1.16%
2023-11-09,4.3,4.27,4.54,4.24,3.75M,3.86%
2023-11-08,4.14,4.2,4.26,4.12,520.96K,-0.72%
2023-11-07,4.17,4.23,4.29,4.16,586.99K,0.00%
2023-11-06,4.17,4.1,4.31,4.07,1.71M,3.22%
2023-11-05,4.04,4.1,4.13,4.03,841.55K,0.75%
2023-11-02,4.01,4.1,4.19,3.99,1.80M,-0.99%
2023-11-01,4.05,4.04,4.14,4.0,674.00K,1.50%
2023-10-31,3.99,4.2,4.25,3.96,1.71M,-3.86%
2023-10-30,4.15,4.32,4.33,4.13,1.18M,-0.95%
2023-10-29,4.19,4.18,4.32,4.13,903.21K,0.72%
2023-10-26,4.16,4.25,4.44,4.11,949.56K,-1.19%
2023-10-25,4.21,4.26,4.48,4.2,1.98M,-0.24%
2023-10-24,4.22,4.42,4.63,4.12,4.36M,-2.76%
2023-10-23,4.34,4.0,4.44,3.96,3.14M,9.05%
2023-10-22,3.98,3.98,4.15,3.98,922.27K,0.25%
2023-10-19,3.97,4.01,4.17,3.91,1.73M,-0.75%
2023-10-18,4.0,4.1,4.14,3.98,1.33M,-1.72%
2023-10-17,4.07,4.18,4.27,4.04,446.68K,-2.63%
2023-10-16,4.18,4.15,4.28,4.15,553.29K,0.00%
2023-10-15,4.18,4.16,4.3,4.16,466.93K,-0.24%
2023-10-12,4.19,4.31,4.31,4.1,226.10K,-2.56%
2023-10-11,4.3,4.45,4.47,4.25,1.71M,-0.69%
2023-10-10,4.33,4.09,4.46,4.01,1.01M,7.18%
2023-10-09,4.04,3.97,4.15,3.92,182.24K,3.59%
2023-10-08,3.9,4.2,4.33,3.75,213.02K,-8.67%
2023-10-04,4.27,4.2,4.35,4.0,675.68K,3.39%
2023-10-03,4.13,4.3,4.36,4.1,740.71K,-3.28%
2023-10-02,4.27,4.4,4.44,4.16,1.05M,-2.06%
2023-10-01,4.36,4.25,4.64,4.25,1.13M,-3.75%
2023-09-27,4.53,4.5,4.59,4.35,1.58M,0.44%
2023-09-26,4.51,4.71,4.74,4.5,1.47M,-4.04%
2023-09-25,4.7,4.73,4.8,4.66,583.88K,-0.63%
2023-09-24,4.73,4.78,4.87,4.7,1.66M,-1.05%
2023-09-21,4.78,4.75,4.9,4.65,2.87M,4.60%
2023-09-20,4.57,4.86,4.87,4.54,1.22M,-4.99%
2023-09-19,4.81,4.74,4.94,4.72,3.69M,2.34%
2023-09-18,4.7,4.82,4.94,4.7,4.17M,-1.26%
2023-09-17,4.76,4.27,4.97,4.27,8.74M,11.74%
2023-09-14,4.26,4.42,4.45,4.25,1.34M,-2.96%
2023-09-13,4.39,4.37,4.53,4.27,3.48M,1.15%
2023-09-12,4.34,4.05,4.45,4.04,9.56M,8.50%
2023-09-11,4.0,4.02,4.08,3.8,1.54M,1.78%
2023-09-10,3.93,3.99,4.09,3.92,725.20K,1.29%
2023-09-07,3.88,3.69,4.06,3.69,2.59M,4.58%
2023-09-06,3.71,3.76,3.84,3.69,2.49M,-1.33%
2023-09-05,3.76,3.91,3.92,3.75,870.41K,-1.57%
2023-09-04,3.82,3.8,3.92,3.75,2.10M,1.06%
2023-09-03,3.78,4.0,4.1,3.74,3.04M,-3.08%
2023-08-31,3.9,4.09,4.1,3.9,1.98M,-2.26%
2023-08-30,3.99,4.11,4.11,3.94,2.83M,0.00%
2023-08-29,3.99,4.1,4.29,3.91,5.51M,-3.62%
2023-08-28,4.14,3.71,4.35,3.7,8.98M,11.59%
2023-08-27,3.71,3.45,3.97,3.45,4.10M,6.61%
2023-08-24,3.48,3.5,3.59,3.4,1.31M,-0.57%
2023-08-23,3.5,3.7,3.75,3.47,2.63M,-4.63%
2023-08-22,3.67,3.7,3.83,3.65,3.31M,0.00%
2023-08-21,3.67,3.67,3.93,3.56,13.65M,3.09%
2023-08-20,3.56,2.96,3.56,2.95,11.66M,19.87%
2023-08-17,2.97,3.0,3.02,2.96,630.34K,-1.00%
2023-08-16,3.0,2.95,3.06,2.93,1.98M,3.09%
2023-08-15,2.91,3.0,3.1,2.9,2.15M,-3.00%
2023-08-14,3.0,2.86,3.05,2.83,2.04M,6.38%
2023-08-13,2.82,2.85,2.85,2.79,452.43K,0.36%
2023-08-10,2.81,2.75,2.89,2.74,1.54M,2.18%
2023-08-09,2.75,2.74,2.77,2.74,157.64K,0.36%
2023-08-08,2.74,2.74,2.77,2.73,516.48K,-0.36%
2023-08-07,2.75,2.77,2.77,2.73,287.96K,0.36%
2023-08-06,2.74,2.71,2.76,2.7,291.83K,0.00%
2023-08-03,2.74,2.74,2.77,2.72,469.30K,0.37%
2023-08-02,2.73,2.69,2.84,2.68,2.12M,1.11%
2023-08-01,2.7,2.67,2.75,2.64,442.75K,1.89%
2023-07-31,2.65,2.6,2.66,2.6,476.72K,0.00%
2023-07-30,2.65,2.66,2.67,2.6,202.67K,0.38%
2023-07-27,2.64,2.63,2.66,2.6,351.55K,0.38%
2023-07-26,2.63,2.63,2.63,2.56,322.52K,2.73%
2023-07-25,2.56,2.59,2.6,2.55,392.30K,-1.16%
2023-07-24,2.59,2.6,2.64,2.58,334.19K,-0.77%
2023-07-19,2.61,2.64,2.69,2.61,967.69K,0.00%
2023-07-18,2.61,2.6,2.65,2.6,293.79K,0.00%
2023-07-17,2.61,2.67,2.69,2.6,469.19K,-1.14%
2023-07-16,2.64,2.78,2.78,2.62,929.51K,-2.22%
2023-07-13,2.7,2.68,2.78,2.66,1.97M,2.66%
2023-07-12,2.63,2.72,2.72,2.62,1.86M,-1.13%
2023-07-11,2.66,2.49,2.9,2.47,6.33M,8.57%
2023-07-10,2.45,2.48,2.48,2.44,267.49K,-1.61%
2023-07-09,2.49,2.5,2.5,2.47,606.33K,-0.40%
2023-07-06,2.5,2.46,2.51,2.44,386.90K,1.63%
2023-07-05,2.46,2.42,2.5,2.4,401.82K,1.23%
2023-07-04,2.43,2.44,2.45,2.4,391.82K,1.25%
2023-06-26,2.4,2.39,2.4,2.38,175.73K,0.00%
2023-06-25,2.4,2.45,2.45,2.37,290.78K,0.00%
2023-06-22,2.4,2.39,2.43,2.39,459.45K,0.00%
2023-06-21,2.4,2.46,2.47,2.4,872.85K,-2.44%
2023-06-20,2.46,2.47,2.48,2.45,500.84K,0.41%
2023-06-19,2.45,2.49,2.5,2.42,1.52M,-1.21%
2023-06-18,2.48,2.44,2.49,2.44,291.22K,1.22%
2023-06-15,2.45,2.5,2.5,2.44,1.31M,-1.61%
2023-06-14,2.49,2.53,2.55,2.45,3.33M,-1.97%
2023-06-13,2.54,2.59,2.59,2.53,1.30M,-0.78%
2023-06-12,2.56,2.55,2.61,2.55,573.17K,0.39%
2023-06-11,2.55,2.55,2.59,2.53,2.83M,0.39%
2023-06-08,2.54,2.53,2.6,2.53,1.09M,0.40%
2023-06-07,2.53,2.6,2.62,2.53,1.87M,-1.56%
2023-06-06,2.57,2.6,2.64,2.56,1.44M,-0.39%
2023-06-05,2.58,2.53,2.65,2.53,3.35M,1.98%
2023-06-04,2.53,2.55,2.57,2.5,1.69M,0.00%
2023-06-01,2.53,2.5,2.53,2.49,1.39M,1.20%
2023-05-31,2.5,2.54,2.58,2.48,2.28M,-1.96%
2023-05-30,2.55,2.55,2.6,2.52,3.04M,1.19%
2023-05-29,2.52,2.54,2.55,2.44,5.80M,0.40%
2023-05-28,2.51,2.55,2.55,2.48,1.89M,0.00%
2023-05-25,2.51,2.56,2.57,2.47,4.61M,0.00%
2023-05-24,2.51,2.45,2.6,2.43,4.85M,3.72%
2023-05-23,2.42,2.47,2.47,2.4,484.42K,-0.41%
2023-05-22,2.43,2.47,2.47,2.43,283.72K,-0.41%
2023-05-21,2.44,2.47,2.47,2.4,344.04K,1.24%
2023-05-18,2.41,2.39,2.47,2.39,809.25K,0.42%
2023-05-17,2.4,2.42,2.45,2.38,874.06K,-0.41%
2023-05-16,2.41,2.45,2.45,2.4,552.80K,-0.41%
2023-05-15,2.42,2.5,2.5,2.42,543.82K,-1.63%
2023-05-14,2.46,2.5,2.5,2.43,881.87K,0.82%
2023-05-11,2.44,2.47,2.52,2.42,909.63K,-0.41%
2023-05-10,2.45,2.52,2.52,2.4,381.71K,-1.61%
2023-05-09,2.49,2.6,2.64,2.45,1.26M,-3.49%
2023-05-08,2.58,2.45,2.62,2.45,1.76M,4.88%
2023-05-07,2.46,2.52,2.55,2.4,1.24M,-1.20%
2023-05-03,2.49,2.59,2.6,2.47,1.21M,-2.35%
2023-05-02,2.55,2.51,2.62,2.49,1.30M,3.24%
2023-05-01,2.47,2.6,2.67,2.46,1.36M,-3.89%
2023-04-30,2.57,2.7,2.7,2.55,1.68M,-3.02%
2023-04-27,2.65,2.72,2.75,2.63,4.45M,-1.49%
2023-04-26,2.69,2.49,2.75,2.47,13.26M,9.35%
2023-04-19,2.46,2.37,2.49,2.37,1.32M,5.13%
2023-04-18,2.34,2.39,2.45,2.32,860.33K,-1.27%
2023-04-13,2.37,2.45,2.47,2.35,1.20M,-1.25%
2023-04-12,2.4,2.45,2.53,2.4,2.78M,-0.41%
2023-04-11,2.41,2.37,2.45,2.37,1.55M,1.26%
2023-04-10,2.38,2.52,2.52,2.37,4.30M,-3.64%
2023-04-09,2.47,2.47,2.58,2.37,4.14M,0.37%
2023-04-06,2.461,2.336,2.598,2.3,10.88M,7.42%
2023-04-05,2.291,2.17,2.34,2.122,6.68M,6.56%
2023-04-04,2.15,2.07,2.17,2.051,3.28M,5.08%
2023-04-03,2.046,1.99,2.064,1.99,1.48M,2.97%
2023-04-02,1.987,1.921,2.02,1.921,459.04K,1.74%
2023-03-30,1.953,1.95,2.0,1.9,780.25K,0.46%
2023-03-29,1.944,1.914,1.95,1.911,758.79K,1.04%
2023-03-28,1.924,1.951,1.96,1.915,1.40M,-1.33%
2023-03-27,1.95,1.964,1.98,1.933,717.01K,-0.20%
2023-03-26,1.954,1.954,1.969,1.943,787.18K,1.40%
2023-03-23,1.927,1.908,1.95,1.901,300.55K,1.00%
2023-03-22,1.908,1.947,1.97,1.891,1.21M,0.37%
2023-03-21,1.901,1.87,1.97,1.84,1.40M,5.03%
2023-03-20,1.81,1.85,1.87,1.793,1.01M,0.39%
2023-03-19,1.803,1.89,1.89,1.7,357.52K,2.44%
2023-03-16,1.76,1.66,1.85,1.55,1.33M,-1.68%
2023-03-15,1.79,1.9,1.98,1.71,7.81M,-6.77%
2023-03-14,1.92,1.9,1.96,1.87,1.53M,0.52%
2023-03-13,1.91,2.01,2.03,1.85,8.32M,-4.50%
2023-03-12,2.0,2.1,2.11,1.98,16.53M,-3.15%
2023-03-09,2.065,1.955,2.1,1.955,9.27M,5.79%
2023-03-08,1.952,1.868,1.97,1.85,1.57M,2.90%
2023-03-07,1.897,1.94,1.955,1.88,386.98K,-1.61%
2023-03-06,1.928,1.968,1.968,1.91,604.88K,-0.36%
2023-03-05,1.935,1.91,1.95,1.85,515.34K,0.68%
2023-03-02,1.922,1.97,1.97,1.92,248.58K,-1.03%
2023-03-01,1.942,1.96,1.968,1.937,766.98K,0.00%
2023-02-28,1.942,1.926,1.96,1.916,491.15K,0.83%
2023-02-27,1.926,1.96,1.96,1.911,311.45K,-0.77%
2023-02-26,1.941,1.92,1.96,1.92,317.72K,0.41%
2023-02-23,1.933,1.91,1.95,1.91,568.43K,0.78%
2023-02-22,1.918,1.912,1.95,1.912,619.56K,-1.44%
2023-02-21,1.946,1.903,1.95,1.9,832.47K,2.37%
2023-02-20,1.901,1.92,1.959,1.891,1.60M,-1.45%
2023-02-19,1.929,1.978,1.978,1.923,657.11K,-1.98%
2023-02-16,1.968,2.0,2.03,1.956,1.92M,-0.66%
2023-02-15,1.981,1.999,2.03,1.968,1.68M,0.00%
2023-02-14,1.981,1.92,1.989,1.915,1.78M,3.93%
2023-02-13,1.906,1.94,1.957,1.901,612.97K,-1.14%
2023-02-12,1.928,1.97,1.984,1.924,567.50K,-2.43%
2023-02-09,1.976,1.901,1.985,1.901,1.88M,3.56%
2023-02-08,1.908,1.961,1.969,1.902,1.13M,-1.85%
2023-02-07,1.944,1.94,1.98,1.927,1.86M,1.89%
2023-02-06,1.908,1.948,1.98,1.903,1.11M,0.42%
2023-02-05,1.9,1.92,1.95,1.827,2.86M,-2.06%
2023-02-02,1.94,2.07,2.07,1.93,1.46M,-3.48%
2023-02-01,2.01,2.02,2.05,1.98,2.45M,0.00%
2023-01-31,2.01,2.1,2.12,1.94,2.84M,-2.90%
2023-01-30,2.07,2.1,2.19,2.03,1.91M,-2.36%
2023-01-29,2.12,2.2,2.22,2.11,2.95M,-1.85%
2023-01-25,2.16,2.13,2.23,2.13,4.47M,2.86%
2023-01-24,2.1,2.11,2.16,2.06,1.85M,-0.47%
2023-01-23,2.11,2.16,2.22,2.1,2.99M,-2.76%
2023-01-22,2.17,2.27,2.28,2.15,6.76M,-2.25%
2023-01-19,2.22,2.25,2.32,2.21,9.15M,-0.45%
2023-01-18,2.23,2.24,2.33,2.21,6.84M,0.90%
2023-01-17,2.21,2.23,2.29,2.19,10.41M,0.45%
2023-01-16,2.2,2.08,2.28,2.08,9.82M,6.28%
