"Date","Price","Open","High","Low","Vol.","Change %"
"12/11/2023","7,440.04","7,547.07","7,547.07","7,436.40","928.60M","-1.42%"
"12/10/2023","7,547.07","7,681.96","7,783.17","7,547.07","819.59M","-1.76%"
"12/07/2023","7,681.96","7,753.97","7,756.46","7,499.23","801.16M","-0.93%"
"12/06/2023","7,753.97","7,866.20","7,952.97","7,750.59","888.83M","-1.43%"
"12/05/2023","7,866.20","7,840.25","7,918.46","7,840.25","1.13B","0.33%"
"12/04/2023","7,840.25","7,686.25","7,840.25","7,686.25","1.07B","2.00%"
"12/03/2023","7,686.25","7,645.91","7,722.00","7,645.91","961.67M","0.53%"
"11/30/2023","7,645.91","7,533.13","7,648.38","7,533.13","1.17B","1.50%"
"11/29/2023","7,533.13","7,544.12","7,621.16","7,509.22","1.30B","-0.15%"
"11/28/2023","7,544.12","7,540.25","7,601.73","7,506.40","1.31B","0.05%"
"11/27/2023","7,540.25","7,466.08","7,556.30","7,466.08","1.39B","0.99%"
"11/26/2023","7,466.08","7,444.05","7,522.33","7,444.05","1.49B","0.30%"
"11/23/2023","7,444.05","7,378.34","7,471.46","7,378.34","1.15B","0.89%"
"11/22/2023","7,378.34","7,244.41","7,382.07","7,244.41","1.28B","1.85%"
"11/21/2023","7,244.41","7,155.99","7,246.63","7,144.55","1.34B","1.24%"
"11/20/2023","7,155.99","7,236.43","7,286.47","7,152.74","786.78M","-1.11%"
"11/19/2023","7,236.43","7,159.64","7,273.43","7,159.64","798.16M","1.07%"
"11/16/2023","7,159.64","7,081.51","7,179.87","7,081.51","840.92M","1.10%"
"11/15/2023","7,081.51","7,027.64","7,114.63","7,027.64","1.02B","0.77%"
"11/14/2023","7,027.64","7,020.85","7,098.85","7,013.64","1.01B","0.10%"
"11/13/2023","7,020.85","6,960.46","7,041.69","6,944.98","1.03B","0.87%"
"11/12/2023","6,960.46","6,908.99","7,010.66","6,908.99","1.04B","0.74%"
"11/09/2023","6,908.99","6,901.29","6,991.30","6,860.96","981.89M","0.11%"
"11/08/2023","6,901.29","6,850.49","6,951.02","6,850.49","851.31M","0.74%"
"11/07/2023","6,850.49","6,755.04","6,858.23","6,755.04","1.02B","1.41%"
"11/06/2023","6,755.04","6,726.34","6,784.58","6,726.34","968.66M","0.43%"
"11/05/2023","6,726.34","6,581.32","6,726.34","6,581.32","1.01B","2.20%"
"11/02/2023","6,581.32","6,444.99","6,585.54","6,444.99","729.04M","2.12%"
"11/01/2023","6,444.99","6,476.59","6,546.35","6,362.34","637.07M","-0.49%"
"10/31/2023","6,476.59","6,663.55","6,691.78","6,476.59","813.32M","-2.81%"
"10/30/2023","6,663.55","6,638.01","6,704.78","6,638.01","1.05B","0.38%"
"10/29/2023","6,638.01","6,578.50","6,670.63","6,578.50","1.05B","0.90%"
"10/26/2023","6,578.50","6,555.21","6,641.33","6,510.69","922.04M","0.36%"
"10/25/2023","6,555.21","6,324.69","6,561.04","6,324.69","971.54M","3.64%"
"10/24/2023","6,324.69","6,296.02","6,400.00","6,204.54","687.83M","0.46%"
"10/23/2023","6,296.02","6,154.78","6,313.90","6,154.78","708.91M","2.29%"
"10/22/2023","6,154.78","5,945.97","6,155.73","5,945.97","516.43M","3.51%"
"10/19/2023","5,945.97","5,946.33","6,021.96","5,941.78","619.76M","-0.01%"
"10/18/2023","5,946.33","5,949.99","5,988.47","5,922.45","595.24M","-0.06%"
