Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.312,0.313,0.318,0.308,44.12M,-0.32%
2023-12-10,0.313,0.321,0.332,0.312,75.17M,-1.26%
2023-12-07,0.317,0.32,0.321,0.303,69.20M,-1.25%
2023-12-06,0.321,0.338,0.339,0.321,70.65M,-3.60%
2023-12-05,0.333,0.329,0.337,0.327,84.34M,2.46%
2023-12-04,0.325,0.328,0.33,0.323,60.51M,-0.31%
2023-12-03,0.326,0.337,0.344,0.325,129.47M,-1.81%
2023-11-30,0.332,0.316,0.334,0.311,216.24M,6.75%
2023-11-29,0.311,0.297,0.324,0.294,287.95M,6.14%
2023-11-28,0.293,0.293,0.304,0.29,139.95M,0.69%
2023-11-27,0.291,0.284,0.299,0.28,133.96M,3.19%
2023-11-26,0.282,0.286,0.288,0.282,44.07M,-0.35%
2023-11-23,0.283,0.288,0.29,0.282,70.89M,-1.39%
2023-11-22,0.287,0.295,0.297,0.281,123.29M,-1.37%
2023-11-21,0.291,0.272,0.291,0.269,85.72M,7.38%
2023-11-20,0.271,0.282,0.282,0.27,52.12M,-3.56%
2023-11-19,0.281,0.284,0.285,0.279,53.03M,0.36%
2023-11-16,0.28,0.281,0.284,0.278,56.68M,0.72%
2023-11-15,0.278,0.285,0.286,0.276,50.56M,-0.71%
2023-11-14,0.28,0.293,0.295,0.279,67.93M,-3.45%
2023-11-13,0.29,0.298,0.308,0.289,166.62M,-1.02%
2023-11-12,0.293,0.263,0.294,0.263,121.77M,11.83%
2023-11-09,0.262,0.267,0.271,0.261,21.24M,-1.87%
2023-11-08,0.267,0.274,0.275,0.265,36.84M,-1.11%
2023-11-07,0.27,0.274,0.277,0.27,45.69M,-0.37%
2023-11-06,0.271,0.263,0.275,0.263,51.84M,3.83%
2023-11-05,0.261,0.26,0.264,0.258,13.62M,1.16%
2023-11-02,0.258,0.253,0.259,0.252,10.42M,2.38%
2023-11-01,0.252,0.258,0.26,0.25,12.97M,-1.56%
2023-10-31,0.256,0.263,0.267,0.255,18.99M,-3.03%
2023-10-30,0.264,0.265,0.27,0.26,22.24M,0.76%
2023-10-29,0.262,0.26,0.27,0.259,26.91M,1.95%
2023-10-26,0.257,0.249,0.264,0.249,35.35M,3.21%
2023-10-25,0.249,0.242,0.25,0.241,22.57M,3.75%
2023-10-24,0.24,0.247,0.247,0.239,18.34M,-2.04%
2023-10-23,0.245,0.245,0.248,0.244,12.86M,0.41%
2023-10-22,0.244,0.239,0.245,0.239,8.67M,2.09%
2023-10-19,0.239,0.239,0.242,0.239,12.21M,-0.42%
2023-10-18,0.24,0.24,0.242,0.238,12.65M,0.84%
2023-10-17,0.238,0.238,0.241,0.236,11.23M,0.42%
2023-10-16,0.237,0.237,0.241,0.237,7.24M,0.00%
2023-10-15,0.237,0.242,0.242,0.235,8.94M,0.85%
2023-10-12,0.235,0.24,0.244,0.233,14.41M,-1.67%
2023-10-11,0.239,0.238,0.243,0.237,10.99M,0.84%
2023-10-10,0.237,0.236,0.239,0.235,7.15M,0.85%
2023-10-09,0.235,0.236,0.239,0.232,8.48M,0.00%
2023-10-08,0.235,0.245,0.246,0.227,16.21M,-4.47%
2023-10-04,0.246,0.248,0.248,0.243,12.08M,-0.40%
2023-10-03,0.247,0.247,0.25,0.246,5.58M,0.00%
2023-10-02,0.247,0.25,0.252,0.244,8.32M,-1.20%
2023-10-01,0.25,0.253,0.254,0.249,10.11M,-0.79%
2023-09-27,0.252,0.259,0.259,0.25,12.99M,-2.33%
2023-09-26,0.258,0.258,0.26,0.256,8.89M,0.00%
2023-09-25,0.258,0.259,0.262,0.257,10.64M,-0.77%
2023-09-24,0.26,0.264,0.265,0.259,20.78M,-1.14%
2023-09-21,0.263,0.264,0.266,0.26,15.09M,0.00%
2023-09-20,0.263,0.273,0.275,0.26,32.33M,-3.66%
2023-09-19,0.273,0.278,0.278,0.273,13.66M,-1.09%
2023-09-18,0.276,0.278,0.281,0.275,32.89M,0.36%
2023-09-17,0.275,0.272,0.277,0.27,37.41M,2.23%
2023-09-14,0.269,0.268,0.271,0.268,10.61M,0.37%
