Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,3.4,3.4,3.4,3.4,0.03K,-33.07%
2023-12-04,5.08,5.08,5.08,5.08,0.10K,-0.39%
2023-11-27,5.1,5.1,5.1,5.1,0.06K,0.00%
2023-11-22,5.1,5.1,5.1,5.1,0.15K,18.60%
2023-11-13,4.3,4.02,4.3,4.02,0.46K,-54.69%
2023-11-08,9.49,9.49,9.49,9.49,0.15K,0.00%
2023-11-06,9.49,3.5,9.5,3.5,0.63K,-0.11%
2023-11-01,9.5,9.5,9.5,9.5,0.16K,-32.14%
2023-10-30,14.0,14.0,14.0,10.0,0.11K,0.00%
2023-10-25,14.0,14.0,14.0,14.0,0.16K,320.42%
2023-10-23,3.33,13.0,14.0,3.2,0.17K,-74.38%
2023-10-18,13.0,12.0,14.0,12.0,0.23K,0.00%
2023-10-16,13.0,6.32,13.0,6.32,0.09K,-3.70%
2023-10-11,13.5,5.1,13.5,5.1,0.01K,0.00%
2023-10-04,13.5,5.0,13.5,5.0,0.08K,-3.57%
2023-10-02,14.0,3.2,14.0,3.2,0.04K,0.00%
2023-09-27,14.0,14.0,14.0,3.2,0.44K,250.00%
2023-09-25,4.0,14.0,14.0,4.0,0.01K,-87.50%
2023-09-20,32.0,32.0,32.0,32.0,0.00K,"1,126.05%"
2023-09-18,2.61,2.66,2.66,2.61,0.38K,-58.70%
2023-09-13,6.32,2.6,6.32,2.6,0.00K,-9.06%
2023-09-11,6.95,6.95,6.95,6.95,0.02K,9.97%
2023-08-07,6.32,6.32,6.32,6.32,0.29K,0.00%
2023-08-02,6.32,6.32,6.32,6.32,0.01K,0.00%
2023-07-31,6.32,8.0,14.0,6.32,0.69K,0.00%
2023-07-26,6.32,0.5,6.32,0.5,0.13K,"1,705.71%"
2023-07-24,0.35,6.32,6.32,0.35,0.54K,-82.67%
2023-07-17,2.02,6.32,6.32,2.02,0.56K,-68.04%
2023-07-12,6.32,6.32,6.32,6.32,0.04K,"2,330.77%"
2023-07-10,0.26,14.0,32.0,0.26,0.11K,-95.89%
2023-06-12,6.32,6.32,6.32,6.32,,0.00%
2023-04-05,6.32,6.32,6.32,6.32,0.62K,0.00%
2023-02-27,6.32,0.05,0.05,0.05,0.07K,0.00%
2022-08-31,6.32,1.32,1.32,1.32,0.09K,0.00%
2022-07-04,6.32,6.32,6.32,6.32,1.28K,0.00%
2022-06-29,6.32,6.32,6.32,6.32,15.61K,183.41%
2022-05-23,2.23,2.23,2.23,2.23,120.16K,-83.79%
2020-07-27,13.76,12.39,12.39,12.39,2.40K,0.00%
2020-07-22,13.76,12.39,12.39,12.39,1.17K,0.00%
2020-07-21,13.76,13.76,13.76,13.76,3.34K,-9.95%
2020-07-15,15.28,13.76,13.76,13.76,0.01K,0.00%
2020-06-15,15.28,13.76,13.76,13.76,0.66K,0.00%
2020-05-14,15.28,13.76,13.76,13.76,0.01K,0.00%
2020-05-03,15.28,13.76,13.76,13.76,0.05K,0.00%
2020-04-06,15.28,13.76,13.76,13.76,0.20K,0.00%
2020-03-30,15.28,13.76,13.76,13.76,0.18K,0.00%
2020-03-23,15.28,13.76,13.76,13.76,0.01K,0.00%
2019-12-25,15.28,13.76,13.76,13.76,0.63K,0.00%
2019-11-21,15.28,13.76,13.76,13.76,0.10K,0.00%
2019-11-19,15.28,13.76,13.76,13.76,0.00K,0.00%
2019-11-12,15.28,15.4,15.61,15.0,640.41K,-1.99%
2019-11-11,15.59,15.68,16.18,15.16,894.31K,5.12%
2019-11-07,14.83,14.11,15.41,14.11,1.21M,5.48%
