Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.54,0.541,0.544,0.532,8.74M,-0.18%
2023-12-10,0.541,0.557,0.559,0.541,9.51M,-2.52%
2023-12-07,0.555,0.547,0.557,0.54,17.61M,1.46%
2023-12-06,0.547,0.557,0.557,0.546,10.94M,-1.26%
2023-12-05,0.554,0.56,0.563,0.552,9.98M,-0.18%
2023-12-04,0.555,0.553,0.563,0.55,18.89M,1.09%
2023-12-03,0.549,0.553,0.553,0.548,7.13M,0.18%
2023-11-30,0.548,0.55,0.558,0.544,10.23M,0.00%
2023-11-29,0.548,0.548,0.552,0.544,10.78M,0.55%
2023-11-28,0.545,0.549,0.55,0.542,10.02M,-0.18%
2023-11-27,0.546,0.556,0.557,0.545,10.54M,-1.27%
2023-11-26,0.553,0.563,0.564,0.551,12.58M,-1.25%
2023-11-23,0.56,0.565,0.57,0.559,13.54M,-0.18%
2023-11-22,0.561,0.554,0.568,0.552,19.52M,2.00%
2023-11-21,0.55,0.549,0.555,0.541,11.64M,-0.36%
2023-11-20,0.552,0.572,0.577,0.546,18.09M,-3.50%
2023-11-19,0.572,0.578,0.58,0.568,21.06M,-0.52%
2023-11-16,0.575,0.58,0.585,0.569,26.74M,-0.69%
2023-11-15,0.579,0.587,0.59,0.569,29.06M,-0.17%
2023-11-14,0.58,0.575,0.59,0.57,29.54M,0.69%
2023-11-13,0.576,0.569,0.584,0.558,39.00M,1.41%
2023-11-12,0.568,0.565,0.575,0.558,34.41M,1.07%
2023-11-09,0.562,0.55,0.577,0.544,53.17M,2.37%
2023-11-08,0.549,0.555,0.555,0.541,24.55M,-0.18%
2023-11-07,0.55,0.549,0.555,0.54,35.20M,0.18%
2023-11-06,0.549,0.555,0.558,0.541,30.48M,-0.36%
2023-11-05,0.551,0.555,0.555,0.541,36.33M,1.29%
2023-11-02,0.544,0.541,0.553,0.537,26.98M,1.49%
2023-11-01,0.536,0.552,0.554,0.533,24.92M,-2.19%
2023-10-31,0.548,0.544,0.563,0.537,48.90M,2.05%
2023-10-30,0.537,0.525,0.539,0.515,35.41M,2.68%
2023-10-29,0.523,0.53,0.53,0.515,19.56M,-1.13%
2023-10-26,0.529,0.541,0.55,0.527,18.93M,-1.67%
2023-10-25,0.538,0.57,0.576,0.53,35.10M,-5.28%
2023-10-24,0.568,0.6,0.606,0.566,33.11M,-5.02%
2023-10-23,0.598,0.6,0.61,0.593,25.62M,0.67%
2023-10-22,0.594,0.606,0.606,0.591,15.40M,-1.98%
2023-10-19,0.606,0.615,0.625,0.605,15.54M,-1.46%
2023-10-18,0.615,0.625,0.634,0.61,39.61M,-2.07%
2023-10-17,0.628,0.629,0.64,0.618,23.43M,-0.48%
2023-10-16,0.631,0.64,0.667,0.626,31.47M,-1.41%
2023-10-15,0.64,0.622,0.67,0.62,22.67M,2.89%
