Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,41.73,42.5,42.5,40.85,328.40K,-1.83%
2023-12-10,42.51,43.0,43.0,42.2,378.01K,-0.70%
2023-12-07,42.81,41.81,43.0,41.31,360.62K,2.44%
2023-12-06,41.79,43.8,43.88,41.61,277.79K,-3.24%
2023-12-05,43.19,44.36,44.77,43.02,568.17K,-1.57%
2023-12-04,43.88,44.0,44.9,43.68,243.28K,0.00%
2023-12-03,43.88,44.61,44.98,42.7,624.15K,-1.61%
2023-11-30,44.6,44.75,45.49,44.5,606.63K,0.22%
2023-11-29,44.5,46.0,46.35,43.91,13.22M,-3.26%
2023-11-28,46.0,47.15,47.15,45.21,405.09K,-1.48%
2023-11-27,46.69,47.43,47.45,46.62,330.12K,-1.60%
2023-11-26,47.45,47.0,47.5,46.61,107.93K,1.13%
2023-11-23,46.92,47.79,47.79,46.83,148.98K,-0.21%
2023-11-22,47.02,47.25,48.15,46.7,253.37K,-0.13%
2023-11-21,47.08,46.6,47.48,46.56,58.69K,1.12%
2023-11-20,46.56,48.45,50.5,45.05,456.10K,-3.22%
2023-11-19,48.11,47.8,48.5,47.5,331.33K,1.28%
2023-11-16,47.5,46.79,47.5,46.64,600.72K,1.52%
2023-11-15,46.79,47.0,47.5,46.6,68.00K,-0.38%
2023-11-14,46.97,47.5,47.98,46.8,483.47K,0.43%
2023-11-13,46.77,47.5,48.4,46.75,82.62K,-2.36%
2023-11-12,47.9,48.0,48.4,47.5,99.71K,0.38%
2023-11-09,47.72,47.19,48.6,47.19,1.24M,1.14%
2023-11-08,47.18,47.99,48.0,46.95,329.06K,-0.67%
2023-11-07,47.5,48.6,48.6,47.5,135.02K,-2.02%
2023-11-06,48.48,48.67,48.8,47.8,1.05M,0.41%
2023-11-05,48.28,47.95,48.55,47.7,85.95K,1.34%
2023-11-02,47.64,47.88,48.5,47.2,35.63K,0.97%
2023-11-01,47.18,47.8,48.96,47.1,1.37M,-1.48%
2023-10-31,47.89,51.7,52.0,46.81,2.95M,-6.10%
2023-10-30,51.0,52.0,52.49,50.0,353.36K,-2.99%
2023-10-29,52.57,52.5,53.96,51.57,267.88K,0.13%
2023-10-26,52.5,54.0,54.45,51.5,258.64K,-2.09%
2023-10-25,53.62,48.7,56.0,48.05,537.59K,10.56%
2023-10-24,48.5,49.45,49.5,47.8,259.39K,-0.43%
2023-10-23,48.71,49.49,49.89,48.04,150.12K,-0.51%
2023-10-22,48.96,47.35,50.2,46.7,708.94K,3.60%
2023-10-19,47.26,48.21,48.88,47.0,717.34K,-1.73%
2023-10-18,48.09,53.0,53.0,48.0,1.84M,-7.73%
2023-10-17,52.12,49.89,53.9,49.0,1.14M,6.35%
2023-10-16,49.01,46.43,51.48,45.5,1.51M,5.62%
2023-10-15,46.4,43.9,46.46,43.9,1.51M,5.74%
2023-10-12,43.88,41.8,44.0,41.51,808.85K,4.80%
2023-10-11,41.87,40.4,42.2,40.4,742.30K,3.38%
2023-10-10,40.5,40.62,40.88,40.35,259.01K,-0.05%
2023-10-09,40.52,40.75,41.0,40.31,858.36K,0.02%
2023-10-08,40.51,40.49,41.0,39.8,901.51K,-1.20%
2023-10-04,41.0,40.0,41.49,39.5,742.45K,2.50%
2023-10-03,40.0,40.88,40.88,39.18,618.61K,-2.15%
2023-10-02,40.88,41.25,41.5,39.9,1.04M,-0.27%
2023-10-01,40.99,39.9,41.27,39.9,1.02M,2.73%
2023-09-27,39.9,40.51,40.85,39.75,672.44K,-1.31%
2023-09-26,40.43,41.3,41.3,40.0,439.84K,-1.75%
2023-09-25,41.15,41.0,41.35,40.74,128.06K,1.01%
2023-09-24,40.74,41.0,42.99,40.41,994.74K,-1.83%
2023-09-21,41.5,38.12,42.0,38.0,2.67M,8.87%
2023-09-20,38.12,37.99,38.67,37.8,649.96K,1.41%
2023-09-19,37.59,38.78,38.79,37.5,90.45K,-2.11%
2023-09-18,38.4,38.7,38.8,38.36,512.19K,-1.03%
2023-09-17,38.8,37.9,38.95,37.8,202.62K,4.13%
2023-09-14,37.26,37.55,37.99,37.22,190.67K,-1.19%
2023-09-13,37.71,37.85,38.0,37.5,48.30K,-0.76%
2023-09-12,38.0,37.79,38.09,37.6,348.06K,0.74%
2023-09-11,37.72,38.1,38.1,37.71,6.09M,-0.74%
2023-09-10,38.0,37.52,38.2,37.45,253.86K,1.36%
2023-09-07,37.49,36.5,37.75,36.5,961.25K,1.85%
2023-09-06,36.81,36.53,37.0,36.51,329.27K,0.85%
2023-09-05,36.5,36.7,36.8,36.0,317.00K,-0.19%
2023-09-04,36.57,36.67,36.74,36.5,60.00K,0.03%
2023-09-03,36.56,36.78,36.8,36.51,18.09K,0.16%
2023-08-31,36.5,36.88,36.98,36.5,194.04K,-0.38%
2023-08-30,36.64,36.55,36.99,36.55,42.96K,0.11%
2023-08-29,36.6,37.0,37.19,36.51,196.14K,-1.05%
2023-08-28,36.99,37.5,38.5,36.91,1.37M,-1.36%
2023-08-27,37.5,37.0,37.51,37.0,214.23K,1.32%
2023-08-24,37.01,36.6,37.15,36.5,113.78K,1.37%
2023-08-23,36.51,36.4,36.6,36.2,93.06K,0.86%
2023-08-22,36.2,36.5,36.5,36.1,47.43K,0.25%
2023-08-21,36.11,36.63,36.98,36.0,89.00K,-1.61%
2023-08-20,36.7,37.3,37.3,36.56,36.11K,-0.81%
2023-08-17,37.0,37.3,37.75,36.51,1.33M,-1.31%
2023-08-16,37.49,36.3,37.5,36.14,516.63K,3.14%
2023-08-15,36.35,36.49,36.69,36.04,198.89K,-0.44%
2023-08-14,36.51,36.2,36.69,36.1,142.55K,1.39%
2023-08-13,36.01,36.25,36.25,35.96,174.52K,-0.14%
2023-08-10,36.06,36.3,36.3,36.05,41.96K,0.00%
2023-08-09,36.06,36.5,36.69,36.02,98.22K,-0.77%
2023-08-08,36.34,36.4,36.99,36.11,79.65K,0.14%
2023-08-07,36.29,36.2,36.4,36.0,35.22K,0.33%
2023-08-06,36.17,36.17,36.23,35.9,41.72K,0.75%
2023-08-03,35.9,36.01,36.27,35.81,314.45K,-0.31%
2023-08-02,36.01,36.1,36.34,35.95,170.75K,-0.11%
2023-08-01,36.05,36.38,36.49,36.05,139.15K,-0.72%
2023-07-31,36.31,35.9,36.45,35.9,187.28K,1.20%
2023-07-30,35.88,36.4,36.45,35.85,170.84K,-0.64%
