Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.181,1.21,1.23,1.17,1.34M,-1.58%
2023-12-10,1.2,1.225,1.25,1.197,1.18M,-2.04%
2023-12-07,1.225,1.275,1.28,1.2,4.63M,-4.30%
2023-12-06,1.28,1.3,1.3,1.275,764.20K,-1.46%
2023-12-05,1.299,1.301,1.335,1.26,780.49K,-1.22%
2023-12-04,1.315,1.25,1.33,1.23,4.56M,6.05%
2023-12-03,1.24,1.25,1.26,1.21,703.00K,-0.80%
2023-11-30,1.25,1.258,1.264,1.234,1.36M,0.00%
2023-11-29,1.25,1.239,1.258,1.223,2.22M,1.54%
2023-11-28,1.231,1.211,1.239,1.211,2.25M,0.90%
2023-11-27,1.22,1.24,1.265,1.22,2.94M,-2.24%
2023-11-26,1.248,1.303,1.329,1.233,2.76M,-3.03%
2023-11-23,1.287,1.335,1.35,1.281,1.90M,-3.38%
2023-11-22,1.332,1.34,1.37,1.32,2.19M,1.14%
2023-11-21,1.317,1.25,1.355,1.23,3.55M,9.57%
2023-11-20,1.202,1.251,1.267,1.18,2.45M,-4.22%
2023-11-19,1.255,1.255,1.27,1.235,1.22M,0.64%
2023-11-16,1.247,1.245,1.255,1.219,926.44K,0.08%
2023-11-15,1.246,1.24,1.25,1.202,1.19M,0.16%
2023-11-14,1.244,1.224,1.25,1.177,2.48M,4.10%
2023-11-13,1.195,1.158,1.22,1.135,2.66M,3.55%
2023-11-12,1.154,1.239,1.3,1.12,4.99M,-5.25%
2023-11-09,1.218,1.08,1.26,1.04,6.62M,13.41%
2023-11-08,1.074,0.996,1.08,0.972,2.95M,8.27%
2023-11-07,0.992,0.96,0.999,0.95,1.62M,3.33%
2023-11-06,0.96,0.95,0.973,0.946,558.54K,1.27%
2023-11-05,0.948,0.919,0.96,0.918,1.62M,3.83%
2023-11-02,0.913,0.9,0.919,0.88,1.39M,2.01%
2023-11-01,0.895,0.885,0.913,0.88,1.12M,-0.44%
