Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.35,1.36,1.39,1.34,1.15M,-3.64%
2023-12-10,1.4,1.45,1.45,1.38,1.46M,-1.68%
2023-12-07,1.42,1.42,1.48,1.4,1.89M,-4.55%
2023-12-06,1.49,1.50,1.50,1.44,3.12M,0.00%
2023-12-05,1.5,1.50,1.50,1.47,1.38M,0.00%
2023-12-04,1.49,1.50,1.54,1.46,1.82M,0.00%
2023-12-03,1.5,1.54,1.54,1.46,1.55M,0.00%
2023-11-30,1.49,1.53,1.55,1.48,1.44M,-1.26%
2023-11-29,1.51,1.40,1.55,1.4,7.22M,7.86%
2023-11-28,1.4,1.40,1.40,1.36,1.92M,0.87%
2023-11-27,1.39,1.34,1.40,1.3,3.69M,3.74%
2023-11-26,1.34,1.33,1.36,1.3,3.00M,0.00%
2023-11-23,1.34,1.35,1.36,1.33,4.57M,-0.59%
2023-11-22,1.35,1.30,1.38,1.3,10.61M,6.23%
2023-11-21,1.27,1.24,1.29,1.24,4.05M,2.18%
2023-11-20,1.24,1.28,1.30,1.23,2.54M,-2.21%
2023-11-19,1.27,1.26,1.27,1.25,1.68M,1.60%
2023-11-16,1.25,1.27,1.28,1.25,1.82M,-1.81%
2023-11-15,1.27,1.33,1.34,1.26,3.36M,-3.64%
2023-11-14,1.32,1.26,1.34,1.26,13.31M,4.76%
2023-11-13,1.26,1.19,1.30,1.18,6.74M,8.06%
2023-11-12,1.17,1.21,1.21,1.15,1.35M,0.00%
2023-11-09,1.17,1.22,1.24,1.14,1.82M,-5.88%
2023-11-08,1.24,1.28,1.28,1.2,4.92M,-0.64%
2023-11-07,1.25,1.19,1.32,1.19,20.57M,10.72%
2023-11-06,1.13,1.10,1.14,1.08,4.07M,4.06%
2023-11-05,1.09,1.10,1.10,1.07,845.80K,1.21%
2023-11-02,1.07,1.07,1.10,1.06,867.72K,0.00%
2023-11-01,1.07,1.10,1.10,1.06,744.36K,-1.02%
2023-10-31,1.08,1.10,1.14,1.08,1.84M,-1.19%
2023-10-30,1.1,1.13,1.15,1.08,3.00M,-2.93%
2023-10-29,1.13,1.08,1.13,1.06,3.07M,6.11%
2023-10-26,1.06,1.09,1.09,1.05,1.29M,2.21%
2023-10-25,1.04,1.04,1.08,1.04,3.03M,0.00%
2023-10-24,1.04,1.02,1.04,0.98,3.54M,1.07%
2023-10-23,1.02,1.04,1.05,1.01,1.01M,-1.35%
2023-10-22,1.04,0.97,1.04,0.97,1.21M,4.84%
2023-10-19,0.99,0.98,1.02,0.96,1.25M,0.81%
2023-10-18,0.98,0.98,1.00,0.96,898.70K,0.00%
2023-10-17,0.98,0.94,1.00,0.94,2.50M,2.19%
2023-10-16,0.96,0.94,0.97,0.93,1.98M,1.91%
2023-10-15,0.94,0.95,0.95,0.94,354.94K,0.00%
2023-10-12,0.95,0.96,0.98,0.94,214.72K,0.00%
2023-10-11,0.95,0.95,0.97,0.93,470.37K,4.87%
2023-10-10,0.9,0.93,0.97,0.93,241.07K,0.00%
2023-10-09,0.9,0.97,0.97,0.93,257.46K,0.00%
2023-10-08,0.9,1.02,1.02,0.85,1.07M,-10.77%
2023-10-04,1.01,1.02,1.03,0.97,1.97M,1.20%
2023-10-03,1.0,1.00,1.01,0.98,564.47K,0.60%
2023-10-02,0.99,0.98,1.01,0.98,1.29M,-1.19%
2023-10-01,1.01,0.98,1.02,0.97,800.76K,3.50%
2023-09-27,0.97,0.99,0.99,0.96,868.56K,0.00%
2023-09-26,0.98,1.00,1.03,0.97,1.29M,-3.75%
2023-09-25,1.01,1.05,1.05,1.0,483.64K,-1.17%
2023-09-24,1.02,1.01,1.04,1.0,514.77K,2.09%
2023-09-21,1.0,1.02,1.04,1.0,1.29M,-2.52%
2023-09-20,1.03,1.08,1.09,1.02,1.70M,-4.98%
2023-09-19,1.08,1.10,1.11,1.08,1.27M,-1.36%
2023-09-18,1.1,1.11,1.12,1.1,640.84K,0.00%
2023-09-17,1.1,1.09,1.12,1.09,1.01M,0.55%
2023-09-14,1.1,1.09,1.11,1.09,1.43M,0.92%
2023-09-13,1.09,1.08,1.11,1.08,739.61K,0.00%
2023-09-12,1.09,1.10,1.12,1.08,1.90M,-1.45%
2023-09-11,1.1,1.11,1.13,1.1,2.23M,-0.90%
2023-09-10,1.11,1.09,1.14,1.09,5.27M,1.92%
2023-09-07,1.09,1.08,1.12,1.08,2.82M,1.21%
2023-09-06,1.08,1.16,1.17,1.07,7.20M,-6.26%
2023-09-05,1.15,1.10,1.16,1.09,9.90M,4.36%
2023-09-04,1.1,1.12,1.13,1.08,3.06M,0.00%
2023-09-03,1.1,1.07,1.16,1.07,9.59M,4.65%
