Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,17.56,16.73,17.56,15.9,228.37K,4.96%
2023-12-10,16.73,17.9,17.9,16.73,125.31K,-5.00%
2023-12-07,17.61,18.46,18.5,17.61,136.07K,-4.96%
2023-12-06,18.53,19.0,19.4,18.41,59.04K,-4.34%
2023-12-05,19.37,19.89,19.9,18.5,117.54K,2.16%
2023-12-04,18.96,18.92,18.96,18.0,373.41K,4.98%
2023-12-03,18.06,18.5,19.15,17.6,60.93K,-2.48%
2023-11-30,18.52,20.4,20.4,18.49,17.20K,-4.83%
2023-11-29,19.46,19.31,21.33,19.31,51.39K,-4.23%
2023-11-28,20.32,19.31,19.31,19.31,0.08K,0.00%
2023-11-19,20.32,19.31,19.31,19.31,0.05K,0.00%
2023-11-16,20.32,19.31,19.31,19.31,0.10K,0.00%
2023-11-12,20.32,19.31,19.31,19.31,0.11K,0.00%
2023-11-07,20.32,19.31,19.31,19.31,0.01K,0.00%
2023-10-31,20.32,19.31,19.31,19.31,0.24K,0.00%
2023-10-30,20.32,19.31,19.31,19.31,0.34K,0.00%
2023-10-23,20.32,19.31,19.31,19.31,1.23K,0.00%
2023-10-15,20.32,19.31,19.31,19.31,0.07K,0.00%
2023-10-11,20.32,19.31,19.31,19.31,0.01K,0.00%
2023-10-02,20.32,19.31,19.31,19.31,1.22K,0.00%
2023-09-27,20.32,19.31,19.31,19.31,0.03K,0.00%
2023-09-26,20.32,19.31,19.31,19.31,0.29K,0.00%
2023-09-24,20.32,19.31,19.31,19.31,0.52K,0.00%
2023-09-13,20.32,19.31,19.31,19.31,2.06K,0.00%
2023-09-10,20.32,19.31,19.31,19.31,0.02K,0.00%
2023-09-04,20.32,19.31,19.31,19.31,0.00K,0.00%
2023-08-30,20.32,19.31,19.31,19.31,0.02K,0.00%
2023-08-28,20.32,19.31,19.31,19.31,0.06K,0.00%
2023-08-27,20.32,19.31,19.31,19.31,1.04K,0.00%
