Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,8.4,8.68,8.75,8.35,5.14M,-3.00%
2023-12-10,8.66,9.28,9.39,8.51,8.87M,-5.97%
2023-12-07,9.21,9.39,9.4,9.0,10.69M,-1.71%
2023-12-06,9.37,9.51,9.65,9.32,24.97M,2.18%
2023-12-05,9.17,9.25,9.44,9.14,17.42M,1.44%
2023-12-04,9.04,8.9,9.14,8.9,8.13M,1.92%
2023-12-03,8.87,9.01,9.08,8.85,4.02M,-1.00%
2023-11-30,8.96,9.19,9.28,8.86,6.12M,-1.86%
2023-11-29,9.13,9.24,9.34,9.1,9.47M,0.66%
2023-11-28,9.07,9.1,9.4,9.05,10.25M,0.00%
2023-11-27,9.07,9.05,9.1,8.97,2.84M,0.67%
2023-11-26,9.01,9.24,9.24,9.01,3.07M,-1.64%
2023-11-23,9.16,9.25,9.39,9.13,7.52M,0.22%
2023-11-22,9.14,8.99,9.22,8.94,5.70M,2.35%
2023-11-21,8.93,9.02,9.07,8.84,3.88M,-0.67%
2023-11-20,8.99,9.18,9.33,8.96,3.53M,-1.21%
2023-11-19,9.1,9.36,9.39,9.08,2.67M,-1.83%
2023-11-16,9.27,9.51,9.57,9.22,3.37M,-1.90%
2023-11-15,9.45,9.43,9.49,9.01,4.24M,1.29%
2023-11-14,9.33,9.51,9.8,9.32,5.86M,-0.53%
2023-11-13,9.38,9.75,9.78,9.35,4.92M,-1.78%
2023-11-12,9.55,9.68,9.93,9.35,7.95M,-0.10%
2023-11-09,9.56,9.7,10.2,9.45,14.04M,0.10%
2023-11-08,9.55,9.35,9.74,9.28,10.45M,3.13%
2023-11-07,9.26,9.72,9.76,9.14,13.40M,-4.54%
2023-11-06,9.7,8.35,9.8,8.26,26.80M,18.00%
2023-11-05,8.22,7.88,8.3,7.78,7.37M,5.93%
2023-11-02,7.76,7.56,7.8,7.55,2.73M,3.47%
2023-11-01,7.5,7.7,7.85,7.28,3.22M,-2.34%
2023-10-31,7.68,8.14,8.15,7.66,4.42M,-4.60%
2023-10-30,8.05,8.49,8.51,7.95,6.74M,-3.59%
2023-10-29,8.35,7.99,8.55,7.33,11.90M,17.11%
2023-10-26,7.13,6.82,7.3,6.82,5.88M,5.63%
2023-10-25,6.75,6.71,6.88,6.68,2.19M,1.50%
2023-10-24,6.65,6.75,6.79,6.57,1.78M,-0.60%
2023-10-23,6.69,6.88,6.9,6.67,2.93M,-0.45%
2023-10-22,6.72,6.53,6.8,6.49,3.17M,4.35%
