Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.605,0.62,0.62,0.591,650.41K,0.00%
2023-12-10,0.605,0.61,0.635,0.605,1.10M,-0.82%
2023-12-07,0.61,0.614,0.629,0.591,969.03K,-0.16%
2023-12-06,0.611,0.615,0.616,0.605,1.17M,0.00%
2023-12-05,0.611,0.625,0.625,0.606,1.25M,-0.65%
2023-12-04,0.615,0.63,0.63,0.61,736.59K,-1.13%
2023-12-03,0.622,0.635,0.638,0.609,462.62K,0.00%
2023-11-30,0.622,0.64,0.64,0.612,638.36K,-3.27%
2023-11-29,0.643,0.635,0.645,0.622,286.24K,0.00%
2023-11-28,0.643,0.65,0.65,0.631,531.29K,0.16%
2023-11-27,0.642,0.646,0.668,0.637,591.25K,-1.38%
2023-11-26,0.651,0.651,0.672,0.65,564.62K,-0.46%
2023-11-23,0.654,0.651,0.661,0.65,154.23K,0.00%
2023-11-22,0.654,0.65,0.664,0.64,714.60K,3.32%
2023-11-21,0.633,0.633,0.644,0.632,437.06K,0.00%
2023-11-20,0.633,0.67,0.675,0.633,1.60M,-4.95%
2023-11-19,0.666,0.677,0.7,0.644,513.40K,-1.48%
2023-11-16,0.676,0.647,0.676,0.647,1.79M,4.97%
2023-11-15,0.644,0.62,0.647,0.617,2.27M,4.38%
2023-11-14,0.617,0.59,0.617,0.58,4.79M,4.93%
2023-11-13,0.588,0.569,0.59,0.564,4.29M,3.34%
2023-11-12,0.569,0.57,0.571,0.563,338.17K,0.00%
2023-11-09,0.569,0.565,0.579,0.562,1.15M,-0.52%
2023-11-08,0.572,0.564,0.58,0.56,846.79K,-0.69%
2023-11-07,0.576,0.575,0.585,0.57,1.18M,0.35%
2023-11-06,0.574,0.564,0.589,0.561,1.88M,2.14%
2023-11-05,0.562,0.557,0.564,0.547,1.07M,4.46%
2023-11-02,0.538,0.555,0.574,0.53,1.07M,-3.41%
2023-11-01,0.557,0.577,0.601,0.55,3.24M,-3.63%
2023-10-31,0.578,0.581,0.59,0.571,1.02M,0.17%
2023-10-30,0.577,0.6,0.601,0.571,2.37M,-2.70%
2023-10-29,0.593,0.574,0.6,0.555,1.14M,3.49%
2023-10-26,0.573,0.558,0.573,0.541,1.88M,4.95%
2023-10-25,0.546,0.548,0.558,0.52,2.05M,2.63%
2023-10-24,0.532,0.53,0.56,0.529,1.44M,-4.32%
2023-10-23,0.556,0.542,0.562,0.542,873.39K,2.39%
2023-10-22,0.543,0.545,0.549,0.535,880.66K,1.12%
2023-10-19,0.537,0.531,0.548,0.513,1.28M,1.32%
2023-10-18,0.53,0.516,0.532,0.505,1.56M,4.54%
2023-10-17,0.507,0.485,0.516,0.48,1.40M,3.05%
