Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,12.14,12.81,12.97,12.05,430.09K,-5.96%
2023-12-10,12.91,13.25,13.29,12.9,327.29K,-1.38%
2023-12-07,13.09,13.26,13.5,12.87,209.67K,-1.73%
2023-12-06,13.32,13.6,13.65,13.3,145.51K,-2.06%
2023-12-05,13.6,14.02,14.05,13.53,250.66K,-2.02%
2023-12-04,13.88,13.12,14.08,13.12,668.36K,5.79%
2023-12-03,13.12,13.35,13.35,13.03,112.37K,-0.30%
2023-11-30,13.16,13.28,13.54,13.1,270.27K,-0.30%
2023-11-29,13.2,13.25,13.66,13.0,518.41K,0.46%
2023-11-28,13.14,13.3,13.4,12.94,284.80K,-0.68%
2023-11-27,13.23,13.37,13.59,12.81,1.37M,-0.82%
2023-11-26,13.34,13.86,13.86,13.31,506.49K,-3.26%
2023-11-23,13.79,12.88,13.8,12.8,649.76K,8.33%
2023-11-22,12.73,12.79,12.94,12.6,219.12K,0.47%
2023-11-21,12.67,12.66,12.94,12.65,191.45K,0.32%
2023-11-20,12.63,13.47,13.47,12.6,773.22K,-4.32%
2023-11-19,13.2,12.12,13.2,12.12,1.49M,10.00%
2023-11-16,12.0,11.3,12.01,11.28,1.04M,7.05%
2023-11-15,11.21,11.49,11.5,11.03,234.10K,-0.36%
2023-11-14,11.25,11.41,11.7,11.15,702.74K,2.74%
2023-11-13,10.95,10.89,11.5,10.72,693.38K,4.99%
2023-11-12,10.43,10.92,10.93,10.4,346.06K,-2.43%
2023-11-09,10.69,10.99,11.19,10.51,484.45K,-2.02%
2023-11-08,10.91,11.12,11.4,10.89,654.14K,-3.02%
2023-11-07,11.25,11.16,11.73,11.03,965.60K,1.35%
2023-11-06,11.1,11.4,11.49,10.86,802.13K,-0.63%
2023-11-05,11.17,11.5,11.87,11.07,1.29M,-1.33%
2023-11-02,11.32,10.87,11.38,10.8,1.58M,6.29%
2023-11-01,10.65,10.05,11.2,9.52,3.23M,8.45%
2023-10-31,9.82,9.5,10.4,9.5,1.88M,8.03%
2023-10-30,9.09,8.85,9.95,8.81,1.53M,6.57%
2023-10-29,8.53,8.9,9.0,8.34,680.10K,-4.80%
2023-10-26,8.96,9.48,9.8,8.6,585.11K,-4.17%
2023-10-25,9.35,8.0,9.48,8.0,2.20M,18.35%
2023-10-24,7.9,7.67,8.23,7.55,1.26M,3.54%
2023-10-23,7.63,7.4,7.66,7.36,394.74K,3.81%
2023-10-22,7.35,7.38,7.39,7.26,77.02K,1.66%
2023-10-19,7.23,7.3,7.39,7.21,138.32K,-0.82%
2023-10-18,7.29,7.4,7.4,7.28,241.25K,-0.41%
2023-10-17,7.32,7.35,7.5,7.3,340.14K,-0.54%
2023-10-16,7.36,7.51,7.6,7.3,636.67K,-2.00%
2023-10-15,7.51,7.64,7.77,7.34,812.49K,0.13%
2023-10-12,7.5,7.66,7.66,7.45,199.29K,-1.83%
2023-10-11,7.64,7.68,7.8,7.56,69.06K,-0.78%
2023-10-10,7.7,7.69,7.86,7.65,249.36K,1.32%
