Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.161,1.2,1.2,1.2,0.10K,-4.76%
2023-12-10,1.219,1.2,1.219,1.2,3.25K,5.00%
2023-12-03,1.161,1.161,1.161,1.161,,0.00%
2023-11-13,1.161,1.103,1.103,1.103,0.40K,0.00%
2023-11-08,1.161,1.103,1.103,1.103,2.00K,0.00%
2023-11-06,1.161,1.219,1.219,1.219,15.89K,0.00%
2023-10-24,1.161,1.161,1.161,1.161,0.10K,0.00%
2023-10-17,1.161,1.08,1.181,1.07,287.70K,3.20%
2023-10-15,1.125,1.045,1.15,1.045,364.41K,2.37%
2023-10-10,1.099,1.045,1.05,1.045,106.00K,0.00%
2023-10-03,1.099,1.09,1.1,1.09,14.00K,0.00%
2023-09-24,1.099,1.13,1.13,1.13,0.09K,0.00%
2023-09-21,1.099,1.046,1.099,1.046,148.29K,0.00%
2023-09-20,1.099,1.07,1.123,1.055,26.51K,0.00%
2023-09-19,1.099,1.1,1.12,1.07,302.73K,2.14%
2023-09-18,1.076,1.1,1.107,1.03,371.60K,0.84%
2023-09-17,1.067,1.068,1.102,1.04,310.00K,1.33%
2023-09-14,1.053,1.05,1.105,1.05,305.76K,0.00%
2023-09-13,1.053,1.05,1.05,1.05,0.43K,0.00%
2023-09-12,1.053,1.05,1.05,1.05,11.00K,0.00%
2023-09-11,1.053,1.105,1.105,1.06,30.50K,0.00%
2023-09-07,1.053,1.05,1.05,1.03,0.47K,0.00%
2023-09-06,1.053,1.1,1.103,1.09,274.99K,0.00%
2023-09-05,1.053,1.09,1.09,1.08,185.00K,0.00%
2023-09-04,1.053,1.0,1.069,1.0,309.15K,3.34%
2023-09-03,1.019,1.0,1.0,1.0,0.30K,0.00%
2023-08-31,1.019,1.022,1.06,1.0,102.20K,0.00%
2023-08-30,1.019,1.0,1.06,1.0,190.25K,0.00%
2023-08-29,1.019,1.0,1.042,1.0,260.24K,0.00%
2023-08-28,1.019,0.978,1.031,0.977,312.45K,3.77%
