Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,7.02,6.67,6.67,6.67,0.55K,5.25%
2023-12-10,6.67,6.67,6.67,6.67,5.37K,-4.99%
2023-12-07,7.02,6.67,6.67,6.67,26.60K,0.00%
2023-12-06,7.02,6.67,6.67,6.67,6.71K,0.00%
2023-12-05,7.02,6.67,6.67,6.67,17.56K,0.00%
2023-12-04,7.02,6.67,6.67,6.67,10.93K,0.00%
2023-12-03,7.02,6.67,6.67,6.67,10.60K,0.00%
2023-11-30,7.02,6.67,6.88,6.67,21.30K,0.00%
2023-11-29,7.02,6.67,6.67,6.67,1.05K,0.00%
2023-11-28,7.02,6.67,6.67,6.67,8.57K,0.00%
2023-11-27,7.02,6.67,6.67,6.67,1.54K,0.00%
2023-11-26,7.02,6.67,6.67,6.67,34.88K,0.00%
2023-11-23,7.02,6.68,6.85,6.67,15.65K,0.00%
2023-11-22,7.02,6.88,6.88,6.67,3.02K,0.00%
2023-11-21,7.02,6.67,6.67,6.67,3.00K,0.00%
2023-11-20,7.02,6.9,6.9,6.67,5.43K,0.00%
2023-11-19,7.02,6.95,6.95,6.67,19.50K,0.00%
2023-11-16,7.02,6.67,6.67,6.67,6.00K,0.00%
2023-11-15,7.02,6.67,6.8,6.67,12.45K,0.00%
2023-11-14,7.02,6.96,6.96,6.67,18.33K,0.00%
2023-11-13,7.02,7.0,7.0,6.7,7.09K,0.00%
2023-11-12,7.02,7.1,7.1,6.86,10.95K,0.00%
2023-11-09,7.02,6.49,7.1,6.46,86.31K,3.69%
2023-11-08,6.77,6.45,6.6,6.45,4.24K,0.00%
2023-11-07,6.77,6.48,6.59,6.46,17.71K,0.00%
2023-11-06,6.77,6.81,6.9,6.48,23.67K,0.00%
2023-11-05,6.77,6.81,6.81,6.48,99.02K,4.31%
2023-11-02,6.49,6.81,6.81,6.5,10.98K,0.00%
2023-11-01,6.49,6.81,6.81,6.52,37.48K,0.00%
2023-10-31,6.49,6.81,6.81,6.76,23.43K,0.00%
2023-10-30,6.49,6.4,6.81,6.3,31.30K,0.00%
2023-10-29,6.49,6.3,6.49,6.17,15.83K,0.00%
2023-10-26,6.49,6.49,6.52,6.49,78.81K,-4.98%
2023-10-25,6.83,6.49,6.5,6.49,29.94K,0.00%
2023-10-23,6.83,6.49,6.49,6.49,2.00K,0.00%
2023-10-22,6.83,6.49,6.49,6.49,0.50K,0.00%
2023-10-19,6.83,6.49,6.49,6.49,1.07K,0.00%
2023-10-17,6.83,6.49,6.49,6.49,9.53K,0.00%
2023-10-16,6.83,6.49,6.49,6.49,1.00K,0.00%
2023-10-12,6.83,6.49,6.49,6.49,14.76K,0.00%
2023-10-09,6.83,6.49,6.49,6.49,14.88K,0.00%
2023-10-08,6.83,6.49,6.49,6.49,0.01K,0.00%
2023-10-04,6.83,6.49,6.49,6.49,7.37K,0.00%
2023-10-03,6.83,6.49,6.49,6.49,0.87K,0.00%
2023-10-02,6.83,6.5,6.7,6.49,26.29K,0.00%
2023-10-01,6.83,6.53,6.8,6.49,7.78K,0.00%
2023-09-27,6.83,6.79,7.34,6.79,44.19K,-4.34%
2023-09-26,7.14,6.79,6.79,6.79,11.60K,0.00%
2023-09-24,7.14,6.79,6.79,6.79,0.02K,0.00%
2023-09-21,7.14,6.79,6.79,6.79,0.01K,0.00%
2023-09-18,7.14,6.79,6.79,6.79,0.50K,0.00%
2023-09-14,7.14,6.79,6.79,6.79,0.40K,0.00%
2023-09-11,7.14,6.79,6.79,6.79,0.50K,0.00%
2023-09-07,7.14,6.79,6.79,6.79,0.60K,0.00%
2023-09-05,7.14,6.79,6.79,6.79,0.80K,0.00%
2023-09-03,7.14,6.79,6.79,6.79,0.79K,0.00%
2023-08-31,7.14,6.79,6.79,6.79,0.08K,0.00%
2023-08-29,7.14,6.79,6.79,6.79,0.50K,0.00%
2023-08-23,7.14,6.79,6.79,6.79,0.51K,0.00%
2023-08-22,7.14,6.79,6.79,6.79,0.57K,0.00%
