Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,69.5,71.25,72.45,69.5,620.89K,-1.73%
2023-12-10,70.72,75.0,76.0,70.55,514.62K,-5.14%
2023-12-07,74.55,76.05,76.05,74.05,551.46K,-1.91%
2023-12-06,76.0,74.3,77.43,74.01,950.61K,2.70%
2023-12-05,74.0,77.2,78.0,74.0,667.19K,-2.63%
2023-12-04,76.0,73.24,77.75,73.2,607.48K,3.75%
2023-12-03,73.25,76.01,76.01,73.25,249.50K,-3.58%
2023-11-30,75.97,75.99,75.99,74.2,383.37K,-0.04%
2023-11-29,76.0,77.4,77.4,74.9,427.24K,-1.83%
2023-11-28,77.42,78.15,78.88,77.25,122.69K,-0.93%
2023-11-27,78.15,79.49,79.49,78.0,137.50K,-0.53%
2023-11-26,78.57,78.9,79.95,78.4,108.24K,-0.39%
2023-11-23,78.88,79.36,79.36,78.24,101.88K,-0.09%
2023-11-22,78.95,78.9,80.0,78.01,515.10K,1.23%
2023-11-21,77.99,77.5,78.0,74.95,1.00M,0.66%
2023-11-20,77.48,80.0,80.4,77.36,660.32K,-3.05%
2023-11-19,79.92,80.95,81.0,79.75,207.95K,-0.32%
2023-11-16,80.18,80.84,81.0,80.0,469.43K,0.30%
2023-11-15,79.94,81.45,82.6,79.75,852.15K,-1.91%
2023-11-14,81.5,78.0,81.7,77.11,1.45M,5.83%
2023-11-13,77.01,76.48,78.19,75.0,343.48K,0.69%
2023-11-12,76.48,79.03,81.0,76.02,601.99K,-3.13%
2023-11-09,78.95,77.15,79.22,77.15,298.39K,2.33%
2023-11-08,77.15,76.0,78.5,75.5,489.47K,2.19%
2023-11-07,75.5,75.1,77.0,74.92,576.91K,0.36%
2023-11-06,75.23,75.99,76.36,74.5,440.51K,0.24%
2023-11-05,75.05,74.0,76.45,73.31,847.47K,2.60%
2023-11-02,73.15,72.8,74.89,72.8,869.60K,0.76%
2023-11-01,72.6,74.91,75.8,69.5,665.05K,-3.08%
2023-10-31,74.91,77.5,77.5,73.7,1.34M,-2.71%
2023-10-30,77.0,79.69,80.55,75.75,1.59M,-3.36%
2023-10-29,79.68,79.2,81.5,79.2,872.42K,0.86%
2023-10-26,79.0,82.4,83.0,78.0,1.02M,-3.25%
2023-10-25,81.65,79.9,83.71,79.0,1.89M,4.67%
2023-10-24,78.01,77.3,79.95,72.51,2.42M,4.15%
2023-10-23,74.9,72.9,75.0,72.5,1.20M,4.62%
2023-10-22,71.59,66.5,72.0,65.6,551.35K,9.30%
2023-10-19,65.5,68.2,68.46,65.5,631.94K,-2.99%
2023-10-18,67.52,66.9,68.85,64.5,1.38M,0.93%
2023-10-17,66.9,60.89,71.0,59.72,2.39M,11.43%
2023-10-16,60.04,59.58,62.2,59.58,1.33M,0.57%
2023-10-15,59.7,57.51,61.7,57.51,706.02K,4.26%
2023-10-12,57.26,55.3,58.99,55.3,935.43K,2.09%
2023-10-11,56.09,52.3,56.09,52.0,2.93M,8.70%
2023-10-10,51.6,52.0,52.99,50.6,972.99K,0.16%
2023-10-09,51.52,51.4,51.7,49.05,686.96K,0.06%
2023-10-08,51.49,51.08,51.5,45.8,1.30M,0.76%
2023-10-04,51.1,49.69,51.24,49.21,342.54K,4.07%
2023-10-03,49.1,51.4,51.93,49.1,299.25K,-4.64%
2023-10-02,51.49,51.37,52.0,50.3,330.69K,-0.04%
2023-10-01,51.51,53.7,53.98,51.51,461.43K,-3.76%
2023-09-27,53.52,53.99,54.48,53.05,538.18K,-0.15%
2023-09-26,53.6,55.08,55.5,53.0,1.25M,-2.37%
2023-09-25,54.9,51.85,54.9,51.85,2.04M,5.78%
2023-09-24,51.9,51.0,52.5,50.7,573.35K,2.17%
2023-09-21,50.8,50.97,51.0,49.2,543.34K,0.42%
2023-09-20,50.59,50.99,52.1,50.38,1.86M,0.20%
2023-09-19,50.49,51.15,51.73,50.49,518.59K,-1.00%
2023-09-18,51.0,50.88,51.4,50.35,510.50K,0.24%
2023-09-17,50.88,51.0,51.97,50.56,802.90K,-0.18%
2023-09-14,50.97,50.56,51.6,50.56,587.57K,0.04%
2023-09-13,50.95,48.7,51.0,47.9,1.04M,5.05%
2023-09-12,48.5,49.3,49.5,48.11,715.06K,-1.34%
2023-09-11,49.16,50.85,50.85,49.16,559.29K,-2.13%
2023-09-10,50.23,50.46,51.5,49.85,427.49K,0.84%
2023-09-07,49.81,50.78,50.78,49.42,859.91K,-1.93%
2023-09-06,50.79,51.3,51.5,49.9,878.12K,-0.53%
2023-09-05,51.06,52.0,52.6,50.98,647.52K,-1.05%
2023-09-04,51.6,49.9,52.45,49.56,920.03K,4.14%
2023-09-03,49.55,51.25,51.69,49.01,489.97K,-2.31%
2023-08-31,50.72,51.5,52.3,50.51,752.96K,-1.88%
2023-08-30,51.69,51.2,52.01,50.86,235.45K,1.12%
2023-08-29,51.12,50.8,51.8,50.5,563.86K,0.79%
2023-08-28,50.72,51.0,51.95,50.31,854.25K,-0.45%
2023-08-27,50.95,51.01,52.7,50.9,1.13M,-0.10%
2023-08-24,51.0,48.31,51.0,47.8,2.16M,7.35%
2023-08-23,47.51,48.7,49.09,47.27,637.90K,-2.28%
2023-08-22,48.62,47.0,49.46,46.7,1.62M,3.82%
2023-08-21,46.83,47.0,47.25,46.67,291.45K,0.21%
2023-08-20,46.73,46.95,47.5,46.71,611.57K,-0.36%
2023-08-17,46.9,47.3,47.5,46.55,490.89K,-0.82%
2023-08-16,47.29,46.2,47.4,45.72,1.14M,2.78%
2023-08-15,46.01,47.77,48.09,46.01,1.33M,-3.68%
2023-08-14,47.77,47.79,49.48,47.5,2.29M,1.31%
2023-08-13,47.15,44.61,49.99,44.6,2.62M,5.72%
2023-08-10,44.6,45.03,45.5,44.11,1.03M,-0.95%
2023-08-09,45.03,43.2,46.0,43.2,1.68M,4.38%
2023-08-08,43.14,43.48,44.0,43.05,627.86K,-0.83%
2023-08-07,43.5,41.5,43.5,41.01,2.42M,4.82%
2023-08-06,41.5,40.1,41.68,39.71,1.40M,3.75%
2023-08-03,40.0,39.6,40.18,39.51,343.90K,0.55%
2023-08-02,39.78,39.38,39.94,39.0,609.30K,1.43%
2023-08-01,39.22,40.0,40.4,39.0,827.70K,-1.95%
2023-07-31,40.0,39.5,40.0,39.13,724.46K,2.38%
2023-07-30,39.07,38.5,39.68,38.5,805.63K,1.74%
2023-07-27,38.4,39.5,39.65,38.15,1.32M,-2.46%
2023-07-26,39.37,40.79,40.9,39.35,910.60K,-3.27%
2023-07-25,40.7,38.88,41.13,38.88,1.35M,5.74%
2023-07-24,38.49,40.45,40.45,36.42,440.33K,-4.28%
2023-07-19,40.21,40.9,41.05,40.16,216.41K,-1.08%
2023-07-18,40.65,40.8,41.23,40.5,465.51K,-0.81%
2023-07-17,40.98,40.7,41.13,40.0,996.16K,0.94%
2023-07-16,40.6,40.35,41.3,40.35,492.28K,1.25%
2023-07-13,40.1,40.7,41.55,40.1,717.16K,-1.13%
2023-07-12,40.56,41.55,41.95,40.4,746.62K,-1.43%
2023-07-11,41.15,39.75,42.0,39.75,3.81M,5.51%
2023-07-10,39.0,36.0,40.0,36.0,1.24M,8.33%
2023-07-09,36.0,36.6,37.48,35.92,804.02K,-1.64%
2023-07-06,36.6,37.42,38.18,36.22,256.92K,-2.30%
2023-07-05,37.46,36.42,37.5,36.15,326.66K,2.91%
2023-07-04,36.4,36.2,36.6,35.9,278.82K,1.11%
2023-06-26,36.0,35.9,36.29,35.5,272.93K,1.15%
2023-06-25,35.59,36.0,37.0,35.52,632.95K,-1.06%
2023-06-22,35.97,35.99,36.4,35.0,545.57K,0.76%
2023-06-21,35.7,37.0,37.1,35.7,860.73K,-2.22%
2023-06-20,36.51,38.04,38.4,36.51,726.90K,-4.75%
2023-06-19,38.33,38.8,38.8,37.0,1.16M,-0.44%
2023-06-18,38.5,36.28,39.5,36.28,3.84M,6.89%
2023-06-15,36.02,35.97,36.15,35.26,939.60K,0.33%
2023-06-14,35.9,35.88,36.4,35.6,913.53K,1.41%
2023-06-13,35.4,35.5,36.09,34.8,1.08M,-0.23%
2023-06-12,35.48,35.85,35.99,35.4,135.52K,-0.28%
2023-06-11,35.58,35.0,35.93,34.76,564.72K,2.95%
2023-06-08,34.56,34.5,35.19,33.81,1.34M,0.73%
2023-06-07,34.31,36.39,36.4,33.6,2.64M,-4.83%
2023-06-06,36.05,37.1,37.48,36.01,1.23M,-2.73%
2023-06-05,37.06,38.01,38.4,37.03,696.52K,-2.47%
2023-06-04,38.0,38.5,38.9,37.93,244.86K,-1.30%
2023-06-01,38.5,39.0,39.35,38.16,461.25K,-1.76%
2023-05-31,39.19,39.8,39.99,38.72,706.52K,-0.76%
2023-05-30,39.49,38.1,39.6,38.1,969.87K,4.47%
2023-05-29,37.8,37.5,38.0,36.9,899.73K,1.07%
2023-05-28,37.4,38.4,38.48,36.91,875.75K,-1.42%
2023-05-25,37.94,39.0,39.49,37.91,712.31K,-2.24%
2023-05-24,38.81,38.4,39.25,38.3,823.61K,1.46%
2023-05-23,38.25,37.75,38.45,36.0,3.46M,1.27%
2023-05-22,37.77,38.8,39.5,36.5,2.78M,-2.65%
2023-05-21,38.8,37.21,40.99,37.2,725.72K,-3.58%
2023-05-18,40.24,40.5,41.7,39.5,1.22M,-1.13%
2023-05-17,40.7,43.1,43.3,40.35,1.46M,-5.22%
2023-05-16,42.94,43.5,43.87,42.4,589.37K,-1.29%
2023-05-15,43.5,44.5,45.17,43.2,703.63K,-1.07%
2023-05-14,43.97,44.8,45.2,43.66,340.91K,-1.66%
2023-05-11,44.71,44.51,46.28,44.4,1.68M,0.93%
2023-05-10,44.3,44.0,44.36,42.94,505.58K,1.14%
2023-05-09,43.8,44.5,44.9,43.3,1.06M,-0.45%
2023-05-08,44.0,42.3,44.7,42.11,2.23M,5.52%
2023-05-07,41.7,40.49,41.89,39.5,788.70K,4.12%
2023-05-03,40.05,40.03,40.99,39.91,483.40K,0.05%
2023-05-02,40.03,40.71,41.39,39.71,1.62M,-1.26%
2023-05-01,40.54,40.25,41.77,39.6,1.63M,0.72%
2023-04-30,40.25,42.0,42.2,39.9,814.63K,-3.11%
2023-04-27,41.54,42.7,42.7,41.25,782.88K,-1.40%
2023-04-26,42.13,42.61,43.3,42.0,424.95K,-0.87%
2023-04-19,42.5,42.0,42.94,42.0,406.49K,1.55%
2023-04-18,41.85,41.51,42.59,41.45,443.57K,0.75%
2023-04-13,41.54,41.51,42.25,41.4,586.24K,-0.10%
2023-04-12,41.58,40.61,41.9,40.61,640.81K,1.74%
2023-04-11,40.87,40.0,41.12,39.91,925.11K,2.69%
2023-04-10,39.8,40.71,41.5,39.8,730.81K,-1.83%
2023-04-09,40.54,40.6,41.7,40.25,851.39K,0.85%
2023-04-06,40.2,39.06,40.77,39.06,1.48M,3.37%
2023-04-05,38.89,38.42,39.17,37.84,516.55K,1.22%
2023-04-04,38.42,38.6,39.3,37.82,967.97K,-0.21%
2023-04-03,38.5,38.02,40.4,38.02,1.53M,1.56%
2023-04-02,37.91,34.8,38.4,34.65,2.07M,8.84%
2023-03-30,34.83,35.49,36.0,33.6,832.17K,-0.51%
2023-03-29,35.01,34.99,36.29,34.71,1.27M,1.98%
2023-03-28,34.33,32.0,35.1,31.74,1.70M,7.35%
2023-03-27,31.98,32.28,32.5,31.56,407.64K,0.09%
2023-03-26,31.95,32.5,33.0,31.89,1.02M,-1.66%
2023-03-23,32.49,30.28,32.55,30.05,1.07M,7.23%
2023-03-22,30.3,30.24,31.0,30.01,983.43K,0.60%
2023-03-21,30.12,27.85,30.58,27.85,1.35M,8.42%
2023-03-20,27.78,27.11,28.23,26.97,769.33K,3.12%
2023-03-19,26.94,26.5,27.1,25.8,751.86K,0.22%
2023-03-16,26.88,25.98,27.75,25.55,1.81M,3.50%
2023-03-15,25.97,27.89,28.8,25.02,1.30M,-6.58%
2023-03-14,27.8,27.55,28.3,27.04,694.06K,0.47%
2023-03-13,27.67,28.5,28.6,27.4,1.39M,-0.47%
2023-03-12,27.8,30.29,30.29,27.75,1.46M,-7.33%
2023-03-09,30.0,30.19,30.36,29.4,911.74K,2.04%
2023-03-08,29.4,30.16,30.5,29.4,895.93K,-2.58%
2023-03-07,30.18,29.47,31.2,29.46,1.69M,3.36%
2023-03-06,29.2,29.25,30.59,29.2,1.14M,-1.02%
2023-03-05,29.5,29.6,30.0,29.4,361.26K,-0.34%
2023-03-02,29.6,29.11,30.0,28.62,1.53M,0.82%
2023-03-01,29.36,28.84,29.49,28.11,2.13M,1.80%
2023-02-28,28.84,27.8,28.84,27.75,3.57M,3.82%
2023-02-27,27.78,27.95,28.1,27.51,1.42M,0.33%
2023-02-26,27.69,27.6,29.0,27.05,1.39M,0.98%
2023-02-23,27.42,26.1,27.49,26.1,644.62K,4.22%
2023-02-22,26.31,26.95,27.35,26.13,1.33M,-2.19%
2023-02-21,26.9,26.01,27.05,25.5,1.08M,3.42%
2023-02-20,26.01,27.5,27.9,25.95,1.30M,-5.93%
2023-02-19,27.65,28.0,28.5,27.55,372.72K,-1.14%
2023-02-16,27.97,27.5,28.94,27.35,2.48M,2.08%
2023-02-15,27.4,27.25,27.5,26.85,1.96M,1.41%
2023-02-14,27.02,26.18,27.45,26.17,1.68M,3.25%
2023-02-13,26.17,26.32,26.89,26.0,1.47M,-0.46%
2023-02-12,26.29,25.51,27.0,25.3,2.00M,3.14%
