Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,35.85,35.84,36.05,34.52,428.81K,0.03%
2023-12-10,35.84,36.22,36.8,35.83,538.75K,-0.61%
2023-12-07,36.06,36.79,36.79,35.68,1.20M,-1.98%
2023-12-06,36.79,37.21,37.68,36.6,589.46K,-1.68%
2023-12-05,37.42,37.55,38.63,37.4,2.63M,-0.27%
2023-12-04,37.52,36.0,37.76,36.0,1.10M,4.22%
2023-12-03,36.0,36.03,36.45,35.8,422.47K,0.03%
2023-11-30,35.99,36.2,36.5,35.63,845.64K,0.53%
2023-11-29,35.8,36.29,36.48,35.53,567.89K,-1.10%
2023-11-28,36.2,36.7,36.84,36.0,659.68K,-0.71%
2023-11-27,36.46,36.9,36.98,36.39,316.32K,-0.92%
2023-11-26,36.8,37.0,37.38,36.57,333.37K,0.08%
2023-11-23,36.77,37.47,37.9,36.65,1.00M,-0.65%
2023-11-22,37.01,37.36,38.5,37.0,2.17M,-0.78%
2023-11-21,37.3,36.0,37.3,35.7,1.09M,4.54%
2023-11-20,35.68,36.4,37.2,35.57,444.16K,-1.71%
2023-11-19,36.3,36.65,37.0,36.06,271.93K,-0.17%
2023-11-16,36.36,36.0,37.3,35.53,536.48K,1.99%
2023-11-15,35.65,37.42,37.42,35.31,659.96K,-2.86%
2023-11-14,36.7,38.54,39.15,36.5,863.29K,-3.93%
2023-11-13,38.2,34.5,40.2,34.0,2.37M,12.35%
2023-11-12,34.0,35.5,36.0,34.0,396.31K,-3.19%
2023-11-09,35.12,34.0,36.0,33.7,2.41M,3.75%
2023-11-08,33.85,34.0,34.19,33.7,331.82K,0.15%
2023-11-07,33.8,33.99,34.2,33.7,522.45K,-0.03%
2023-11-06,33.81,34.39,34.68,33.61,501.07K,-1.43%
2023-11-05,34.3,33.97,34.75,33.61,690.76K,2.54%
2023-11-02,33.45,33.01,34.0,33.01,363.92K,1.52%
2023-11-01,32.95,34.0,34.5,32.6,691.47K,-3.09%
2023-10-31,34.0,32.8,34.85,32.4,2.92M,3.98%
2023-10-30,32.7,33.06,33.45,32.3,617.36K,-1.03%
2023-10-29,33.04,32.5,33.6,32.25,2.94M,2.45%
2023-10-26,32.25,32.9,32.97,31.8,906.05K,0.19%
2023-10-25,32.19,31.4,33.0,31.25,3.32M,3.60%
2023-10-24,31.07,30.87,31.98,30.84,1.75M,0.84%
2023-10-23,30.81,30.97,31.5,30.65,1.19M,-0.23%
2023-10-22,30.88,31.0,31.4,30.05,896.37K,0.16%
2023-10-19,30.83,31.5,31.77,30.83,1.08M,-2.13%
2023-10-18,31.5,30.99,32.9,30.76,3.11M,2.41%
2023-10-17,30.76,29.64,31.9,29.21,3.56M,3.85%
2023-10-16,29.62,28.8,29.94,28.75,2.57M,3.82%
2023-10-15,28.53,27.93,28.98,27.93,815.89K,2.15%
2023-10-12,27.93,27.99,28.2,27.65,852.71K,1.20%
2023-10-11,27.6,28.44,28.88,27.6,3.04M,-2.47%
2023-10-10,28.3,27.95,28.54,27.78,525.58K,1.11%
2023-10-09,27.99,27.5,28.0,27.4,264.33K,2.15%
2023-10-08,27.4,28.0,28.5,26.0,712.16K,-4.16%
2023-10-04,28.59,27.8,28.6,27.6,238.37K,3.03%
2023-10-03,27.75,28.2,28.94,27.73,463.69K,-2.63%
2023-10-02,28.5,29.15,29.5,27.22,1.32M,-2.26%
2023-10-01,29.16,29.89,30.0,29.13,634.87K,-2.44%
2023-09-27,29.89,30.3,30.49,29.12,714.19K,-1.22%
2023-09-26,30.26,30.35,30.75,30.16,447.61K,-0.46%
2023-09-25,30.4,30.74,30.98,30.15,1.35M,-1.14%
2023-09-24,30.75,30.65,31.23,30.17,2.32M,0.82%
2023-09-21,30.5,29.09,30.85,28.8,2.45M,4.49%
2023-09-20,29.19,29.49,29.5,28.63,1.09M,-0.55%
2023-09-19,29.35,28.61,29.5,28.61,696.62K,1.98%
2023-09-18,28.78,28.66,28.89,28.53,286.74K,0.45%
2023-09-17,28.65,29.0,29.0,28.6,481.34K,-0.87%
2023-09-14,28.9,28.74,29.2,28.5,742.41K,1.33%
2023-09-13,28.52,28.18,28.6,28.0,779.52K,1.49%
2023-09-12,28.1,28.7,28.95,28.02,1.45M,-2.43%
2023-09-11,28.8,29.53,29.59,28.61,1.35M,-2.70%
2023-09-10,29.6,28.5,29.78,28.0,3.22M,4.26%
2023-09-07,28.39,27.29,28.4,27.07,3.10M,4.03%
2023-09-06,27.29,26.81,27.39,26.8,1.53M,2.90%
2023-09-05,26.52,26.92,27.32,26.52,746.78K,-1.41%
2023-09-04,26.9,26.15,27.6,26.07,2.80M,3.42%
2023-09-03,26.01,26.6,26.65,25.95,458.63K,-1.10%
2023-08-31,26.3,26.68,26.75,26.3,355.38K,-1.50%
2023-08-30,26.7,26.79,26.9,26.4,550.68K,-0.30%
2023-08-29,26.78,26.43,27.0,26.43,1.03M,1.32%
2023-08-28,26.43,26.45,26.69,26.31,430.88K,0.00%
2023-08-27,26.43,26.21,26.47,26.2,101.87K,0.57%
2023-08-24,26.28,26.4,26.4,26.09,335.16K,0.34%
2023-08-23,26.19,26.35,26.68,26.18,695.09K,-0.42%
2023-08-22,26.3,26.1,26.35,26.05,261.62K,1.11%
2023-08-21,26.01,26.05,26.5,26.0,433.21K,0.15%
2023-08-20,25.97,26.01,26.29,25.91,133.91K,-0.12%
2023-08-17,26.0,26.34,26.38,25.86,515.78K,-1.03%
2023-08-16,26.27,26.5,26.69,26.21,434.96K,-0.79%
2023-08-15,26.48,26.5,26.74,25.95,532.60K,0.15%
2023-08-14,26.44,26.91,26.99,26.42,498.50K,-0.97%
2023-08-13,26.7,26.75,26.8,26.5,232.11K,0.68%
2023-08-10,26.52,27.2,27.2,26.52,1.48M,-2.03%
2023-08-09,27.07,26.9,27.69,26.7,1.29M,0.63%
2023-08-08,26.9,27.02,27.24,26.72,521.22K,-1.32%
2023-08-07,27.26,26.4,27.31,26.15,1.88M,3.06%
2023-08-06,26.45,25.9,26.45,25.8,746.74K,2.08%
2023-08-03,25.91,26.0,26.0,25.73,90.68K,-0.35%
2023-08-02,26.0,26.0,26.1,25.57,469.67K,0.00%
2023-08-01,26.0,26.3,26.3,25.8,554.62K,-0.76%
2023-07-31,26.2,25.7,26.27,25.52,1.53M,3.15%
2023-07-30,25.4,24.99,26.25,24.71,1.14M,2.79%
2023-07-27,24.71,24.95,25.0,24.7,89.21K,-0.48%
2023-07-26,24.83,25.05,25.09,24.6,132.73K,-0.68%
2023-07-25,25.0,25.27,25.44,24.91,202.03K,-1.15%
2023-07-24,25.29,25.5,25.65,25.1,490.54K,-1.02%
2023-07-19,25.55,25.46,25.6,25.35,547.24K,0.35%
2023-07-18,25.46,25.01,25.59,25.01,999.30K,1.43%
2023-07-17,25.1,24.99,25.3,24.73,1.24M,0.80%
2023-07-16,24.9,25.0,25.1,24.81,546.90K,0.36%
2023-07-13,24.81,24.5,24.9,24.45,723.26K,1.56%
2023-07-12,24.43,25.0,25.4,24.31,818.74K,-2.90%
2023-07-11,25.16,25.27,25.75,24.9,1.84M,1.21%
2023-07-10,24.86,24.28,25.38,24.03,1.38M,2.39%
2023-07-09,24.28,24.45,24.85,23.5,406.02K,-0.82%
2023-07-06,24.48,24.65,24.9,24.15,350.49K,-0.08%
2023-07-05,24.5,25.4,25.54,24.47,544.56K,-2.97%
2023-07-04,25.25,25.9,26.07,25.22,692.30K,-2.43%
2023-06-26,25.88,25.7,25.9,25.4,894.67K,0.31%
2023-06-25,25.8,25.16,25.9,25.16,645.33K,2.22%
2023-06-22,25.24,25.5,25.5,24.9,1.41M,-0.86%
2023-06-21,25.46,26.0,26.24,25.45,1.02M,-2.08%
