Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,3.16,3.2,3.32,3.12,7.97M,-1.86%
2023-12-10,3.22,3.44,3.47,3.21,12.79M,-5.29%
2023-12-07,3.4,3.22,3.46,3.15,30.33M,7.94%
2023-12-06,3.15,3.12,3.29,3.06,13.50M,1.29%
2023-12-05,3.11,3.12,3.18,3.09,7.91M,1.30%
2023-12-04,3.07,3.07,3.11,3.03,4.82M,1.66%
2023-12-03,3.02,3.03,3.07,3.01,3.05M,1.00%
2023-11-30,2.99,3.05,3.07,2.98,3.96M,-1.64%
2023-11-29,3.04,3.11,3.14,3.01,5.15M,-1.62%
2023-11-28,3.09,3.12,3.35,3.07,8.52M,-0.32%
2023-11-27,3.1,3.09,3.15,3.03,4.33M,0.00%
2023-11-26,3.1,3.19,3.2,3.07,5.49M,-1.90%
2023-11-23,3.16,3.17,3.24,3.15,13.51M,0.96%
2023-11-22,3.13,2.95,3.13,2.95,15.89M,7.93%
2023-11-21,2.9,2.96,2.98,2.83,10.12M,-1.69%
2023-11-20,2.95,3.09,3.13,2.94,9.47M,-3.59%
2023-11-19,3.06,3.06,3.11,3.03,7.26M,0.33%
2023-11-16,3.05,3.12,3.12,3.0,5.81M,-0.97%
2023-11-15,3.08,3.09,3.13,3.04,5.21M,1.32%
2023-11-14,3.04,3.19,3.19,3.0,11.93M,-3.18%
2023-11-13,3.14,3.01,3.2,2.97,22.10M,5.72%
2023-11-12,2.97,2.87,3.03,2.86,12.91M,4.58%
2023-11-09,2.84,2.79,2.87,2.76,5.53M,2.90%
2023-11-08,2.76,2.83,2.86,2.73,4.07M,-1.08%
2023-11-07,2.79,2.8,2.87,2.73,5.87M,-0.36%
2023-11-06,2.8,2.68,2.84,2.65,9.85M,5.66%
2023-11-05,2.65,2.62,2.67,2.61,1.83M,1.92%
2023-11-02,2.6,2.56,2.63,2.55,1.53M,2.77%
2023-11-01,2.53,2.55,2.65,2.5,2.72M,-0.78%
2023-10-31,2.55,2.65,2.65,2.55,1.59M,-2.67%
2023-10-30,2.62,2.66,2.69,2.6,2.05M,-1.13%
2023-10-29,2.65,2.67,2.74,2.65,2.52M,-0.38%
2023-10-26,2.66,2.7,2.71,2.6,5.39M,-1.48%
2023-10-25,2.7,2.79,2.81,2.65,5.64M,-1.10%
2023-10-24,2.73,2.5,2.74,2.5,9.98M,9.64%
2023-10-23,2.49,2.51,2.52,2.48,1.04M,0.81%
2023-10-22,2.47,2.45,2.5,2.43,817.76K,0.82%
2023-10-19,2.45,2.49,2.51,2.44,1.18M,-0.41%
2023-10-18,2.46,2.52,2.55,2.46,1.86M,-1.60%
2023-10-17,2.5,2.44,2.51,2.42,2.52M,3.73%
2023-10-16,2.41,2.49,2.5,2.41,2.36M,-3.21%
2023-10-15,2.49,2.36,2.51,2.36,4.63M,5.96%
2023-10-12,2.35,2.36,2.41,2.35,1.17M,-1.26%
2023-10-11,2.38,2.38,2.41,2.36,1.19M,0.00%
2023-10-10,2.38,2.36,2.38,2.34,737.17K,0.85%
2023-10-09,2.36,2.34,2.4,2.34,602.76K,0.85%
2023-10-08,2.34,2.47,2.47,2.28,1.43M,-5.26%
2023-10-04,2.47,2.42,2.49,2.42,1.07M,2.49%
2023-10-03,2.41,2.43,2.51,2.41,1.33M,-1.63%
2023-10-02,2.45,2.53,2.54,2.44,1.26M,-2.00%
2023-10-01,2.5,2.55,2.55,2.48,880.08K,-1.96%
2023-09-27,2.55,2.59,2.61,2.52,938.79K,-1.16%
2023-09-26,2.58,2.63,2.66,2.58,1.15M,-1.53%
2023-09-25,2.62,2.65,2.68,2.61,840.65K,0.00%
2023-09-24,2.62,2.7,2.7,2.61,740.99K,-0.76%
2023-09-21,2.64,2.64,2.66,2.59,1.73M,0.38%
2023-09-20,2.63,2.72,2.74,2.62,861.08K,-2.59%
2023-09-19,2.7,2.71,2.79,2.69,2.15M,0.00%
2023-09-18,2.7,2.74,2.74,2.69,1.05M,-0.37%
2023-09-17,2.71,2.72,2.77,2.7,1.03M,-0.37%
2023-09-14,2.72,2.71,2.75,2.7,1.14M,-0.37%
2023-09-13,2.73,2.7,2.81,2.7,1.71M,1.87%
2023-09-12,2.68,2.68,2.73,2.64,1.41M,0.37%
2023-09-11,2.67,2.72,2.74,2.65,1.13M,-2.20%
2023-09-10,2.73,2.72,2.74,2.65,1.69M,0.74%
2023-09-07,2.71,2.72,2.75,2.67,1.60M,0.00%
2023-09-06,2.71,2.8,2.8,2.7,1.24M,-2.52%
2023-09-05,2.78,2.8,2.81,2.76,1.25M,0.36%
2023-09-04,2.77,2.8,2.81,2.74,1.47M,0.00%
2023-09-03,2.77,2.9,2.92,2.76,4.25M,-2.81%
2023-08-31,2.85,2.77,2.86,2.74,3.73M,4.01%
2023-08-30,2.74,2.81,2.84,2.73,2.34M,-1.44%
2023-08-29,2.78,2.86,2.87,2.77,2.82M,-1.77%
2023-08-28,2.83,2.9,2.93,2.81,3.22M,-2.08%
2023-08-27,2.89,2.87,2.97,2.85,9.44M,3.21%
2023-08-24,2.8,2.69,2.84,2.66,4.66M,4.09%
2023-08-23,2.69,2.89,2.9,2.68,7.97M,-6.60%
2023-08-22,2.88,2.63,2.88,2.62,12.67M,10.77%
2023-08-21,2.6,2.54,2.6,2.54,1.44M,1.96%
2023-08-20,2.55,2.57,2.6,2.53,259.61K,0.39%
2023-08-17,2.54,2.55,2.58,2.51,443.42K,-0.39%
2023-08-16,2.55,2.6,2.61,2.53,1.13M,-1.16%
2023-08-15,2.58,2.63,2.67,2.57,1.19M,-1.90%
2023-08-14,2.63,2.62,2.67,2.59,1.41M,1.54%
2023-08-13,2.59,2.59,2.65,2.57,1.77M,0.39%
2023-08-10,2.58,2.7,2.7,2.57,3.23M,-3.37%
2023-08-09,2.67,2.62,2.73,2.6,5.16M,2.69%
2023-08-08,2.6,2.64,2.65,2.59,1.45M,0.00%
2023-08-07,2.6,2.53,2.65,2.53,2.31M,3.17%
2023-08-06,2.52,2.55,2.56,2.51,706.46K,-1.56%
2023-08-03,2.56,2.47,2.56,2.1,2.81M,3.64%
2023-08-02,2.47,2.5,2.52,2.45,1.08M,-1.20%
2023-08-01,2.5,2.5,2.53,2.49,325.17K,0.00%
2023-07-31,2.5,2.54,2.54,2.49,628.97K,-0.40%
2023-07-30,2.51,2.5,2.56,2.5,698.00K,0.40%
