Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,19.02,18.25,19.8,18.01,1.73M,3.93%
2023-12-10,18.3,18.03,18.72,17.81,1.26M,2.87%
2023-12-07,17.79,17.84,17.84,17.13,152.62K,0.23%
2023-12-06,17.75,18.05,18.2,17.71,268.15K,-1.39%
2023-12-05,18.0,17.75,18.2,17.73,515.03K,1.64%
2023-12-04,17.71,17.35,17.8,17.35,252.25K,2.55%
2023-12-03,17.27,17.42,17.8,17.25,210.70K,-1.03%
2023-11-30,17.45,17.65,17.97,17.3,186.22K,-0.91%
2023-11-29,17.61,18.4,18.4,17.6,370.78K,-3.72%
2023-11-28,18.29,18.18,18.8,18.17,991.71K,0.66%
2023-11-27,18.17,17.78,18.3,17.78,401.35K,2.19%
2023-11-26,17.78,17.93,18.34,17.75,937.53K,0.91%
2023-11-23,17.62,17.49,17.84,17.21,766.49K,2.38%
2023-11-22,17.21,17.27,17.27,17.0,312.85K,0.06%
2023-11-21,17.2,16.98,17.24,16.6,450.35K,1.53%
2023-11-20,16.94,17.38,17.59,16.81,699.72K,-2.08%
2023-11-19,17.3,16.98,17.89,16.87,1.24M,1.76%
2023-11-16,17.0,17.08,17.38,16.87,514.02K,-0.18%
2023-11-15,17.03,16.94,17.43,16.75,522.76K,2.41%
2023-11-14,16.63,17.3,17.65,16.63,956.97K,-2.69%
2023-11-13,17.09,17.77,18.15,17.0,663.86K,-2.90%
2023-11-12,17.6,18.49,18.98,17.56,856.63K,-1.73%
2023-11-09,17.91,17.14,18.29,16.5,1.64M,5.35%
2023-11-08,17.0,16.0,17.46,16.0,3.16M,7.66%
2023-11-07,15.79,14.8,16.19,14.8,1.33M,6.33%
2023-11-06,14.85,14.82,15.0,14.71,192.26K,0.68%
2023-11-05,14.75,14.94,15.19,14.71,258.65K,-0.81%
2023-11-02,14.87,14.65,15.03,14.62,653.83K,1.57%
2023-11-01,14.64,14.82,15.16,14.6,233.13K,-2.40%
2023-10-31,15.0,15.24,15.4,14.7,518.95K,-1.38%
2023-10-30,15.21,15.06,15.4,15.03,414.76K,-1.11%
2023-10-29,15.38,15.0,15.9,14.88,173.22K,2.26%
2023-10-26,15.04,15.59,15.79,14.97,210.85K,-1.76%
2023-10-25,15.31,14.6,15.75,14.6,419.66K,5.66%
2023-10-24,14.49,14.6,14.97,14.01,95.23K,-0.62%
2023-10-23,14.58,14.52,14.85,14.52,82.82K,0.28%
2023-10-22,14.54,14.23,14.9,14.23,53.63K,0.97%
2023-10-19,14.4,14.8,14.8,14.35,203.79K,-3.03%
2023-10-18,14.85,15.09,15.12,14.69,215.64K,-1.00%
2023-10-17,15.0,14.68,15.01,14.34,481.74K,2.25%
2023-10-16,14.67,14.95,15.14,14.64,283.83K,-0.34%
2023-10-15,14.72,14.1,15.02,14.1,231.76K,5.14%
2023-10-12,14.0,13.95,14.1,13.95,83.63K,-1.62%
2023-10-11,14.23,14.19,14.5,13.86,35.63K,1.64%
2023-10-10,14.0,13.51,14.21,13.51,65.98K,3.63%
2023-10-09,13.51,13.31,13.75,13.3,44.32K,-1.10%
2023-10-08,13.66,14.5,14.67,12.8,485.39K,-6.12%
2023-10-04,14.55,14.5,14.7,14.4,87.01K,1.25%
2023-10-03,14.37,14.75,14.75,14.35,235.07K,-1.84%
2023-10-02,14.64,15.74,15.74,14.5,203.65K,-4.00%
2023-10-01,15.25,15.69,15.69,15.1,95.84K,-0.33%
2023-09-27,15.3,15.87,15.9,15.3,228.00K,-1.86%
2023-09-26,15.59,15.77,15.99,15.52,124.31K,-0.95%
2023-09-25,15.74,15.8,16.05,15.57,559.67K,-0.88%
2023-09-24,15.88,16.24,16.25,15.8,202.64K,-0.81%
2023-09-21,16.01,15.66,16.15,15.66,134.18K,3.22%
2023-09-20,15.51,16.02,16.29,15.5,208.17K,-3.72%
2023-09-19,16.11,16.25,16.58,16.05,195.96K,-1.17%
2023-09-18,16.3,16.38,16.76,16.29,317.65K,-0.18%
2023-09-17,16.33,16.26,16.9,16.21,726.06K,1.74%
2023-09-14,16.05,15.4,17.45,15.25,1.89M,7.21%
2023-09-13,14.97,14.96,15.15,14.51,232.15K,1.70%
2023-09-12,14.72,14.93,15.29,14.7,71.92K,-2.39%
2023-09-11,15.08,15.3,15.3,14.91,29.19K,-0.26%
2023-09-10,15.12,15.44,15.67,14.9,380.56K,-2.83%
2023-09-07,15.56,15.41,15.79,15.3,147.70K,0.32%
2023-09-06,15.51,15.61,15.8,15.5,110.53K,-1.59%
2023-09-05,15.76,15.8,15.95,15.49,284.22K,-0.32%
2023-09-04,15.81,16.2,16.39,15.75,219.14K,-2.83%
2023-09-03,16.27,16.51,16.79,16.11,274.59K,-2.40%
2023-08-31,16.67,16.04,16.89,15.9,975.60K,4.12%
2023-08-30,16.01,16.25,16.4,15.2,795.47K,-0.62%
2023-08-29,16.11,15.59,17.56,14.8,1.90M,10.04%
2023-08-28,14.64,12.3,14.64,12.3,1.54M,20.00%
2023-08-27,12.2,12.21,12.61,12.15,72.34K,-2.09%
2023-08-24,12.46,12.35,12.58,12.25,87.93K,0.00%
2023-08-23,12.46,12.58,12.58,12.31,60.22K,0.56%
2023-08-22,12.39,12.45,12.49,12.21,18.68K,0.00%
2023-08-21,12.39,12.13,12.45,12.13,71.44K,1.31%
2023-08-20,12.23,12.54,12.65,12.2,212.31K,-2.63%
2023-08-17,12.56,12.2,13.0,12.2,279.70K,3.46%
2023-08-16,12.14,12.2,12.3,12.0,166.07K,0.41%
2023-08-15,12.09,12.33,12.34,12.03,83.44K,-2.26%
2023-08-14,12.37,12.7,12.7,12.22,69.72K,-1.75%
2023-08-13,12.59,12.5,12.65,12.5,77.89K,0.88%
2023-08-10,12.48,12.0,12.5,12.0,146.34K,4.00%
2023-08-09,12.0,11.8,12.03,11.8,102.21K,1.52%
2023-08-08,11.82,11.81,11.9,11.75,30.42K,0.17%
2023-08-07,11.8,11.61,11.95,11.61,39.64K,1.29%
2023-08-06,11.65,11.55,11.99,11.55,15.31K,0.00%
2023-08-03,11.65,11.62,11.91,11.57,19.56K,0.00%
2023-08-02,11.65,11.9,11.9,11.6,79.13K,-2.84%
2023-08-01,11.99,11.96,12.1,11.72,17.80K,0.00%
2023-07-31,11.99,12.12,12.13,11.93,47.39K,0.33%
2023-07-30,11.95,12.0,12.19,11.88,57.95K,-1.08%
2023-07-27,12.08,12.1,12.1,11.82,18.96K,0.00%
2023-07-26,12.08,12.13,12.13,11.82,10.26K,0.00%
2023-07-25,12.08,12.16,12.16,11.97,17.63K,0.00%
2023-07-24,12.08,12.11,12.29,12.01,26.89K,-0.25%
2023-07-19,12.11,12.12,12.28,12.0,74.51K,-0.98%
2023-07-18,12.23,12.21,12.45,12.0,68.52K,0.25%
2023-07-17,12.2,12.3,12.45,12.1,54.90K,-0.25%
2023-07-16,12.23,12.26,12.64,12.1,93.75K,-0.97%
2023-07-13,12.35,12.51,12.79,12.21,142.70K,-1.28%
