Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,31.2,31.81,31.82,31.14,77.85K,-2.35%
2023-12-10,31.95,31.6,32.37,31.5,108.42K,1.11%
2023-12-07,31.6,32.2,32.7,31.0,141.39K,-2.59%
2023-12-06,32.44,32.89,33.0,32.02,88.29K,-1.61%
2023-12-05,32.97,33.0,33.4,32.86,51.89K,-0.12%
2023-12-04,33.01,32.8,33.3,32.8,124.78K,0.06%
2023-12-03,32.99,33.32,33.33,32.76,67.46K,-0.39%
2023-11-30,33.12,33.48,33.5,33.0,83.34K,-1.08%
2023-11-29,33.48,33.25,33.57,32.7,114.08K,1.36%
2023-11-28,33.03,32.9,33.77,32.9,101.26K,0.21%
2023-11-27,32.96,32.49,33.0,32.06,118.96K,2.14%
2023-11-26,32.27,31.94,32.5,31.62,141.66K,1.19%
2023-11-23,31.89,30.82,31.93,30.82,155.81K,3.10%
2023-11-22,30.93,30.9,31.33,30.52,87.35K,0.75%
2023-11-21,30.7,30.94,30.94,30.52,65.39K,0.16%
2023-11-20,30.65,31.1,31.49,30.5,176.67K,-0.26%
2023-11-19,30.73,29.58,31.3,29.4,341.49K,5.71%
2023-11-16,29.07,29.0,29.98,29.0,235.85K,1.54%
2023-11-15,28.63,28.0,28.75,28.0,183.66K,1.85%
2023-11-14,28.11,27.84,28.29,27.7,99.08K,1.66%
2023-11-13,27.65,27.91,27.99,27.5,159.11K,-0.32%
2023-11-12,27.74,27.95,28.22,27.69,221.95K,-0.57%
2023-11-09,27.9,28.02,28.27,27.87,1.61M,-0.36%
2023-11-08,28.0,28.43,28.43,27.95,736.48K,0.00%
2023-11-07,28.0,28.38,28.5,28.0,776.67K,-0.07%
2023-11-06,28.02,28.5,28.84,28.0,189.46K,-1.30%
2023-11-05,28.39,28.44,28.47,28.2,87.10K,0.60%
2023-11-02,28.22,28.23,28.4,28.16,48.04K,-0.04%
2023-11-01,28.23,28.46,28.7,28.15,99.30K,-0.81%
2023-10-31,28.46,28.47,28.51,28.33,115.50K,-0.11%
2023-10-30,28.49,28.47,28.66,28.4,98.41K,0.07%
2023-10-29,28.47,28.75,28.75,28.41,149.15K,0.25%
2023-10-26,28.4,29.07,29.5,28.31,497.30K,-2.27%
2023-10-25,29.06,28.5,29.47,28.4,290.65K,2.36%
2023-10-24,28.39,28.4,28.8,28.3,200.64K,0.04%
2023-10-23,28.38,28.19,28.6,28.02,65.81K,0.67%
2023-10-22,28.19,28.0,28.3,28.0,50.85K,0.43%
2023-10-19,28.07,28.3,28.4,27.9,36.68K,-0.53%
2023-10-18,28.22,28.5,28.85,28.0,96.28K,-0.98%
2023-10-17,28.5,27.85,29.4,27.81,182.04K,1.86%
2023-10-16,27.98,27.85,28.0,27.51,73.00K,1.01%
2023-10-15,27.7,27.5,28.18,27.4,41.39K,1.09%
2023-10-12,27.4,27.31,27.66,27.3,45.45K,-0.11%
2023-10-11,27.43,27.65,27.78,27.34,17.39K,-0.47%
2023-10-10,27.56,27.41,27.85,27.34,13.21K,0.55%
2023-10-09,27.41,27.74,27.75,27.17,37.90K,0.92%
2023-10-08,27.16,28.0,28.0,27.0,37.50K,-3.17%
2023-10-04,28.05,27.8,28.26,27.5,80.93K,1.15%
2023-10-03,27.73,27.76,27.97,27.62,21.58K,-0.04%
2023-10-02,27.74,27.66,27.99,27.6,54.47K,0.33%
2023-10-01,27.65,27.92,28.0,27.35,71.22K,-0.97%
2023-09-27,27.92,27.4,28.49,27.4,131.99K,2.23%
2023-09-26,27.31,27.36,27.48,27.31,43.01K,-0.07%
2023-09-25,27.33,27.72,27.72,27.28,20.46K,0.07%
2023-09-24,27.31,27.75,27.75,27.1,53.56K,-0.65%
2023-09-21,27.49,27.25,27.7,27.09,101.41K,0.70%
2023-09-20,27.3,27.47,27.6,27.3,41.47K,-0.18%
2023-09-19,27.35,27.46,27.5,27.3,26.15K,-0.07%
2023-09-18,27.37,27.4,27.5,27.26,15.45K,-0.47%
2023-09-17,27.5,27.1,27.5,27.06,51.26K,1.63%
2023-09-14,27.06,27.2,27.25,27.04,50.39K,-0.59%
2023-09-13,27.22,27.1,27.34,27.02,9.45K,0.00%
2023-09-12,27.22,27.1,27.39,27.1,17.86K,-0.22%
2023-09-11,27.28,27.25,27.5,26.85,41.38K,0.26%
2023-09-10,27.21,26.7,27.25,26.65,79.77K,2.60%
2023-09-07,26.52,26.25,26.6,26.25,60.41K,1.11%
