Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.99,0.99,0.99,0.989,26.63K,0.00%
2023-12-10,0.99,0.99,0.99,0.99,6.15K,0.00%
2023-12-07,0.99,0.989,0.99,0.989,46.56K,0.10%
2023-12-06,0.989,0.99,0.99,0.989,15.04K,-0.10%
2023-12-05,0.99,0.99,0.99,0.99,51.76K,0.00%
2023-12-04,0.99,0.99,0.99,0.988,21.89K,0.00%
2023-12-03,0.99,0.988,0.99,0.988,11.76K,0.00%
2023-11-30,0.99,0.989,0.99,0.988,43.89K,0.10%
2023-11-29,0.989,0.989,0.99,0.988,22.92K,0.00%
2023-11-28,0.989,0.99,0.99,0.986,47.26K,0.00%
2023-11-27,0.989,0.989,0.989,0.988,12.24K,0.10%
2023-11-26,0.988,0.989,0.989,0.987,17.11K,-0.10%
2023-11-23,0.989,0.989,0.989,0.988,9.58K,0.00%
2023-11-22,0.989,0.99,0.99,0.989,6.88K,0.00%
2023-11-21,0.989,0.989,0.99,0.989,32.57K,-0.10%
2023-11-20,0.99,0.99,0.99,0.989,31.43K,0.10%
2023-11-19,0.989,0.985,0.99,0.985,25.77K,-0.10%
2023-11-16,0.99,0.989,0.99,0.985,82.47K,0.20%
2023-11-15,0.988,0.989,0.99,0.985,25.54K,-0.10%
2023-11-14,0.989,0.989,0.989,0.985,56.22K,0.20%
2023-11-13,0.987,0.989,0.99,0.985,26.68K,0.20%
2023-11-12,0.985,0.99,0.99,0.985,17.03K,-0.10%
2023-11-09,0.986,0.99,0.99,0.985,23.19K,-0.40%
2023-11-08,0.99,0.988,0.999,0.988,34.75K,0.20%
2023-11-07,0.988,0.988,0.99,0.988,4.95K,0.00%
2023-11-06,0.988,0.99,0.99,0.986,24.31K,-0.20%
2023-11-05,0.99,0.99,0.99,0.989,13.22K,0.00%
2023-11-02,0.99,0.99,0.994,0.989,54.12K,0.00%
2023-11-01,0.99,0.99,0.99,0.989,21.20K,-0.10%
2023-10-31,0.991,0.99,0.992,0.988,27.28K,0.10%
2023-10-30,0.99,0.99,0.997,0.989,55.27K,-0.80%
2023-10-29,0.998,0.99,0.999,0.988,31.90K,0.81%
2023-10-26,0.99,0.993,0.994,0.99,46.55K,0.00%
2023-10-25,0.99,0.99,0.998,0.988,64.09K,0.00%
2023-10-24,0.99,0.99,0.995,0.987,19.42K,0.10%
2023-10-23,0.989,0.989,0.995,0.987,58.32K,-0.10%
2023-10-22,0.99,0.995,0.995,0.987,127.29K,-0.80%
2023-10-19,0.998,0.991,0.999,0.99,24.10K,0.81%
2023-10-18,0.99,0.988,0.991,0.985,32.18K,0.51%
2023-10-17,0.985,0.989,0.99,0.984,49.33K,-0.40%
2023-10-16,0.989,0.99,0.995,0.989,51.80K,-0.10%
2023-10-15,0.99,0.999,0.999,0.99,118.85K,-0.70%
2023-10-12,0.997,0.996,0.999,0.996,16.00K,-0.20%
2023-10-11,0.999,0.998,1.0,0.996,56.13K,0.00%
2023-10-10,0.999,0.999,0.999,0.998,37.52K,0.20%
2023-10-09,0.997,1.0,1.0,0.996,32.59K,-0.10%
2023-10-08,0.998,0.996,0.999,0.996,10.89K,-0.10%
2023-10-04,0.999,0.996,0.999,0.996,9.52K,0.00%
2023-10-03,0.999,0.996,0.999,0.996,11.25K,0.60%
2023-10-02,0.993,0.995,0.996,0.993,14.96K,0.00%
2023-10-01,0.993,0.995,0.999,0.993,9.13K,0.00%
2023-09-27,0.993,0.996,0.996,0.991,25.20K,-0.30%
2023-09-26,0.996,0.999,0.999,0.995,13.25K,-0.10%
2023-09-25,0.997,0.999,1.0,0.996,47.17K,-0.10%
2023-09-24,0.998,0.999,1.0,0.997,72.73K,-0.10%
2023-09-21,0.999,0.998,0.999,0.998,128.05K,0.00%
2023-09-20,0.999,1.0,1.0,0.998,199.48K,-0.10%
2023-09-19,1.0,0.999,1.0,0.998,72.11K,0.20%
2023-09-18,0.998,0.998,0.998,0.998,12.93K,-0.10%
2023-09-17,0.999,0.999,1.0,0.997,20.76K,0.20%
2023-09-14,0.997,0.999,1.0,0.996,42.00K,-0.20%
2023-09-13,0.999,0.999,1.0,0.998,17.47K,-0.10%
2023-09-12,1.0,1.0,1.0,0.998,13.19K,0.20%
2023-09-11,0.998,1.0,1.0,0.995,30.45K,0.30%
2023-09-10,0.995,1.0,1.0,0.995,31.87K,-0.50%
2023-09-07,1.0,1.0,1.0,0.998,68.97K,0.00%
