Date,Price,Open,High,Low,Vol.,Change %
2023-12-07,6.31,6.94,6.94,6.94,0.03K,0.00%
2023-12-06,6.31,6.94,6.94,6.94,0.01K,0.00%
2023-12-05,6.31,6.94,6.94,6.94,0.01K,0.00%
2023-11-19,6.31,6.94,6.94,6.94,0.00K,0.00%
2023-10-15,6.31,6.94,6.94,6.94,0.18K,0.00%
2023-10-12,6.31,6.94,6.94,6.94,0.14K,0.00%
2023-10-03,6.31,6.94,6.94,6.94,0.01K,0.00%
2023-08-29,6.31,6.94,6.94,6.94,0.09K,0.00%
2023-08-16,6.31,6.94,6.94,6.94,0.09K,0.00%
2023-07-24,6.31,6.53,6.53,6.53,0.01K,0.00%
2023-06-19,6.31,6.94,6.94,6.94,0.02K,0.00%
2023-06-12,6.31,6.31,6.31,6.31,,0.00%
2023-06-04,6.31,6.94,6.94,6.94,0.02K,0.00%
2023-05-14,6.31,6.91,6.91,6.89,0.10K,0.00%
2023-03-22,6.31,6.94,6.94,6.94,0.01K,0.00%
2023-03-15,6.31,6.51,6.51,6.51,0.01K,0.00%
2022-10-26,6.31,6.94,6.94,6.94,0.01K,0.00%
2022-10-18,6.31,5.21,6.94,5.21,0.08K,0.00%
2022-10-17,6.31,5.21,5.22,5.21,0.16K,0.00%
2022-08-07,6.31,5.18,5.18,5.18,0.01K,0.00%
2022-06-27,6.31,6.94,6.94,6.94,0.01K,0.00%
2022-06-13,6.31,6.94,6.94,6.94,0.03K,0.00%
2022-06-12,6.31,6.94,6.94,6.94,0.10K,0.00%
2022-05-23,6.31,6.93,6.93,6.93,0.04K,0.00%
2022-05-08,6.31,6.0,6.0,6.0,0.01K,0.00%
2022-04-20,6.31,6.9,6.9,6.9,0.45K,0.00%
2022-04-12,6.31,6.94,6.94,6.94,0.00K,0.00%
2022-03-31,6.31,5.18,5.18,5.18,0.00K,0.00%
2022-03-30,6.31,5.18,5.18,5.18,0.01K,0.00%
2022-03-20,6.31,5.18,5.18,5.18,0.01K,0.00%
2022-03-15,6.31,6.0,6.0,6.0,0.01K,0.00%
2022-01-30,6.31,6.33,6.33,6.33,0.00K,0.00%
2022-01-26,6.31,6.94,6.94,6.94,0.45K,0.00%
2022-01-25,6.31,6.94,6.94,6.94,0.05K,0.00%
2021-12-06,6.31,6.1,6.1,6.1,0.13K,0.00%
2021-10-18,6.31,6.12,6.12,6.12,0.02K,0.00%
2021-10-13,6.31,6.12,6.12,6.12,0.08K,0.00%
2021-10-06,6.31,6.31,6.31,6.12,0.11K,0.00%
2021-09-15,6.31,6.94,6.94,6.94,0.11K,0.00%
2021-09-07,6.31,6.13,6.13,6.13,0.50K,0.00%
2021-08-04,6.31,6.15,6.15,6.15,0.03K,0.00%
2021-07-12,6.31,6.1,6.1,6.1,0.01K,0.00%
2021-06-30,6.31,6.62,6.62,6.62,0.50K,0.00%
2021-06-09,6.31,6.15,6.15,6.15,0.09K,0.00%
2021-05-26,6.31,6.31,6.62,6.2,1.56K,0.00%
2021-05-24,6.31,6.2,6.2,6.2,0.01K,0.00%
2021-05-19,6.31,6.62,6.62,6.62,0.03K,0.00%
2021-05-17,6.31,6.62,6.62,6.62,0.96K,0.00%
2021-05-11,6.31,6.62,6.62,6.62,0.01K,0.00%
2021-04-15,6.31,6.62,6.62,6.62,0.01K,0.00%
2021-03-25,6.31,6.62,6.62,6.62,0.05K,0.00%
2021-03-22,6.31,6.62,6.62,6.62,0.00K,0.00%
2021-02-04,6.31,6.62,6.62,6.62,0.54K,0.00%
2021-01-27,6.31,6.62,6.62,6.62,0.03K,0.00%
2021-01-17,6.31,6.62,6.62,6.62,0.03K,0.00%
2021-01-12,6.31,6.62,6.62,6.62,1.18K,0.00%
2020-12-07,6.31,6.62,6.62,6.62,0.01K,0.00%
2020-12-02,6.31,6.62,6.62,6.62,0.11K,0.00%
2020-11-12,6.31,6.61,6.61,6.61,0.04K,0.00%
2020-10-12,6.31,6.62,6.62,6.62,0.11K,0.00%
2020-09-14,6.31,6.62,6.62,6.62,0.05K,0.00%
2020-07-29,6.31,6.62,6.62,6.62,0.22K,0.00%
2020-07-28,6.31,6.62,6.62,6.62,0.03K,0.00%
2020-07-21,6.31,6.62,6.62,6.62,0.01K,0.00%
2020-07-20,6.31,6.62,6.62,6.62,0.23K,0.00%
2020-07-19,6.31,6.62,6.62,6.62,0.02K,0.00%
2020-07-14,6.31,6.62,6.62,6.62,0.16K,0.00%
2020-06-24,6.31,6.62,6.62,6.62,0.01K,0.00%
2020-06-22,6.31,6.62,6.62,6.62,0.12K,0.00%
2020-06-03,6.31,4.1,4.1,4.1,0.03K,0.00%
2020-05-19,6.31,6.0,6.0,6.0,1.01K,0.00%
2020-05-18,6.31,6.0,6.0,6.0,0.50K,0.00%
2020-05-17,6.31,6.62,6.62,6.0,0.59K,0.00%
2020-05-13,6.31,6.46,6.46,6.3,0.12K,0.00%
2020-05-10,6.31,6.0,6.0,6.0,0.01K,0.00%
2020-05-07,6.31,6.31,6.31,6.31,0.05K,0.00%
2020-04-26,6.31,6.62,6.62,6.62,0.12K,0.00%
2020-04-23,6.31,6.62,6.62,6.62,1.06K,0.00%
2020-04-14,6.31,6.62,6.62,6.62,0.03K,0.00%
2020-04-09,6.31,6.62,6.62,6.62,0.01K,0.00%
