Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.68,1.62,1.68,1.62,73.51K,2.74%
2023-12-10,1.64,1.68,1.72,1.64,256.20K,-2.09%
2023-12-07,1.67,1.65,1.7,1.61,77.80K,0.00%
2023-12-06,1.67,1.63,1.7,1.62,122.36K,0.00%
2023-12-05,1.68,1.61,1.7,1.61,116.67K,1.33%
2023-12-04,1.65,1.6,1.68,1.6,92.51K,0.00%
2023-12-03,1.65,1.64,1.72,1.6,99.11K,-2.02%
2023-11-30,1.68,1.75,1.77,1.64,79.55K,0.00%
2023-11-29,1.68,1.69,1.69,1.61,214.09K,4.14%
2023-11-28,1.62,1.5,1.62,1.47,429.81K,9.84%
2023-11-27,1.47,1.49,1.5,1.47,113.52K,-1.27%
2023-11-26,1.49,1.5,1.5,1.44,67.95K,0.00%
2023-11-23,1.49,1.46,1.51,1.31,280.59K,2.75%
2023-11-22,1.45,1.44,1.47,1.43,49.42K,0.00%
2023-11-21,1.45,1.48,1.48,1.44,101.98K,0.00%
2023-11-20,1.45,1.46,1.49,1.45,75.51K,0.00%
2023-11-19,1.45,1.5,1.5,1.44,138.14K,-0.48%
2023-11-16,1.46,1.51,1.51,1.44,196.46K,-1.75%
2023-11-15,1.49,1.53,1.53,1.47,33.57K,0.00%
2023-11-14,1.49,1.47,1.54,1.44,194.36K,-1.26%
2023-11-13,1.5,1.47,1.51,1.47,38.79K,0.00%
2023-11-12,1.5,1.51,1.52,1.47,56.36K,0.00%
2023-11-09,1.5,1.45,1.54,1.45,108.58K,3.72%
2023-11-08,1.45,1.45,1.49,1.45,35.83K,0.00%
2023-11-07,1.45,1.48,1.55,1.43,297.47K,-6.51%
2023-11-06,1.55,1.47,1.57,1.47,133.58K,0.00%
2023-11-05,1.55,1.55,1.6,1.48,49.62K,0.00%
2023-11-02,1.55,1.43,1.55,1.43,67.67K,0.00%
2023-11-01,1.55,1.58,1.75,1.54,413.78K,-9.51%
2023-10-30,1.71,1.81,1.81,1.72,15.28K,0.00%
2023-10-29,1.71,1.74,1.83,1.61,197.17K,-4.03%
2023-10-26,1.79,1.85,1.85,1.75,126.92K,-1.05%
2023-10-25,1.8,1.85,1.85,1.7,44.03K,0.00%
2023-10-24,1.8,1.85,1.91,1.77,135.64K,-4.19%
2023-10-23,1.88,1.94,1.94,1.94,1.50K,0.00%
2023-10-22,1.88,1.65,1.93,1.65,86.51K,4.67%
2023-10-19,1.8,1.86,1.9,1.8,295.37K,-9.55%
2023-10-18,1.99,1.98,1.98,1.87,8.13K,0.00%
2023-10-17,1.99,1.97,2.0,1.9,278.40K,-1.97%
2023-10-16,2.03,1.97,2.09,1.96,372.00K,-0.98%
2023-10-15,2.05,1.96,2.0,1.95,43.09K,0.00%
2023-10-12,2.05,2.02,2.1,1.9,570.67K,0.00%
2023-10-11,2.04,2.0,2.15,1.93,632.07K,4.29%
2023-10-10,1.96,2.04,2.06,1.91,47.10K,0.00%
2023-10-09,1.96,1.8,2.04,1.8,13.15K,0.00%
2023-10-08,1.96,1.91,1.96,1.76,19.81K,0.00%
2023-10-04,1.96,2.06,2.06,1.93,65.05K,0.00%
2023-10-02,1.96,2.05,2.05,1.94,92.65K,-5.77%
2023-10-01,2.08,1.95,2.15,1.9,252.94K,3.48%
2023-09-27,2.01,1.9,1.94,1.87,18.07K,0.00%
2023-09-26,2.01,1.99,2.01,1.9,27.14K,0.00%
2023-09-25,2.01,1.86,2.09,1.86,185.17K,-2.43%
2023-09-24,2.06,2.06,2.06,1.87,75.21K,0.00%
2023-09-21,2.06,2.17,2.19,2.04,610.18K,-6.36%
2023-09-20,2.2,2.19,2.19,2.1,54.63K,0.00%
2023-09-19,2.2,2.11,2.2,2.11,18.31K,0.00%
2023-09-18,2.2,2.17,2.2,2.09,284.91K,2.80%
2023-09-17,2.14,2.11,2.15,2.1,127.91K,0.47%
2023-09-14,2.13,2.13,2.13,2.1,27.44K,0.00%
2023-09-13,2.13,2.18,2.18,2.1,138.95K,-2.29%
2023-09-12,2.18,2.12,2.21,2.1,286.83K,2.35%
2023-09-11,2.13,2.13,2.21,2.08,322.15K,-2.29%
2023-09-10,2.18,2.2,2.25,2.09,863.88K,5.31%
2023-09-07,2.07,2.18,2.29,2.0,141.94K,-5.05%
2023-09-06,2.18,2.1,2.25,2.05,146.82K,3.32%
2023-09-05,2.11,2.21,2.21,2.07,452.47K,-8.26%
2023-09-04,2.3,2.37,2.44,2.14,1.17M,-2.95%
2023-09-03,2.37,2.2,2.38,2.14,532.44K,7.73%
2023-08-31,2.2,2.23,2.28,2.13,161.53K,0.00%
2023-08-30,2.2,2.29,2.29,2.05,403.23K,-0.90%
2023-08-29,2.22,2.2,2.3,2.17,23.36K,0.00%
2023-08-28,2.22,2.3,2.32,2.15,157.93K,-3.90%
2023-08-27,2.31,2.35,2.35,2.24,57.94K,0.00%
2023-08-24,2.31,2.34,2.39,2.23,178.57K,0.00%
2023-08-23,2.31,2.24,2.5,2.24,1.19M,0.87%
2023-08-22,2.29,2.35,2.35,2.22,217.39K,-2.55%
2023-08-21,2.35,2.3,2.35,2.2,976.38K,3.52%
2023-08-20,2.27,2.19,2.3,2.06,303.03K,2.44%
2023-08-17,2.22,2.02,2.23,2.01,515.57K,9.43%
2023-08-16,2.03,2.0,2.1,2.0,203.27K,3.79%
2023-08-15,1.95,1.95,2.09,1.95,38.59K,0.00%
2023-08-14,1.95,1.95,2.0,1.94,81.06K,0.00%
2023-08-13,1.95,1.94,1.96,1.93,35.50K,0.00%
2023-08-10,1.95,2.02,2.04,1.9,124.02K,0.57%
2023-08-09,1.94,2.0,2.03,1.92,157.45K,-1.67%
2023-08-08,1.98,2.06,2.06,1.95,351.63K,-4.54%
2023-08-07,2.07,2.17,2.23,2.06,152.95K,-3.99%
2023-08-06,2.16,1.97,2.17,1.97,381.54K,9.16%
2023-08-03,1.98,2.0,2.0,1.95,11.30K,0.00%
2023-08-02,1.98,2.0,2.0,1.96,123.28K,-0.75%
2023-08-01,1.99,2.0,2.01,1.98,107.23K,0.76%
2023-07-31,1.98,1.98,2.07,1.98,63.24K,0.00%
2023-07-30,1.98,2.01,2.01,1.92,64.98K,0.00%
2023-07-27,1.98,1.98,2.17,1.98,36.22K,0.00%
2023-07-26,1.98,2.0,2.0,1.91,181.38K,-2.42%
2023-07-25,2.02,2.0,2.08,1.9,222.22K,1.71%
2023-07-24,1.99,2.02,2.09,1.99,24.36K,0.00%
2023-07-19,1.99,2.04,2.09,1.84,12.10K,0.00%
2023-07-18,1.99,2.01,2.05,1.97,94.34K,-0.50%
2023-07-17,2.0,2.0,2.16,1.99,1.03M,-2.91%
2023-07-16,2.06,2.28,2.28,2.0,276.92K,-2.74%
2023-07-13,2.12,2.06,2.19,1.94,307.45K,6.38%
2023-07-12,1.99,1.94,2.05,1.93,617.86K,2.73%
2023-07-11,1.94,2.0,2.0,1.78,235.22K,-1.97%
2023-07-10,1.98,1.98,1.98,1.9,1.00M,9.96%
2023-07-09,1.8,1.65,1.8,1.65,530.66K,9.97%
2023-07-06,1.63,1.72,1.77,1.65,32.19K,0.00%
2023-07-05,1.63,1.7,1.75,1.7,63.22K,0.00%
2023-07-04,1.63,1.77,1.77,1.6,50.70K,0.00%
2023-06-25,1.63,1.72,1.76,1.6,143.84K,-6.20%
2023-06-22,1.74,1.83,1.85,1.74,495.99K,-9.97%
2023-06-21,1.94,1.8,1.94,1.8,75.81K,0.00%
2023-06-20,1.94,1.8,1.94,1.76,80.14K,0.00%
2023-06-19,1.94,1.93,1.94,1.83,61.99K,0.00%
2023-06-18,1.94,2.0,2.0,1.85,54.50K,0.00%
2023-06-15,1.94,1.85,1.98,1.83,78.75K,1.04%
2023-06-14,1.92,1.85,1.99,1.81,76.33K,0.00%
2023-06-13,1.92,2.05,2.05,1.9,118.28K,-7.44%
2023-06-12,2.07,2.0,2.07,2.0,50.10K,4.76%
2023-06-11,1.98,1.98,2.07,1.85,297.20K,-0.75%
2023-06-08,1.99,2.0,2.05,1.88,74.60K,0.00%
2023-06-07,1.99,1.89,2.05,1.79,534.37K,4.96%
2023-06-06,1.9,1.75,1.9,1.72,190.20K,4.00%
2023-06-05,1.82,1.85,1.89,1.71,99.89K,0.44%
2023-06-04,1.82,1.7,1.89,1.68,152.50K,5.89%
2023-06-01,1.72,1.74,1.84,1.7,139.06K,-1.55%
2023-05-31,1.74,1.71,1.75,1.71,207.61K,1.93%
2023-05-30,1.71,1.65,1.72,1.65,211.80K,3.45%
2023-05-29,1.65,1.71,1.76,1.63,12.17K,0.00%
2023-05-28,1.65,1.72,1.72,1.63,108.07K,-2.48%
2023-05-25,1.69,1.73,1.85,1.66,156.92K,-2.19%
2023-05-24,1.73,1.63,1.74,1.63,363.87K,7.91%
2023-05-23,1.61,1.6,1.69,1.55,188.05K,-6.58%
2023-05-22,1.72,1.72,1.73,1.67,64.05K,0.00%
2023-05-21,1.72,1.6,1.72,1.6,1.17M,6.91%
2023-05-18,1.61,1.6,1.7,1.51,124.46K,0.00%
2023-05-17,1.61,1.64,1.69,1.6,154.43K,-2.13%
2023-05-16,1.64,1.69,1.69,1.65,54.00K,0.00%
2023-05-15,1.64,1.65,1.71,1.61,40.86K,0.00%
2023-05-14,1.64,1.7,1.78,1.63,367.91K,-1.50%
2023-05-11,1.67,1.67,1.67,1.66,35.55K,0.00%
2023-05-10,1.67,1.72,1.73,1.6,234.86K,-1.83%
2023-05-09,1.7,1.71,1.75,1.66,177.32K,-1.16%
2023-05-08,1.72,1.66,1.79,1.65,393.79K,5.53%
2023-05-07,1.63,1.62,1.68,1.6,93.56K,0.00%
2023-05-03,1.62,1.59,1.65,1.45,386.81K,0.62%
2023-05-02,1.61,1.68,1.74,1.6,323.74K,0.00%
2023-05-01,1.61,1.65,1.7,1.59,377.26K,0.75%
2023-04-30,1.6,1.66,1.68,1.6,316.94K,-2.14%
2023-04-27,1.64,1.64,1.66,1.53,383.27K,2.12%
2023-04-26,1.6,1.53,1.68,1.53,167.17K,4.71%
2023-04-19,1.53,1.55,1.55,1.48,141.80K,0.99%
2023-04-18,1.51,1.48,1.51,1.48,95.11K,0.00%
2023-04-13,1.51,1.42,1.58,1.42,113.26K,0.46%
2023-04-12,1.51,1.5,1.6,1.47,323.12K,0.00%
2023-04-11,1.51,1.46,1.57,1.45,280.95K,5.80%
2023-04-10,1.43,1.42,1.46,1.32,478.48K,2.58%
2023-04-09,1.39,1.42,1.45,1.31,135.94K,-0.57%
2023-04-06,1.4,1.4,1.45,1.38,682.83K,0.94%
2023-04-05,1.39,1.4,1.45,1.38,291.35K,0.00%
2023-04-04,1.38,1.3,1.39,1.28,137.92K,5.16%
