Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,2.02,1.95,2.0,1.86,14.30K,-0.49%
2023-12-10,2.03,1.99,2.05,1.93,49.30K,0.50%
2023-12-07,2.02,1.92,2.04,1.9,40.58K,0.00%
2023-12-06,2.02,2.0,2.03,1.95,31.00K,0.00%
2023-12-05,2.02,2.06,2.06,2.0,29.73K,0.00%
2023-12-04,2.02,2.02,2.06,2.0,194.25K,1.00%
2023-12-03,2.0,2.01,2.06,1.89,77.83K,-0.55%
2023-11-30,2.011,2.01,2.05,1.98,112.16K,-0.69%
2023-11-29,2.025,2.04,2.04,1.96,109.82K,-0.25%
2023-11-28,2.03,2.08,2.08,1.99,12.74K,0.00%
2023-11-27,2.03,2.07,2.08,1.99,120.50K,-0.78%
2023-11-26,2.046,2.05,2.06,2.0,108.48K,6.56%
2023-11-23,1.92,1.97,2.04,1.96,52.19K,0.00%
2023-11-22,1.92,2.05,2.07,1.84,143.10K,-5.88%
2023-11-21,2.04,2.01,2.05,2.01,34.50K,0.00%
2023-11-20,2.04,2.01,2.07,1.95,50.07K,0.00%
2023-11-19,2.04,2.03,2.08,2.01,112.68K,0.49%
2023-11-16,2.03,2.0,2.049,2.0,91.29K,0.20%
2023-11-15,2.026,1.963,2.06,1.9,165.11K,2.79%
2023-11-14,1.971,1.938,1.968,1.91,29.75K,0.00%
2023-11-13,1.971,1.86,1.938,1.851,25.13K,0.00%
2023-11-12,1.971,1.861,1.9,1.861,13.66K,0.00%
2023-11-09,1.971,1.852,1.9,1.851,6.96K,0.00%
2023-11-08,1.971,1.87,1.93,1.85,20.03K,0.00%
2023-11-07,1.971,1.86,1.9,1.86,6.46K,0.00%
2023-11-06,1.971,1.872,1.938,1.846,16.73K,0.00%
2023-11-05,1.971,1.84,1.91,1.84,25.46K,0.00%
2023-11-02,1.971,1.948,1.948,1.842,6.61K,0.00%
2023-11-01,1.971,1.846,1.95,1.777,63.74K,0.00%
2023-10-31,1.971,1.9,1.98,1.846,68.48K,0.00%
2023-10-30,1.971,1.9,1.98,1.84,68.71K,0.00%
2023-10-29,1.971,1.97,2.0,1.822,40.81K,0.00%
2023-10-26,1.971,1.85,2.06,1.85,76.17K,4.29%
2023-10-25,1.89,1.828,1.973,1.735,128.50K,5.35%
2023-10-24,1.794,1.781,1.83,1.734,95.66K,4.18%
2023-10-23,1.722,1.815,1.828,1.766,78.30K,0.00%
2023-10-22,1.722,1.78,1.785,1.753,22.60K,0.00%
2023-10-19,1.722,1.783,1.787,1.71,59.49K,0.00%
2023-10-18,1.722,1.72,1.839,1.7,35.42K,0.00%
