Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,6.03,5.85,6.06,5.77,38.75M,3.08%
2023-12-10,5.85,5.92,6.01,5.79,45.29M,1.04%
2023-12-07,5.79,5.64,5.79,5.45,19.57M,2.30%
2023-12-06,5.66,5.62,5.82,5.53,18.73M,0.89%
2023-12-05,5.61,5.68,5.75,5.6,14.42M,0.00%
2023-12-04,5.61,5.31,5.64,5.31,42.09M,5.85%
2023-12-03,5.3,5.36,5.38,5.28,8.61M,-0.38%
2023-11-30,5.32,5.27,5.42,5.26,15.78M,1.33%
2023-11-29,5.25,5.22,5.31,5.19,14.06M,0.96%
2023-11-28,5.2,5.22,5.27,5.19,16.63M,0.00%
2023-11-27,5.2,5.19,5.28,5.16,11.59M,0.78%
2023-11-26,5.16,5.32,5.38,5.15,16.26M,-3.01%
2023-11-23,5.32,5.27,5.35,5.21,22.61M,1.53%
2023-11-22,5.24,5.0,5.25,4.97,24.82M,5.65%
2023-11-21,4.96,5.02,5.05,4.92,22.71M,-1.78%
2023-11-20,5.05,5.17,5.17,4.99,12.89M,-1.37%
2023-11-19,5.12,5.1,5.23,5.1,19.20M,1.39%
2023-11-16,5.05,4.95,5.12,4.94,13.04M,2.64%
2023-11-15,4.92,4.94,5.0,4.84,14.01M,2.07%
2023-11-14,4.82,4.92,4.96,4.76,17.47M,-1.63%
2023-11-13,4.9,4.96,5.05,4.85,18.48M,-0.81%
2023-11-12,4.94,5.2,5.24,4.85,32.53M,-5.00%
2023-11-09,5.2,5.46,5.49,4.99,27.25M,-4.59%
2023-11-08,5.45,5.6,5.61,5.42,8.96M,-2.68%
2023-11-07,5.6,5.61,5.65,5.53,10.66M,0.00%
2023-11-06,5.6,5.38,5.6,5.37,23.03M,4.67%
2023-11-05,5.35,5.35,5.39,5.28,4.41M,0.75%
2023-11-02,5.31,5.16,5.36,5.16,3.44M,3.31%
2023-11-01,5.14,5.2,5.26,5.11,2.94M,-0.39%
2023-10-31,5.16,5.36,5.43,5.16,6.12M,-4.62%
2023-10-30,5.41,5.44,5.48,5.35,6.02M,-0.55%
2023-10-29,5.44,5.48,5.5,5.39,6.67M,-0.37%
2023-10-26,5.46,5.29,5.47,5.29,15.97M,3.80%
2023-10-25,5.26,5.11,5.44,5.09,18.20M,3.95%
2023-10-24,5.06,5.19,5.24,4.94,13.72M,-2.32%
2023-10-23,5.18,5.16,5.24,5.14,10.91M,0.58%
2023-10-22,5.15,5.02,5.17,5.01,7.98M,3.00%
2023-10-19,5.0,5.02,5.08,4.95,7.10M,0.00%
2023-10-18,5.0,5.0,5.11,4.95,17.17M,0.81%
2023-10-17,4.96,4.57,5.03,4.57,31.50M,9.01%
2023-10-16,4.55,4.43,4.62,4.42,15.40M,2.02%
2023-10-15,4.46,4.5,4.54,4.44,7.11M,-0.89%
2023-10-12,4.5,4.53,4.53,4.39,13.80M,-0.44%
2023-10-11,4.52,4.56,4.62,4.49,7.73M,0.00%
2023-10-10,4.52,4.44,4.55,4.41,9.80M,2.26%
2023-10-09,4.42,4.46,4.53,4.38,4.46M,-0.67%
2023-10-08,4.45,4.62,4.66,4.15,17.33M,-4.71%
2023-10-04,4.67,4.72,4.72,4.57,8.26M,-0.21%
2023-10-03,4.68,4.66,4.83,4.64,17.60M,1.08%
2023-10-02,4.63,4.84,4.87,4.58,16.98M,-3.54%
2023-10-01,4.8,5.2,5.2,4.8,17.18M,-7.16%
2023-09-27,5.17,5.39,5.43,5.12,14.55M,-4.08%
2023-09-26,5.39,5.36,5.43,5.34,10.36M,0.56%
2023-09-25,5.36,5.46,5.48,5.34,8.82M,-1.83%
2023-09-24,5.46,5.4,5.52,5.37,5.84M,1.49%
2023-09-21,5.38,5.36,5.49,5.28,10.88M,1.51%
2023-09-20,5.3,5.57,5.58,5.3,11.77M,-4.33%
2023-09-19,5.54,5.62,5.64,5.53,4.71M,-1.07%
2023-09-18,5.6,5.58,5.64,5.56,7.55M,0.90%
2023-09-17,5.55,5.59,5.6,5.55,2.49M,-0.18%
2023-09-14,5.56,5.63,5.65,5.55,4.37M,-1.24%
2023-09-13,5.63,5.54,5.63,5.51,6.69M,1.62%
2023-09-12,5.54,5.58,5.6,5.52,4.85M,-0.54%
2023-09-11,5.57,5.71,5.73,5.57,10.10M,-2.28%
2023-09-10,5.7,5.72,5.75,5.68,10.05M,0.71%
2023-09-07,5.66,5.52,5.73,5.47,17.81M,2.72%
2023-09-06,5.51,5.55,5.58,5.46,13.53M,0.00%
2023-09-05,5.51,5.58,5.61,5.51,6.54M,-1.08%
2023-09-04,5.57,5.56,5.6,5.53,2.63M,0.36%
2023-09-03,5.55,5.65,5.7,5.55,9.19M,-1.77%
2023-08-31,5.65,5.71,5.74,5.63,7.19M,-0.70%
2023-08-30,5.69,5.76,5.8,5.69,10.70M,-0.52%
2023-08-29,5.72,5.76,5.78,5.7,6.91M,0.18%
2023-08-28,5.71,5.7,5.84,5.7,14.60M,0.53%
2023-08-27,5.68,5.67,5.8,5.67,12.45M,0.35%
2023-08-24,5.66,5.62,5.67,5.59,2.78M,0.89%
2023-08-23,5.61,5.73,5.75,5.61,6.32M,-1.58%
2023-08-22,5.7,5.72,5.76,5.69,7.89M,0.53%
2023-08-21,5.67,5.63,5.71,5.63,12.72M,0.71%
2023-08-20,5.63,5.58,5.63,5.56,3.79M,0.72%
2023-08-17,5.59,5.59,5.62,5.53,3.19M,0.18%
2023-08-16,5.58,5.68,5.72,5.58,6.95M,-1.06%
2023-08-15,5.64,5.67,5.69,5.61,3.68M,0.00%
2023-08-14,5.64,5.61,5.75,5.6,14.55M,1.08%
2023-08-13,5.58,5.6,5.67,5.58,4.97M,0.00%
2023-08-10,5.58,5.6,5.63,5.5,9.33M,-0.36%
2023-08-09,5.6,5.66,5.72,5.59,15.18M,-0.88%
2023-08-08,5.65,5.7,5.81,5.65,26.25M,0.00%
2023-08-07,5.65,5.54,5.72,5.54,18.48M,1.99%
2023-08-06,5.54,5.45,5.55,5.41,7.30M,1.84%
2023-08-03,5.44,5.42,5.49,5.39,6.37M,0.18%
2023-08-02,5.43,5.55,5.55,5.42,6.68M,-2.16%
2023-08-01,5.55,5.63,5.67,5.5,6.69M,-1.42%
2023-07-31,5.63,5.63,5.72,5.59,12.73M,0.00%
2023-07-30,5.63,5.55,5.64,5.52,7.40M,1.62%
2023-07-27,5.54,5.55,5.55,5.49,3.70M,0.36%
2023-07-26,5.52,5.5,5.57,5.48,6.86M,-0.72%
2023-07-25,5.56,5.67,5.68,5.52,10.05M,-1.77%
2023-07-24,5.66,5.72,5.76,5.65,6.21M,-0.88%
2023-07-19,5.71,5.73,5.77,5.68,7.29M,-0.17%
2023-07-18,5.72,5.65,5.75,5.65,8.35M,1.60%
2023-07-17,5.63,5.6,5.67,5.57,10.11M,0.72%
2023-07-16,5.59,5.65,5.67,5.57,4.38M,-1.06%
2023-07-13,5.65,5.48,5.73,5.46,12.45M,3.67%
2023-07-12,5.45,5.56,5.57,5.44,5.60M,-1.62%
2023-07-11,5.54,5.45,5.54,5.38,10.63M,2.03%
2023-07-10,5.43,5.39,5.43,5.29,5.84M,2.45%
2023-07-09,5.3,5.56,5.58,5.3,7.64M,-4.50%
2023-07-06,5.55,5.59,5.6,5.51,8.47M,-0.18%
2023-07-05,5.56,5.55,5.64,5.53,7.26M,0.72%
2023-07-04,5.52,5.66,5.69,5.49,7.19M,-1.78%
2023-06-26,5.62,5.49,5.66,5.49,10.93M,2.93%
2023-06-25,5.46,5.68,5.71,5.44,10.78M,-3.53%
2023-06-22,5.66,5.7,5.74,5.57,13.46M,-0.35%
2023-06-21,5.68,5.83,5.87,5.66,12.78M,-2.41%
2023-06-20,5.82,5.9,5.99,5.82,9.54M,-0.85%
2023-06-19,5.87,5.99,6.07,5.83,14.74M,-1.34%
2023-06-18,5.95,5.96,6.01,5.93,9.48M,0.34%
2023-06-15,5.93,6.09,6.1,5.87,20.13M,-2.15%
2023-06-14,6.06,6.17,6.29,5.95,35.35M,-1.14%
2023-06-13,6.13,6.08,6.23,6.05,41.59M,0.66%
2023-06-12,6.09,6.19,6.2,6.07,20.32M,-0.98%
2023-06-11,6.15,5.83,6.17,5.83,62.34M,6.22%
2023-06-08,5.79,5.79,5.83,5.75,7.87M,0.35%
2023-06-07,5.77,5.89,5.96,5.77,14.96M,-1.37%
2023-06-06,5.85,5.85,5.96,5.83,19.03M,0.69%
2023-06-05,5.81,6.0,6.06,5.81,54.53M,-1.53%
2023-06-04,5.9,5.77,5.9,5.75,20.86M,3.33%
2023-06-01,5.71,5.74,5.77,5.69,7.39M,0.18%
2023-05-31,5.7,5.83,5.88,5.7,18.71M,-1.89%
2023-05-30,5.81,5.8,5.87,5.78,32.65M,0.69%
2023-05-29,5.77,5.82,5.85,5.72,5.18M,-0.69%
2023-05-28,5.81,5.71,5.84,5.66,10.50M,1.93%
