Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,8.69,8.59,8.89,8.4,2.59M,1.05%
2023-12-10,8.6,8.63,9.09,8.42,3.51M,0.23%
2023-12-07,8.58,8.64,8.7,8.2,3.19M,-1.38%
2023-12-06,8.7,8.79,9.24,8.55,5.74M,0.58%
2023-12-05,8.65,9.0,9.04,8.42,5.20M,-3.78%
2023-12-04,8.99,8.6,9.22,8.33,7.24M,5.39%
2023-12-03,8.53,8.07,8.88,8.07,13.07M,7.30%
2023-11-30,7.95,7.8,8.1,7.63,12.77M,2.19%
2023-11-29,7.78,7.24,7.92,7.17,14.75M,8.06%
2023-11-28,7.2,7.45,7.62,7.2,8.01M,-3.36%
2023-11-27,7.45,6.81,7.74,6.79,28.24M,9.56%
2023-11-26,6.8,6.71,6.87,6.7,7.09M,1.64%
2023-11-23,6.69,6.7,6.79,6.62,6.46M,0.60%
2023-11-22,6.65,6.72,6.76,6.55,3.98M,-0.15%
2023-11-21,6.66,6.39,6.72,6.35,9.21M,4.39%
2023-11-20,6.38,6.58,6.71,6.37,5.38M,-2.60%
2023-11-19,6.55,6.68,6.7,6.53,5.67M,-1.65%
2023-11-16,6.66,6.5,6.67,6.48,9.11M,3.74%
2023-11-15,6.42,6.2,6.53,6.2,17.76M,3.88%
2023-11-14,6.18,6.2,6.27,6.1,2.56M,0.65%
2023-11-13,6.14,6.2,6.3,6.13,3.73M,-0.97%
2023-11-12,6.2,6.29,6.42,6.11,3.52M,-0.96%
2023-11-09,6.26,6.2,6.4,6.1,8.35M,2.12%
2023-11-08,6.13,6.29,6.39,6.13,3.83M,-2.54%
2023-11-07,6.29,6.3,6.43,6.23,7.95M,0.96%
2023-11-06,6.23,6.2,6.33,6.08,4.93M,1.47%
2023-11-05,6.14,6.09,6.27,6.08,2.37M,1.66%
2023-11-02,6.04,5.93,6.16,5.93,2.73M,2.37%
2023-11-01,5.9,5.95,6.08,5.8,4.96M,-0.17%
2023-10-31,5.91,6.21,6.25,5.91,4.18M,-5.14%
2023-10-30,6.23,6.43,6.55,6.19,6.61M,-3.26%
2023-10-29,6.44,5.93,6.61,5.93,17.26M,7.69%
2023-10-26,5.98,5.96,6.09,5.89,4.16M,0.34%
2023-10-25,5.96,5.91,6.05,5.82,6.35M,2.23%
2023-10-24,5.83,5.91,6.06,5.72,10.14M,-0.85%
2023-10-23,5.88,5.68,5.88,5.67,7.35M,4.44%
2023-10-22,5.63,5.59,5.65,5.49,2.02M,1.26%
2023-10-19,5.56,5.63,5.7,5.54,2.97M,0.00%
2023-10-18,5.56,5.72,5.75,5.56,4.20M,-1.42%
2023-10-17,5.64,5.51,5.7,5.37,7.40M,3.11%
2023-10-16,5.47,5.38,5.51,5.33,2.01M,3.01%
2023-10-15,5.31,5.38,5.46,5.3,3.15M,-1.12%
2023-10-12,5.37,5.55,5.55,5.36,4.38M,-2.01%
2023-10-11,5.48,5.56,5.62,5.42,991.04K,-0.90%
2023-10-10,5.53,5.35,5.57,5.34,1.34M,3.75%
2023-10-09,5.33,5.39,5.45,5.23,1.08M,-1.30%
2023-10-08,5.4,5.6,5.63,4.6,2.28M,-3.23%
2023-10-04,5.58,5.61,5.65,5.53,1.37M,-0.18%
2023-10-03,5.59,5.57,5.74,5.55,2.35M,0.72%
2023-10-02,5.55,5.46,5.73,5.38,4.50M,1.83%
2023-10-01,5.45,5.57,5.57,5.44,1.14M,-1.62%
2023-09-27,5.54,5.65,5.7,5.46,2.01M,-1.95%
2023-09-26,5.65,5.73,5.8,5.64,1.77M,-0.35%
2023-09-25,5.67,5.69,5.77,5.61,4.72M,1.07%
2023-09-24,5.61,5.95,6.0,5.58,8.20M,-4.92%
2023-09-21,5.9,5.85,6.1,5.76,7.99M,1.55%
2023-09-20,5.81,6.16,6.19,5.75,7.08M,-4.75%
2023-09-19,6.1,6.27,6.29,6.09,1.81M,-2.40%
2023-09-18,6.25,6.28,6.31,6.25,949.60K,-0.32%
2023-09-17,6.27,6.35,6.4,6.22,3.62M,-0.32%
2023-09-14,6.29,6.2,6.38,6.2,6.05M,1.45%
2023-09-13,6.2,6.1,6.22,6.1,1.38M,1.64%
2023-09-12,6.1,6.19,6.2,6.09,635.75K,-1.13%
2023-09-11,6.17,6.23,6.25,6.14,2.14M,-0.16%
2023-09-10,6.18,6.1,6.26,6.1,1.91M,0.82%
2023-09-07,6.13,6.14,6.15,6.05,1.19M,0.49%
2023-09-06,6.1,6.12,6.18,6.06,1.68M,0.49%
2023-09-05,6.07,6.1,6.16,6.04,5.01M,0.00%
2023-09-04,6.07,6.2,6.25,6.0,3.95M,-1.94%
2023-09-03,6.19,6.3,6.33,6.18,1.52M,-0.80%
2023-08-31,6.24,6.33,6.38,6.2,2.38M,-1.58%
2023-08-30,6.34,6.47,6.49,6.28,1.77M,-1.40%
2023-08-29,6.43,6.22,6.54,6.22,6.37M,3.71%
2023-08-28,6.2,6.42,6.45,6.11,4.06M,-2.82%
2023-08-27,6.38,6.41,6.49,6.31,814.50K,-0.47%
2023-08-24,6.41,6.38,6.45,6.25,1.30M,1.75%
2023-08-23,6.3,6.5,6.55,6.28,1.10M,-2.33%
2023-08-22,6.45,6.5,6.58,6.43,598.09K,-0.46%
