Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,3.12,3.12,3.15,3.05,637.92K,-0.32%
2023-12-10,3.13,3.23,3.23,3.12,470.67K,-1.26%
2023-12-07,3.17,3.17,3.19,3.1,559.82K,-2.16%
2023-12-06,3.24,3.27,3.28,3.17,580.77K,-0.31%
2023-12-05,3.25,3.4,3.4,3.13,1.22M,-3.27%
2023-12-04,3.36,3.22,3.38,3.19,1.71M,4.67%
2023-12-03,3.21,3.27,3.32,3.18,809.00K,-1.83%
2023-11-30,3.27,3.25,3.31,3.1,1.71M,0.31%
2023-11-29,3.26,3.19,3.37,3.17,3.32M,2.52%
2023-11-28,3.18,3.12,3.3,3.07,3.01M,1.92%
2023-11-27,3.12,3.15,3.23,3.06,1.60M,0.00%
2023-11-26,3.12,3.29,3.29,3.09,2.74M,-2.19%
2023-11-23,3.19,3.34,3.49,3.1,5.63M,-1.85%
2023-11-22,3.25,2.72,3.25,2.72,5.31M,19.93%
2023-11-21,2.71,2.52,2.73,2.5,4.96M,15.81%
2023-11-20,2.34,2.45,2.45,2.3,799.53K,-2.50%
2023-11-19,2.4,2.48,2.48,2.37,280.86K,-0.83%
2023-11-16,2.42,2.48,2.5,2.37,435.88K,-2.81%
2023-11-15,2.49,2.35,2.5,2.35,825.29K,5.51%
2023-11-14,2.36,2.28,2.39,2.23,449.52K,3.06%
2023-11-13,2.29,2.3,2.3,2.22,129.49K,0.00%
2023-11-12,2.29,2.2,2.3,2.17,2.72M,3.62%
2023-11-09,2.21,2.2,2.27,2.16,791.06K,0.91%
2023-11-08,2.19,2.19,2.3,2.15,2.91M,0.92%
2023-11-07,2.17,2.1,2.2,2.09,1.40M,2.36%
2023-11-06,2.12,2.06,2.15,2.06,377.32K,3.41%
2023-11-05,2.05,2.11,2.15,2.03,1.21M,-2.24%
2023-11-02,2.097,2.07,2.1,2.009,501.99K,4.38%
2023-11-01,2.009,2.002,2.06,1.97,361.40K,-2.14%
2023-10-31,2.053,2.05,2.1,2.027,228.02K,-0.24%
