Date,Price,Open,High,Low,Vol.,Change %
2023-12-03,2.22,2.22,2.22,2.22,,0.00%
2023-06-12,2.22,2.22,2.22,2.22,,0.00%
2021-05-30,2.22,2.11,2.11,2.11,39.95K,0.00%
2021-05-17,2.22,2.11,2.11,2.11,0.09K,0.00%
2021-05-11,2.22,2.11,2.11,2.11,3.01K,0.00%
2021-05-10,2.22,2.11,2.11,2.11,0.34K,0.00%
2021-05-09,2.22,2.11,2.11,2.11,0.67K,0.00%
2021-05-06,2.22,2.11,2.11,2.11,28.23K,0.00%
2021-05-05,2.22,2.11,2.11,2.11,0.20K,0.00%
2021-05-04,2.22,2.11,2.11,2.11,0.10K,0.00%
2021-04-28,2.22,2.11,2.11,2.11,0.11K,0.00%
2021-04-25,2.22,2.11,2.11,2.11,0.03K,0.00%
2021-04-20,2.22,2.11,2.11,2.11,0.31K,0.00%
2021-04-19,2.22,2.11,2.11,2.11,0.01K,0.00%
2021-04-18,2.22,2.11,2.11,2.11,0.02K,0.00%
2021-04-15,2.22,2.11,2.11,2.11,0.09K,0.00%
2021-04-14,2.22,2.11,2.11,2.11,0.05K,0.00%
2021-04-13,2.22,2.11,2.11,2.11,0.14K,0.00%
2021-04-12,2.22,2.11,2.11,2.11,0.02K,0.00%
2021-04-11,2.22,2.11,2.11,2.11,0.18K,0.00%
2021-03-30,2.22,2.11,2.11,2.11,3.18K,0.00%
2021-03-24,2.22,2.11,2.11,2.11,0.80K,0.00%
2021-03-21,2.22,2.11,2.11,2.11,3.02K,0.00%
2021-03-17,2.22,2.22,2.33,2.22,125.00K,-4.72%
2021-03-15,2.33,2.33,2.33,2.33,50.00K,-4.90%
2021-03-14,2.45,2.33,2.33,2.33,3.00K,0.00%
2021-02-28,2.45,2.33,2.33,2.33,2.00K,0.00%
2021-02-24,2.45,2.33,2.33,2.33,3.00K,0.00%
2021-02-23,2.45,2.55,2.55,2.33,14.40K,0.00%
2021-02-22,2.45,2.33,2.51,2.33,6.00K,0.00%
2021-02-21,2.45,2.35,2.36,2.33,33.00K,0.00%
2021-02-18,2.45,2.33,2.33,2.33,23.15K,0.00%
2021-02-17,2.45,2.33,2.33,2.33,0.05K,0.00%
2021-02-15,2.45,2.33,2.33,2.33,0.50K,0.00%
2021-01-27,2.45,2.33,2.33,2.33,0.01K,0.00%
2021-01-14,2.45,2.33,2.33,2.33,1.00K,0.00%
2021-01-12,2.45,2.33,2.33,2.33,1.00K,0.00%
2021-01-11,2.45,2.33,2.33,2.33,0.03K,0.00%
2020-12-17,2.45,2.33,2.33,2.33,1.00K,0.00%
2020-12-16,2.45,2.33,2.33,2.33,1.00K,0.00%
2020-12-14,2.45,2.33,2.33,2.33,11.13K,0.00%
2020-12-13,2.45,2.33,2.33,2.33,2.00K,0.00%
2020-12-10,2.45,2.38,2.38,2.33,16.20K,0.00%
2020-12-09,2.45,2.34,2.54,2.34,6.85K,0.00%
2020-12-08,2.45,2.44,2.47,2.44,46.05K,-4.30%
2020-12-06,2.56,2.46,2.5,2.44,18.99K,0.00%
2020-12-03,2.56,2.44,2.44,2.44,1.82K,0.00%
2020-11-22,2.56,2.55,2.59,2.35,164.45K,3.64%
2020-10-20,2.47,2.47,2.47,2.47,13.73K,-5.00%
2020-10-19,2.6,2.6,2.7,2.59,24.04K,-4.41%
2020-10-18,2.72,2.65,2.65,2.59,7.55K,0.00%
2020-10-15,2.72,2.65,2.65,2.65,7.50K,0.00%
2020-10-14,2.72,2.79,2.85,2.79,5.00K,0.00%
2020-10-13,2.72,2.62,2.62,2.62,4.71K,0.00%
2020-10-12,2.72,2.75,2.75,2.69,19.60K,-2.16%
2020-10-11,2.78,2.8,2.8,2.68,41.19K,4.12%
2020-10-07,2.67,2.47,2.68,2.47,26.95K,4.30%
2020-10-06,2.56,2.52,2.7,2.47,20.65K,-1.16%
2020-10-05,2.59,2.65,2.65,2.52,17.60K,-1.89%
2020-10-04,2.64,2.57,2.67,2.55,30.60K,-0.38%
2020-10-01,2.65,2.59,2.68,2.55,64.62K,3.52%
2020-09-30,2.56,2.4,2.59,2.4,30.64K,3.64%
2020-09-29,2.47,2.5,2.52,2.35,32.02K,2.92%
2020-09-28,2.4,2.38,2.47,2.33,80.28K,1.69%
2020-09-27,2.36,2.39,2.39,2.35,31.06K,2.16%
2020-09-24,2.31,2.32,2.4,2.21,33.00K,0.87%
2020-09-23,2.29,2.3,2.33,2.2,18.58K,2.23%
2020-09-22,2.24,2.15,2.15,2.14,5.00K,0.00%
2020-09-21,2.24,2.23,2.32,2.16,25.90K,-0.88%
2020-09-20,2.26,2.3,2.33,2.17,13.40K,1.80%
2020-09-17,2.22,2.22,2.22,2.22,26.07K,4.72%
2020-09-14,2.12,2.17,2.22,2.17,3.46K,0.00%
2020-09-13,2.12,2.0,2.18,2.0,41.20K,2.17%
2020-09-10,2.075,1.972,1.972,1.972,10.00K,0.00%
2020-09-09,2.075,1.98,2.184,1.976,19.05K,-0.24%
2020-09-08,2.08,2.01,2.159,2.0,22.80K,1.12%
2020-09-07,2.057,2.1,2.1,2.1,5.20K,0.00%
2020-09-06,2.057,1.98,2.082,1.98,22.57K,3.73%
2020-09-03,1.983,1.9,1.996,1.9,18.00K,4.31%
2020-08-31,1.901,1.9,1.9,1.9,11.90K,0.00%
2020-08-18,1.901,1.91,1.95,1.9,41.70K,0.69%
2020-08-17,1.888,1.92,1.92,1.881,88.50K,-4.60%
2020-08-16,1.979,1.979,1.979,1.979,0.70K,0.00%
2020-08-13,1.979,1.979,1.979,1.979,15.18K,4.99%
2020-08-12,1.885,1.885,1.885,1.885,20.50K,4.96%
2020-08-10,1.796,1.85,1.85,1.8,10.00K,0.00%
2020-08-09,1.796,1.795,1.796,1.795,23.08K,4.97%
2020-08-06,1.711,1.735,1.735,1.67,18.50K,-1.38%
2020-08-05,1.735,1.735,1.735,1.735,27.18K,4.96%
2020-08-04,1.653,1.735,1.735,1.735,10.00K,0.00%
2020-07-29,1.653,1.657,1.657,1.58,47.85K,4.69%
2020-07-28,1.579,1.579,1.579,1.579,71.63K,4.99%
2020-07-27,1.504,1.504,1.504,1.504,63.00K,4.95%
2020-07-22,1.433,1.433,1.433,1.433,37.00K,4.98%
2020-07-21,1.365,1.4,1.4,1.36,23.00K,-4.41%
2020-07-20,1.428,1.31,1.434,1.31,33.50K,4.54%
2020-07-19,1.366,1.307,1.372,1.307,53.50K,4.51%
2020-07-15,1.307,1.25,1.25,1.25,5.00K,0.00%
2020-07-14,1.307,1.311,1.311,1.25,40.98K,4.64%
2020-07-13,1.249,1.249,1.25,1.249,61.25K,-4.95%
2020-07-12,1.314,1.249,1.375,1.249,15.80K,0.00%
2020-06-28,1.314,1.33,1.33,1.33,0.50K,0.00%
2020-06-24,1.314,1.249,1.249,1.249,2.80K,0.00%
2020-06-10,1.314,1.25,1.25,1.25,2.80K,0.00%
2020-06-08,1.314,1.3,1.3,1.25,6.73K,0.00%
2020-05-21,1.314,1.249,1.249,1.249,15.00K,0.00%
2020-05-06,1.314,1.379,1.379,1.379,2.00K,0.00%
2020-05-03,1.314,1.379,1.379,1.379,7.75K,0.00%
2020-04-30,1.314,1.379,1.379,1.379,4.00K,0.00%
2020-04-29,1.314,1.314,1.314,1.314,22.85K,-4.99%
2020-04-28,1.383,1.384,1.384,1.382,43.50K,-4.88%
2020-04-26,1.454,1.39,1.39,1.382,17.00K,0.00%
2020-04-23,1.454,1.454,1.455,1.454,127.60K,-4.97%
2020-04-21,1.53,1.455,1.5,1.454,10.25K,0.00%
2020-04-12,1.53,1.454,1.454,1.454,1.00K,0.00%
2020-04-07,1.53,1.5,1.5,1.49,3.00K,0.00%
2020-03-29,1.53,1.454,1.454,1.454,4.00K,0.00%
2020-03-26,1.53,1.454,1.454,1.454,5.00K,0.00%
2020-03-24,1.53,1.46,1.46,1.46,2.50K,0.00%
2020-03-22,1.53,1.454,1.454,1.454,2.23K,0.00%
2020-03-19,1.53,1.454,1.454,1.454,10.37K,0.00%
2020-03-16,1.53,1.46,1.46,1.455,8.25K,0.00%
2020-03-15,1.53,1.55,1.55,1.45,37.00K,1.53%
2020-03-11,1.507,1.58,1.582,1.58,5.00K,0.00%
2020-03-10,1.507,1.5,1.5,1.5,9.00K,0.00%
2020-03-09,1.507,1.5,1.588,1.445,25.00K,-0.59%
2020-03-08,1.516,1.505,1.505,1.505,9.14K,-4.47%
2020-03-05,1.587,1.588,1.588,1.587,20.32K,4.68%
2020-03-04,1.516,1.5,1.63,1.5,20.42K,-2.38%
