Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.381,0.387,0.388,0.374,5.09M,-2.31%
2023-12-10,0.39,0.396,0.405,0.385,10.69M,0.00%
2023-12-07,0.39,0.395,0.4,0.361,11.44M,-2.01%
2023-12-06,0.398,0.405,0.407,0.395,9.00M,-1.73%
2023-12-05,0.405,0.409,0.414,0.404,8.94M,0.00%
2023-12-04,0.405,0.404,0.415,0.404,7.47M,0.50%
2023-12-03,0.403,0.414,0.415,0.403,5.74M,-1.71%
2023-11-30,0.41,0.414,0.422,0.408,11.82M,-0.49%
2023-11-29,0.412,0.401,0.427,0.397,35.84M,3.00%
2023-11-28,0.4,0.407,0.41,0.397,14.39M,-0.74%
2023-11-27,0.403,0.407,0.411,0.4,12.93M,0.50%
2023-11-26,0.401,0.41,0.414,0.401,11.20M,-1.47%
2023-11-23,0.407,0.407,0.415,0.404,11.65M,0.74%
2023-11-22,0.404,0.406,0.409,0.4,16.15M,0.50%
2023-11-21,0.402,0.38,0.406,0.379,17.69M,6.07%
2023-11-20,0.379,0.393,0.396,0.371,11.40M,-2.57%
2023-11-19,0.389,0.393,0.398,0.388,6.38M,-0.26%
2023-11-16,0.39,0.393,0.398,0.39,8.88M,0.52%
2023-11-15,0.388,0.392,0.4,0.387,9.87M,-0.51%
2023-11-14,0.39,0.409,0.41,0.385,13.23M,-2.50%
2023-11-13,0.4,0.395,0.416,0.392,35.63M,2.04%
2023-11-12,0.392,0.405,0.414,0.391,34.21M,-0.25%
2023-11-09,0.393,0.371,0.409,0.371,61.13M,8.26%
2023-11-08,0.363,0.373,0.379,0.361,10.50M,-2.42%
2023-11-07,0.372,0.375,0.382,0.37,16.80M,0.00%
2023-11-06,0.372,0.352,0.377,0.348,37.64M,6.59%
2023-11-05,0.349,0.346,0.352,0.345,4.87M,3.25%
2023-11-02,0.338,0.333,0.344,0.333,4.04M,1.20%
2023-11-01,0.334,0.345,0.348,0.33,5.66M,-2.91%
2023-10-31,0.344,0.355,0.355,0.342,5.48M,-2.55%
2023-10-30,0.353,0.358,0.359,0.352,7.43M,0.28%
2023-10-29,0.352,0.355,0.361,0.35,14.07M,-0.28%
2023-10-26,0.353,0.359,0.364,0.35,9.95M,-1.40%
2023-10-25,0.358,0.35,0.364,0.35,22.93M,3.77%
2023-10-24,0.345,0.333,0.356,0.331,34.40M,4.55%
2023-10-23,0.33,0.333,0.338,0.327,9.53M,-0.30%
2023-10-22,0.331,0.323,0.333,0.321,3.83M,3.12%
2023-10-19,0.321,0.323,0.328,0.32,7.80M,-0.62%
2023-10-18,0.323,0.329,0.331,0.322,4.99M,-0.92%
