Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,22.59,23.13,23.98,22.25,64.88K,-3.25%
2023-12-10,23.35,24.89,24.89,23.02,64.14K,-2.71%
2023-12-07,24.0,24.32,24.46,23.5,71.23K,-2.52%
2023-12-06,24.62,25.0,25.87,24.5,83.96K,-0.20%
2023-12-05,24.67,26.5,26.89,24.01,188.08K,-4.68%
2023-12-04,25.88,26.74,27.4,25.61,65.50K,-3.18%
2023-12-03,26.73,24.99,27.99,24.99,335.08K,10.91%
2023-11-30,24.1,23.5,24.25,23.2,89.47K,4.42%
2023-11-29,23.08,23.59,23.89,23.0,58.13K,-0.47%
2023-11-28,23.19,23.85,24.0,23.08,70.26K,-1.57%
2023-11-27,23.56,24.05,24.4,23.4,68.57K,-1.79%
2023-11-26,23.99,22.9,24.2,22.72,171.57K,6.29%
2023-11-23,22.57,22.64,22.9,22.5,20.34K,-0.92%
2023-11-22,22.78,22.21,22.98,22.2,23.72K,0.93%
2023-11-21,22.57,21.61,23.1,21.6,61.85K,2.45%
2023-11-20,22.03,23.0,23.1,22.0,48.74K,-3.46%
2023-11-19,22.82,23.14,23.5,22.54,61.43K,0.93%
2023-11-16,22.61,22.5,23.4,22.01,75.25K,3.05%
2023-11-15,21.94,21.71,22.1,21.5,41.43K,0.83%
2023-11-14,21.76,22.01,22.5,21.52,47.65K,-1.49%
2023-11-13,22.09,22.04,22.79,21.71,37.63K,0.27%
2023-11-12,22.03,22.52,23.45,21.95,92.82K,-0.94%
2023-11-09,22.24,23.35,23.93,21.11,80.57K,-4.67%
2023-11-08,23.33,23.05,24.3,22.95,120.06K,2.50%
2023-11-07,22.76,23.7,24.6,22.07,124.37K,-1.26%
2023-11-06,23.05,23.7,23.89,22.7,110.06K,-2.04%
2023-11-05,23.53,21.98,25.65,21.22,297.08K,9.85%
2023-11-02,21.42,19.6,21.5,19.6,88.57K,12.80%
2023-11-01,18.99,20.01,20.34,18.77,72.26K,-5.05%
2023-10-31,20.0,21.1,21.48,19.76,91.50K,-4.72%
2023-10-30,20.99,21.99,22.0,20.8,163.70K,-3.76%
2023-10-29,21.81,22.33,23.0,20.6,251.69K,-1.36%
2023-10-26,22.11,23.03,25.78,22.05,381.74K,0.36%
2023-10-25,22.03,18.61,22.03,18.61,309.76K,19.99%
2023-10-24,18.36,18.4,19.3,17.51,204.78K,3.67%
2023-10-23,17.71,18.5,18.79,17.65,139.03K,-2.75%
2023-10-22,18.21,17.48,18.49,17.1,160.35K,6.55%
2023-10-19,17.09,16.41,17.88,16.31,163.14K,4.02%
2023-10-18,16.43,16.2,16.98,16.15,56.54K,0.12%
2023-10-17,16.41,15.91,16.94,15.91,26.56K,2.12%
2023-10-16,16.07,16.34,16.35,16.02,27.12K,-2.67%
2023-10-15,16.51,16.0,16.45,15.62,14.82K,0.00%
2023-10-12,16.51,16.25,16.45,16.13,4.28K,0.00%
2023-10-11,16.51,16.4,16.69,16.02,15.02K,0.00%
2023-10-10,16.51,16.06,16.65,15.25,36.61K,2.29%
