Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.244,1.229,1.229,1.182,48.83K,0.16%
2023-12-10,1.242,1.307,1.359,1.242,242.65K,-4.97%
2023-12-07,1.307,1.379,1.38,1.307,413.46K,-4.95%
2023-12-06,1.375,1.38,1.397,1.311,133.87K,0.00%
2023-12-05,1.375,1.447,1.5,1.375,1.04M,-4.98%
2023-12-04,1.447,1.442,1.517,1.442,1.55M,-4.61%
2023-12-03,1.517,1.442,1.442,1.442,50.01K,0.00%
2023-11-30,1.517,1.442,1.442,1.442,81.56K,0.00%
2023-11-29,1.517,1.442,1.442,1.442,40.88K,0.00%
2023-11-28,1.517,1.442,1.442,1.442,20.04K,0.00%
2023-11-27,1.517,1.442,1.442,1.442,20.00K,0.00%
2023-11-26,1.517,1.442,1.442,1.442,0.93K,0.00%
2023-11-22,1.517,1.442,1.442,1.442,9.00K,0.00%
2023-11-20,1.517,1.442,1.442,1.442,0.23K,0.00%
2023-11-19,1.517,1.442,1.442,1.442,3.32K,0.00%
2023-11-14,1.517,1.442,1.442,1.442,5.00K,0.00%
2023-11-06,1.517,1.442,1.442,1.442,0.14K,0.00%
2023-10-31,1.517,1.442,1.442,1.442,0.18K,0.00%
2023-10-30,1.517,1.442,1.442,1.442,2.31K,0.00%
2023-10-23,1.517,1.442,1.442,1.442,9.13K,0.00%
2023-10-19,1.517,1.442,1.442,1.442,9.30K,0.00%
2023-10-12,1.517,1.442,1.442,1.442,0.01K,0.00%
2023-10-08,1.517,1.442,1.442,1.442,0.62K,0.00%
2023-10-02,1.517,1.442,1.442,1.442,0.05K,0.00%
2023-10-01,1.517,1.442,1.442,1.442,4.05K,0.00%
2023-09-24,1.517,1.442,1.442,1.442,0.00K,0.00%
2023-09-21,1.517,1.442,1.442,1.442,2.10K,0.00%
2023-09-20,1.517,1.442,1.442,1.442,0.11K,0.00%
2023-09-19,1.517,1.442,1.442,1.442,0.11K,0.00%
2023-09-17,1.517,1.442,1.442,1.442,8.06K,0.00%
2023-09-14,1.517,1.442,1.442,1.442,2.26K,0.00%
2023-09-12,1.517,1.442,1.442,1.442,6.95K,0.00%
2023-09-11,1.517,1.517,1.517,1.517,204.10K,-4.95%
2023-09-10,1.596,1.517,1.517,1.517,0.18K,0.00%
2023-08-27,1.596,1.517,1.517,1.517,1.13K,0.00%
2023-08-20,1.596,1.517,1.517,1.517,3.90K,0.00%
2023-08-17,1.596,1.517,1.517,1.517,0.20K,0.00%
2023-08-10,1.596,1.517,1.517,1.517,3.50K,0.00%
2023-08-08,1.596,1.517,1.517,1.517,0.80K,0.00%
2023-07-27,1.596,1.517,1.517,1.517,0.01K,0.00%
2023-07-25,1.596,1.517,1.517,1.517,10.00K,0.00%
2023-07-19,1.596,1.517,1.517,1.517,0.32K,0.00%
2023-07-12,1.596,1.517,1.517,1.517,0.03K,0.00%
2023-06-18,1.596,1.517,1.517,1.517,0.10K,0.00%
2023-06-12,1.596,1.596,1.596,1.596,,0.00%
2023-06-05,1.596,1.517,1.517,1.517,7.04K,0.00%
2023-06-04,1.596,1.596,1.596,1.596,197.20K,-5.00%
2023-06-01,1.68,1.596,1.596,1.596,1.02K,0.00%
2023-04-06,1.68,1.596,1.596,1.596,0.01K,0.00%
2022-12-28,1.68,1.596,1.596,1.596,0.19K,0.00%
2022-12-26,1.68,1.596,1.596,1.596,0.10K,0.00%
2022-12-25,1.68,1.596,1.596,1.596,0.03K,0.00%
2022-12-22,1.68,1.596,1.596,1.596,0.09K,0.00%
2022-12-21,1.68,1.596,1.596,1.596,0.01K,0.00%
2022-12-20,1.68,1.596,1.596,1.596,0.05K,0.00%
2022-12-19,1.68,1.596,1.596,1.596,0.25K,0.00%
2022-12-18,1.68,1.596,1.596,1.596,4.23K,0.00%
2022-12-15,1.68,1.596,1.596,1.596,0.73K,0.00%
2022-12-14,1.68,1.596,1.596,1.596,3.42K,0.00%
2022-12-12,1.68,1.596,1.596,1.596,0.03K,0.00%
2022-12-11,1.68,1.596,1.596,1.596,0.01K,0.00%
2022-12-07,1.68,1.596,1.596,1.596,0.00K,0.00%
2022-12-05,1.68,1.596,1.596,1.596,4.11K,0.00%
2022-11-30,1.68,1.596,1.596,1.596,5.00K,0.00%
2022-11-28,1.68,1.596,1.596,1.596,0.07K,0.00%
2022-11-27,1.68,1.596,1.596,1.596,0.06K,0.00%
2022-11-06,1.68,1.596,1.596,1.596,0.02K,0.00%
2022-10-30,1.68,1.596,1.596,1.596,3.20K,0.00%
2022-10-27,1.68,1.596,1.596,1.596,0.02K,0.00%
2022-10-23,1.68,1.596,1.596,1.596,0.10K,0.00%
2022-10-12,1.68,1.596,1.596,1.596,0.02K,0.00%
2022-09-19,1.68,1.596,1.596,1.596,3.46K,0.00%
2022-09-14,1.68,1.596,1.596,1.596,6.29K,0.00%
2022-09-05,1.68,1.596,1.596,1.596,0.03K,0.00%
2022-09-04,1.68,1.596,1.596,1.596,0.38K,0.00%
2022-08-28,1.68,1.596,1.596,1.596,0.03K,0.00%
2022-08-18,1.68,1.596,1.596,1.596,0.01K,0.00%
2022-08-15,1.68,1.596,1.596,1.596,1.00K,0.00%
2022-08-07,1.68,1.596,1.596,1.596,1.37K,0.00%
2022-07-27,1.68,1.596,1.596,1.596,0.10K,0.00%
2022-07-07,1.68,1.596,1.596,1.596,0.10K,0.00%
2022-07-03,1.68,1.596,1.596,1.596,4.00K,0.00%
2022-06-29,1.68,1.596,1.596,1.596,8.00K,0.00%
2022-06-15,1.68,1.596,1.596,1.596,0.08K,0.00%
2022-06-07,1.68,1.596,1.596,1.596,0.17K,0.00%
2022-06-06,1.68,1.596,1.596,1.596,0.24K,0.00%
2022-05-25,1.68,1.596,1.596,1.596,0.20K,0.00%
2022-05-23,1.68,1.596,1.596,1.596,0.06K,0.00%
2022-05-18,1.68,1.596,1.596,1.596,0.50K,0.00%
