Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.51,0.503,0.503,0.485,314.14K,2.20%
2023-12-10,0.499,0.535,0.535,0.486,228.04K,-2.16%
2023-12-07,0.51,0.5,0.5,0.488,497.15K,0.00%
2023-12-06,0.51,0.5,0.51,0.492,190.09K,0.00%
2023-12-05,0.51,0.51,0.51,0.49,258.04K,0.00%
2023-12-04,0.51,0.514,0.514,0.49,425.27K,0.00%
2023-12-03,0.51,0.487,0.516,0.485,347.16K,0.00%
2023-11-30,0.51,0.505,0.52,0.488,247.35K,0.00%
2023-11-29,0.51,0.51,0.53,0.486,370.09K,0.00%
2023-11-28,0.51,0.52,0.526,0.499,623.40K,0.00%
2023-11-27,0.51,0.526,0.549,0.499,633.34K,-2.86%
2023-11-26,0.525,0.523,0.526,0.514,1.07M,4.79%
2023-11-23,0.501,0.51,0.52,0.505,533.43K,0.00%
2023-11-22,0.501,0.514,0.534,0.484,1.72M,-1.57%
2023-11-21,0.509,0.521,0.537,0.489,1.33M,-0.59%
2023-11-20,0.512,0.5,0.512,0.5,1.86M,4.92%
2023-11-19,0.488,0.488,0.488,0.465,1.93M,4.95%
2023-11-16,0.465,0.455,0.465,0.452,2.24M,4.97%
2023-11-15,0.443,0.445,0.455,0.44,394.31K,0.00%
2023-11-14,0.443,0.436,0.45,0.426,159.02K,0.00%
2023-11-13,0.443,0.45,0.455,0.436,117.03K,0.00%
2023-11-12,0.443,0.45,0.45,0.433,227.28K,0.00%
2023-11-09,0.443,0.44,0.459,0.43,107.22K,0.00%
2023-11-08,0.443,0.457,0.465,0.45,338.38K,0.00%
2023-11-07,0.443,0.438,0.446,0.432,696.48K,4.24%
2023-11-06,0.425,0.438,0.438,0.43,298.71K,0.00%
2023-11-05,0.425,0.434,0.438,0.415,232.46K,0.00%
2023-11-02,0.425,0.425,0.432,0.425,446.66K,0.00%
2023-11-01,0.425,0.429,0.434,0.424,887.45K,-0.47%
2023-10-31,0.427,0.427,0.439,0.425,784.97K,0.47%
2023-10-30,0.425,0.434,0.438,0.411,737.67K,0.24%
2023-10-29,0.424,0.43,0.436,0.429,508.10K,0.00%
2023-10-26,0.424,0.422,0.439,0.42,1.85M,-0.47%
2023-10-25,0.426,0.431,0.431,0.422,441.24K,0.00%
2023-10-24,0.426,0.44,0.447,0.421,861.16K,-3.84%
2023-10-23,0.443,0.42,0.452,0.42,728.23K,2.78%
2023-10-22,0.431,0.422,0.438,0.41,584.54K,0.00%
2023-10-19,0.431,0.427,0.429,0.42,333.58K,0.00%
2023-10-18,0.431,0.425,0.428,0.413,415.09K,0.00%
2023-10-17,0.431,0.417,0.432,0.412,658.47K,0.00%
2023-10-16,0.431,0.413,0.429,0.413,359.86K,0.00%
2023-10-15,0.431,0.429,0.43,0.414,448.06K,0.00%
2023-10-12,0.431,0.414,0.42,0.41,658.62K,0.00%
2023-10-11,0.431,0.41,0.42,0.41,50.50K,0.00%
2023-10-10,0.431,0.41,0.415,0.41,148.90K,0.00%
2023-10-09,0.431,0.41,0.412,0.41,415.35K,0.00%
2023-10-08,0.431,0.41,0.41,0.41,5.25K,0.00%
2023-10-03,0.431,0.41,0.41,0.41,232.59K,0.00%
2023-10-02,0.431,0.417,0.427,0.41,492.78K,0.00%
2023-10-01,0.431,0.42,0.427,0.42,82.20K,0.00%
2023-09-27,0.431,0.433,0.436,0.415,103.03K,0.00%
2023-09-26,0.431,0.44,0.44,0.431,922.18K,-4.86%
2023-09-25,0.453,0.44,0.44,0.431,216.42K,0.00%
2023-09-24,0.453,0.44,0.44,0.431,128.16K,0.00%
