Date,Price,Open,High,Low,Vol.,Change %
2023-12-03,1.443,1.443,1.443,1.443,,0.00%
2023-07-05,1.443,1.5,1.5,1.5,0.05K,0.00%
2023-06-12,1.443,1.443,1.443,1.443,,0.00%
2023-01-25,1.443,1.48,1.492,1.48,2.00K,0.00%
2022-11-22,1.443,1.371,1.484,1.371,0.80K,0.00%
2022-09-07,1.443,1.371,1.371,1.371,0.19K,0.00%
2022-07-31,1.443,1.39,1.495,1.39,0.50K,0.00%
2022-07-18,1.443,1.371,1.371,1.371,1.46K,0.00%
2022-07-07,1.443,1.371,1.371,1.371,0.06K,0.00%
2022-07-03,1.443,1.371,1.495,1.371,1.62K,0.00%
2022-06-12,1.443,1.41,1.41,1.41,1.50K,0.00%
2022-05-25,1.443,1.371,1.371,1.371,2.00K,0.00%
2022-02-15,1.443,1.371,1.371,1.371,0.24K,0.00%
2022-02-02,1.443,1.371,1.449,1.371,0.36K,0.00%
2022-01-05,1.443,1.414,1.414,1.414,0.51K,0.00%
2021-12-28,1.443,1.4,1.4,1.4,1.88K,0.00%
2021-12-21,1.443,1.421,1.421,1.421,2.00K,0.00%
2021-11-01,1.443,1.371,1.371,1.371,0.60K,0.00%
2021-10-05,1.443,1.4,1.4,1.4,0.09K,0.00%
2021-09-09,1.443,1.442,1.443,1.442,0.01K,0.00%
2021-09-06,1.443,1.442,1.442,1.442,0.00K,0.00%
2021-09-02,1.443,1.443,1.443,1.372,0.79K,0.00%
2021-09-01,1.443,1.372,1.372,1.372,1.03K,0.00%
2021-08-31,1.443,1.372,1.372,1.372,0.07K,0.00%
2021-08-30,1.443,1.443,1.443,1.443,5.00K,-4.94%
2021-05-25,1.518,1.443,1.443,1.443,0.01K,0.00%
2021-04-27,1.518,1.443,1.443,1.443,0.01K,0.00%
2021-04-25,1.518,1.443,1.443,1.443,0.03K,0.00%
2021-04-21,1.518,1.443,1.443,1.443,0.00K,0.00%
2021-04-20,1.518,1.443,1.443,1.443,0.01K,0.00%
2021-04-19,1.518,1.443,1.443,1.443,0.01K,0.00%
2021-04-18,1.518,1.443,1.443,1.443,0.09K,0.00%
2021-04-15,1.518,1.443,1.443,1.443,0.09K,0.00%
2021-04-14,1.518,1.443,1.443,1.443,0.01K,0.00%
2021-04-13,1.518,1.367,1.367,1.367,0.13K,0.00%
2021-01-18,1.518,1.367,1.367,1.367,0.15K,0.00%
2021-01-17,1.518,1.367,1.367,1.367,0.01K,0.00%
2021-01-13,1.518,1.367,1.367,1.367,0.02K,0.00%
2021-01-12,1.518,1.367,1.367,1.367,0.10K,0.00%
