Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,7.93,8.12,8.19,7.7,50.91K,-3.76%
2023-12-10,8.24,8.2,8.45,8.0,92.52K,4.44%
2023-12-07,7.89,8.11,8.11,7.06,93.91K,-3.31%
2023-12-06,8.16,8.29,8.43,8.1,52.12K,-2.16%
2023-12-05,8.34,8.8,8.8,8.25,80.86K,-3.25%
2023-12-04,8.62,7.88,8.8,7.87,296.61K,8.16%
2023-12-03,7.97,8.0,8.1,7.87,38.62K,-0.13%
2023-11-30,7.98,8.01,8.15,7.92,94.01K,-0.25%
2023-11-29,8.0,7.9,8.2,7.88,97.48K,0.13%
2023-11-28,7.99,8.05,8.14,7.88,30.73K,0.00%
2023-11-27,7.99,8.14,8.17,7.88,46.23K,0.38%
2023-11-26,7.96,8.38,8.5,7.76,110.55K,-2.09%
2023-11-23,8.13,7.73,8.7,7.58,291.76K,7.26%
2023-11-22,7.58,7.45,7.76,7.4,99.97K,0.13%
2023-11-21,7.57,7.3,7.98,7.26,151.00K,3.42%
2023-11-20,7.32,7.87,7.87,7.17,109.86K,-5.06%
2023-11-19,7.71,8.03,8.36,7.67,135.54K,-7.78%
2023-11-16,8.36,8.45,8.77,8.0,248.07K,0.24%
2023-11-15,8.34,6.82,8.35,6.8,350.50K,19.83%
2023-11-14,6.96,6.86,7.0,6.86,19.90K,0.00%
2023-11-13,6.96,6.9,7.0,6.87,46.97K,-1.28%
2023-11-12,7.05,7.0,7.15,6.9,26.97K,0.00%
2023-11-09,7.05,7.04,7.22,6.75,24.88K,0.00%
2023-11-08,7.05,7.15,7.22,6.93,51.86K,-5.50%
2023-11-07,7.46,6.94,7.0,6.9,42.56K,0.00%
2023-11-06,7.46,7.07,7.22,7.04,12.00K,0.00%
2023-11-05,7.46,6.9,7.26,6.8,8.88K,0.00%
2023-11-02,7.46,7.0,7.0,6.91,5.00K,0.00%
2023-11-01,7.46,7.1,7.1,6.86,0.11K,0.00%
2023-10-31,7.46,7.25,7.3,7.08,12.32K,0.00%
2023-10-30,7.46,7.35,7.35,7.12,19.10K,0.00%
2023-10-29,7.46,7.02,7.35,7.0,30.44K,0.00%
2023-10-26,7.46,7.65,7.7,7.31,41.23K,-2.23%
2023-10-25,7.63,7.17,7.59,7.17,22.98K,0.00%
2023-10-24,7.63,7.5,7.67,7.16,13.29K,0.00%
2023-10-23,7.63,7.0,7.77,7.0,61.69K,8.69%
2023-10-22,7.02,7.0,7.2,6.99,70.52K,0.14%
2023-10-19,7.01,6.85,7.17,6.65,97.42K,4.47%
2023-10-18,6.71,6.56,6.9,6.4,50.03K,1.36%
2023-10-17,6.62,6.4,6.8,6.32,45.74K,-0.15%
2023-10-16,6.63,6.43,6.54,6.41,6.56K,0.00%
2023-10-15,6.63,6.43,6.7,6.42,11.46K,0.00%
2023-10-12,6.63,6.42,6.52,6.4,17.45K,0.00%
2023-10-11,6.63,6.6,6.6,6.5,25.27K,0.00%
2023-10-10,6.63,6.76,6.8,6.38,50.11K,-1.78%
2023-10-09,6.75,6.8,6.92,6.66,74.13K,-17.78%
2023-10-08,8.21,7.14,7.14,6.72,1.10K,0.00%
2023-10-04,8.21,7.0,8.21,6.91,14.38K,0.00%
2023-10-03,8.21,6.93,7.14,6.91,37.60K,0.00%
2023-10-02,8.21,7.19,7.2,6.93,2.21K,0.00%
2023-10-01,8.21,7.0,8.21,7.0,17.66K,0.00%
2023-09-27,8.21,7.02,8.21,7.02,13.12K,0.00%
2023-09-26,8.21,7.2,8.21,7.0,12.94K,0.00%
2023-09-25,8.21,7.01,8.21,7.0,1.81K,0.00%
2023-09-24,8.21,7.04,7.2,7.02,5.46K,0.00%
2023-09-21,8.21,7.01,7.18,7.01,3.01K,0.00%
2023-09-20,8.21,7.11,7.3,7.02,10.72K,0.00%
2023-09-19,8.21,7.16,7.29,7.16,35.22K,0.00%
2023-09-18,8.21,7.24,7.27,7.12,4.91K,0.00%
2023-09-17,8.21,7.3,7.58,7.14,24.96K,0.00%
2023-09-14,8.21,7.16,7.23,7.06,15.36K,0.00%
2023-09-13,8.21,7.17,8.21,7.13,9.44K,0.00%
2023-09-12,8.21,7.26,8.21,7.13,18.37K,0.00%
2023-09-11,8.21,7.26,8.21,7.11,10.85K,0.00%
2023-09-10,8.21,7.35,8.21,7.13,30.20K,0.00%
2023-09-07,8.21,7.2,7.4,7.2,32.72K,0.00%
2023-09-06,8.21,7.63,7.64,7.17,20.67K,0.00%
2023-09-05,8.21,7.36,7.36,7.36,0.87K,0.00%
2023-09-04,8.21,7.41,7.45,7.41,2.61K,0.00%
2023-09-03,8.21,7.79,7.8,7.5,22.44K,0.00%
2023-08-31,8.21,7.65,7.84,7.4,8.36K,0.00%
2023-08-30,8.21,7.5,7.5,7.23,9.43K,0.00%
2023-08-29,8.21,7.3,7.4,7.3,6.52K,0.00%
2023-08-28,8.21,7.5,7.65,7.2,30.97K,0.00%
2023-08-27,8.21,7.25,7.8,7.25,18.72K,0.00%
2023-08-24,8.21,7.25,7.65,7.25,34.21K,0.00%
2023-08-23,8.21,7.15,7.45,7.08,36.26K,0.00%
2023-08-22,8.21,7.1,7.15,7.02,31.36K,0.00%
2023-08-21,8.21,7.01,7.2,7.01,1.50K,0.00%
2023-08-20,8.21,7.1,7.13,7.0,7.74K,0.00%
2023-08-17,8.21,7.01,7.1,7.0,14.46K,0.00%
2023-08-16,8.21,7.07,7.1,6.94,14.64K,0.00%
2023-08-15,8.21,7.0,7.08,6.93,15.43K,0.00%
2023-08-14,8.21,6.78,8.21,6.78,26.13K,0.00%
2023-08-13,8.21,6.83,7.0,6.75,1.46K,0.00%
2023-08-10,8.21,6.9,6.98,6.83,7.26K,0.00%
2023-08-09,8.21,6.95,7.0,6.81,11.70K,0.00%
2023-08-08,8.21,7.0,7.0,6.9,13.50K,0.00%
2023-08-07,8.21,7.05,7.19,6.99,12.93K,0.00%
2023-08-06,8.21,7.15,7.2,6.99,39.43K,0.00%
2023-08-03,8.21,6.7,8.21,6.7,10.37K,0.00%
