Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,131.69,133.5,134.85,126.3,4.66K,-0.32%
2023-12-10,132.11,122.8,136.44,117.0,14.58K,8.30%
2023-12-07,121.98,120.96,122.75,117.01,8.56K,0.39%
2023-12-06,121.51,117.56,122.9,117.4,8.54K,1.39%
2023-12-05,119.84,120.0,121.9,115.0,11.49K,0.07%
2023-12-04,119.76,108.99,121.9,108.4,21.74K,10.58%
2023-12-03,108.3,105.0,109.0,101.0,19.75K,4.07%
2023-11-30,104.06,103.0,104.8,88.01,36.96K,-27.26%
2023-11-29,143.06,141.99,144.5,139.02,25.44K,2.19%
2023-11-28,140.0,140.0,143.99,139.0,31.77K,-0.04%
2023-11-27,140.06,146.0,149.99,140.0,31.76K,-2.21%
2023-11-26,143.22,155.0,155.0,141.0,29.51K,-4.58%
2023-11-23,150.1,160.01,163.0,150.0,14.33K,-6.12%
2023-11-22,159.89,144.5,164.89,142.01,11.14K,12.19%
2023-11-21,142.52,140.0,147.47,135.01,5.66K,2.08%
2023-11-20,139.62,126.75,143.5,126.75,29.95K,10.29%
2023-11-19,126.59,133.0,133.0,122.22,15.45K,-4.21%
2023-11-16,132.16,132.75,134.0,131.03,15.27K,0.11%
2023-11-15,132.01,132.0,133.0,130.3,7.74K,1.44%
2023-11-14,130.14,129.69,133.74,127.0,8.07K,0.61%
2023-11-13,129.35,127.0,129.5,125.0,7.81K,1.13%
2023-11-12,127.9,128.99,129.91,125.52,9.35K,-0.02%
2023-11-09,127.92,127.95,128.99,122.0,5.62K,0.88%
2023-11-08,126.8,118.2,134.9,118.2,6.50K,7.21%
2023-11-07,118.27,116.5,118.84,116.5,15.73K,2.08%
2023-11-06,115.86,114.5,117.99,114.0,12.39K,1.64%
2023-11-05,113.99,119.99,120.0,112.0,26.70K,0.55%
2023-11-02,113.37,115.0,123.6,112.0,6.02K,-3.62%
2023-11-01,117.63,120.6,124.0,115.0,1.89K,0.00%
2023-10-31,117.63,124.99,130.0,120.0,1.52K,0.00%
2023-10-30,117.63,117.0,122.0,116.8,2.57K,-0.99%
2023-10-29,118.81,122.0,125.0,115.51,3.88K,-3.04%
2023-10-26,122.54,112.01,124.89,112.0,17.72K,11.38%
2023-10-25,110.02,111.0,118.89,110.0,12.07K,0.00%
2023-10-24,110.02,109.2,113.36,108.0,11.18K,0.82%
