Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.8,2.49,2.49,1.75,77.03K,-14.69%
2023-12-06,2.11,2.9,2.9,2.11,105.80K,-15.60%
2023-12-04,2.5,2.9,2.9,2.4,35.93K,-10.71%
2023-11-29,2.8,2.34,2.8,2.25,94.07K,18.14%
2023-11-27,2.37,2.39,2.39,1.94,26.73K,-0.42%
2023-11-22,2.38,2.28,2.39,1.99,38.56K,6.25%
2023-11-20,2.24,2.05,2.28,2.0,77.64K,14.29%
2023-11-15,1.96,2.05,2.05,1.95,16.46K,-2.00%
2023-11-13,2.0,1.94,2.01,1.85,16.00K,1.01%
2023-11-08,1.98,2.2,2.2,1.98,25.07K,0.00%
2023-11-06,1.98,2.4,2.4,1.92,33.82K,-12.00%
2023-11-01,2.25,1.82,2.25,1.81,11.40K,15.38%
2023-10-30,1.95,2.3,2.3,1.95,24.08K,-6.70%
2023-10-25,2.09,2.0,2.2,1.92,60.69K,7.18%
2023-10-23,1.95,1.95,1.95,1.75,29.40K,1.04%
2023-10-18,1.93,1.92,1.95,1.72,12.57K,0.52%
2023-10-16,1.92,1.94,1.94,1.68,32.80K,-1.03%
2023-10-11,1.94,1.96,1.96,1.71,41.64K,-0.51%
2023-10-09,1.95,1.95,1.96,1.75,20.39K,2.63%
2023-10-04,1.9,1.95,1.95,1.8,17.94K,6.74%
2023-10-02,1.78,1.96,1.96,1.78,8.36K,-9.18%
2023-09-27,1.96,1.74,1.99,1.74,36.57K,11.36%
2023-09-25,1.76,1.99,1.99,1.68,9.99K,-11.11%
2023-09-20,1.98,1.68,2.0,1.68,27.22K,-4.81%
2023-09-18,2.08,1.66,2.08,1.66,66.46K,8.33%
2023-09-13,1.92,1.7,1.97,1.66,55.70K,17.07%
2023-09-11,1.64,1.84,1.84,1.64,31.81K,-8.89%
2023-09-06,1.8,1.84,1.84,1.65,0.05K,5.88%
2023-09-04,1.7,1.84,1.84,1.65,2.45K,-5.03%
2023-08-30,1.79,1.72,1.79,1.7,23.60K,0.56%
2023-08-28,1.78,1.61,1.78,1.61,7.05K,-1.11%
2023-08-23,1.8,1.84,1.84,1.77,6.01K,-2.17%
2023-08-21,1.84,1.78,1.84,1.68,23.43K,2.22%
2023-08-16,1.8,1.65,1.8,1.65,24.60K,9.09%
