Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,26.33,24.0,26.13,24.0,6.37K,-0.45%
2023-12-10,26.45,26.84,26.9,25.5,7.54K,0.46%
2023-12-07,26.33,26.61,27.49,25.9,20.95K,-2.73%
2023-12-06,27.07,26.4,27.49,26.26,24.48K,4.48%
2023-12-05,25.91,27.0,27.0,25.6,22.09K,-0.84%
2023-12-04,26.13,27.97,28.0,25.6,35.01K,-2.90%
2023-12-03,26.91,27.2,27.29,26.83,12.87K,-1.79%
2023-11-30,27.4,26.97,28.49,26.97,17.70K,0.81%
2023-11-29,27.18,27.6,28.7,26.8,37.06K,-1.41%
2023-11-28,27.57,27.87,28.8,26.7,15.21K,-1.08%
2023-11-27,27.87,29.5,30.0,27.56,90.01K,-3.70%
2023-11-26,28.94,29.84,30.5,28.3,30.94K,-0.55%
2023-11-23,29.1,29.0,29.97,28.0,27.59K,4.04%
2023-11-22,27.97,29.99,30.0,27.9,70.20K,-3.68%
2023-11-21,29.04,29.02,31.55,28.5,81.95K,0.24%
2023-11-20,28.97,28.29,32.7,27.01,185.31K,6.16%
2023-11-19,27.29,28.88,28.88,26.0,47.11K,-1.52%
2023-11-16,27.71,28.69,29.14,26.61,187.42K,8.24%
2023-11-15,25.6,24.29,27.6,24.29,75.56K,1.51%
2023-11-14,25.22,25.4,26.88,23.1,104.58K,-0.71%
2023-11-13,25.4,25.12,29.85,24.55,219.81K,1.36%
2023-11-12,25.06,24.0,25.06,23.0,262.73K,19.96%
2023-11-09,20.89,18.02,20.89,17.67,387.80K,19.99%
2023-11-08,17.41,15.33,18.42,15.33,90.61K,7.01%
2023-11-07,16.27,16.0,16.0,15.25,7.23K,0.00%
2023-11-06,16.27,15.62,16.39,15.61,6.91K,0.00%
2023-11-05,16.27,15.99,16.27,15.6,11.80K,0.00%
2023-11-02,16.27,15.88,15.88,15.05,7.51K,0.00%
2023-11-01,16.27,15.8,16.27,14.9,6.96K,0.00%
2023-10-31,16.27,16.13,16.4,15.62,12.03K,0.00%
2023-10-30,16.27,17.36,17.39,15.2,18.20K,0.00%
2023-10-29,16.27,15.99,16.88,15.2,28.68K,4.43%
2023-10-26,15.58,15.0,15.6,14.7,7.97K,0.00%
2023-10-25,15.58,14.88,15.5,14.8,9.01K,0.00%
2023-10-24,15.58,15.5,15.5,14.4,15.61K,0.00%
2023-10-23,15.58,13.5,16.05,13.5,61.56K,0.26%
2023-10-22,15.54,13.55,13.98,13.5,18.73K,0.00%
2023-10-19,15.54,13.5,13.87,13.5,4.94K,0.00%
2023-10-18,15.54,13.5,13.87,13.3,4.10K,0.00%
2023-10-17,15.54,13.6,13.6,13.2,8.61K,0.00%
2023-10-16,15.54,13.32,13.71,13.32,4.10K,0.00%
2023-10-15,15.54,13.55,13.8,13.13,11.24K,0.00%
2023-10-12,15.54,13.93,13.93,13.47,4.12K,0.00%
2023-10-11,15.54,13.99,13.99,13.4,12.18K,0.00%
2023-10-10,15.54,13.49,13.95,13.49,5.14K,0.00%
2023-10-09,15.54,14.0,15.54,12.67,22.81K,0.00%
2023-10-08,15.54,13.56,15.54,13.05,4.64K,0.00%
2023-10-04,15.54,13.55,14.21,13.27,1.07K,0.00%
2023-10-03,15.54,13.86,14.19,13.72,5.84K,0.00%
2023-10-02,15.54,14.25,14.58,13.82,2.77K,0.00%
2023-10-01,15.54,13.71,14.5,13.71,4.86K,0.00%
2023-09-27,15.54,14.4,15.54,13.33,19.43K,0.00%
2023-09-26,15.54,14.28,14.6,14.19,4.55K,0.00%
2023-09-25,15.54,14.0,15.54,14.0,5.81K,0.00%
2023-09-24,15.54,15.5,15.5,14.0,2.34K,0.00%
2023-09-21,15.54,15.28,15.54,14.5,2.61K,0.00%
2023-09-20,15.54,15.33,15.54,14.71,5.99K,0.00%
2023-09-19,15.54,15.15,15.88,15.15,1.74K,0.00%
