Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,2.02,1.92,2.09,1.92,1.79M,4.12%
2023-12-06,1.94,1.97,2.05,1.93,975.46K,-1.52%
2023-12-04,1.97,1.93,2.0,1.93,1.18M,2.07%
2023-11-29,1.93,2.0,2.05,1.86,1.06M,-3.50%
2023-11-27,2.0,2.04,2.16,1.99,1.88M,-1.96%
2023-11-22,2.04,2.11,2.14,2.01,1.61M,-2.39%
2023-11-20,2.09,2.29,2.4,2.01,2.13M,-5.43%
2023-11-15,2.21,2.4,2.4,2.2,1.65M,-5.96%
2023-11-13,2.35,2.52,2.59,2.3,1.74M,-7.11%
2023-11-08,2.53,2.35,2.59,2.15,3.30M,10.00%
2023-11-06,2.3,2.03,2.5,2.03,3.75M,13.86%
2023-11-01,2.02,2.15,2.39,2.0,1.94M,-8.18%
2023-10-30,2.2,2.15,2.75,2.15,3.18M,0.00%
2023-10-25,2.2,1.85,2.21,1.85,2.86M,25.71%
2023-10-23,1.75,1.59,1.8,1.41,2.51M,22.38%
2023-10-18,1.43,1.6,1.6,1.4,622.37K,-5.92%
2023-10-16,1.52,1.55,1.72,1.51,953.52K,-0.65%
2023-10-11,1.53,1.45,1.75,1.45,718.29K,-1.29%
2023-10-09,1.55,1.51,1.8,1.51,1.20M,-6.06%
2023-10-04,1.65,1.32,1.77,1.32,1.88M,26.92%
2023-10-02,1.3,1.15,1.32,1.15,1.89M,12.07%
2023-09-27,1.16,1.17,1.19,1.12,692.90K,1.75%
2023-09-25,1.14,1.07,1.17,1.07,1.04M,4.59%
2023-09-20,1.09,1.13,1.14,1.05,581.93K,1.87%
2023-09-18,1.07,1.16,1.16,1.07,1.40M,-4.46%
2023-09-13,1.12,1.09,1.17,1.09,168.76K,-2.61%
2023-09-11,1.15,1.16,1.16,1.09,1.09M,1.77%
2023-09-06,1.13,1.09,1.15,1.06,904.76K,5.61%
2023-09-04,1.07,1.15,1.18,1.04,489.92K,-1.83%
2023-08-30,1.09,1.07,1.15,1.03,1.33M,-2.68%
2023-08-28,1.12,1.22,1.22,1.01,611.10K,-6.67%
2023-08-23,1.2,1.18,1.23,1.16,983.07K,2.56%
2023-08-21,1.17,1.13,1.19,1.1,736.05K,4.46%
