Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,37.3,37.8,38.0,37.2,46.97K,-1.92%
2023-12-10,38.03,38.0,38.3,37.61,15.32K,0.18%
2023-12-07,37.96,38.55,38.6,37.51,36.99K,-1.53%
2023-12-06,38.55,38.51,39.25,38.4,14.61K,-0.13%
2023-12-05,38.6,38.99,39.25,38.52,13.40K,-0.57%
2023-12-04,38.82,38.72,39.0,38.26,35.56K,0.28%
2023-12-03,38.71,39.05,39.4,38.52,24.63K,-0.97%
2023-11-30,39.09,39.0,39.49,39.0,35.67K,-0.71%
2023-11-29,39.37,39.0,39.96,38.9,80.73K,0.87%
2023-11-28,39.03,39.65,40.0,39.0,665.51K,-0.13%
2023-11-27,39.08,39.9,40.15,39.01,458.38K,-2.20%
2023-11-26,39.96,39.5,40.05,39.1,103.17K,2.25%
2023-11-23,39.08,39.8,39.8,39.0,103.80K,-0.48%
2023-11-22,39.27,39.8,39.8,39.0,79.49K,-0.53%
2023-11-21,39.48,39.99,40.0,39.06,34.11K,-1.20%
2023-11-20,39.96,39.9,40.49,39.1,1.86M,0.60%
2023-11-19,39.72,40.0,40.65,39.5,47.73K,-0.70%
2023-11-16,40.0,38.86,40.0,38.8,1.63M,3.17%
2023-11-15,38.77,40.02,40.75,38.67,98.43K,-2.34%
2023-11-14,39.7,40.0,40.75,39.63,20.16K,0.33%
2023-11-13,39.57,40.4,40.84,39.0,59.58K,0.13%
2023-11-12,39.52,38.15,41.94,38.14,283.20K,3.67%
2023-11-09,38.12,35.99,38.29,35.58,271.06K,8.17%
2023-11-08,35.24,34.0,35.45,34.0,225.45K,3.65%
2023-11-07,34.0,34.25,34.45,33.01,58.13K,0.77%
2023-11-06,33.74,33.75,34.5,33.5,19.71K,0.39%
2023-11-05,33.61,34.87,34.9,33.55,77.33K,-1.95%
2023-11-02,34.28,34.0,34.9,33.75,18.74K,1.06%
2023-11-01,33.92,34.89,34.9,33.5,22.40K,-2.78%
2023-10-31,34.89,33.99,34.9,33.9,151.54K,3.29%
2023-10-30,33.78,34.5,34.69,33.6,33.04K,-1.11%
2023-10-29,34.16,33.9,34.74,33.6,54.11K,0.83%
2023-10-26,33.88,33.0,34.9,32.6,110.03K,2.51%
2023-10-25,33.05,32.44,33.2,31.55,82.86K,2.16%
2023-10-24,32.35,32.39,32.4,30.02,110.27K,1.03%
2023-10-23,32.02,31.97,32.39,31.35,77.67K,2.30%
2023-10-22,31.3,30.8,32.47,30.8,95.57K,0.97%
2023-10-19,31.0,29.0,31.2,28.98,1.62M,6.79%
2023-10-18,29.03,28.3,29.09,28.0,119.62K,3.90%
2023-10-17,27.94,27.5,28.09,27.0,226.05K,1.45%
2023-10-16,27.54,27.27,27.8,26.81,112.15K,2.00%
2023-10-15,27.0,25.8,27.0,25.45,111.97K,6.09%
2023-10-12,25.45,25.45,25.6,25.06,48.54K,0.95%
2023-10-11,25.21,25.49,25.49,25.06,16.18K,-0.51%
2023-10-10,25.34,24.91,25.49,24.75,21.01K,1.73%
2023-10-09,24.91,24.7,25.65,24.5,7.85K,0.00%
2023-10-08,24.91,25.73,25.73,24.8,106.38K,-1.62%
2023-10-04,25.32,25.01,25.67,25.01,18.29K,0.16%
2023-10-03,25.28,26.0,26.0,25.01,27.87K,-2.21%
2023-10-02,25.85,25.74,26.21,25.5,203.12K,0.90%
2023-10-01,25.62,25.88,25.94,25.01,44.54K,1.10%
2023-09-27,25.34,25.8,26.5,25.25,150.42K,-0.31%
2023-09-26,25.42,24.98,25.8,24.81,135.35K,1.72%
2023-09-25,24.99,25.0,25.49,24.43,69.93K,0.08%
2023-09-24,24.97,25.0,25.92,24.0,58.09K,-0.12%
2023-09-21,25.0,24.99,25.01,24.5,91.06K,0.89%
2023-09-20,24.78,25.5,25.95,24.53,69.37K,-2.86%
2023-09-19,25.51,25.83,25.97,25.5,37.55K,-0.70%
2023-09-18,25.69,25.72,25.98,25.52,37.86K,-0.89%
2023-09-17,25.92,25.7,26.0,25.6,20.03K,1.73%
2023-09-14,25.48,25.7,25.7,25.0,231.22K,-0.08%
2023-09-13,25.5,25.33,25.6,25.33,80.10K,0.04%
2023-09-12,25.49,25.5,26.0,25.4,55.20K,-0.20%
