Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,11.25,10.93,11.41,10.85,20.39M,3.02%
2023-12-10,10.92,10.95,11.31,10.88,8.15M,0.18%
2023-12-07,10.9,11.04,11.1,10.73,5.66M,-1.36%
2023-12-06,11.05,11.43,11.55,11.04,11.29M,-2.73%
2023-12-05,11.36,11.15,11.46,11.15,18.88M,3.09%
2023-12-04,11.02,10.72,11.07,10.65,10.95M,4.16%
2023-12-03,10.58,10.7,10.79,10.51,5.70M,-0.19%
2023-11-30,10.6,10.62,10.79,10.53,3.87M,0.38%
2023-11-29,10.56,10.86,10.96,10.5,7.87M,-2.31%
2023-11-28,10.81,11.13,11.21,10.81,6.73M,-2.44%
2023-11-27,11.08,10.91,11.09,10.87,5.35M,1.84%
2023-11-26,10.88,11.15,11.21,10.81,5.69M,-1.98%
2023-11-23,11.1,11.17,11.3,11.07,9.63M,0.00%
2023-11-22,11.1,10.8,11.1,10.8,9.39M,3.74%
2023-11-21,10.7,10.77,10.8,10.65,4.65M,-0.09%
2023-11-20,10.71,10.93,11.01,10.71,5.93M,-1.83%
2023-11-19,10.91,11.05,11.11,10.86,4.07M,0.09%
2023-11-16,10.9,10.71,11.1,10.68,8.05M,2.44%
2023-11-15,10.64,10.67,10.8,10.5,6.35M,0.19%
2023-11-14,10.62,10.8,10.85,10.56,8.94M,-1.48%
2023-11-13,10.78,11.12,11.17,10.75,7.07M,-2.88%
2023-11-12,11.1,11.6,11.69,9.25,14.78M,-3.90%
2023-11-09,11.55,11.82,11.89,11.45,12.03M,-1.62%
2023-11-08,11.74,12.0,12.31,11.69,20.15M,-0.93%
2023-11-07,11.85,11.75,12.04,11.67,13.61M,1.54%
2023-11-06,11.67,11.86,11.91,11.65,10.47M,-0.68%
2023-11-05,11.75,11.91,12.05,11.66,8.16M,-0.42%
2023-11-02,11.8,11.65,11.91,11.61,5.99M,1.37%
2023-11-01,11.64,11.8,12.06,11.25,11.91M,-0.94%
2023-10-31,11.75,12.14,12.28,11.75,14.56M,-3.13%
2023-10-30,12.13,12.72,12.73,12.13,21.24M,-4.11%
2023-10-29,12.65,12.0,12.68,11.91,24.15M,6.48%
2023-10-26,11.88,11.32,12.08,11.3,34.69M,6.07%
2023-10-25,11.2,10.68,11.3,10.68,18.40M,5.36%
2023-10-24,10.63,10.83,10.87,10.55,6.70M,-0.75%
2023-10-23,10.71,11.0,11.06,10.69,13.84M,-1.38%
2023-10-22,10.86,10.6,10.98,10.4,15.21M,2.84%
2023-10-19,10.56,10.74,10.87,10.54,8.85M,-1.22%
2023-10-18,10.69,11.0,11.08,10.61,9.41M,-1.75%
2023-10-17,10.88,10.79,11.09,10.68,12.30M,1.78%
2023-10-16,10.69,10.7,10.94,10.59,6.63M,0.19%
2023-10-15,10.67,10.91,10.94,10.67,8.22M,-1.30%
2023-10-12,10.81,11.1,11.18,10.81,6.87M,-1.73%
2023-10-11,11.0,11.1,11.31,11.0,5.67M,-0.18%
2023-10-10,11.02,11.06,11.15,10.95,3.17M,0.00%
2023-10-09,11.02,11.22,11.24,10.9,2.38M,-0.81%
2023-10-08,11.11,11.3,11.6,10.4,11.59M,-0.89%
2023-10-04,11.21,11.15,11.25,10.81,7.51M,0.72%
2023-10-03,11.13,11.3,11.47,11.04,6.32M,-1.15%
2023-10-02,11.26,10.95,11.3,10.83,4.75M,2.83%
2023-10-01,10.95,11.35,11.39,10.86,3.70M,-2.67%
2023-09-27,11.25,11.5,11.63,11.25,4.27M,-1.49%
2023-09-26,11.42,11.88,11.88,11.42,6.04M,-2.89%
2023-09-25,11.76,11.8,11.94,11.74,4.58M,0.09%
