Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,17.52,17.51,17.74,17.41,1.70M,-0.45%
2023-12-10,17.6,17.61,18.11,17.5,4.82M,0.57%
2023-12-07,17.5,17.98,17.98,17.4,5.32M,-2.23%
2023-12-06,17.9,18.52,18.69,17.9,9.59M,-3.30%
2023-12-05,18.51,18.86,19.1,18.48,8.34M,-1.28%
2023-12-04,18.75,18.66,19.05,18.6,4.81M,1.35%
2023-12-03,18.5,18.49,18.65,18.27,1.71M,0.22%
2023-11-30,18.46,18.77,18.77,18.3,6.53M,-1.55%
2023-11-29,18.75,19.24,19.24,18.6,10.93M,-2.50%
2023-11-28,19.23,19.5,19.59,18.96,18.35M,-1.18%
2023-11-27,19.46,19.07,19.71,18.92,7.94M,2.15%
2023-11-26,19.05,18.92,19.16,18.87,7.13M,1.22%
2023-11-23,18.82,18.32,18.93,18.25,14.79M,3.29%
2023-11-22,18.22,17.9,18.38,17.9,7.17M,2.02%
2023-11-21,17.86,17.89,18.0,17.67,6.87M,-0.28%
2023-11-20,17.91,17.9,18.29,17.83,9.48M,0.79%
2023-11-19,17.77,17.7,17.92,17.68,4.60M,0.51%
2023-11-16,17.68,17.61,17.8,17.49,4.57M,0.74%
2023-11-15,17.55,17.77,17.98,17.48,3.36M,-1.24%
2023-11-14,17.77,17.7,18.0,17.66,12.84M,0.40%
2023-11-13,17.7,17.83,18.01,17.55,3.82M,0.06%
2023-11-12,17.69,18.0,18.0,17.65,3.03M,-1.01%
2023-11-09,17.87,18.17,18.48,17.71,5.24M,-1.60%
2023-11-08,18.16,18.42,18.6,18.11,3.37M,-1.30%
2023-11-07,18.4,17.99,18.47,17.81,9.96M,2.79%
2023-11-06,17.9,17.94,18.1,17.62,20.56M,0.39%
2023-11-05,17.83,17.2,17.83,17.1,9.13M,4.88%
2023-11-02,17.0,16.69,17.17,16.47,5.57M,2.72%
2023-11-01,16.55,16.56,16.89,16.31,3.93M,-0.90%
2023-10-31,16.7,17.05,17.1,16.51,11.92M,-1.76%
2023-10-30,17.0,17.41,17.67,16.89,6.88M,-1.79%
2023-10-29,17.31,17.02,17.65,16.94,12.88M,2.37%
2023-10-26,16.91,16.55,17.15,16.42,17.25M,2.67%
2023-10-25,16.47,15.75,16.55,15.75,16.96M,5.17%
2023-10-24,15.66,15.53,15.94,15.5,14.54M,1.23%
2023-10-23,15.47,15.79,15.84,15.43,5.94M,-1.46%
2023-10-22,15.7,15.61,15.85,15.6,3.08M,0.64%
2023-10-19,15.6,15.84,16.14,15.6,7.79M,-1.52%
2023-10-18,15.84,15.88,16.09,15.58,14.10M,0.89%
2023-10-17,15.7,14.75,15.72,14.72,20.70M,7.39%
2023-10-16,14.62,14.47,14.7,14.44,3.24M,1.60%
2023-10-15,14.39,14.92,14.92,14.39,7.64M,-2.77%
2023-10-12,14.8,14.99,15.14,14.77,4.88M,-1.33%
2023-10-11,15.0,14.93,15.0,14.75,4.82M,0.67%
2023-10-10,14.9,14.59,14.9,14.46,7.57M,2.41%
2023-10-09,14.55,14.7,14.7,14.46,1.28M,-1.02%
2023-10-08,14.7,15.08,15.15,13.9,3.12M,-3.16%
2023-10-04,15.18,14.98,15.2,14.72,2.96M,1.20%
2023-10-03,15.0,14.86,15.0,14.63,2.99M,1.28%
2023-10-02,14.81,14.46,14.94,14.3,4.15M,3.21%
2023-10-01,14.35,14.81,14.82,14.32,3.66M,-2.71%
2023-09-27,14.75,15.28,15.28,14.72,5.33M,-2.83%
2023-09-26,15.18,15.09,15.49,15.01,12.88M,0.73%
2023-09-25,15.07,15.09,15.22,14.98,3.24M,0.33%
2023-09-24,15.02,15.38,15.4,14.93,6.44M,-2.47%
2023-09-21,15.4,15.34,15.45,15.15,2.67M,0.26%
2023-09-20,15.36,15.59,15.6,14.92,8.40M,-0.97%
2023-09-19,15.51,15.67,15.75,15.49,8.77M,-0.89%
2023-09-18,15.65,15.72,15.85,15.63,5.64M,-0.38%
2023-09-17,15.71,15.77,15.8,15.68,3.22M,-0.38%
2023-09-14,15.77,15.75,15.8,15.66,1.85M,0.13%
2023-09-13,15.75,15.61,15.8,15.55,1.37M,0.96%
2023-09-12,15.6,15.75,15.75,15.58,4.14M,-0.70%
2023-09-11,15.71,15.92,15.98,15.66,7.44M,-1.19%
2023-09-10,15.9,15.95,16.04,14.0,1.79M,0.00%
2023-09-07,15.9,16.05,16.12,15.86,4.04M,-0.63%
2023-09-06,16.0,15.91,16.23,15.84,7.38M,0.63%
2023-09-05,15.9,16.06,16.06,15.81,2.92M,-0.93%
2023-09-04,16.05,15.8,16.05,15.77,1.84M,1.90%
2023-09-03,15.75,15.95,16.06,15.75,1.48M,-1.19%
2023-08-31,15.94,16.1,16.17,15.94,3.56M,-0.44%
2023-08-30,16.01,16.1,16.17,15.95,2.22M,-0.31%
2023-08-29,16.06,15.98,16.17,15.98,4.10M,0.88%
2023-08-28,15.92,15.9,16.2,15.85,4.98M,0.76%
2023-08-27,15.8,15.74,15.97,15.71,3.04M,0.64%
2023-08-24,15.7,15.75,15.8,15.58,2.82M,-0.19%
2023-08-23,15.73,15.9,16.05,15.7,3.97M,-0.51%
2023-08-22,15.81,15.68,15.91,15.68,6.51M,1.15%
2023-08-21,15.63,15.9,15.99,15.63,5.08M,-1.64%
2023-08-20,15.89,15.86,16.05,15.8,2.24M,0.44%
2023-08-17,15.82,15.98,16.12,15.82,5.95M,-0.82%
2023-08-16,15.95,16.06,16.26,15.92,5.40M,0.00%
2023-08-15,15.95,16.09,16.18,15.95,3.07M,-0.56%
2023-08-14,16.04,16.14,16.34,16.04,8.38M,-0.37%
2023-08-13,16.1,16.16,16.2,16.0,2.56M,0.00%
2023-08-10,16.1,16.15,16.25,16.0,3.69M,-0.25%
2023-08-09,16.14,16.2,16.38,16.14,7.08M,-0.06%
2023-08-08,16.15,16.18,16.47,16.06,13.26M,0.06%
2023-08-07,16.14,16.23,16.32,16.0,6.18M,-0.06%
