Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.54,1.39,1.39,1.39,9.17K,10.79%
2023-12-10,1.39,1.39,1.39,1.39,7.00K,-9.74%
2023-12-07,1.54,1.39,1.39,1.39,3.30K,0.00%
2023-12-06,1.54,1.39,1.41,1.39,1.13K,0.00%
2023-12-03,1.54,1.4,1.4,1.39,4.80K,0.00%
2023-11-30,1.54,1.43,1.43,1.39,2.89K,0.00%
2023-11-29,1.54,1.39,1.45,1.39,8.37K,0.00%
2023-11-28,1.54,1.39,1.45,1.39,0.22K,0.00%
2023-11-27,1.54,1.45,1.45,1.45,0.00K,0.00%
2023-11-26,1.54,1.5,1.5,1.5,0.01K,0.00%
2023-11-23,1.54,1.4,1.49,1.39,3.41K,0.00%
2023-11-22,1.54,1.49,1.49,1.39,0.17K,0.00%
2023-11-16,1.54,1.39,1.39,1.39,0.00K,0.00%
2023-11-15,1.54,1.39,1.39,1.39,54.05K,0.00%
2023-11-06,1.54,1.5,1.5,1.39,1.13K,0.00%
2023-11-05,1.54,1.39,1.5,1.39,1.85K,0.00%
2023-11-02,1.54,1.39,1.39,1.39,10.95K,0.00%
2023-11-01,1.54,1.39,1.53,1.39,4.96K,0.00%
2023-10-31,1.54,1.39,1.39,1.39,6.00K,0.00%
2023-10-30,1.54,1.39,1.53,1.39,1.22K,0.00%
2023-10-26,1.54,1.4,1.4,1.39,41.22K,0.00%
2023-10-25,1.54,1.4,1.54,1.4,36.92K,0.00%
2023-10-24,1.54,1.37,1.54,1.37,230.28K,10.00%
2023-10-23,1.4,1.26,1.26,1.26,20.76K,0.00%
2023-10-15,1.4,1.26,1.26,1.26,4.70K,0.00%
2023-10-10,1.4,1.26,1.26,1.26,0.07K,0.00%
2023-09-25,1.4,1.26,1.26,1.26,9.56K,0.00%
2023-09-18,1.4,1.26,1.26,1.26,3.83K,0.00%
2023-09-14,1.4,1.26,1.26,1.26,7.78K,0.00%
2023-09-13,1.4,1.36,1.36,1.26,15.82K,0.00%
2023-09-11,1.4,1.26,1.26,1.26,3.34K,0.00%
2023-09-10,1.4,1.29,1.29,1.26,13.80K,0.00%
2023-09-07,1.4,1.32,1.32,1.32,0.03K,0.00%
2023-09-06,1.4,1.33,1.33,1.33,1.51K,0.00%
2023-09-05,1.4,1.3,1.36,1.3,2.00K,0.00%
2023-09-04,1.4,1.26,1.26,1.26,12.13K,0.00%
2023-09-03,1.4,1.26,1.28,1.26,28.46K,0.00%
2023-08-28,1.4,1.26,1.26,1.26,1.55K,0.00%
2023-08-21,1.4,1.26,1.26,1.26,0.95K,0.00%
2023-08-17,1.4,1.26,1.26,1.26,2.13K,0.00%
2023-08-16,1.4,1.26,1.26,1.26,4.80K,0.00%
2023-08-15,1.4,1.26,1.38,1.26,10.27K,0.00%
2023-08-14,1.4,1.26,1.26,1.26,28.20K,0.00%
2023-08-13,1.4,1.26,1.26,1.26,1.23K,0.00%
2023-08-10,1.4,1.26,1.26,1.26,28.25K,0.00%
2023-08-09,1.4,1.27,1.27,1.26,5.93K,0.00%
2023-08-08,1.4,1.26,1.46,1.26,45.82K,0.00%
2023-08-07,1.4,1.26,1.4,1.26,25.10K,0.00%
2023-07-31,1.4,1.26,1.26,1.26,4.40K,0.00%
2023-07-16,1.4,1.45,1.45,1.45,0.03K,0.00%
2023-07-13,1.4,1.47,1.47,1.47,0.00K,0.00%
2023-07-10,1.4,1.47,1.47,1.47,0.00K,0.00%
2023-06-13,1.4,1.26,1.26,1.26,1.22K,0.00%
2023-06-11,1.4,1.26,1.43,1.26,1.22K,0.00%
2023-06-05,1.4,1.43,1.43,1.43,3.47K,0.00%
2023-06-04,1.4,1.22,1.43,1.22,169.55K,7.69%
2023-06-01,1.3,1.2,1.24,1.2,11.79K,0.00%
2023-05-29,1.3,1.2,1.2,1.2,0.00K,0.00%
2023-05-17,1.3,1.17,1.17,1.17,0.83K,0.00%
2023-05-14,1.3,1.22,1.22,1.17,2.71K,0.00%
2023-05-11,1.3,1.17,1.17,1.17,8.01K,0.00%
2023-04-13,1.3,1.29,1.29,1.29,0.05K,0.00%
2023-04-11,1.3,1.29,1.29,1.17,0.43K,0.00%
2023-04-04,1.3,1.17,1.17,1.17,5.00K,0.00%
2023-03-26,1.3,1.17,1.17,1.17,1.30K,0.00%
2023-03-19,1.3,1.17,1.17,1.17,0.01K,0.00%
2023-03-16,1.3,1.24,1.24,1.24,0.00K,0.00%
2023-03-14,1.3,1.24,1.24,1.24,0.00K,0.00%
2023-03-09,1.3,1.25,1.25,1.2,12.32K,0.00%
2023-03-08,1.3,1.29,1.29,1.29,2.32K,0.00%
2023-03-05,1.3,1.17,1.17,1.17,11.65K,0.00%
2023-03-02,1.3,1.17,1.17,1.17,1.25K,0.00%
2023-03-01,1.3,1.17,1.17,1.17,1.30K,0.00%
2023-02-28,1.3,1.17,1.17,1.17,1.61K,0.00%
2023-02-27,1.3,1.18,1.18,1.17,2.33K,0.00%
2023-02-26,1.3,1.17,1.29,1.17,22.00K,0.00%
2023-02-23,1.3,1.29,1.29,1.29,0.00K,0.00%
2023-02-22,1.3,1.17,1.17,1.17,0.06K,0.00%
2023-02-09,1.3,1.17,1.22,1.17,15.13K,0.00%
2023-02-08,1.3,1.18,1.22,1.17,21.23K,0.00%
2023-02-07,1.3,1.22,1.22,1.2,0.02K,0.00%
2023-02-05,1.3,1.25,1.25,1.25,0.05K,0.00%
2023-02-01,1.3,1.17,1.29,1.17,1.21K,0.00%
2023-01-31,1.3,1.18,1.18,1.17,20.10K,0.00%
2023-01-30,1.3,1.18,1.18,1.18,2.50K,0.00%
2023-01-29,1.3,1.33,1.33,1.17,25.70K,0.00%
2023-01-25,1.3,1.17,1.43,1.17,15.63K,0.00%
2023-01-23,1.3,1.17,1.17,1.17,4.00K,0.00%
2023-01-19,1.3,1.25,1.25,1.25,0.17K,0.00%
2023-01-17,1.3,1.18,1.18,1.18,0.63K,0.00%
