Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,23.15,24.1,24.39,22.1,36.14K,-3.94%
2023-12-10,24.1,23.56,25.49,23.56,89.00K,2.29%
2023-12-07,23.56,22.5,23.8,21.02,78.94K,4.71%
2023-12-06,22.5,20.51,22.8,20.5,118.82K,8.07%
2023-12-05,20.82,21.0,21.04,20.33,21.28K,-1.28%
2023-12-04,21.09,20.2,21.5,19.89,46.89K,3.94%
2023-12-03,20.29,20.2,20.99,20.2,11.78K,-0.49%
2023-11-30,20.39,19.7,21.29,19.7,23.88K,3.45%
2023-11-29,19.71,19.85,20.8,19.51,44.05K,-2.23%
2023-11-28,20.16,20.63,20.8,19.8,68.98K,-1.61%
2023-11-27,20.49,20.3,22.0,20.1,172.87K,1.39%
2023-11-26,20.21,20.8,20.81,19.8,39.12K,-2.93%
2023-11-23,20.82,19.9,21.0,19.3,67.78K,4.36%
2023-11-22,19.95,20.0,20.02,19.74,15.83K,-2.16%
2023-11-21,20.39,20.39,20.45,19.69,60.52K,-0.05%
2023-11-20,20.4,20.8,20.8,19.07,132.04K,0.74%
2023-11-19,20.25,20.1,21.48,19.02,203.15K,3.05%
2023-11-16,19.65,19.0,19.65,19.0,208.17K,9.96%
2023-11-15,17.87,16.61,17.88,16.61,194.64K,9.90%
2023-11-14,16.26,15.95,16.41,15.5,43.45K,3.30%
2023-11-13,15.74,15.96,15.96,15.55,21.68K,0.64%
2023-11-12,15.64,15.97,16.25,15.25,44.99K,-2.07%
2023-11-09,15.97,16.85,16.9,15.51,48.02K,-4.77%
2023-11-08,16.77,17.1,17.2,16.5,65.87K,1.82%
2023-11-07,16.47,16.1,17.33,16.1,76.85K,3.85%
2023-11-06,15.86,15.6,16.25,15.54,73.53K,1.99%
2023-11-05,15.55,15.79,16.08,13.25,169.66K,6.36%
2023-11-02,14.62,15.5,15.93,13.93,39.30K,-5.49%
2023-11-01,15.47,15.26,15.8,15.26,33.65K,-2.03%
2023-10-31,15.79,15.57,16.5,15.5,72.65K,1.41%
2023-10-30,15.57,16.09,16.16,15.3,44.20K,-1.77%
2023-10-29,15.85,16.48,16.7,15.8,117.53K,-2.40%
2023-10-26,16.24,16.7,17.0,16.03,66.87K,-1.40%
2023-10-25,16.47,17.0,17.52,16.3,118.49K,-2.26%
2023-10-24,16.85,17.86,17.9,16.5,103.49K,-4.10%
2023-10-23,17.57,17.65,18.88,17.15,73.29K,2.33%
2023-10-22,17.17,17.47,17.6,17.01,36.28K,-1.72%
2023-10-19,17.47,17.8,17.9,17.45,44.65K,-1.91%
2023-10-18,17.81,17.9,18.1,17.55,82.16K,-0.39%
2023-10-17,17.88,18.4,18.4,17.6,155.29K,-1.16%
2023-10-16,18.09,17.61,18.68,17.61,143.50K,1.06%
2023-10-15,17.9,17.75,18.6,17.5,112.75K,0.85%
2023-10-12,17.75,19.36,19.48,17.45,154.98K,-6.87%
2023-10-11,19.06,19.39,19.39,18.0,223.91K,7.32%
2023-10-10,17.76,16.7,17.76,16.2,210.30K,9.97%
2023-10-09,16.15,15.6,16.76,15.11,186.04K,4.46%
2023-10-08,15.46,16.75,16.75,15.44,218.57K,-9.85%
2023-10-04,17.15,18.3,19.4,17.15,361.79K,-9.97%
2023-10-03,19.05,20.33,21.2,18.25,256.35K,-3.54%
2023-10-02,19.75,19.4,19.78,16.41,421.02K,9.78%
2023-10-01,17.99,17.99,17.99,17.99,31.16K,9.96%
2023-09-27,16.36,14.78,16.36,14.51,263.27K,9.95%
2023-09-26,14.88,14.0,14.91,13.95,251.41K,9.73%
2023-09-25,13.56,12.45,13.56,12.34,223.17K,9.98%
2023-09-24,12.33,12.25,12.45,12.2,45.12K,2.75%
