Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,4.13,4.3,4.33,4.03,320.76K,-5.28%
2023-12-10,4.36,4.7,4.7,4.3,505.44K,-5.22%
2023-12-07,4.6,4.8,4.9,4.55,1.35M,0.44%
2023-12-06,4.58,4.4,4.7,4.31,1.03M,3.85%
2023-12-05,4.41,4.65,4.65,4.31,1.05M,-4.13%
2023-12-04,4.6,4.88,4.9,4.21,1.34M,-5.54%
2023-12-03,4.87,5.35,5.54,4.8,2.04M,-36.84%
2023-11-30,7.71,7.03,7.98,6.75,9.66M,12.23%
2023-11-29,6.87,6.83,7.01,6.72,965.10K,1.48%
2023-11-28,6.77,6.9,6.9,6.75,373.52K,-1.31%
2023-11-27,6.86,7.01,7.04,6.83,629.38K,-1.01%
2023-11-26,6.93,6.75,7.18,6.67,1.22M,4.37%
2023-11-23,6.64,6.75,6.79,6.56,462.67K,-0.15%
2023-11-22,6.65,6.88,6.88,6.62,293.43K,-1.04%
2023-11-21,6.72,6.74,7.15,6.51,397.52K,0.75%
2023-11-20,6.67,6.82,6.93,6.62,294.48K,-2.06%
2023-11-19,6.81,6.88,7.12,6.77,720.40K,-0.44%
2023-11-16,6.84,6.65,6.9,6.5,332.16K,5.07%
2023-11-15,6.51,6.75,6.75,6.48,224.18K,0.77%
2023-11-14,6.46,6.84,6.9,6.42,569.51K,-3.58%
2023-11-13,6.7,6.98,6.98,6.68,819.23K,-1.76%
2023-11-12,6.82,6.9,7.3,6.71,1.29M,7.91%
2023-11-09,6.32,6.2,6.57,6.19,632.61K,1.94%
2023-11-08,6.2,6.23,6.32,6.16,99.11K,0.16%
2023-11-07,6.19,6.22,6.25,6.14,167.17K,-0.32%
2023-11-06,6.21,6.35,6.37,6.2,316.97K,-0.64%
2023-11-05,6.25,6.2,6.37,6.13,311.44K,1.96%
2023-11-02,6.13,6.16,6.24,6.07,705.54K,-0.33%
2023-11-01,6.15,6.17,6.44,6.02,922.06K,-0.97%
2023-10-31,6.21,6.28,6.44,6.16,175.37K,-1.27%
2023-10-30,6.29,6.47,6.5,6.28,467.93K,-1.10%
2023-10-29,6.36,6.44,6.5,6.28,212.12K,0.79%
2023-10-26,6.31,6.57,6.59,6.27,451.38K,-1.56%
2023-10-25,6.41,6.4,6.63,6.37,316.88K,1.26%
2023-10-24,6.33,6.44,6.77,6.3,931.75K,1.12%
2023-10-23,6.26,6.55,6.56,6.24,364.93K,-3.40%
2023-10-22,6.48,6.39,6.6,6.27,275.56K,3.68%
2023-10-19,6.25,6.21,6.33,6.11,221.09K,0.64%
2023-10-18,6.21,6.46,6.54,6.15,339.85K,-3.12%
2023-10-17,6.41,6.41,6.52,6.36,75.96K,0.16%
2023-10-16,6.4,6.51,6.58,6.37,212.92K,-1.54%
2023-10-15,6.5,6.5,6.63,6.47,131.91K,-0.46%
2023-10-12,6.53,6.6,6.67,6.49,224.52K,-1.80%
2023-10-11,6.65,6.51,6.73,6.4,179.40K,3.74%
2023-10-10,6.41,6.26,6.58,6.26,243.96K,2.07%
2023-10-09,6.28,6.65,6.68,6.21,137.70K,-3.24%
2023-10-08,6.49,6.93,7.03,6.1,299.41K,-6.35%
2023-10-04,6.93,6.8,6.93,6.66,3.83K,0.00%
2023-10-03,6.93,7.08,7.08,6.05,14.25K,0.00%
2023-10-02,6.93,7.02,7.12,6.89,55.74K,-0.57%
2023-10-01,6.97,7.0,7.04,6.82,53.93K,-0.29%
2023-09-27,6.99,7.08,7.1,6.85,29.88K,0.00%
2023-09-26,6.99,7.01,7.09,6.86,37.19K,0.00%
2023-09-25,6.99,6.85,7.05,6.85,43.29K,1.16%
2023-09-24,6.91,6.95,7.0,6.86,53.65K,-0.29%
2023-09-21,6.93,6.89,7.0,6.81,40.06K,0.00%
2023-09-20,6.93,7.14,7.14,6.85,75.66K,-1.98%
2023-09-19,7.07,7.05,7.12,7.0,240.27K,1.14%
2023-09-18,6.99,7.11,7.11,6.95,50.46K,-0.14%
2023-09-17,7.0,7.04,7.11,6.98,130.37K,1.01%
2023-09-14,6.93,6.75,7.06,6.75,419.52K,3.43%
2023-09-13,6.7,7.0,7.06,6.7,468.28K,-3.18%
2023-09-12,6.92,7.1,7.12,6.87,110.26K,-1.56%
2023-09-11,7.03,7.0,7.07,6.95,59.79K,1.30%
2023-09-10,6.94,7.12,7.12,6.99,25.20K,0.00%
2023-09-07,6.94,6.98,7.04,6.97,11.35K,0.00%
2023-09-06,6.94,7.12,7.12,6.91,99.79K,-1.42%
2023-09-05,7.04,7.13,7.18,7.01,89.19K,0.00%
2023-09-04,7.04,7.15,7.31,7.0,159.22K,-1.54%
2023-09-03,7.15,7.05,7.35,7.0,228.98K,1.71%
2023-08-31,7.03,7.2,7.26,7.0,83.11K,-1.82%
2023-08-30,7.16,6.96,7.37,6.96,513.33K,2.29%
2023-08-29,7.0,6.97,7.14,6.85,130.36K,0.43%
2023-08-28,6.97,7.17,7.21,6.92,217.74K,-2.79%
2023-08-27,7.17,7.19,7.2,7.07,117.29K,1.56%
2023-08-24,7.06,7.05,7.24,7.02,170.38K,0.57%
2023-08-23,7.02,7.4,7.41,6.84,181.34K,-3.31%
2023-08-22,7.26,7.4,7.49,7.17,177.19K,-1.22%
2023-08-21,7.35,7.28,7.7,7.15,581.35K,2.65%
2023-08-20,7.16,7.4,7.4,7.12,125.75K,-0.69%
2023-08-17,7.21,7.24,7.39,7.1,181.90K,-0.28%
2023-08-16,7.23,7.34,7.51,7.21,221.11K,-0.14%
2023-08-15,7.24,7.45,7.5,7.2,277.35K,-2.29%
2023-08-14,7.41,7.26,7.7,7.26,425.01K,1.51%
2023-08-13,7.3,7.35,7.43,7.27,199.08K,-0.68%
2023-08-10,7.35,7.32,7.44,7.25,122.61K,-0.94%
2023-08-09,7.42,7.45,7.57,7.36,155.70K,-0.13%
2023-08-08,7.43,7.56,7.65,7.38,359.93K,-1.07%
2023-08-07,7.51,7.38,7.56,7.36,142.68K,2.04%
2023-08-06,7.36,7.45,7.46,7.32,86.38K,0.55%
2023-08-03,7.32,7.5,7.61,7.31,137.41K,-0.41%
2023-08-02,7.35,7.4,7.71,7.3,208.74K,0.27%
2023-08-01,7.33,7.35,7.58,7.3,202.05K,-0.27%
2023-07-31,7.35,7.36,7.48,7.3,167.65K,0.41%
2023-07-30,7.32,7.5,7.63,7.3,323.94K,-1.88%
2023-07-27,7.46,7.33,8.2,7.07,1.67M,4.48%
2023-07-26,7.14,7.33,7.5,7.1,601.41K,-1.52%
2023-07-25,7.25,7.75,7.82,7.2,1.07M,-7.53%
2023-07-24,7.84,6.63,7.89,6.4,3.44M,17.89%
2023-07-19,6.65,6.82,6.82,6.62,283.05K,-2.35%
2023-07-18,6.81,6.6,7.1,6.46,1.15M,4.61%
2023-07-17,6.51,6.65,6.7,6.5,161.06K,-2.69%
2023-07-16,6.69,6.71,6.78,6.65,98.29K,-0.59%
2023-07-13,6.73,6.88,6.89,6.68,105.75K,-1.17%
2023-07-12,6.81,6.89,6.97,6.68,213.43K,0.59%
2023-07-11,6.77,6.75,6.95,6.62,523.57K,2.27%
2023-07-10,6.62,6.31,6.7,6.25,261.96K,3.28%
2023-07-09,6.41,6.49,6.9,6.33,385.84K,-0.47%
2023-07-06,6.44,6.37,6.5,6.27,284.52K,0.62%
2023-07-05,6.4,6.44,6.59,6.38,197.91K,-1.08%
2023-07-04,6.47,6.65,6.65,6.4,238.37K,1.73%
2023-06-26,6.36,6.28,6.5,6.16,168.06K,1.11%
2023-06-25,6.29,6.5,6.64,6.27,367.49K,-2.48%
2023-06-22,6.45,6.64,6.65,6.4,695.79K,-1.38%
2023-06-21,6.54,6.79,6.82,6.5,763.23K,-3.68%
2023-06-20,6.79,6.84,7.0,6.7,400.92K,2.57%
2023-06-19,6.62,6.92,6.95,6.6,299.66K,-2.93%
2023-06-18,6.82,6.99,7.0,6.77,192.97K,0.29%
2023-06-15,6.8,6.85,6.97,6.5,350.15K,-0.87%
2023-06-14,6.86,7.2,7.2,6.83,246.85K,-4.46%
2023-06-13,7.18,6.81,7.2,6.81,221.63K,1.41%
2023-06-12,7.08,7.0,7.22,7.0,78.77K,0.00%
2023-06-11,7.08,7.34,7.45,6.77,322.91K,-3.15%
2023-06-08,7.31,7.43,7.51,7.2,350.70K,-0.95%
2023-06-07,7.38,7.28,7.65,7.25,1.07M,1.23%
2023-06-06,7.29,7.23,7.34,7.13,310.92K,0.97%
2023-06-05,7.22,7.43,7.7,7.11,1.53M,-2.04%
2023-06-04,7.37,6.9,7.44,6.76,1.11M,10.33%
2023-06-01,6.68,7.0,7.2,6.62,369.68K,-4.43%
2023-05-31,6.99,7.44,7.44,6.87,162.51K,0.69%
2023-05-30,6.94,6.88,7.28,6.88,950.47K,1.20%
2023-05-29,6.86,7.1,7.19,6.8,114.55K,-1.63%
2023-05-28,6.97,6.56,7.0,6.56,616.03K,5.57%
2023-05-25,6.61,6.54,6.68,6.52,173.35K,1.13%
2023-05-24,6.53,6.5,6.69,6.43,271.79K,-1.15%
2023-05-23,6.61,6.71,6.88,6.56,309.47K,1.13%
2023-05-22,6.53,6.6,6.68,6.43,238.09K,0.12%
2023-05-21,6.53,6.32,6.61,6.2,403.25K,7.48%
2023-05-18,6.07,6.01,6.19,6.01,92.62K,0.80%
2023-05-17,6.02,6.34,6.34,6.0,201.74K,-1.79%
2023-05-16,6.13,6.2,6.29,6.1,347.42K,-0.90%
2023-05-15,6.19,6.86,6.94,6.0,734.83K,-10.21%
2023-05-14,6.89,6.99,7.2,6.8,422.45K,0.52%
2023-05-11,6.86,6.79,6.99,6.62,360.45K,2.91%
2023-05-10,6.66,6.8,6.84,6.6,311.26K,-0.86%
2023-05-09,6.72,6.84,6.9,6.6,127.86K,-1.78%
2023-05-08,6.84,7.24,7.24,6.76,121.93K,-1.81%
2023-05-07,6.97,6.92,7.19,6.84,181.25K,0.72%
2023-05-03,6.92,7.0,7.4,6.7,71.06K,1.53%
2023-05-02,6.82,6.89,7.0,6.8,181.09K,-2.46%
2023-05-01,6.99,6.96,7.1,6.48,534.08K,1.84%
2023-04-30,6.86,7.6,7.6,6.8,489.98K,-7.52%
2023-04-27,7.42,7.93,8.06,7.4,306.10K,-5.24%
2023-04-26,7.83,7.72,7.98,7.62,81.13K,2.76%
2023-04-19,7.62,7.6,7.72,7.5,281.92K,2.34%
2023-04-18,7.45,7.2,7.58,7.16,532.01K,7.69%
2023-04-13,6.91,6.98,7.3,6.8,204.13K,0.46%
2023-04-12,6.88,7.54,7.6,6.6,227.74K,-6.62%
2023-04-11,7.37,7.4,7.68,7.34,161.41K,-1.58%
2023-04-10,7.49,7.62,7.8,7.2,287.83K,-3.46%
2023-04-09,7.76,7.8,7.96,7.6,343.14K,1.02%
2023-04-06,7.68,7.84,8.04,7.61,275.39K,-3.35%
2023-04-05,7.94,8.03,8.2,7.9,229.45K,-0.72%
2023-04-04,8.0,7.8,8.18,7.8,382.35K,2.91%
2023-04-03,7.78,8.0,8.16,7.6,235.97K,0.39%
2023-04-02,7.75,7.98,7.98,7.7,210.78K,-0.90%
2023-03-30,7.82,7.85,8.0,7.74,509.05K,-1.49%
2023-03-29,7.93,7.74,8.04,7.74,395.23K,2.59%
2023-03-28,7.73,7.8,7.9,7.66,226.28K,-0.69%
2023-03-27,7.79,7.98,8.15,7.67,222.93K,0.31%
2023-03-26,7.76,8.0,8.57,7.64,184.76K,-3.24%
2023-03-23,8.02,8.05,8.2,7.84,170.08K,1.57%
2023-03-22,7.9,8.4,8.5,7.86,459.13K,-6.35%
2023-03-21,8.44,8.17,8.58,8.01,478.51K,3.33%
2023-03-20,8.16,7.44,8.4,7.44,515.53K,7.88%
2023-03-19,7.57,7.8,7.9,7.43,381.67K,-1.64%
2023-03-16,7.69,7.02,7.8,6.8,342.61K,8.27%
2023-03-15,7.11,8.1,8.2,6.62,337.24K,-10.03%
2023-03-14,7.9,7.8,8.0,7.62,151.42K,4.44%
2023-03-13,7.56,8.2,8.42,7.4,1.23M,-8.54%
2023-03-12,8.27,8.65,8.65,8.07,458.38K,-5.27%
2023-03-09,8.73,9.01,9.19,8.65,132.91K,-3.17%
2023-03-08,9.01,9.0,9.35,8.81,566.28K,2.39%
2023-03-07,8.8,9.8,9.8,8.61,318.17K,-5.98%
