Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,41.09,40.0,40.0,40.0,0.00K,0.00%
2023-12-03,41.09,41.09,41.09,41.09,,0.00%
2023-11-29,41.09,49.3,49.3,48.02,0.02K,0.00%
2023-10-24,41.09,41.7,41.7,41.7,0.02K,0.00%
2023-10-23,41.09,40.0,40.0,40.0,0.01K,0.00%
2023-10-22,41.09,40.0,40.0,40.0,0.03K,0.00%
2023-10-18,41.09,32.88,32.88,32.88,0.01K,0.00%
2023-10-09,41.09,32.88,32.88,32.88,0.00K,0.00%
2023-09-14,41.09,47.4,47.4,42.0,0.01K,0.00%
2023-09-11,41.09,40.0,40.0,40.0,0.05K,0.00%
2023-09-10,41.09,48.4,48.4,40.0,0.02K,0.00%
2023-09-04,41.09,48.44,48.44,48.44,0.00K,0.00%
2023-08-14,41.09,48.48,48.48,48.48,0.05K,0.00%
2023-08-10,41.09,39.0,39.0,33.4,0.13K,0.00%
2023-07-13,41.09,40.0,40.0,40.0,0.13K,0.00%
2023-06-13,41.09,41.09,41.09,41.09,0.01K,0.00%
2023-06-12,41.09,41.09,41.09,41.09,,0.00%
2023-06-06,41.09,41.09,41.09,41.08,0.03K,0.00%
2023-05-31,41.09,41.09,41.09,41.09,0.02K,0.00%
2023-05-29,41.09,41.09,41.09,41.09,0.01K,0.00%
2023-05-25,41.09,40.0,40.0,40.0,0.05K,0.00%
2023-04-09,41.09,40.0,40.0,40.0,0.00K,0.00%
2023-04-03,41.09,41.09,41.09,41.09,0.01K,0.00%
2023-04-02,41.09,40.0,40.0,40.0,0.25K,0.00%
2023-03-28,41.09,41.09,45.0,41.09,0.12K,0.00%
2023-03-21,41.09,40.0,40.0,40.0,0.06K,0.00%
2023-03-05,41.09,41.09,41.09,41.09,0.02K,0.00%
2023-02-28,41.09,32.88,45.0,32.88,0.03K,0.00%
2023-02-09,41.09,32.88,49.0,32.88,0.02K,0.00%
2023-02-08,41.09,41.09,41.09,41.09,3.65M,0.22%
2022-12-27,41.0,49.2,49.2,49.2,0.00K,0.00%
2022-09-21,41.0,49.2,49.2,49.2,0.01K,0.00%
2022-06-08,41.0,40.0,40.0,40.0,0.01K,0.00%
2022-05-11,41.0,41.0,41.0,41.0,0.02K,0.00%
2022-04-18,41.0,41.0,41.0,41.0,576.00K,0.00%
2022-03-20,41.0,41.0,41.0,41.0,1.15M,0.00%
2022-03-09,41.0,41.0,41.0,41.0,100.00K,0.00%
2022-03-08,41.0,41.0,41.0,41.0,227.70K,0.00%
2022-03-07,41.0,41.0,41.0,41.0,1.59M,0.00%
2022-03-01,41.0,41.0,41.0,41.0,4.60M,0.00%
2022-02-17,41.0,41.0,41.0,41.0,0.50K,0.00%
2021-12-23,41.0,41.0,41.0,41.0,1.98M,7.89%
2021-09-29,38.0,38.0,38.0,38.0,0.01K,0.00%
2021-09-28,38.0,38.0,38.0,38.0,200.00K,2.76%
2021-05-09,36.98,36.98,36.98,36.98,0.62K,0.00%
2021-04-14,36.98,36.98,36.98,36.98,0.12K,0.00%
2021-04-08,36.98,36.98,36.98,36.98,0.22K,0.00%
2021-03-04,36.98,36.98,36.98,36.98,0.02K,0.00%
2021-02-04,36.98,36.98,36.98,36.98,0.15K,0.00%
2020-12-29,36.98,36.97,36.97,36.97,0.51K,0.00%
2020-11-26,36.98,36.98,36.98,36.98,0.30K,0.00%
2020-11-05,36.98,36.98,36.98,36.98,0.18K,0.00%
2020-06-24,36.98,36.0,36.0,36.0,0.01K,0.00%
2020-04-27,36.98,40.67,40.67,36.98,0.03K,0.00%
2020-04-02,36.98,36.98,36.98,36.98,0.13K,0.00%
2020-03-04,36.98,36.98,36.98,36.98,0.15K,0.00%
2020-02-27,36.98,36.98,36.98,36.98,0.14K,0.00%
2020-02-20,36.98,36.98,36.98,36.98,0.11K,0.00%
2020-02-13,36.98,36.98,36.98,36.98,0.03K,0.00%
2020-02-12,36.98,36.98,36.98,36.98,0.05K,0.00%
2020-01-28,36.98,36.98,36.98,36.98,0.00K,0.00%
2020-01-27,36.98,36.98,36.98,36.98,0.05K,-65.44%
2012-11-01,106.99,101.65,101.65,101.65,0.00K,0.00%
2012-04-24,106.99,101.65,101.65,101.65,0.02K,0.00%
2011-07-31,106.99,106.99,106.99,106.99,0.13K,-0.18%
2011-06-28,107.18,107.18,107.19,107.18,1.52M,123.20%
