Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.482,1.466,1.549,1.373,349.37K,-0.94%
2023-12-10,1.496,1.4,1.496,1.36,213.79K,10.00%
2023-12-07,1.36,1.5,1.5,1.3,138.03K,-5.36%
2023-12-06,1.437,1.525,1.549,1.4,239.10K,-5.77%
2023-12-05,1.525,1.548,1.579,1.47,200.06K,4.10%
2023-12-04,1.465,1.45,1.64,1.422,330.91K,-2.72%
2023-12-03,1.506,1.57,1.618,1.422,274.39K,-4.14%
2023-11-30,1.571,1.45,1.573,1.428,640.55K,9.86%
2023-11-29,1.43,1.371,1.485,1.362,807.49K,2.36%
2023-11-28,1.397,1.387,1.45,1.361,631.48K,-1.13%
2023-11-27,1.413,1.361,1.45,1.322,755.73K,5.45%
2023-11-26,1.34,1.282,1.35,1.282,461.71K,5.18%
2023-11-23,1.274,1.281,1.315,1.26,208.55K,-1.16%
2023-11-22,1.289,1.28,1.365,1.271,618.76K,2.06%
2023-11-21,1.263,1.239,1.28,1.21,306.41K,1.12%
2023-11-20,1.249,1.225,1.244,1.205,111.29K,0.00%
2023-11-19,1.249,1.24,1.246,1.219,71.75K,0.00%
2023-11-16,1.249,1.22,1.223,1.22,96.16K,0.00%
2023-11-15,1.249,1.247,1.247,1.213,104.41K,0.00%
2023-11-14,1.249,1.222,1.25,1.205,73.74K,0.00%
2023-11-13,1.249,1.215,1.262,1.215,8.81K,0.00%
2023-11-12,1.249,1.248,1.27,1.21,130.40K,3.14%
2023-11-09,1.211,1.254,1.254,1.2,158.88K,-3.43%
2023-11-08,1.254,1.22,1.275,1.22,132.37K,3.98%
2023-11-07,1.206,1.214,1.257,1.214,50.31K,0.00%
2023-11-06,1.206,1.23,1.28,1.206,93.82K,0.00%
2023-11-05,1.206,1.229,1.23,1.205,8.50K,0.00%
2023-11-02,1.206,1.248,1.248,1.21,26.43K,0.00%
2023-11-01,1.206,1.2,1.202,1.2,16.02K,0.00%
2023-10-31,1.206,1.203,1.24,1.2,199.05K,-2.90%
2023-10-30,1.242,1.23,1.25,1.213,30.80K,0.00%
2023-10-29,1.242,1.222,1.25,1.22,73.91K,0.00%
2023-10-26,1.242,1.235,1.265,1.2,160.22K,1.97%
2023-10-25,1.218,1.181,1.225,1.17,737.41K,0.83%
2023-10-24,1.208,1.18,1.24,1.172,120.81K,0.00%
2023-10-23,1.208,1.271,1.271,1.08,264.63K,0.67%
2023-10-22,1.2,1.238,1.238,1.15,259.52K,-0.91%
2023-10-19,1.211,1.25,1.25,1.2,158.49K,-1.22%
2023-10-18,1.226,1.25,1.25,1.212,76.38K,0.00%
2023-10-17,1.226,1.275,1.275,1.22,119.60K,0.00%
2023-10-16,1.226,1.29,1.29,1.2,213.09K,-0.89%
2023-10-15,1.237,1.262,1.29,1.201,205.19K,0.57%
