Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,20.0,17.66,18.19,17.66,0.26K,8.17%
2023-12-10,18.49,18.5,18.5,17.66,1.54K,-7.55%
2023-12-07,20.0,17.7,18.49,17.65,0.59K,0.00%
2023-12-06,20.0,17.65,18.5,17.65,0.64K,0.00%
2023-12-05,20.0,17.56,18.55,17.56,1.57K,0.00%
2023-12-04,20.0,18.12,18.7,16.8,1.53K,0.00%
2023-12-03,20.0,19.0,19.0,18.11,1.40K,0.00%
2023-11-30,20.0,18.28,19.49,18.0,1.35K,0.00%
2023-11-29,20.0,18.26,19.68,18.26,0.12K,0.00%
2023-11-28,20.0,18.21,19.89,18.21,0.18K,0.00%
2023-11-27,20.0,18.1,19.9,18.1,1.66K,0.00%
2023-11-26,20.0,17.82,20.67,17.82,383.13K,5.26%
2023-11-23,19.0,17.99,18.5,17.82,1.37K,0.00%
2023-11-22,19.0,17.58,18.89,17.58,0.13K,0.00%
2023-11-21,19.0,17.55,18.95,17.55,0.99K,0.00%
2023-11-20,19.0,17.63,18.96,17.55,2.57K,0.00%
2023-11-19,19.0,18.94,19.0,17.54,1.89K,0.00%
2023-11-16,19.0,17.99,19.7,17.51,2.68K,0.00%
2023-11-15,19.0,17.9,17.99,17.5,1.20K,0.00%
2023-11-14,19.0,17.0,17.94,17.0,0.37K,0.00%
2023-11-13,19.0,17.93,17.99,17.93,0.94K,0.00%
2023-11-12,19.0,16.8,17.96,16.8,0.70K,0.00%
2023-11-09,19.0,17.05,18.0,16.77,1.39K,0.00%
2023-11-08,19.0,16.78,17.97,16.78,0.47K,0.00%
2023-11-07,19.0,16.68,18.17,16.68,0.35K,0.00%
2023-11-06,19.0,17.49,18.49,16.7,1.71K,0.00%
2023-11-05,19.0,17.2,17.5,16.66,1.07K,0.00%
2023-11-02,19.0,17.21,17.5,17.2,3.29K,0.00%
2023-11-01,19.0,16.72,17.48,16.72,1.01K,0.00%
2023-10-31,19.0,17.95,17.95,16.72,0.44K,0.00%
2023-10-30,19.0,18.0,18.0,16.9,0.71K,0.00%
2023-10-29,19.0,16.8,18.12,16.8,0.06K,0.00%
2023-10-26,19.0,16.52,18.33,16.52,1.24K,0.00%
2023-10-25,19.0,16.24,18.7,16.24,1.65K,0.00%
2023-10-24,19.0,16.22,19.0,16.22,253.69K,-5.00%
2023-10-23,20.0,17.44,17.44,16.21,0.88K,0.00%
2023-10-22,20.0,16.1,17.6,16.0,4.40K,0.00%
