Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,57.44,58.0,59.7,57.17,24.28K,-0.97%
2023-12-10,58.0,55.84,58.61,55.11,28.67K,3.89%
2023-12-07,55.83,55.99,58.62,54.04,8.31K,0.00%
2023-12-06,55.83,51.51,56.23,51.46,234.67K,4.24%
2023-12-05,53.56,51.1,53.73,50.05,11.58K,4.65%
2023-12-04,51.18,47.03,51.27,47.0,26.01K,4.81%
2023-12-03,48.83,47.45,49.8,45.52,9.74K,2.91%
2023-11-30,47.45,44.15,47.47,42.95,22.32K,4.95%
2023-11-29,45.21,44.78,44.78,42.95,6.71K,0.00%
2023-11-28,45.21,45.79,46.69,44.5,2.79K,0.00%
2023-11-27,45.21,47.0,47.0,44.98,24.89K,-4.50%
2023-11-26,47.34,49.6,50.47,47.34,13.85K,-5.00%
2023-11-23,49.83,49.59,50.5,49.59,6.31K,-4.54%
2023-11-22,52.2,49.59,51.0,49.59,3.62K,0.00%
2023-11-21,52.2,49.59,49.59,49.59,0.34K,0.00%
2023-11-20,52.2,49.6,49.6,49.59,0.40K,0.00%
2023-11-19,52.2,49.89,49.89,49.59,1.41K,0.00%
2023-11-16,52.2,49.9,49.9,49.59,4.35K,0.00%
2023-11-15,52.2,49.59,49.59,49.59,1.48K,0.00%
2023-11-14,52.2,49.61,49.89,49.59,0.88K,0.00%
2023-11-13,52.2,49.59,49.59,49.59,2.77K,0.00%
2023-11-12,52.2,50.0,50.5,49.59,4.19K,0.00%
2023-11-09,52.2,49.8,51.5,49.59,5.16K,0.00%
2023-11-08,52.2,50.01,51.75,49.6,2.55K,0.00%
2023-11-07,52.2,50.1,52.0,49.6,5.48K,0.00%
2023-11-06,52.2,52.0,54.76,50.0,4.70K,0.00%
2023-11-05,52.2,56.0,56.0,52.15,10.49K,-4.90%
2023-11-02,54.89,53.89,55.97,50.65,17.39K,2.96%
2023-11-01,53.31,51.4,53.97,49.06,8.15K,3.72%
2023-10-31,51.4,49.05,51.4,48.83,107.80K,0.00%
2023-10-30,51.4,52.5,52.5,48.83,5.82K,0.00%
2023-10-29,51.4,48.52,52.51,48.52,6.00K,2.78%
2023-10-26,50.01,47.7,50.09,46.15,20.02K,4.82%
2023-10-25,47.71,47.49,47.72,45.37,132.04K,-0.02%
2023-10-24,47.72,45.62,47.73,45.6,101.26K,-0.02%
2023-10-23,47.73,48.0,49.49,45.5,106.85K,-0.02%
2023-10-22,47.74,47.74,50.0,47.74,12.74K,-5.00%
2023-10-19,50.25,48.4,50.25,47.74,5.65K,0.00%
2023-10-18,50.25,48.35,51.0,48.35,0.24K,0.00%
2023-10-17,50.25,49.0,51.5,48.3,1.80K,0.00%
2023-10-16,50.25,48.1,49.75,48.1,0.92K,0.00%
2023-10-15,50.25,50.0,51.89,48.01,154.87K,0.00%
2023-10-12,50.25,48.5,52.35,47.75,167.36K,0.00%
2023-10-11,50.25,48.31,52.69,48.31,154.80K,0.00%
2023-10-10,50.25,49.5,52.76,47.74,330.01K,0.00%
2023-10-09,50.25,47.88,50.36,47.85,216.97K,-0.22%
2023-10-08,50.36,47.85,49.0,47.85,0.21K,0.00%
2023-10-04,50.36,48.01,50.29,47.85,2.13K,0.00%
2023-10-03,50.36,47.9,50.39,47.9,26.32K,-0.06%
2023-10-02,50.39,48.02,49.75,47.9,1.03K,0.00%
2023-10-01,50.39,50.0,50.0,48.0,0.50K,0.00%
2023-09-27,50.39,49.89,49.89,48.05,0.31K,0.00%
2023-09-26,50.39,49.0,50.1,48.0,0.16K,0.00%
2023-09-25,50.39,49.15,50.39,49.0,44.42K,0.00%
2023-09-24,50.39,50.0,50.39,49.01,99.09K,0.00%
2023-09-21,50.39,48.0,50.95,48.0,2.33K,0.00%
2023-09-20,50.39,49.12,52.0,47.88,2.73K,0.00%
2023-09-19,50.39,50.84,50.87,49.0,1.51K,0.00%
2023-09-18,50.39,50.52,52.9,50.35,11.43K,0.00%
2023-09-17,50.39,49.1,52.9,49.1,11.00K,0.00%
2023-09-14,50.39,50.51,52.27,50.2,97.62K,0.00%
2023-09-13,50.39,51.9,52.25,50.6,3.98K,0.00%
2023-09-12,50.39,52.7,52.7,50.75,7.05K,0.00%
2023-09-11,50.39,51.0,52.6,50.7,9.74K,0.00%
2023-09-10,50.39,48.99,51.0,48.99,6.07K,2.44%
2023-09-07,49.19,49.2,50.6,47.11,0.88K,0.00%
2023-09-06,49.19,51.5,51.5,48.0,6.70K,0.00%
2023-09-05,49.19,50.2,51.64,47.52,7.44K,0.00%
2023-09-04,49.19,50.49,51.62,50.2,10.06K,0.00%
2023-09-03,49.19,47.6,49.8,47.0,6.90K,3.71%
2023-08-31,47.43,47.25,49.6,47.25,0.14K,0.00%
2023-08-30,47.43,48.0,49.66,47.5,0.16K,0.00%
2023-08-29,47.43,49.74,49.8,45.6,8.14K,0.00%
2023-08-28,47.43,45.0,48.77,44.5,18.94K,2.11%
2023-08-27,46.45,44.43,48.0,44.43,78.72K,-0.66%
2023-08-22,46.76,44.55,44.55,44.43,0.01K,0.00%
2023-08-21,46.76,44.43,44.55,44.43,0.51K,0.00%
2023-08-17,46.76,44.43,44.55,44.43,0.83K,0.00%
2023-08-16,46.76,44.43,44.44,44.43,2.84K,0.00%
2023-08-15,46.76,44.43,44.43,44.43,0.44K,0.00%
2023-08-14,46.76,44.43,44.43,44.43,1.66K,0.00%
2023-08-13,46.76,44.44,44.44,44.44,0.01K,0.00%
2023-08-09,46.76,44.43,44.43,44.43,0.14K,0.00%
2023-08-08,46.76,44.43,44.43,44.43,0.86K,0.00%
2023-08-06,46.76,44.43,44.5,44.43,0.28K,0.00%
2023-08-03,46.76,44.43,44.43,44.43,0.00K,0.00%
2023-08-02,46.76,44.8,44.8,44.43,0.01K,0.00%
2023-08-01,46.76,44.43,44.9,44.43,1.15K,0.00%
2023-07-31,46.76,45.0,45.0,45.0,0.01K,0.00%
2023-07-30,46.76,45.4,45.4,44.43,0.34K,0.00%
2023-07-27,46.76,44.99,45.48,44.99,0.04K,0.00%
2023-07-26,46.76,44.43,45.48,44.43,0.73K,0.00%
2023-07-25,46.76,44.45,46.35,44.43,2.20K,0.00%
2023-07-24,46.76,46.0,46.5,44.44,0.46K,0.00%
2023-07-19,46.76,46.73,46.73,44.43,2.11K,0.00%
2023-07-18,46.76,45.0,47.38,45.0,3.01K,0.00%
2023-07-17,46.76,45.75,48.0,45.0,3.88K,0.00%
2023-07-16,46.76,45.6,46.76,45.6,0.31K,0.00%
2023-07-13,46.76,48.5,49.0,44.43,2.80K,0.00%
2023-07-12,46.76,47.5,49.08,47.5,5.46K,0.00%
2023-07-11,46.76,43.02,47.25,43.01,8.05K,3.91%
2023-07-10,45.0,42.75,45.0,42.75,0.77K,0.00%
2023-07-09,45.0,47.22,47.22,42.75,66.84K,0.00%
2023-07-06,45.0,47.09,47.25,47.09,6.22K,0.00%
2023-07-05,45.0,47.18,47.19,44.12,0.76K,0.00%
2023-07-04,45.0,44.0,47.25,44.0,5.07K,0.00%
2023-06-26,45.0,41.19,45.45,41.19,22.16K,3.88%
2023-06-25,43.32,39.6,43.73,39.6,9.53K,4.01%
2023-06-22,41.65,40.01,41.65,39.9,0.67K,0.00%
2023-06-21,41.65,41.65,41.77,39.61,1.76K,0.00%
2023-06-20,41.65,40.09,42.08,40.09,24.58K,3.92%
2023-06-19,40.08,37.2,40.15,37.2,27.99K,4.81%
2023-06-18,38.24,35.01,38.3,35.01,250.44K,4.82%
2023-06-15,36.48,35.01,36.48,34.66,242.34K,0.00%
2023-06-14,36.48,36.48,36.48,36.48,134.85K,0.00%
2023-06-11,36.48,34.66,35.5,34.66,2.71K,0.00%
2023-06-08,36.48,35.05,36.48,34.66,4.62K,0.00%
2023-06-07,36.48,35.25,36.48,34.66,47.66K,0.00%
2023-06-06,36.48,37.3,38.27,35.89,3.66K,0.00%
2023-06-05,36.48,34.19,37.3,33.79,37.56K,2.59%
2023-06-04,35.56,33.79,34.37,33.79,1.79K,0.00%
2023-06-01,35.56,33.86,34.6,33.79,2.87K,0.00%
2023-05-31,35.56,33.79,34.8,33.79,4.83K,0.00%
2023-05-30,35.56,35.53,35.53,33.79,1.96K,0.00%
2023-05-29,35.56,33.79,35.0,33.79,7.49K,0.00%
2023-05-28,35.56,35.56,35.56,35.56,8.82K,-5.00%
2023-05-25,37.43,35.56,35.56,35.56,1.05K,0.00%
2023-05-24,37.43,35.56,35.56,35.56,0.11K,0.00%
2023-05-22,37.43,35.78,35.78,35.56,0.81K,0.00%
2023-05-21,37.43,35.56,35.65,35.56,1.22K,0.00%
2023-05-18,37.43,35.61,35.7,35.61,0.94K,0.00%
2023-05-17,37.43,37.4,37.4,35.56,4.25K,0.00%
2023-05-16,37.43,35.9,37.43,35.56,61.10K,0.00%
