Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.33,0.34,0.34,0.31,27.89M,-4.66%
2023-12-10,0.34,0.37,0.38,0.34,34.47M,-4.19%
2023-12-07,0.36,0.34,0.36,0.33,55.95M,-36.86%
2023-12-06,0.57,0.6,0.61,0.56,48.42M,-6.90%
2023-12-05,0.61,0.59,0.64,0.56,51.29M,2.70%
2023-12-04,0.59,0.65,0.65,0.58,64.01M,-8.35%
2023-12-03,0.65,0.65,0.65,0.63,50.06M,9.85%
2023-11-30,0.59,0.59,0.59,0.59,10.79M,9.89%
2023-11-29,0.54,0.49,0.54,0.48,41.94M,9.84%
2023-11-28,0.49,0.5,0.5,0.49,8.86M,-1.41%
2023-11-27,0.5,0.51,0.51,0.49,13.08M,-1.59%
2023-11-26,0.5,0.51,0.51,0.5,15.26M,-1.37%
2023-11-23,0.51,0.51,0.51,0.5,13.61M,0.00%
2023-11-22,0.51,0.51,0.52,0.5,15.86M,0.00%
2023-11-21,0.51,0.5,0.51,0.49,13.04M,1.40%
2023-11-20,0.5,0.53,0.53,0.5,26.96M,-4.57%
2023-11-19,0.52,0.54,0.54,0.52,43.54M,0.00%
2023-11-16,0.52,0.49,0.53,0.49,50.87M,5.48%
2023-11-15,0.49,0.49,0.5,0.48,23.40M,2.71%
2023-11-14,0.48,0.5,0.51,0.48,18.20M,-3.23%
2023-11-13,0.5,0.48,0.51,0.48,24.72M,3.12%
2023-11-12,0.48,0.49,0.5,0.48,19.88M,0.00%
2023-11-09,0.48,0.5,0.51,0.48,25.14M,-3.20%
2023-11-08,0.5,0.53,0.53,0.49,55.10M,-3.29%
2023-11-07,0.52,0.47,0.52,0.45,70.06M,10.00%
2023-11-06,0.47,0.48,0.49,0.47,28.40M,0.00%
2023-11-05,0.47,0.45,0.48,0.45,37.44M,6.35%
2023-11-02,0.44,0.44,0.44,0.43,12.32M,2.08%
2023-11-01,0.43,0.44,0.44,0.43,14.42M,0.00%
2023-10-31,0.44,0.43,0.45,0.43,31.76M,1.40%
2023-10-30,0.43,0.43,0.44,0.43,12.06M,0.00%
2023-10-29,0.43,0.44,0.44,0.43,13.00M,0.00%
2023-10-26,0.43,0.43,0.44,0.43,16.10M,0.00%
2023-10-25,0.43,0.44,0.44,0.43,18.12M,0.00%
2023-10-24,0.43,0.45,0.45,0.43,19.28M,-2.91%
2023-10-23,0.45,0.46,0.47,0.44,25.63M,0.00%
2023-10-22,0.45,0.43,0.46,0.43,32.59M,6.64%
2023-10-19,0.42,0.44,0.44,0.42,21.27M,-2.31%
2023-10-18,0.43,0.44,0.45,0.43,12.66M,-2.48%
2023-10-17,0.44,0.44,0.45,0.44,16.29M,0.00%
2023-10-16,0.44,0.44,0.45,0.44,14.80M,-1.35%
2023-10-15,0.44,0.45,0.46,0.44,14.76M,0.00%
2023-10-12,0.44,0.45,0.45,0.44,10.59M,-1.56%
2023-10-11,0.45,0.46,0.47,0.45,9.88M,-1.54%
2023-10-10,0.46,0.46,0.46,0.45,15.39M,0.00%
2023-10-09,0.46,0.43,0.46,0.41,22.01M,7.04%
2023-10-08,0.43,0.47,0.47,0.42,24.14M,-8.78%
2023-10-04,0.47,0.48,0.48,0.45,23.00M,0.00%
2023-10-03,0.47,0.49,0.5,0.47,23.64M,-4.07%
2023-10-02,0.49,0.51,0.52,0.47,18.85M,-4.28%
2023-10-01,0.51,0.52,0.53,0.51,17.42M,-1.34%
2023-09-27,0.52,0.52,0.53,0.51,21.63M,0.00%
2023-09-26,0.52,0.53,0.54,0.52,17.05M,0.00%
2023-09-25,0.52,0.53,0.53,0.52,14.34M,0.00%
2023-09-24,0.53,0.54,0.54,0.52,19.65M,0.00%
2023-09-21,0.53,0.54,0.54,0.53,18.02M,0.00%
2023-09-20,0.53,0.57,0.57,0.53,44.34M,-6.19%
2023-09-19,0.56,0.56,0.59,0.55,60.94M,2.17%
2023-09-18,0.55,0.58,0.58,0.55,35.32M,-2.98%
2023-09-17,0.57,0.57,0.58,0.56,42.42M,0.00%
2023-09-14,0.57,0.59,0.61,0.56,101.57M,-2.92%
2023-09-13,0.58,0.54,0.58,0.54,119.27M,10.00%
2023-09-12,0.53,0.53,0.53,0.52,14.75M,0.00%
2023-09-11,0.52,0.53,0.55,0.52,30.01M,0.00%
2023-09-10,0.52,0.53,0.53,0.52,10.00M,0.00%
2023-09-07,0.52,0.53,0.53,0.52,14.53M,0.00%
2023-09-06,0.53,0.53,0.53,0.52,11.59M,0.00%
2023-09-05,0.53,0.53,0.54,0.53,19.31M,0.00%
2023-09-04,0.53,0.52,0.56,0.52,43.68M,2.90%
2023-09-03,0.52,0.53,0.53,0.51,23.25M,-1.89%
2023-08-31,0.53,0.54,0.54,0.52,15.85M,0.00%
2023-08-30,0.53,0.53,0.54,0.53,17.33M,0.00%
2023-08-29,0.53,0.54,0.54,0.53,17.23M,-1.67%
2023-08-28,0.54,0.55,0.55,0.53,19.80M,0.00%
2023-08-27,0.54,0.54,0.56,0.53,37.27M,2.26%
2023-08-24,0.53,0.54,0.54,0.53,24.04M,0.00%
2023-08-23,0.53,0.56,0.56,0.53,29.96M,-3.44%
2023-08-22,0.55,0.53,0.57,0.52,54.63M,5.75%
2023-08-21,0.52,0.54,0.54,0.52,23.23M,-3.33%
2023-08-20,0.54,0.55,0.55,0.54,18.32M,0.00%
2023-08-17,0.54,0.54,0.55,0.53,34.01M,2.26%
2023-08-16,0.53,0.54,0.56,0.53,50.17M,-1.67%
2023-08-15,0.54,0.56,0.56,0.54,27.30M,-2.88%
2023-08-14,0.56,0.56,0.57,0.55,33.42M,0.00%
2023-08-13,0.56,0.58,0.58,0.55,30.78M,-3.64%
2023-08-10,0.58,0.59,0.6,0.57,31.00M,-2.04%
2023-08-09,0.59,0.57,0.62,0.56,78.70M,3.51%
2023-08-08,0.57,0.59,0.6,0.57,83.32M,0.00%
2023-08-07,0.57,0.52,0.57,0.52,70.54M,10.00%
2023-08-06,0.52,0.52,0.53,0.51,20.85M,0.00%
2023-08-03,0.52,0.53,0.53,0.51,21.52M,0.00%
2023-08-02,0.52,0.55,0.55,0.52,38.12M,-4.92%
2023-08-01,0.55,0.55,0.56,0.53,46.45M,1.29%
2023-07-31,0.54,0.55,0.55,0.52,38.40M,0.00%
2023-07-30,0.54,0.55,0.57,0.5,64.65M,0.00%
2023-07-27,0.54,0.57,0.57,0.52,64.49M,-7.24%
2023-07-26,0.58,0.6,0.6,0.57,31.68M,-3.01%
2023-07-25,0.6,0.59,0.61,0.57,48.68M,1.87%
2023-07-24,0.59,0.6,0.61,0.56,51.30M,0.00%
2023-07-19,0.59,0.6,0.61,0.57,59.32M,5.90%
2023-07-18,0.56,0.53,0.56,0.52,63.55M,9.82%
2023-07-17,0.51,0.5,0.54,0.47,68.06M,-2.49%
2023-07-16,0.52,0.58,0.59,0.52,53.02M,-9.84%
2023-07-13,0.58,0.62,0.62,0.56,59.25M,-7.06%
2023-07-12,0.62,0.66,0.66,0.62,37.53M,-4.89%
2023-07-11,0.65,0.64,0.67,0.62,50.66M,4.30%
2023-07-10,0.63,0.58,0.63,0.53,39.04M,9.98%
2023-07-09,0.57,0.64,0.65,0.57,47.47M,-9.08%
2023-07-06,0.63,0.67,0.68,0.62,48.92M,-4.85%
2023-07-05,0.66,0.61,0.66,0.61,43.81M,9.09%
2023-07-04,0.61,0.58,0.61,0.57,35.12M,8.42%
2023-06-26,0.56,0.55,0.58,0.52,47.73M,2.95%
2023-06-25,0.54,0.57,0.59,0.54,47.12M,-2.17%
2023-06-22,0.55,0.59,0.62,0.53,54.79M,-5.78%
2023-06-21,0.59,0.58,0.62,0.55,82.07M,4.26%
2023-06-20,0.56,0.52,0.56,0.5,77.67M,9.94%
2023-06-19,0.51,0.51,0.51,0.48,67.93M,9.85%
2023-06-18,0.47,0.44,0.47,0.43,35.10M,9.88%
2023-06-15,0.43,0.41,0.45,0.4,42.89M,0.00%
2023-06-14,0.43,0.5,0.52,0.43,65.63M,-9.94%
2023-06-13,0.47,0.47,0.47,0.4,94.94M,10.00%
2023-06-12,0.43,0.41,0.43,0.41,19.71M,9.97%
2023-06-11,0.39,0.38,0.39,0.37,33.55M,9.83%
2023-06-08,0.36,0.33,0.36,0.32,53.22M,9.88%
2023-06-07,0.32,0.3,0.33,0.28,72.46M,8.00%
2023-06-06,0.3,0.31,0.32,0.3,16.81M,-1.96%
2023-06-05,0.31,0.31,0.32,0.3,22.19M,0.00%
2023-06-04,0.31,0.32,0.33,0.3,32.15M,0.00%
2023-06-01,0.31,0.28,0.31,0.28,31.57M,10.00%
2023-05-31,0.28,0.31,0.31,0.28,29.31M,-9.09%
2023-05-30,0.31,0.32,0.32,0.3,18.19M,-2.84%
2023-05-29,0.32,0.33,0.34,0.28,52.16M,3.59%
2023-05-28,0.31,0.29,0.31,0.28,37.09M,9.68%
2023-05-25,0.28,0.26,0.28,0.25,31.57M,9.84%
2023-05-24,0.25,0.26,0.26,0.25,8.63M,0.00%
2023-05-23,0.26,0.26,0.26,0.25,15.61M,0.00%
2023-05-22,0.26,0.27,0.27,0.25,38.92M,5.24%
2023-05-21,0.25,0.23,0.25,0.23,27.47M,9.73%
2023-05-18,0.23,0.22,0.23,0.21,9.76M,5.61%
2023-05-17,0.21,0.23,0.23,0.21,14.44M,-4.46%
2023-05-16,0.22,0.23,0.23,0.22,11.55M,0.00%
2023-05-15,0.23,0.24,0.24,0.22,11.36M,-5.44%
2023-05-14,0.24,0.24,0.25,0.23,16.13M,0.00%
2023-05-11,0.24,0.25,0.25,0.23,30.94M,0.00%
2023-05-10,0.23,0.21,0.23,0.21,57.36M,9.95%
2023-05-09,0.21,0.19,0.21,0.19,28.91M,9.90%
2023-05-08,0.19,0.19,0.19,0.19,5.72M,3.23%
2023-05-07,0.19,0.19,0.19,0.18,4.87M,0.00%
2023-05-03,0.18,0.19,0.19,0.18,4.60M,0.00%
2023-05-02,0.19,0.19,0.19,0.18,4.15M,0.00%
2023-05-01,0.19,0.19,0.19,0.18,3.22M,0.00%
2023-04-30,0.19,0.19,0.19,0.19,4.43M,0.00%
2023-04-27,0.19,0.19,0.19,0.19,2.63M,0.00%
2023-04-26,0.19,0.19,0.19,0.18,2.91M,0.00%
2023-04-19,0.19,0.19,0.19,0.19,703.03K,0.00%
2023-04-18,0.19,0.19,0.19,0.18,2.02M,0.00%
2023-04-13,0.19,0.19,0.19,0.18,2.18M,0.00%
2023-04-12,0.19,0.19,0.19,0.19,1.71M,0.00%
2023-04-11,0.19,0.19,0.19,0.19,836.65K,0.00%
2023-04-10,0.19,0.19,0.19,0.19,3.41M,0.00%
2023-04-09,0.19,0.19,0.19,0.19,3.17M,0.00%
2023-04-06,0.19,0.19,0.19,0.19,4.42M,0.00%
2023-04-05,0.19,0.19,0.19,0.19,3.66M,0.00%
2023-04-04,0.19,0.18,0.19,0.18,2.29M,0.00%
2023-04-03,0.18,0.19,0.19,0.18,2.66M,0.00%
2023-04-02,0.18,0.18,0.18,0.18,1.06M,0.00%
2023-03-30,0.18,0.18,0.18,0.18,2.70M,0.00%
2023-03-29,0.18,0.19,0.19,0.18,1.87M,0.00%
2023-03-28,0.18,0.19,0.19,0.18,2.03M,0.00%
2023-03-27,0.19,0.19,0.19,0.19,3.06M,0.00%
2023-03-26,0.19,0.19,0.19,0.19,1.64M,0.00%
2023-03-23,0.19,0.18,0.19,0.18,732.33K,0.00%
2023-03-22,0.19,0.19,0.19,0.18,2.15M,0.00%
2023-03-21,0.19,0.19,0.19,0.18,5.80M,0.00%
2023-03-20,0.18,0.18,0.19,0.18,5.16M,3.95%
2023-03-19,0.18,0.17,0.18,0.17,3.64M,0.00%
2023-03-16,0.18,0.18,0.19,0.17,15.41M,-6.38%
2023-03-15,0.19,0.2,0.21,0.19,4.89M,-8.29%
2023-03-14,0.2,0.2,0.21,0.2,3.04M,0.00%
2023-03-13,0.2,0.22,0.22,0.2,4.22M,-9.46%
2023-03-12,0.22,0.23,0.23,0.22,4.58M,-5.53%
2023-03-09,0.23,0.23,0.24,0.23,8.39M,3.52%
2023-03-08,0.23,0.23,0.23,0.22,3.53M,0.00%
2023-03-07,0.23,0.24,0.24,0.23,2.17M,0.00%
2023-03-06,0.24,0.24,0.24,0.23,1.36M,0.00%
2023-03-05,0.24,0.24,0.24,0.24,1.28M,0.00%
2023-03-02,0.24,0.24,0.24,0.24,1.85M,0.00%
2023-03-01,0.24,0.24,0.24,0.24,3.02M,0.00%
2023-02-28,0.24,0.23,0.24,0.23,1.83M,0.00%
2023-02-27,0.23,0.24,0.24,0.23,2.75M,0.00%
2023-02-26,0.24,0.24,0.24,0.23,3.20M,0.00%
2023-02-23,0.24,0.23,0.24,0.23,3.40M,0.00%
2023-02-22,0.24,0.24,0.24,0.23,2.69M,0.00%
2023-02-21,0.24,0.24,0.24,0.24,2.42M,0.00%
2023-02-20,0.24,0.24,0.24,0.24,1.45M,0.00%
2023-02-19,0.24,0.24,0.25,0.24,2.82M,0.00%
