Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,22.05,23.32,23.87,21.67,2.10M,-3.84%
2023-12-10,22.93,20.6,22.93,20.6,3.97M,19.99%
2023-12-07,19.11,17.81,19.45,17.41,2.02M,8.64%
2023-12-06,17.59,17.65,18.2,17.5,745.26K,0.00%
2023-12-05,17.59,17.62,17.84,17.35,364.50K,0.29%
2023-12-04,17.54,17.12,17.8,17.0,520.09K,3.30%
2023-12-03,16.98,17.33,17.6,16.94,332.15K,-0.70%
2023-11-30,17.1,17.1,17.48,16.83,473.04K,1.18%
2023-11-29,16.9,17.8,17.8,16.65,762.94K,-4.41%
2023-11-28,17.68,17.6,18.28,17.3,1.63M,1.78%
2023-11-27,17.37,16.19,18.45,16.19,3.92M,9.38%
2023-11-26,15.88,15.65,16.15,15.2,1.17M,4.13%
2023-11-23,15.25,15.07,15.8,14.77,970.14K,2.42%
2023-11-22,14.89,14.97,15.17,14.77,436.77K,-0.60%
2023-11-21,14.98,15.0,15.24,14.8,401.84K,0.47%
2023-11-20,14.91,15.42,15.73,14.82,906.23K,-2.74%
2023-11-19,15.33,16.16,16.16,15.22,915.11K,-1.92%
2023-11-16,15.63,15.6,16.25,15.4,1.67M,5.04%
2023-11-15,14.88,14.09,15.47,14.09,2.21M,6.90%
2023-11-14,13.92,13.12,14.17,13.04,725.04K,6.58%
2023-11-13,13.06,13.2,13.35,13.01,346.02K,-0.31%
2023-11-12,13.1,13.61,13.78,12.99,482.31K,-2.67%
2023-11-09,13.46,14.01,14.1,13.4,550.99K,-3.03%
2023-11-08,13.88,13.8,14.3,13.75,630.25K,1.46%
2023-11-07,13.68,13.6,14.0,13.45,337.12K,0.88%
2023-11-06,13.56,13.85,14.34,13.53,775.65K,-0.51%
2023-11-05,13.63,13.3,14.39,13.2,868.85K,4.52%
2023-11-02,13.04,13.4,13.5,12.95,390.17K,-1.21%
2023-11-01,13.2,13.49,13.67,13.03,308.86K,-0.75%
2023-10-31,13.3,14.28,14.48,13.3,472.78K,-4.86%
2023-10-30,13.98,13.81,14.5,13.4,808.72K,1.90%
2023-10-29,13.72,14.48,14.49,13.7,557.28K,-3.99%
2023-10-26,14.29,14.6,14.96,14.26,503.57K,-0.56%
2023-10-25,14.37,14.93,15.28,14.35,546.89K,-2.91%
2023-10-24,14.8,14.9,16.13,14.61,596.11K,-4.52%
2023-10-23,15.5,15.94,16.17,15.45,699.38K,0.85%
2023-10-22,15.37,15.65,15.75,15.32,323.64K,0.46%
2023-10-19,15.3,15.97,16.2,15.26,525.72K,-3.59%
2023-10-18,15.87,16.18,16.47,15.74,673.64K,-0.38%
2023-10-17,15.93,16.61,16.75,15.85,870.45K,-1.12%
2023-10-16,16.11,15.55,16.9,15.5,1.06M,3.60%
2023-10-15,15.55,15.4,15.88,15.01,745.41K,2.44%
2023-10-12,15.18,15.6,15.7,15.1,321.81K,-1.56%
2023-10-11,15.42,15.98,16.34,15.4,624.32K,-1.66%
2023-10-10,15.68,14.88,15.8,14.61,786.22K,7.40%
2023-10-09,14.6,14.14,14.94,14.14,568.05K,4.06%
2023-10-08,14.03,15.41,15.77,12.7,540.98K,-9.37%
2023-10-04,15.48,15.87,16.29,15.4,653.96K,-2.09%
2023-10-03,15.81,17.19,17.6,15.7,615.14K,-5.27%
2023-10-02,16.69,15.5,18.0,15.5,1.22M,9.01%
2023-10-01,15.31,14.79,15.7,14.51,805.71K,6.54%
2023-09-27,14.37,14.48,14.92,14.15,613.43K,0.49%
2023-09-26,14.3,13.95,14.77,13.9,1.16M,5.77%
2023-09-25,13.52,12.58,13.85,12.25,1.36M,9.74%
2023-09-24,12.32,12.5,12.62,12.22,226.30K,-0.48%
2023-09-21,12.38,12.54,12.69,12.0,389.36K,-1.28%
2023-09-20,12.54,12.8,12.87,12.52,238.33K,-0.71%
2023-09-19,12.63,13.06,13.06,12.6,159.34K,-0.94%
2023-09-18,12.75,12.6,13.25,12.5,422.42K,1.19%
2023-09-17,12.6,12.91,12.92,12.5,134.34K,-0.94%
2023-09-14,12.72,13.06,13.1,12.61,169.60K,-1.01%
2023-09-13,12.85,12.13,13.33,12.13,1.08M,8.81%
2023-09-12,11.81,11.5,12.27,11.43,539.41K,2.43%
2023-09-11,11.53,11.71,11.89,11.41,249.44K,-2.62%
2023-09-10,11.84,12.25,12.3,11.55,403.04K,-2.47%
2023-09-07,12.14,12.54,12.61,11.6,312.26K,-1.06%
2023-09-06,12.27,12.52,13.0,11.87,437.76K,-0.16%
2023-09-05,12.29,12.3,13.35,12.15,907.58K,3.02%
2023-09-04,11.93,11.79,12.43,11.07,567.82K,5.02%
2023-09-03,11.36,11.1,12.99,11.1,353.25K,4.03%
2023-08-31,10.92,9.75,11.64,9.6,1.69M,12.58%
2023-08-30,9.7,10.05,10.2,9.51,782.60K,1.68%
2023-08-29,9.54,9.82,9.9,9.5,323.44K,-0.93%
2023-08-28,9.63,9.52,10.03,9.19,446.38K,5.36%
2023-08-27,9.14,9.7,9.83,9.01,225.80K,-2.04%
2023-08-24,9.33,8.93,10.05,8.71,465.34K,5.78%
2023-08-23,8.82,9.47,9.5,8.71,268.91K,-5.26%
2023-08-22,9.31,9.79,10.17,9.22,572.44K,-1.79%
2023-08-21,9.48,7.99,9.48,7.99,1.15M,20.00%
2023-08-20,7.9,7.76,8.0,7.76,135.69K,2.86%
2023-08-17,7.68,7.7,7.75,7.64,21.04K,0.00%
2023-08-16,7.68,7.87,7.97,7.5,41.19K,-2.66%
2023-08-15,7.89,7.89,7.9,7.8,33.54K,0.00%
2023-08-14,7.89,8.0,8.0,7.86,175.31K,-0.13%
2023-08-13,7.9,8.1,8.1,7.87,15.89K,0.00%
2023-08-10,7.9,8.0,8.0,7.87,13.13K,0.00%
2023-08-09,7.9,7.92,8.0,7.89,13.29K,0.00%
2023-08-08,7.9,7.95,8.0,7.6,48.23K,-1.86%
2023-08-07,8.05,7.91,8.11,7.91,32.27K,0.00%
2023-08-06,8.05,8.19,8.19,7.82,35.53K,0.00%
2023-08-03,8.05,7.73,8.2,7.71,92.86K,4.27%
2023-08-02,7.72,7.61,7.87,7.61,78.85K,1.31%
2023-08-01,7.62,7.7,7.7,7.52,39.42K,-0.65%
2023-07-31,7.67,7.32,7.75,7.32,102.86K,7.42%
2023-07-30,7.14,7.2,7.32,7.2,25.67K,0.00%
2023-07-27,7.14,7.06,7.23,7.0,47.55K,0.85%
2023-07-26,7.08,7.0,7.09,6.96,6.07K,0.00%
2023-07-25,7.08,7.19,7.2,6.9,50.32K,-1.67%
2023-07-24,7.2,7.22,7.25,7.11,19.66K,0.00%
2023-07-19,7.2,7.25,7.29,7.17,72.32K,-0.28%
2023-07-18,7.22,7.28,7.41,7.18,85.43K,-0.82%
2023-07-17,7.28,7.53,7.53,7.13,94.28K,-2.93%
2023-07-16,7.5,7.32,7.63,7.32,48.36K,2.46%
2023-07-13,7.32,7.3,7.48,7.22,23.37K,0.00%
2023-07-12,7.32,7.54,7.54,7.1,46.91K,1.24%
2023-07-11,7.23,6.99,7.33,6.9,69.29K,4.78%
2023-07-10,6.9,6.51,7.3,6.51,40.29K,0.00%
2023-07-09,6.9,7.23,7.45,6.36,75.82K,-8.00%
