Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.17,0.171,0.172,0.168,3.78M,-0.58%
2023-12-10,0.171,0.175,0.176,0.17,5.31M,-1.72%
2023-12-07,0.174,0.173,0.175,0.17,11.09M,0.00%
2023-12-06,0.174,0.18,0.18,0.173,17.78M,-3.33%
2023-12-05,0.18,0.177,0.181,0.175,27.93M,2.86%
2023-12-04,0.175,0.17,0.175,0.169,9.91M,2.94%
2023-12-03,0.17,0.172,0.175,0.17,4.12M,-0.58%
2023-11-30,0.171,0.172,0.177,0.17,11.76M,0.59%
2023-11-29,0.17,0.171,0.173,0.169,3.97M,-1.16%
2023-11-28,0.172,0.175,0.176,0.17,9.01M,-1.15%
2023-11-27,0.174,0.176,0.18,0.174,9.56M,-2.25%
2023-11-26,0.178,0.17,0.178,0.169,12.87M,5.33%
2023-11-23,0.169,0.17,0.171,0.167,7.06M,0.60%
2023-11-22,0.168,0.17,0.171,0.165,10.92M,-1.18%
2023-11-21,0.17,0.167,0.171,0.165,7.55M,1.80%
2023-11-20,0.167,0.172,0.172,0.167,8.23M,-2.91%
2023-11-19,0.172,0.174,0.175,0.17,7.92M,-0.58%
2023-11-16,0.173,0.167,0.174,0.167,17.21M,4.22%
2023-11-15,0.166,0.167,0.168,0.164,6.35M,0.61%
2023-11-14,0.165,0.168,0.169,0.164,4.63M,0.00%
2023-11-13,0.165,0.166,0.169,0.165,5.97M,0.00%
2023-11-12,0.165,0.17,0.17,0.163,10.77M,-1.20%
2023-11-09,0.167,0.167,0.177,0.165,13.20M,-0.60%
2023-11-08,0.168,0.173,0.176,0.166,9.79M,-2.89%
2023-11-07,0.173,0.164,0.173,0.162,13.14M,5.49%
2023-11-06,0.164,0.164,0.164,0.161,5.66M,1.23%
2023-11-05,0.162,0.161,0.163,0.159,6.40M,1.25%
2023-11-02,0.16,0.159,0.164,0.157,3.18M,1.91%
2023-11-01,0.157,0.161,0.161,0.155,3.55M,-1.87%
2023-10-31,0.16,0.165,0.166,0.16,5.88M,-1.84%
2023-10-30,0.163,0.16,0.165,0.16,4.43M,0.00%
2023-10-29,0.163,0.16,0.164,0.159,6.37M,3.16%
2023-10-26,0.158,0.159,0.162,0.157,8.35M,2.60%
2023-10-25,0.154,0.158,0.16,0.154,7.10M,-0.65%
2023-10-24,0.155,0.16,0.161,0.155,6.20M,-2.52%
2023-10-23,0.159,0.155,0.163,0.154,9.93M,3.25%
2023-10-22,0.154,0.155,0.156,0.153,3.47M,0.00%
2023-10-19,0.154,0.154,0.157,0.153,3.76M,-0.65%
2023-10-18,0.155,0.155,0.157,0.154,4.46M,0.00%
2023-10-17,0.155,0.153,0.156,0.153,5.14M,0.65%
2023-10-16,0.154,0.156,0.156,0.153,2.43M,-0.65%
2023-10-15,0.155,0.156,0.158,0.153,3.63M,-0.64%
2023-10-12,0.156,0.157,0.16,0.154,2.72M,0.00%
2023-10-11,0.156,0.159,0.16,0.155,4.40M,-1.27%
2023-10-10,0.158,0.152,0.162,0.151,11.30M,4.64%
2023-10-09,0.151,0.15,0.154,0.146,2.69M,0.67%
2023-10-08,0.15,0.16,0.161,0.146,7.87M,-6.83%
2023-10-04,0.161,0.162,0.164,0.16,5.00M,0.00%
2023-10-03,0.161,0.164,0.166,0.16,4.78M,-2.42%
2023-10-02,0.165,0.168,0.17,0.165,4.92M,-1.20%
2023-10-01,0.167,0.17,0.171,0.167,6.12M,-0.60%
2023-09-27,0.168,0.17,0.173,0.167,10.13M,-1.18%
2023-09-26,0.17,0.173,0.174,0.17,6.59M,-1.16%
2023-09-25,0.172,0.178,0.179,0.172,9.17M,-2.27%
2023-09-24,0.176,0.178,0.18,0.174,6.81M,-1.68%
2023-09-21,0.179,0.18,0.181,0.175,7.96M,0.56%
2023-09-20,0.178,0.175,0.185,0.171,26.44M,1.71%
2023-09-19,0.175,0.176,0.181,0.174,22.60M,0.00%
2023-09-18,0.175,0.173,0.177,0.17,11.66M,2.34%
2023-09-17,0.171,0.17,0.173,0.17,3.73M,0.59%
2023-09-14,0.17,0.17,0.171,0.169,3.64M,0.59%
2023-09-13,0.169,0.168,0.17,0.168,1.81M,0.60%
2023-09-12,0.168,0.169,0.171,0.167,6.45M,-0.59%
2023-09-11,0.169,0.172,0.172,0.168,3.06M,-0.59%
2023-09-10,0.17,0.171,0.173,0.17,4.46M,0.00%
2023-09-07,0.17,0.17,0.173,0.17,2.98M,-0.58%
2023-09-06,0.171,0.171,0.174,0.17,8.59M,0.00%
2023-09-05,0.171,0.173,0.175,0.17,8.95M,0.00%
2023-09-04,0.171,0.173,0.173,0.17,3.98M,0.00%
2023-09-03,0.171,0.173,0.178,0.171,16.84M,0.00%
2023-08-31,0.171,0.168,0.173,0.167,12.33M,2.40%
2023-08-30,0.167,0.169,0.17,0.165,10.66M,-0.60%
2023-08-29,0.168,0.168,0.17,0.167,3.02M,0.00%
2023-08-28,0.168,0.168,0.171,0.167,5.65M,-0.59%
2023-08-27,0.169,0.168,0.171,0.167,9.52M,1.20%
2023-08-24,0.167,0.17,0.17,0.165,7.50M,-1.18%
2023-08-23,0.169,0.172,0.173,0.169,10.22M,-1.17%
2023-08-22,0.171,0.171,0.174,0.169,12.04M,0.00%
2023-08-21,0.171,0.177,0.179,0.17,14.93M,-2.29%
2023-08-20,0.175,0.174,0.181,0.17,26.68M,2.34%
2023-08-17,0.171,0.179,0.179,0.169,22.31M,-4.47%
2023-08-16,0.179,0.168,0.183,0.166,36.23M,7.19%
2023-08-15,0.167,0.168,0.169,0.164,4.76M,0.60%
2023-08-14,0.166,0.167,0.169,0.164,4.08M,-0.60%
2023-08-13,0.167,0.17,0.171,0.165,6.09M,-1.76%
2023-08-10,0.17,0.171,0.172,0.168,4.51M,-0.58%
2023-08-09,0.171,0.173,0.176,0.17,6.08M,-1.16%
2023-08-08,0.173,0.178,0.181,0.172,9.69M,-1.70%
2023-08-07,0.176,0.171,0.18,0.169,18.29M,3.53%
2023-08-06,0.17,0.17,0.172,0.169,6.21M,0.59%
2023-08-03,0.169,0.17,0.173,0.167,6.38M,0.60%
2023-08-02,0.168,0.172,0.176,0.167,11.33M,0.00%
2023-08-01,0.168,0.173,0.174,0.167,6.47M,-1.18%
2023-07-31,0.17,0.174,0.174,0.167,4.74M,0.00%
2023-07-30,0.17,0.166,0.18,0.16,18.92M,1.80%
2023-07-27,0.167,0.168,0.169,0.162,4.64M,0.60%
2023-07-26,0.166,0.17,0.17,0.165,3.10M,-1.19%
2023-07-25,0.168,0.164,0.178,0.16,13.35M,3.07%
2023-07-24,0.163,0.168,0.168,0.161,3.23M,-1.21%
2023-07-19,0.165,0.168,0.173,0.163,7.33M,-1.79%
2023-07-18,0.168,0.154,0.168,0.153,13.01M,9.80%
2023-07-17,0.153,0.156,0.158,0.152,5.81M,-2.55%
2023-07-16,0.157,0.164,0.164,0.155,4.46M,-2.48%
2023-07-13,0.161,0.167,0.168,0.159,3.29M,-3.01%
2023-07-12,0.166,0.17,0.17,0.164,3.69M,-1.19%
2023-07-11,0.168,0.166,0.17,0.16,6.69M,1.82%
2023-07-10,0.165,0.16,0.167,0.153,7.51M,1.23%
2023-07-09,0.163,0.174,0.18,0.159,5.39M,-5.78%
2023-07-06,0.173,0.183,0.184,0.172,7.48M,-4.42%
2023-07-05,0.181,0.183,0.187,0.18,8.26M,0.00%
2023-07-04,0.181,0.185,0.188,0.18,6.14M,-1.63%
2023-06-26,0.184,0.175,0.185,0.175,10.14M,5.14%
2023-06-25,0.175,0.184,0.185,0.175,8.70M,-3.31%
2023-06-22,0.181,0.19,0.19,0.178,14.46M,-3.72%
2023-06-21,0.188,0.193,0.196,0.186,17.64M,-2.59%
2023-06-20,0.193,0.192,0.202,0.187,33.24M,-0.52%
2023-06-19,0.194,0.189,0.2,0.18,24.33M,3.74%
2023-06-18,0.187,0.179,0.194,0.176,30.98M,5.65%
2023-06-15,0.177,0.189,0.189,0.172,27.85M,-5.35%
2023-06-14,0.187,0.18,0.187,0.173,73.39M,10.00%
2023-06-13,0.17,0.165,0.17,0.161,38.55M,9.68%
2023-06-12,0.155,0.141,0.155,0.14,46.28M,9.93%
2023-06-11,0.141,0.143,0.148,0.14,11.83M,-0.70%
2023-06-08,0.142,0.143,0.146,0.141,9.55M,-0.70%
2023-06-07,0.143,0.141,0.15,0.14,26.38M,0.70%
2023-06-06,0.142,0.143,0.146,0.14,8.31M,0.00%
2023-06-05,0.142,0.144,0.152,0.142,25.10M,-1.39%
2023-06-04,0.144,0.139,0.145,0.135,23.60M,4.35%
2023-06-01,0.138,0.139,0.141,0.136,8.00M,-0.72%
2023-05-31,0.139,0.138,0.145,0.134,37.52M,-6.08%
2023-05-30,0.148,0.15,0.156,0.147,4.72M,1.37%
2023-05-29,0.146,0.145,0.155,0.143,7.76M,2.10%
2023-05-28,0.143,0.139,0.15,0.139,4.08M,0.00%
2023-05-25,0.143,0.139,0.145,0.139,2.48M,2.14%
2023-05-24,0.14,0.137,0.146,0.137,4.32M,2.19%
2023-05-23,0.137,0.141,0.143,0.128,4.10M,-3.52%
2023-05-22,0.142,0.141,0.145,0.138,1.13M,1.43%
2023-05-21,0.14,0.134,0.144,0.134,1.60M,2.19%
2023-05-18,0.137,0.135,0.139,0.133,1.32M,0.00%
2023-05-17,0.137,0.137,0.141,0.135,2.29M,-0.72%
2023-05-16,0.138,0.149,0.15,0.137,7.60M,-4.17%
2023-05-15,0.144,0.154,0.159,0.141,5.80M,-5.88%
2023-05-14,0.153,0.146,0.157,0.14,8.26M,4.79%
2023-05-11,0.146,0.135,0.148,0.13,10.76M,8.15%
2023-05-10,0.135,0.127,0.137,0.116,6.50M,8.00%
2023-05-09,0.125,0.128,0.128,0.124,721.80K,0.00%
2023-05-08,0.125,0.126,0.126,0.122,1.42M,-1.57%
2023-05-07,0.127,0.128,0.128,0.121,1.22M,0.00%
2023-05-03,0.127,0.125,0.129,0.121,2.02M,0.00%
2023-05-02,0.127,0.126,0.129,0.125,1.32M,-2.31%
2023-05-01,0.13,0.13,0.132,0.124,2.00M,2.36%
2023-04-30,0.127,0.132,0.132,0.126,753.15K,0.00%
2023-04-27,0.127,0.129,0.131,0.127,657.63K,0.00%
2023-04-26,0.127,0.135,0.136,0.125,3.04M,-1.55%
2023-04-19,0.129,0.133,0.135,0.127,2.73M,-5.15%
2023-04-18,0.136,0.133,0.135,0.133,104.75K,0.00%
2023-04-13,0.136,0.135,0.138,0.132,1.01M,0.00%
2023-04-12,0.136,0.138,0.138,0.135,434.13K,0.00%
2023-04-11,0.136,0.139,0.14,0.134,1.70M,-2.86%
2023-04-10,0.14,0.142,0.142,0.136,362.36K,0.00%
2023-04-09,0.14,0.137,0.137,0.135,767.40K,0.00%
2023-04-06,0.14,0.142,0.142,0.136,719.61K,0.00%
2023-04-05,0.14,0.147,0.147,0.138,1.58M,-2.10%
2023-04-04,0.143,0.145,0.15,0.142,1.83M,-2.05%
2023-04-03,0.146,0.136,0.146,0.135,7.66M,9.77%
2023-04-02,0.133,0.132,0.136,0.13,1.86M,-1.48%
2023-03-30,0.135,0.139,0.14,0.13,1.07M,0.00%
2023-03-29,0.135,0.141,0.141,0.135,484.41K,0.00%
2023-03-28,0.135,0.143,0.143,0.133,1.30M,-4.26%
2023-03-27,0.141,0.136,0.143,0.133,2.23M,2.92%
2023-03-26,0.137,0.134,0.137,0.131,441.67K,0.00%
2023-03-23,0.137,0.13,0.135,0.13,271.68K,0.00%
2023-03-22,0.137,0.134,0.138,0.133,695.89K,0.00%
2023-03-21,0.137,0.131,0.138,0.131,1.45M,0.00%
2023-03-20,0.137,0.135,0.142,0.131,925.24K,0.00%
2023-03-19,0.137,0.14,0.14,0.127,1.45M,-1.44%
2023-03-16,0.139,0.13,0.145,0.122,2.59M,5.30%
2023-03-15,0.132,0.14,0.145,0.13,1.23M,-5.71%
2023-03-14,0.14,0.145,0.145,0.136,2.89M,-4.76%
2023-03-13,0.147,0.151,0.153,0.142,2.67M,-3.92%
2023-03-12,0.153,0.155,0.157,0.15,2.89M,-1.29%
2023-03-09,0.155,0.15,0.158,0.142,3.34M,2.65%
2023-03-08,0.151,0.149,0.154,0.14,3.60M,0.67%
2023-03-07,0.15,0.159,0.161,0.148,3.11M,2.04%
2023-03-06,0.147,0.139,0.147,0.139,1.31M,-10.37%
2023-03-05,0.164,0.164,0.168,0.16,3.05M,1.23%
2023-03-02,0.162,0.163,0.165,0.159,869.91K,0.00%
2023-03-01,0.162,0.163,0.169,0.162,1.85M,-1.22%
2023-02-28,0.164,0.164,0.173,0.162,3.08M,0.61%
2023-02-27,0.163,0.167,0.167,0.16,852.81K,0.00%
2023-02-26,0.163,0.168,0.168,0.161,618.89K,0.00%
2023-02-23,0.163,0.164,0.168,0.162,955.00K,-4.12%
2023-02-22,0.17,0.169,0.17,0.161,544.10K,0.00%
2023-02-21,0.17,0.18,0.18,0.167,1.59M,3.66%
2023-02-20,0.164,0.175,0.175,0.163,1.47M,-4.09%
2023-02-19,0.171,0.17,0.172,0.164,947.93K,1.18%
2023-02-16,0.169,0.166,0.169,0.165,509.49K,0.00%
2023-02-15,0.169,0.166,0.171,0.165,712.90K,0.00%
2023-02-14,0.169,0.163,0.17,0.163,616.04K,0.00%
2023-02-13,0.169,0.17,0.17,0.16,556.28K,0.00%
2023-02-12,0.169,0.171,0.174,0.17,299.10K,0.00%
2023-02-09,0.169,0.17,0.177,0.17,526.84K,0.00%
2023-02-08,0.169,0.17,0.175,0.17,512.05K,0.00%
2023-02-07,0.169,0.168,0.173,0.167,196.77K,0.00%
2023-02-06,0.169,0.166,0.171,0.165,277.14K,0.00%
2023-02-05,0.169,0.167,0.172,0.162,1.21M,1.20%
2023-02-02,0.167,0.172,0.177,0.164,1.50M,-7.73%
2023-02-01,0.181,0.175,0.175,0.167,318.61K,0.00%
2023-01-31,0.181,0.183,0.183,0.17,762.72K,0.00%
2023-01-30,0.181,0.18,0.183,0.175,280.81K,0.00%
2023-01-29,0.181,0.185,0.187,0.179,2.84M,-3.21%
2023-01-25,0.187,0.191,0.196,0.182,5.11M,-1.06%
2023-01-24,0.189,0.183,0.195,0.18,4.57M,4.42%
2023-01-23,0.181,0.19,0.19,0.18,1.88M,-2.16%
2023-01-22,0.185,0.18,0.194,0.178,2.76M,4.52%
